ID;RegioS;Perioden;TariefOpcentenMotorrijtuigenbelasting_1
0;Groningen (PV);2000;61.3
1;Groningen (PV);2001;62.7
2;Groningen (PV);2002;64.3
3;Groningen (PV);2003;65.8
4;Groningen (PV);2004;68.0
5;Groningen (PV);2005;75.7
6;Groningen (PV);2006;76.8
7;Groningen (PV);2007;77.2
8;Groningen (PV);2008;77.8
9;Groningen (PV);2009;79.1
10;Groningen (PV);2010;79.1
11;Groningen (PV);2011;83.0
12;Groningen (PV);2012;83.8
13;Groningen (PV);2013;85.1
14;Groningen (PV);2014;87.1
15;Groningen (PV);2015;88.4
16;Groningen (PV);2016;88.9
17;Groningen (PV);2017;88.6
18;Groningen (PV);2018;89.3
19;Groningen (PV);2019;90.4
20;Groningen (PV);2020;91.8
21;Groningen (PV);2021;93.3
22;Groningen (PV);2022;94.5
23;Groningen (PV);2023;95.7
24;Groningen (PV);2024;95.7
25;Groningen (PV);2025;95.7
26;Fryslân (PV);2000;50.6
27;Fryslân (PV);2001;50.6
28;Fryslân (PV);2002;50.6
29;Fryslân (PV);2003;58.6
30;Fryslân (PV);2004;60.1
31;Fryslân (PV);2005;61.0
32;Fryslân (PV);2006;66.6
33;Fryslân (PV);2007;72.3
34;Fryslân (PV);2008;78.8
35;Fryslân (PV);2009;80.4
36;Fryslân (PV);2010;81.7
37;Fryslân (PV);2011;83.0
38;Fryslân (PV);2012;84.9
39;Fryslân (PV);2013;86.6
40;Fryslân (PV);2014;90.3
41;Fryslân (PV);2015;94.1
42;Fryslân (PV);2016;68.8
43;Fryslân (PV);2017;69.4
44;Fryslân (PV);2018;70.0
45;Fryslân (PV);2019;71.1
46;Fryslân (PV);2020;87.0
47;Fryslân (PV);2021;87.0
48;Fryslân (PV);2022;87.0
49;Fryslân (PV);2023;87.0
50;Fryslân (PV);2024;89.6
51;Fryslân (PV);2025;92.1
52;Drenthe (PV);2000;61.9
53;Drenthe (PV);2001;63.2
54;Drenthe (PV);2002;64.9
55;Drenthe (PV);2003;66.9
56;Drenthe (PV);2004;69.0
57;Drenthe (PV);2005;75.9
58;Drenthe (PV);2006;77.4
59;Drenthe (PV);2007;78.6
60;Drenthe (PV);2008;79.7
61;Drenthe (PV);2009;81.0
62;Drenthe (PV);2010;83.3
63;Drenthe (PV);2011;83.6
64;Drenthe (PV);2012;85.1
65;Drenthe (PV);2013;86.5
66;Drenthe (PV);2014;88.3
67;Drenthe (PV);2015;90.3
68;Drenthe (PV);2016;92.0
69;Drenthe (PV);2017;92.0
70;Drenthe (PV);2018;92.0
71;Drenthe (PV);2019;92.0
72;Drenthe (PV);2020;92.0
73;Drenthe (PV);2021;92.0
74;Drenthe (PV);2022;92.0
75;Drenthe (PV);2023;92.0
76;Drenthe (PV);2024;92.0
77;Drenthe (PV);2025;92.0
78;Overijssel (PV);2000;65.0
79;Overijssel (PV);2001;66.8
80;Overijssel (PV);2002;68.1
81;Overijssel (PV);2003;70.3
82;Overijssel (PV);2004;72.0
83;Overijssel (PV);2005;73.1
84;Overijssel (PV);2006;74.0
85;Overijssel (PV);2007;75.3
86;Overijssel (PV);2008;76.8
87;Overijssel (PV);2009;78.5
88;Overijssel (PV);2010;78.5
89;Overijssel (PV);2011;78.5
90;Overijssel (PV);2012;79.2
91;Overijssel (PV);2013;79.9
92;Overijssel (PV);2014;79.9
93;Overijssel (PV);2015;79.9
94;Overijssel (PV);2016;79.9
95;Overijssel (PV);2017;79.9
96;Overijssel (PV);2018;79.9
97;Overijssel (PV);2019;79.9
98;Overijssel (PV);2020;79.9
99;Overijssel (PV);2021;79.9
100;Overijssel (PV);2022;79.9
101;Overijssel (PV);2023;79.9
102;Overijssel (PV);2024;82.2
103;Overijssel (PV);2025;82.2
104;Flevoland (PV);2000;53.8
105;Flevoland (PV);2001;55.1
106;Flevoland (PV);2002;57.3
107;Flevoland (PV);2003;59.8
108;Flevoland (PV);2004;61.4
109;Flevoland (PV);2005;62.5
110;Flevoland (PV);2006;63.4
111;Flevoland (PV);2007;64.0
112;Flevoland (PV);2008;67.4
113;Flevoland (PV);2009;71.6
114;Flevoland (PV);2010;75.7
115;Flevoland (PV);2011;76.6
116;Flevoland (PV);2012;76.6
117;Flevoland (PV);2013;76.6
118;Flevoland (PV);2014;76.6
119;Flevoland (PV);2015;76.6
120;Flevoland (PV);2016;77.4
121;Flevoland (PV);2017;78.2
122;Flevoland (PV);2018;79.0
123;Flevoland (PV);2019;79.8
124;Flevoland (PV);2020;80.6
125;Flevoland (PV);2021;81.4
126;Flevoland (PV);2022;82.2
127;Flevoland (PV);2023;82.2
128;Flevoland (PV);2024;83.0
129;Flevoland (PV);2025;83.9
130;Gelderland (PV);2000;58.6
131;Gelderland (PV);2001;59.9
132;Gelderland (PV);2002;61.5
133;Gelderland (PV);2003;64.3
134;Gelderland (PV);2004;76.5
135;Gelderland (PV);2005;78.1
136;Gelderland (PV);2006;79.0
137;Gelderland (PV);2007;80.5
138;Gelderland (PV);2008;81.4
139;Gelderland (PV);2009;82.7
140;Gelderland (PV);2010;82.7
141;Gelderland (PV);2011;82.7
142;Gelderland (PV);2012;83.8
143;Gelderland (PV);2013;85.0
144;Gelderland (PV);2014;87.1
145;Gelderland (PV);2015;89.3
146;Gelderland (PV);2016;88.7
147;Gelderland (PV);2017;89.2
148;Gelderland (PV);2018;89.2
149;Gelderland (PV);2019;89.2
150;Gelderland (PV);2020;87.2
151;Gelderland (PV);2021;89.5
152;Gelderland (PV);2022;90.6
153;Gelderland (PV);2023;93.0
154;Gelderland (PV);2024;97.9
155;Gelderland (PV);2025;101.2
156;Utrecht (PV);2000;61.7
157;Utrecht (PV);2001;62.9
158;Utrecht (PV);2002;64.0
159;Utrecht (PV);2003;65.2
160;Utrecht (PV);2004;68.6
161;Utrecht (PV);2005;71.7
162;Utrecht (PV);2006;71.7
163;Utrecht (PV);2007;71.7
164;Utrecht (PV);2008;72.6
165;Utrecht (PV);2009;72.6
166;Utrecht (PV);2010;72.6
167;Utrecht (PV);2011;72.6
168;Utrecht (PV);2012;72.6
169;Utrecht (PV);2013;72.6
170;Utrecht (PV);2014;72.6
171;Utrecht (PV);2015;72.6
172;Utrecht (PV);2016;72.6
173;Utrecht (PV);2017;72.6
174;Utrecht (PV);2018;72.6
175;Utrecht (PV);2019;72.6
176;Utrecht (PV);2020;73.6
177;Utrecht (PV);2021;74.9
178;Utrecht (PV);2022;77.5
179;Utrecht (PV);2023;79.4
180;Utrecht (PV);2024;81.9
181;Utrecht (PV);2025;84.2
182;Noord-Holland (PV);2000;52.8
183;Noord-Holland (PV);2001;44.7
184;Noord-Holland (PV);2002;44.7
185;Noord-Holland (PV);2003;42.7
186;Noord-Holland (PV);2004;52.7
187;Noord-Holland (PV);2005;52.7
188;Noord-Holland (PV);2006;52.7
189;Noord-Holland (PV);2007;63.4
190;Noord-Holland (PV);2008;63.9
191;Noord-Holland (PV);2009;67.9
192;Noord-Holland (PV);2010;67.9
193;Noord-Holland (PV);2011;67.9
194;Noord-Holland (PV);2012;67.9
195;Noord-Holland (PV);2013;67.9
196;Noord-Holland (PV);2014;67.9
197;Noord-Holland (PV);2015;67.9
198;Noord-Holland (PV);2016;67.9
199;Noord-Holland (PV);2017;67.9
200;Noord-Holland (PV);2018;67.9
201;Noord-Holland (PV);2019;67.9
202;Noord-Holland (PV);2020;67.9
203;Noord-Holland (PV);2021;67.9
204;Noord-Holland (PV);2022;67.9
205;Noord-Holland (PV);2023;67.9
206;Noord-Holland (PV);2024;77.4
207;Noord-Holland (PV);2025;77.4
208;Zuid-Holland (PV);2000;58.5
209;Zuid-Holland (PV);2001;58.5
210;Zuid-Holland (PV);2002;59.7
211;Zuid-Holland (PV);2003;61.2
212;Zuid-Holland (PV);2004;71.8
213;Zuid-Holland (PV);2005;71.8
214;Zuid-Holland (PV);2006;72.2
215;Zuid-Holland (PV);2007;73.3
216;Zuid-Holland (PV);2008;91.8
217;Zuid-Holland (PV);2009;95.0
218;Zuid-Holland (PV);2010;95.0
219;Zuid-Holland (PV);2011;95.0
220;Zuid-Holland (PV);2012;95.0
221;Zuid-Holland (PV);2013;95.0
222;Zuid-Holland (PV);2014;95.0
223;Zuid-Holland (PV);2015;95.0
224;Zuid-Holland (PV);2016;92.0
225;Zuid-Holland (PV);2017;91.4
226;Zuid-Holland (PV);2018;90.4
227;Zuid-Holland (PV);2019;90.4
228;Zuid-Holland (PV);2020;90.4
229;Zuid-Holland (PV);2021;90.4
230;Zuid-Holland (PV);2022;91.8
231;Zuid-Holland (PV);2023;95.7
232;Zuid-Holland (PV);2024;98.7
233;Zuid-Holland (PV);2025;101.5
234;Zeeland (PV);2000;62.2
235;Zeeland (PV);2001;63.6
236;Zeeland (PV);2002;65.2
237;Zeeland (PV);2003;66.7
238;Zeeland (PV);2004;69.3
239;Zeeland (PV);2005;69.3
240;Zeeland (PV);2006;69.3
241;Zeeland (PV);2007;69.3
242;Zeeland (PV);2008;69.3
243;Zeeland (PV);2009;69.3
244;Zeeland (PV);2010;69.3
245;Zeeland (PV);2011;69.3
246;Zeeland (PV);2012;78.3
247;Zeeland (PV);2013;78.3
248;Zeeland (PV);2014;78.3
249;Zeeland (PV);2015;78.3
250;Zeeland (PV);2016;82.3
251;Zeeland (PV);2017;82.3
252;Zeeland (PV);2018;82.3
253;Zeeland (PV);2019;89.1
254;Zeeland (PV);2020;89.1
255;Zeeland (PV);2021;89.1
256;Zeeland (PV);2022;82.3
257;Zeeland (PV);2023;82.3
258;Zeeland (PV);2024;84.4
259;Zeeland (PV);2025;84.4
260;Noord-Brabant (PV);2000;58.4
261;Noord-Brabant (PV);2001;59.5
262;Noord-Brabant (PV);2002;63.3
