ID;RegioS;Perioden;TotaalPersoneel_1;TotaalOperationeelPersoneel_2;TotaalBeroeps_3;Mannen_4;Vrouwen_5;HogerEnMiddelbaarRangniveau_6;HogerRangniveau_7;MiddelbaarRangniveau_8;LagerRangniveau_9;TotaalVrijwillig_10;Mannen_11;Vrouwen_12;HogerEnMiddelbaarRangniveau_13;HogerRangniveau_14;MiddelbaarRangniveau_15;LagerRangniveau_16;TotaalOverigPersoneel_17;HboWoOpleiding_18;MboOpleiding_19;LboOpleiding_20
0;Nederland;2000;;26902;4770;4625;145;1767;859.0;908.0;3003;22132;21533;599;4362;812.0;3550.0;17770;;;;
1;Nederland;2001;;26992;4915;4770;145;1940;923.0;1017.0;2975;22077;21402;675;4432;714.0;3718.0;17645;;;;
2;Nederland;2002;;27082;4994;4836;158;1982;943.0;1039.0;3012;22088;21285;803;4449;625.0;3824.0;17639;;;;
3;Nederland;2003;;27213;5175;4995;180;2139;1006.0;1133.0;3036;22038;21057;981;4412;559.0;3853.0;17626;;;;
4;Nederland;2004;;27413;5352;5131;221;2248;1071.0;1177.0;3104;22061;21036;1025;4507;463.0;4044.0;17554;;;;
5;Nederland;2005;30624.0;27299;5260;5009;251;2221;1029.0;1192.0;3039;22039;20932;1107;5010;594.0;4416.0;17029;3325.0;1149.0;1722.0;454.0
6;Nederland;2006;30674.0;27373;5413;5125;288;2312;1063.0;1249.0;3101;21960;20820;1140;5305;555.0;4750.0;16655;3301.0;1125.0;1726.0;450.0
7;Nederland;2007;30480.0;27084;5440;5127;313;2389;1089.0;1300.0;3051;21644;20456;1188;4721;428.0;4293.0;16923;3396.0;1203.0;1765.0;428.0
8;Nederland;2008;30428.0;27027;5548;5240;308;2322;1007.0;1315.0;3226;21479;20218;1261;4806;396.0;4410.0;16673;3401.0;1218.0;1722.0;461.0
9;Nederland;2009;30736.0;27154;5525;5223;302;2252;943.0;1309.0;3273;21629;20321;1308;4902;358.0;4544.0;16727;3582.0;1385.0;1823.0;374.0
10;Nederland;2010;31066.0;27137;5510;5214;296;2211;881.0;1330.0;3299;21627;20304;1323;4696;362.0;4334.0;16931;3929.0;1539.0;2004.0;386.0
11;Nederland;2011;30608.0;26602;5416;5130;286;2099;862.0;1237.0;3317;21186;19955;1231;4742;343.0;4399.0;16444;4006.0;1489.0;2019.0;498.0
12;Nederland;2012;30261.0;26223;5252;4973;279;2057;837.0;1220.0;3195;20971;19796;1175;5528;313.0;5215.0;15443;4038.0;1527.0;2044.0;467.0
13;Nederland;2013;29789.0;26031;5220;4917;303;2074;874.0;1200.0;3146;20811;19659;1152;4893;356.0;4537.0;15918;3758.0;1455.0;1812.0;491.0
14;Nederland;2014;28855.0;25061;5023;4786;237;2032;893.0;1139.0;2991;20038;18983;1055;4900;267.0;4633.0;15138;3794.0;1527.0;1713.0;554.0
15;Nederland;2015;27964.0;24135;4892;4662;230;1933;840.0;1093.0;2959;19243;18176;1067;4808;154.0;4654.0;14435;3829.0;1667.0;1717.0;445.0
16;Nederland;2016;27733.0;23951;5152;4891;261;2166;838.0;1328.0;2986;18799;17757;1042;4672;137.0;4535.0;14127;3782.0;1600.0;1653.0;529.0
17;Nederland;2017;27850.0;24042;5123;4873;250;2130;909.0;1221.0;2993;18919;17883;1036;4635;120.0;4515.0;14284;3808.0;1737.0;1565.0;506.0
18;Nederland;2018;28158.0;24310;5398;5068;330;2322;947.0;1375.0;3076;18912;17828;1084;4727;133.0;4594.0;14185;3848.0;1694.0;1670.0;484.0
19;Nederland;2019;28140.0;24232;5375;5050;325;2244;925.0;1319.0;3131;18857;17758;1099;4726;113.0;4613.0;14131;3908.0;1772.0;1627.0;509.0
20;Noord-Nederland (LD);2000;;2916;289;282;7;147;86.0;61.0;142;2627;2541;86;474;78.0;396.0;2153;;;;
21;Noord-Nederland (LD);2001;;2941;307;298;9;159;97.0;62.0;148;2634;2531;103;473;71.0;402.0;2161;;;;
22;Noord-Nederland (LD);2002;;3008;341;328;13;183;107.0;76.0;158;2667;2544;123;509;52.0;457.0;2158;;;;
23;Noord-Nederland (LD);2003;;3032;358;343;15;191;109.0;82.0;167;2674;2530;144;506;50.0;456.0;2168;;;;
24;Noord-Nederland (LD);2004;;3063;375;358;17;214;115.0;99.0;161;2688;2536;152;529;37.0;492.0;2159;;;;
25;Noord-Nederland (LD);2005;3236.0;3032;376;352;24;216;125.0;91.0;160;2656;2486;170;566;29.0;537.0;2090;204.0;73.0;109.0;22.0
26;Noord-Nederland (LD);2006;3227.0;3017;377;350;27;216;121.0;95.0;161;2640;2468;172;594;45.0;549.0;2046;210.0;81.0;106.0;23.0
27;Noord-Nederland (LD);2007;3243.0;3004;361;340;21;219;117.0;102.0;142;2643;2471;172;596;23.0;573.0;2047;239.0;81.0;125.0;33.0
28;Noord-Nederland (LD);2008;3342.0;3103;387;364;23;230;126.0;104.0;157;2716;2526;190;608;12.0;596.0;2108;239.0;86.0;126.0;27.0
29;Noord-Nederland (LD);2009;3388.0;3097;405;375;30;243;123.0;120.0;162;2692;2486;206;663;15.0;648.0;2029;291.0;92.0;169.0;30.0
30;Noord-Nederland (LD);2010;3382.0;3106;403;378;25;247;117.0;130.0;156;2703;2516;187;591;24.0;567.0;2112;276.0;96.0;161.0;19.0
31;Noord-Nederland (LD);2011;3213.0;3019;408;384;24;227;113.0;114.0;181;2611;2411;200;598;15.0;583.0;2013;194.0;68.0;108.0;18.0
32;Noord-Nederland (LD);2012;3232.0;3000;378;348;30;200;;;178;2622;2417;205;609;;;2013;232.0;90.0;120.0;22.0
33;Noord-Nederland (LD);2013;3255.0;3012;391;362;29;197;;;194;2621;2435;186;607;;;2014;243.0;84.0;135.0;24.0
34;Noord-Nederland (LD);2014;3140.0;2819;296;276;20;127;;;169;2523;2344;179;674;;;1849;321.0;118.0;187.0;16.0
35;Noord-Nederland (LD);2015;3205.0;2884;345;325;20;152;;;193;2539;2371;168;670;;;1869;321.0;125.0;181.0;15.0
36;Noord-Nederland (LD);2016;3144.0;2869;409;379;30;297;;;112;2460;2291;169;613;;;1847;275.0;145.0;98.0;32.0
37;Noord-Nederland (LD);2017;3183.0;2903;406;374;32;293;;;113;2497;2322;175;594;;;1903;280.0;158.0;92.0;30.0
38;Noord-Nederland (LD);2018;3239.0;2953;402;368;34;253;;;149;2551;2376;175;621;;;1930;286.0;141.0;118.0;27.0
39;Noord-Nederland (LD);2019;3205.0;2911;382;350;32;232;;;150;2529;2355;174;628;;;1901;294.0;150.0;101.0;43.0
40;Oost-Nederland (LD);2000;;5762;785;750;35;341;186.0;155.0;444;4977;4866;111;956;187.0;769.0;4021;;;;
41;Oost-Nederland (LD);2001;;5817;788;759;29;369;187.0;182.0;419;5029;4904;125;977;156.0;821.0;4052;;;;
42;Oost-Nederland (LD);2002;;5852;814;778;36;404;202.0;202.0;410;5038;4874;164;953;145.0;808.0;4085;;;;
43;Oost-Nederland (LD);2003;;5998;883;849;34;487;226.0;261.0;396;5115;4891;224;968;125.0;843.0;4147;;;;
44;Oost-Nederland (LD);2004;;6058;902;862;40;463;258.0;205.0;439;5156;4927;229;1005;106.0;899.0;4151;;;;
45;Oost-Nederland (LD);2005;6590.0;5903;886;841;45;488;230.0;258.0;398;5017;4776;241;1121;157.0;964.0;3896;687.0;244.0;371.0;72.0
46;Oost-Nederland (LD);2006;6562.0;5989;929;866;63;491;257.0;234.0;438;5060;4797;263;1185;158.0;1027.0;3875;573.0;210.0;287.0;76.0
47;Oost-Nederland (LD);2007;6562.0;5949;962;893;69;521;266.0;255.0;441;4987;4710;277;1006;107.0;899.0;3981;613.0;226.0;311.0;76.0
48;Oost-Nederland (LD);2008;6605.0;5932;980;907;73;504;259.0;245.0;476;4952;4658;294;1065;106.0;959.0;3887;673.0;257.0;334.0;82.0
49;Oost-Nederland (LD);2009;6656.0;5968;961;895;66;500;237.0;263.0;461;5007;4692;315;1093;100.0;993.0;3914;688.0;271.0;355.0;62.0
50;Oost-Nederland (LD);2010;6705.0;5974;931;872;59;460;239.0;221.0;471;5043;4733;310;1069;90.0;979.0;3974;731.0;251.0;405.0;75.0
51;Oost-Nederland (LD);2011;6609.0;5842;899;842;57;439;240.0;199.0;460;4943;4644;299;1066;86.0;980.0;3877;767.0;238.0;425.0;104.0
52;Oost-Nederland (LD);2012;6537.0;5760;867;810;57;456;;;411;4893;4599;294;1112;;;3781;777.0;273.0;406.0;98.0
53;Oost-Nederland (LD);2013;6570.0;5761;827;772;55;445;;;382;4934;4653;281;1141;;;3793;809.0;282.0;472.0;55.0
54;Oost-Nederland (LD);2014;6419.0;5567;813;764;49;498;;;315;4754;4491;263;1065;;;3689;852.0;347.0;429.0;76.0
55;Oost-Nederland (LD);2015;5917.0;5129;784;739;45;471;;;313;4345;4078;267;970;;;3375;788.0;308.0;416.0;64.0
56;Oost-Nederland (LD);2016;5994.0;5174;822;772;50;470;;;352;4352;4100;252;961;;;3391;820.0;316.0;394.0;110.0
57;Oost-Nederland (LD);2017;5990.0;5172;770;726;44;402;;;368;4402;4159;243;1019;;;3383;818.0;342.0;327.0;149.0
58;Oost-Nederland (LD);2018;6133.0;5324;839;784;55;452;;;387;4485;4236;249;1030;;;3455;809.0;331.0;330.0;148.0
59;Oost-Nederland (LD);2019;6095.0;5296;838;784;54;452;;;386;4458;4206;252;1057;;;3401;799.0;333.0;339.0;127.0
60;West-Nederland (LD);2000;;12582;2881;2805;76;945;402.0;543.0;1936;9701;9422;279;1969;382.0;1587.0;7732;;;;
61;West-Nederland (LD);2001;;12590;2972;2898;74;1060;447.0;613.0;1912;9618;9315;303;1986;330.0;1656.0;7632;;;;
62;West-Nederland (LD);2002;;12606;2967;2887;80;1014;436.0;578.0;1953;9639;9286;353;1995;289.0;1706.0;7644;;;;
63;West-Nederland (LD);2003;;12541;3032;2934;98;1068;464.0;604.0;1964;9509;9084;425;1951;253.0;1698.0;7558;;;;
64;West-Nederland (LD);2004;;12661;3181;3055;126;1183;489.0;694.0;1998;9480;9040;440;1962;199.0;1763.0;7518;;;;
65;West-Nederland (LD);2005;14437.0;12703;3114;2976;138;1126;468.0;658.0;1988;9589;9104;485;2242;278.0;1964.0;7347;1734.0;585.0;870.0;279.0
66;West-Nederland (LD);2006;14398.0;12645;3184;3032;152;1187;481.0;706.0;1997;9461;8983;478;2259;199.0;2060.0;7202;1753.0;569.0;916.0;268.0
67;West-Nederland (LD);2007;14387.0;12538;3199;3023;176;1232;490.0;742.0;1967;9339;8840;499;2045;174.0;1871.0;7294;1849.0;659.0;935.0;255.0
68;West-Nederland (LD);2008;14310.0;12530;3254;3099;155;1193;421.0;772.0;2061;9276;8736;540;2125;182.0;1943.0;7151;1780.0;619.0;865.0;296.0
69;West-Nederland (LD);2009;14271.0;12457;3244;3090;154;1144;391.0;753.0;2100;9213;8656;557;2141;148.0;1993.0;7072;1814.0;728.0;860.0;226.0
70;West-Nederland (LD);2010;14516.0;12508;3294;3128;166;1191;376.0;815.0;2103;9214;8664;550;2011;162.0;1849.0;7203;2008.0;849.0;957.0;202.0
71;West-Nederland (LD);2011;14367.0;12256;3214;3068;146;1080;332.0;748.0;2134;9042;8544;498;1945;147.0;1798.0;7097;2111.0;851.0;987.0;273.0
72;West-Nederland (LD);2012;14309.0;12219;3175;3029;146;1038;;;2137;9044;8581;463;2205;;;6839;2090.0;865.0;977.0;248.0
73;West-Nederland (LD);2013;13786.0;11941;3043;2875;168;1005;;;2038;8898;8428;470;2148;;;6750;1845.0;808.0;750.0;287.0
74;West-Nederland (LD);2014;13249.0;11558;2965;2843;122;995;;;1970;8593;8184;409;2227;;;6366;1691.0;785.0;578.0;328.0
75;West-Nederland (LD);2015;13038.0;11237;2846;2734;112;908;;;1938;8391;7952;439;2211;;;6180;1801.0;840.0;670.0;291.0
76;West-Nederland (LD);2016;12808.0;11039;3067;2931;136;1055;;;2012;7972;7544;428;2142;;;5830;1769.0;730.0;737.0;302.0
