ID;Leeftijd;Perioden;Mannen_1;Vrouwen_2;Mannen_3;Vrouwen_4
0;0 jaar;2000;75.39;80.48;0.00537;0.00427
1;0 jaar;2001;75.5;80.74;0.00533;0.00417
2;0 jaar;2002;75.75;80.86;0.00522;0.00411
3;0 jaar;2003;76.0;80.96;0.00512;0.00407
4;0 jaar;2004;76.25;81.07;0.00503;0.00405
5;0 jaar;2005;76.41;81.15;0.00497;0.00402
6;0 jaar;2006;76.55;81.22;0.00492;0.004
7;0 jaar;2007;76.68;81.26;0.00488;0.00399
8;0 jaar;2008;76.8;81.3;0.00484;0.00398
9;0 jaar;2009;76.92;81.34;0.00481;0.00398
10;0 jaar;2010;77.04;81.38;0.00478;0.00396
11;0 jaar;2011;77.15;81.42;0.00475;0.00395
12;0 jaar;2012;77.25;81.45;0.00472;0.00394
13;0 jaar;2013;77.36;81.49;0.00469;0.00394
14;0 jaar;2014;77.45;81.52;0.00467;0.00392
15;0 jaar;2015;77.55;81.55;0.00465;0.00393
16;0 jaar;2016;77.64;81.58;0.00461;0.00392
17;0 jaar;2017;77.73;81.61;0.00461;0.00392
18;0 jaar;2018;77.81;81.64;0.00458;0.00391
19;0 jaar;2019;77.89;81.67;0.00457;0.00391
20;0 jaar;2020;77.97;81.7;0.00455;0.0039
21;0 jaar;2021;78.04;81.73;0.00454;0.00388
22;0 jaar;2022;78.12;81.75;0.00451;0.00389
23;0 jaar;2023;78.19;81.78;0.0045;0.00388
24;0 jaar;2024;78.26;81.81;0.00448;0.00387
25;0 jaar;2025;78.32;81.84;0.00448;0.00386
26;0 jaar;2026;78.39;81.87;0.00447;0.00387
27;0 jaar;2027;78.45;81.9;0.00445;0.00386
28;0 jaar;2028;78.51;81.93;0.00445;0.00386
29;0 jaar;2029;78.57;81.96;0.00444;0.00384
30;0 jaar;2030;78.63;81.99;0.00443;0.00384
31;0 jaar;2031;78.68;82.02;0.00441;0.00384
32;0 jaar;2032;78.74;82.05;0.00441;0.00383
33;0 jaar;2033;78.79;82.09;0.0044;0.00382
34;0 jaar;2034;78.84;82.12;0.0044;0.00383
35;0 jaar;2035;78.89;82.15;0.00438;0.00382
36;0 jaar;2036;78.94;82.18;0.00437;0.00381
37;0 jaar;2037;78.99;82.21;0.00436;0.0038
38;0 jaar;2038;79.04;82.24;0.00436;0.00378
39;0 jaar;2039;79.09;82.28;0.00434;0.00377
40;0 jaar;2040;79.13;82.31;0.00434;0.00377
41;0 jaar;2041;79.18;82.34;0.00433;0.00377
42;0 jaar;2042;79.22;82.37;0.00433;0.00376
43;0 jaar;2043;79.27;82.41;0.00432;0.00375
44;0 jaar;2044;79.31;82.44;0.0043;0.00373
45;0 jaar;2045;79.35;82.47;0.0043;0.00372
46;0 jaar;2046;79.39;82.5;0.00428;0.00373
47;0 jaar;2047;79.43;82.53;0.00428;0.00372
48;0 jaar;2048;79.47;82.56;0.00426;0.00369
