ID;Perioden;TotaalGoederenvervoer_1;TotaalGoederenvervoer_2;NoordNederland_3;OostNederland_4;ZuidNederland_5;TotaleLadingWestNederland_6;Rijnmond_7;NoordzeeKanaalgebied_8;OverigWestNederland_9;TotaalGoederenvervoer_10;NoordNederland_11;OostNederland_12;ZuidNederland_13;TotaleLossingWestNederland_14;Rijnmond_15;NoordzeeKanaalgebied_16;OverigWestNederland_17;TotaalGoederenvervoer_18;LandbouwproductenDieren_19;VoedingsproductenVeevoeder_20;VasteBrandstoffen_21;AardolieEnAardolieproducten_22;ErtsenEnMetaalresiduen_23;MetalenEnMetalenHalffabricaten_24;RuweMineralenBouwmaterialen_25;Meststoffen_26;ChemischeProducten_27;OverigeGoederenEnFabricaten_28;TotaalLadingtonkilometers_29;TotaalLadingtonkilometers_30;NoordNederland_31;OostNederland_32;ZuidNederland_33;TotaleLadingWestNederland_34;Rijnmond_35;NoordzeeKanaalgebied_36;OverigWestNederland_37;TotaalLadingtonkilometers_38;NoordNederland_39;OostNederland_40;ZuidNederland_41;TotaleLossingWestNederland_42;Rijnmond_43;NoordzeeKanaalgebied_44;OverigWestNederland_45;TotaalLadingtonkilometers_46;LandbouwproductenDieren_47;VoedingsproductenVeevoeder_48;VasteBrandstoffen_49;AardolieEnAardolieproducten_50;ErtsenEnMetaalresiduen_51;MetalenEnMetalenHalffabricaten_52;RuweMineralenBouwmaterialen_53;Meststoffen_54;ChemischeProducten_55;OverigeGoederenEnFabricaten_56
0;1996 januari;330;330;83;40;74;133;80;14;39;330;60;22;81;167;116;27;24;330;0;26;0;15;0;3;4;10;124;150;62;62;25;4;15;20;15;1;4;62;9;3;17;34;28;3;3;62;0;2;0;4;0;0;1;2;20;33
1;1996 februari;377;377;89;41;91;156;71;47;38;377;53;28;82;214;131;58;25;377;0;20;0;15;0;3;4;12;110;215;65;65;26;4;16;18;12;2;4;65;9;3;15;37;31;4;2;65;0;2;0;5;0;0;1;2;17;37
2;1996 maart;386;386;86;51;108;141;70;22;49;386;66;44;82;194;139;25;30;386;0;24;0;15;0;2;3;13;103;225;66;66;25;4;18;18;12;1;5;66;11;5;14;37;33;1;3;66;0;3;0;5;0;0;1;3;15;40
3;1996 1e kwartaal;1093;1093;258;132;273;430;221;83;126;1093;179;94;245;575;386;110;79;1093;0;70;0;45;0;8;11;35;337;590;193;193;76;12;49;56;39;4;13;193;29;11;46;108;92;8;8;193;0;7;0;14;0;0;3;7;52;110
4;1996 april;393;393;81;56;99;158;72;27;59;393;74;52;86;182;118;27;37;393;0;21;0;14;0;3;3;6;115;231;65;65;23;4;16;21;12;3;6;65;12;5;14;34;28;3;3;65;0;3;0;4;0;0;1;1;16;40
5;1996 mei;442;442;88;73;118;163;76;22;65;442;81;64;80;218;162;26;30;442;0;19;0;9;0;3;4;39;125;243;74;74;25;5;21;22;13;2;7;74;13;6;14;41;37;1;3;74;0;3;0;3;0;0;1;8;18;41
6;1996 juni;380;380;85;51;89;156;71;28;57;380;80;39;80;181;128;23;30;380;0;24;0;8;0;3;2;13;107;223;60;60;23;3;14;20;11;2;7;60;13;3;12;32;28;1;3;60;0;3;0;2;0;0;0;3;15;36
7;1996 2e kwartaal;1215;1215;254;180;306;477;219;77;181;1215;235;155;246;581;408;76;97;1215;0;64;0;31;0;9;9;58;347;697;199;199;71;12;51;63;36;7;20;199;38;14;40;107;93;5;9;199;0;9;0;9;0;0;2;12;49;117
8;1996 juli;384;384;89;62;94;140;70;17;53;384;82;39;70;194;148;21;25;384;0;20;0;10;0;2;4;18;115;216;64;64;25;4;15;20;12;1;7;64;13;3;13;35;31;1;3;64;0;3;0;3;0;0;1;4;17;37
9;1996 augustus;381;381;83;50;92;155;82;16;57;381;80;38;63;199;147;25;27;381;0;22;0;7;0;2;1;10;112;225;61;61;23;2;16;20;12;2;6;61;13;3;11;35;29;3;3;61;0;3;0;2;0;0;0;2;17;35
10;1996 september;408;408;87;71;101;149;73;20;56;408;78;55;73;201;135;28;38;408;0;14;0;9;0;3;2;16;106;259;60;60;24;4;15;18;10;2;6;60;12;4;10;34;28;3;3;60;0;2;0;3;0;0;0;3;15;36
11;1996 3e kwartaal;1173;1173;259;183;287;444;225;53;166;1173;240;132;206;594;430;74;90;1173;0;56;0;26;0;7;7;44;333;700;185;185;72;10;46;58;34;5;19;185;38;10;34;104;88;7;9;185;0;8;0;8;0;0;1;9;49;108
12;1996 oktober;453;453;112;71;108;163;72;21;70;453;102;60;83;209;136;32;41;453;0;22;0;8;0;2;0;24;110;286;69;69;28;3;18;20;12;1;7;69;15;4;13;36;31;2;3;69;0;3;0;3;0;0;0;5;16;42
13;1996 november;439;439;101;57;115;166;78;31;57;439;92;47;88;213;139;49;25;439;0;23;0;13;0;1;0;29;107;266;67;67;25;3;19;20;13;1;6;67;13;4;14;36;30;4;2;67;0;3;0;4;0;0;0;6;17;37
14;1996 december;352;352;102;25;97;128;73;11;44;352;81;23;70;178;126;24;28;352;4;17;0;13;0;0;0;31;99;188;64;64;26;2;18;19;13;1;5;64;14;2;13;34;29;2;3;64;1;2;0;4;0;0;0;6;16;35
15;1996 4e kwartaal;1244;1244;315;153;320;457;223;63;171;1244;275;130;241;600;401;105;94;1244;4;62;0;34;0;3;0;84;316;740;200;200;79;8;55;59;38;3;18;200;42;10;40;106;90;8;8;200;1;8;0;11;0;0;0;17;49;114
16;1996;4726;4726;1085;648;1185;1808;888;276;644;4726;928;512;939;2346;1624;363;359;4726;4;252;0;135;0;27;28;221;1333;2727;778;778;299;42;201;237;147;19;71;778;146;46;160;426;364;28;34;778;1;32;0;42;0;4;6;45;200;449
17;1997 januari;346;346;115;25;76;130;81;9;40;346;85;9;69;183;134;27;22;346;0;23;2;14;0;1;0;13;109;184;66;66;29;2;15;18;13;1;4;66;14;1;14;37;32;3;2;66;0;3;1;4;0;0;0;3;18;37
18;1997 februari;359;359;114;24;68;154;74;41;39;359;79;13;70;197;128;47;22;359;0;17;0;13;0;0;0;5;96;227;60;60;29;2;12;18;12;2;4;60;12;1;13;34;30;2;2;60;0;2;0;4;0;0;0;1;16;37
19;1997 maart;381;381;111;29;102;139;70;21;48;381;85;32;78;187;130;26;31;381;0;19;0;11;0;0;0;7;107;237;64;64;28;2;17;17;11;1;5;64;14;3;13;34;30;1;3;64;0;2;0;4;0;0;0;1;17;40
20;1997 1e kwartaal;1086;1086;339;79;247;422;224;71;127;1086;249;54;217;567;391;101;75;1086;0;59;2;38;0;1;0;25;312;648;190;190;86;6;44;53;36;4;13;190;40;5;40;105;92;6;7;190;0;7;1;12;0;0;0;5;51;114
21;1997 april;429;429;120;38;113;158;80;21;57;429;89;40;99;201;144;20;37;429;0;34;0;11;0;0;0;6;115;264;71;71;31;3;18;20;13;2;5;71;14;4;16;37;33;1;3;71;0;3;0;4;0;0;0;1;19;43
22;1997 mei;417;417;101;53;102;160;83;20;57;417;74;52;86;204;149;25;30;417;0;33;0;9;0;0;0;11;112;252;69;69;28;3;17;20;13;1;6;69;13;4;14;37;33;1;3;69;0;4;0;3;0;0;0;2;18;42
23;1997 juni;405;405;95;41;116;151;75;23;53;405;74;33;85;212;155;33;24;405;0;27;0;7;0;1;0;15;113;241;66;66;25;3;19;19;12;2;5;66;13;3;12;38;33;3;2;66;0;3;0;2;0;0;0;3;19;38
24;1997 2e kwartaal;1250;1250;316;132;332;470;239;64;167;1250;238;126;271;615;448;77;90;1250;0;94;0;27;0;1;0;31;340;757;206;206;84;9;54;59;38;5;16;206;40;11;42;112;99;5;8;206;0;10;0;9;0;0;0;6;56;123
