ID;Broedvogels;Trendklasse1990TotHeden_1;TrendklasseLaatste12Jaar_2
0;Soortgroeptrend broedvogels;Matige toename                          ;Matige toename                          
1;Aalscholver;Matige toename                          ;Matige afname                           
2;Appelvink;Matige toename                          ;Matige toename                          
3;Baardman;Matige afname                           ;Matige toename                          
4;Bergeend;Stabiel                                 ;Stabiel                                 
5;Blauwborst;Matige toename                          ;Matige toename                          
6;Blauwe Kiekendief;Sterke afname                           ;Onzeker                                 
7;Blauwe Reiger;Matige afname                           ;Matige toename                          
8;Boerenzwaluw;Matige toename                          ;Matige toename                          
9;Bontbekplevier;Matige afname                           ;Matige toename                          
10;Bonte Vliegenvanger;Matige toename                          ;Matige toename                          
11;Boomklever;Matige toename                          ;Matige toename                          
12;Boomkruiper;Matige toename                          ;Matige toename                          
13;Boomleeuwerik;Matige toename                          ;Matige toename                          
14;Boompieper;Matige toename                          ;Stabiel                                 
15;Boomvalk;Matige afname                           ;Stabiel                                 
16;Bosrietzanger;Matige toename                          ;Matige toename                          
17;Bosuil;Matige toename                          ;Matige toename                          
18;Braamsluiper;Matige toename                          ;Matige toename                          
19;Brandgans;Sterke toename                          ;Stabiel                                 
20;Brilduiker;Matige afname                           ;Onzeker                                 
21;Bruine Kiekendief;Matige afname                           ;Stabiel                                 
22;Buidelmees;Sterke afname                           ;Sterke afname                           
23;Buizerd;Matige toename                          ;Matige toename                          
24;Bijeneter;Matige toename                          ;Onzeker                                 
25;Cetti's Zanger;Sterke toename                          ;Sterke toename                          
26;Dodaars;Matige toename                          ;Matige toename                          
27;Draaihals;Stabiel                                 ;Sterke toename                          
28;Duinpieper;Sterke afname                           ;Stabiel                                 
29;Dwergstern;Matige toename                          ;Matige toename                          
30;Eider;Matige afname                           ;Onzeker                                 
31;Ekster;Matige afname                           ;Matige toename                          
32;Europese Kanarie;Sterke afname                           ;Sterke afname                           
33;Fazant;Matige afname                           ;Matige toename                          
34;Fitis;Matige afname                           ;Matige afname                           
35;Fluiter;Matige afname                           ;Stabiel                                 
36;Fuut;Matige afname                           ;Matige toename                          
37;Gaai;Matige toename                          ;Matige toename                          
38;Geelgors;Matige toename                          ;Matige afname                           
39;Gekraagde Roodstaart;Matige toename                          ;Matige toename                          
40;Gele Kwikstaart;Matige toename                          ;Matige toename                          
41;Geoorde Fuut;Matige toename                          ;Matige afname                           
42;Gierzwaluw;Matige afname                           ;Matige toename                          
43;Glanskop;Matige toename                          ;Stabiel                                 
44;Goudhaan;Matige toename                          ;Matige afname                           
45;Grasmus;Matige toename                          ;Matige toename                          
46;Graspieper;Stabiel                                 ;Matige toename                          
47;Graszanger;Sterke toename                          ;Sterke toename                          
48;Grauwe Gans;Sterke toename                          ;Matige toename                          
49;Grauwe Gors;Sterke afname                           ;Onzeker                                 
50;Grauwe Kiekendief;Matige toename                          ;Matige toename                          
51;Grauwe Klauwier;Matige toename                          ;Sterke toename                          
52;Grauwe Vliegenvanger;Matige afname                           ;Matige toename                          
53;Groene Specht;Matige toename                          ;Matige toename                          
54;Groenling;Matige toename                          ;Matige afname                           
55;Grote Bonte Specht;Matige toename                          ;Matige toename                          
56;Grote Gele Kwikstaart;Matige toename                          ;Matige toename                          
57;Grote Karekiet;Sterke afname                           ;Matige afname                           
58;Grote Lijster;Matige afname                           ;Matige afname                           
59;Grote Mantelmeeuw;Sterke toename                          ;Matige toename                          
60;Grote Stern;Matige toename                          ;Matige afname                           
61;Grote Zilverreiger;Sterke toename                          ;Sterke toename                          
62;Grutto;Matige afname                           ;Matige afname                           
63;Havik;Stabiel                                 ;Stabiel                                 
64;Heggenmus;Matige afname                           ;Stabiel                                 
65;Holenduif;Matige toename                          ;Matige toename                          
66;Houtduif;Matige afname                           ;Matige toename                          
67;Houtsnip;Matige toename                          ;Stabiel                                 
68;Huismus;Matige afname                           ;Matige toename                          
69;Huiszwaluw;Matige toename                          ;Matige toename                          
70;IJsvogel;Matige toename                          ;Matige toename                          
71;Kauw;Matige afname                           ;Matige afname                           
72;Kemphaan;Sterke afname                           ;Sterke afname                           
73;Kerkuil;Matige toename                          ;Matige toename                          
74;Kievit;Matige afname                           ;Matige afname                           
75;Klapekster;Matige afname                           ;Onzeker                                 
76;Kleine barmsijs;Sterke afname                           ;Sterke afname                           
77;Kleine Bonte Specht;Matige toename                          ;Matige toename                          
78;Kleine Karekiet;Matige afname                           ;Matige toename                          
79;Kleine Mantelmeeuw;Matige toename                          ;Matige afname                           
80;Kleine Plevier;Matige toename                          ;Matige toename                          
81;Kleine Zilverreiger;Sterke toename                          ;Matige toename                          
82;Kleinst Waterhoen;Onzeker                                 ;Matige afname                           
83;Kluut;Matige afname                           ;Matige toename                          
84;Kneu;Matige afname                           ;Matige toename                          
85;Knobbelzwaan;Matige toename                          ;Matige toename                          
86;Koekoek;Matige afname                           ;Matige toename                          
87;Kokmeeuw;Matige afname                           ;Matige afname                           
88;Kolgans;Matige toename                          ;Sterke afname                           
89;Koolmees;Matige toename                          ;Matige toename                          
90;Korhoen;Sterke afname                           ;Onzeker                                 
91;Kraanvogel;Sterke toename                          ;Sterke toename                          
92;Krakeend;Sterke toename                          ;Matige toename                          
93;Kramsvogel;Sterke afname                           ;Onzeker                                 
94;Krooneend;Sterke toename                          ;Stabiel                                 
95;Kruisbek;Matige afname                           ;Matige afname                           
96;Kuifeend;Stabiel                                 ;Matige afname                           
97;Kuifleeuwerik;Sterke afname                           ;Stabiel                                 
98;Kuifmees;Matige afname                           ;Stabiel                                 
99;Kwak;Matige toename                          ;Onzeker                                 
100;Kwartel;Matige toename                          ;Stabiel                                 
101;Kwartelkoning;Matige afname                           ;Sterke afname                           
102;Lepelaar;Sterke toename                          ;Matige toename                          
103;Matkop;Matige afname                           ;Sterke afname                           
104;Meerkoet;Matige afname                           ;Matige toename                          
105;Merel;Matige afname                           ;Matige afname                           
106;Middelste Bonte Specht;Sterke toename                          ;Sterke toename                          
107;Middelste Zaagbek;Matige toename                          ;Matige afname                           
108;Midden-Europese Goudvink;Matige toename                          ;Stabiel                                 
109;Nachtegaal;Matige toename                          ;Matige toename                          
110;Nachtzwaluw;Sterke toename                          ;Matige toename                          
111;Noordse Stern;Matige afname                           ;Matige afname                           
112;Oehoe;Sterke toename                          ;Sterke toename                          
113;Oeverloper;Stabiel                                 ;Matige afname                           
114;Oeverzwaluw;Matige toename                          ;Stabiel                                 
115;Ooievaar;Sterke toename                          ;Sterke toename                          
116;Ortolaan;Sterke afname                           ;Stabiel                                 
117;Paapje;Matige afname                           ;Stabiel                                 
118;Patrijs;Sterke afname                           ;Matige afname                           
119;Pimpelmees;Matige toename                          ;Matige toename                          
120;Porseleinhoen;Matige afname                           ;Sterke afname                           
121;Purperreiger;Matige toename                          ;Matige toename                          
122;Pontische meeuw;Sterke toename                          ;Sterke toename                          
123;Putter;Sterke toename                          ;Matige toename                          
124;Raaf;Matige toename                          ;Sterke toename                          
