ID;Mineralen;Perioden;TotaalAanvoer_1;GebruikKrachtvoer_2;NettoImportRuwvoer_3;GebruikDierlijkeProducten_4;GebruikKunstmest_5;DepositieNeerslag_6;Voorraadmutaties_7;OverigeAanvoer_8;TotaalAfvoer_9;TotaalAfzetDierlijkeProducten_10;NaarMengvoederindustrie_11;TotaalAfzetPlantaardigeProducten_12;NaarMengvoederindustrie_13;NettoExportDierlijkeMest_14;TotaalOverschot_15;NVerliesDoorVervluchtiging_16
0;Stikstof (N);1990;915;441;8;2;412;32;;20;254;174;29;74;35;6;661;255.0
1;Stikstof (N);1995;949;450;11;2;406;36;26.0;18;285;177;27;83;33;25;664;142.0
2;Stikstof (N);1996;923;450;9;2;389;35;19.0;19;282;180;24;86;36;16;641;142.0
3;Stikstof (N);1997;912;431;10;1;401;38;12.0;19;278;172;28;93;43;13;634;130.0
4;Stikstof (N);1998;953;439;10;2;403;38;43.0;18;293;178;36;86;36;29;660;122.0
5;Stikstof (N);1999;925;429;10;1;383;36;34.0;32;293;179;35;96;46;18;632;121.0
6;Stikstof (N);2000;808;380;10;1;339;33;26.0;19;281;174;27;88;38;19;527;111.0
7;Stikstof (N);2001;786;389;10;1;298;33;37.0;18;279;169;4;87;37;23;507;108.0
8;Stikstof (N);2002;715;367;10;1;292;32;-5.0;18;268;164;4;80;30;24;447;107.0
9;Stikstof (N);2003;752;341;10;1;291;31;59.0;19;250;156;3;78;28;16;502;99.0
10;Stikstof (N);2004;701;337;10;1;300;31;4.0;18;261;160;3;80;30;21;440;99.0
11;Stikstof (N);2005;693;337;10;2;279;31;16.0;18;260;161;3;80;30;19;433;98.0
12;Stikstof (N);2006;663;321;10;1;288;31;-4.0;16;258;161;4;73;23;24;405;100.0
13;Stikstof (N);2007;676;351;10;2;258;30;8.0;17;278;166;3;75;25;37;398;100.0
14;Stikstof (N);2008;686;385;10;2;238;30;4.0;17;298;173;4;79;29;46;388;92.0
15;Stikstof (N);2009;692;383;10;2;226;28;26.0;17;317;177;5;87;37;53;375;98.0
16;Stikstof (N);2010;678;366;10;2;220;28;36.0;16;327;181;6;87;37;59;351;96.0
17;Stikstof (N);2011;659;368;10;2;214;28;21.0;16;321;183;4;78;28;60;338;89.0
18;Fosfor (P);1990;129;89;2;1;33;1;;3;51;34;8;16;5;1;78;
19;Fosfor (P);1995;122;86;3;1;27;0;4.0;1;54;34;10;15;5;5;68;
20;Fosfor (P);1996;122;85;3;1;29;0;3.0;1;54;35;8;16;6;3;68;
21;Fosfor (P);1997;112;81;3;1;28;0;-2.0;1;54;34;10;17;7;3;58;
22;Fosfor (P);1998;121;81;3;1;31;0;4.0;1;57;34;12;16;6;7;64;
23;Fosfor (P);1999;120;81;3;1;28;0;3.0;4;56;34;12;16;6;6;64;
24;Fosfor (P);2000;107;73;3;1;27;0;2.0;1;56;33;9;16;6;7;51;
25;Fosfor (P);2001;103;70;3;1;23;0;5.0;1;56;32;2;16;6;8;47;
26;Fosfor (P);2002;89;65;3;1;21;0;-2.0;1;54;31;2;15;5;8;35;
27;Fosfor (P);2003;100;60;3;1;23;0;12.0;1;50;30;1;15;5;5;50;
28;Fosfor (P);2004;84;58;3;1;18;0;3.0;1;52;30;1;15;5;7;32;
29;Fosfor (P);2005;88;58;3;1;21;0;4.0;1;53;31;1;15;5;7;35;
30;Fosfor (P);2006;87;58;3;1;21;0;3.0;1;52;30;1;14;4;8;35;
31;Fosfor (P);2007;87;63;3;1;16;0;3.0;1;59;31;1;15;5;13;28;
32;Fosfor (P);2008;85;67;3;1;12;0;1.0;1;63;33;1;15;5;15;22;
33;Fosfor (P);2009;80;66;3;1;4;0;5.0;1;66;33;1;16;6;17;14;
34;Fosfor (P);2010;88;64;3;1;13;0;6.0;1;66;34;2;16;6;16;22;
35;Fosfor (P);2011;82;66;3;1;7;0;3.0;2;64;34;1;14;4;16;18;
36;Kalium (K);1990;283;186;3;1;82;10;;1;121;24;8;94;25;3;162;
37;Kalium (K);1995;276;183;4;1;57;10;19.0;2;114;24;9;77;22;13;162;
38;Kalium (K);1996;276;185;2;1;61;10;15.0;2;111;25;8;77;22;9;165;
39;Kalium (K);1997;234;187;4;1;53;10;-23.0;2;111;24;8;79;24;8;123;
40;Kalium (K);1998;281;181;4;1;55;10;28.0;2;121;24;6;78;23;19;160;
41;Kalium (K);1999;261;173;4;1;46;10;15.0;12;113;25;5;77;22;11;148;
42;Kalium (K);2000;224;157;4;1;43;10;7.0;2;113;24;5;78;23;11;111;
43;Kalium (K);2001;231;153;4;1;41;10;20.0;2;113;24;3;75;20;14;118;
44;Kalium (K);2002;165;140;4;1;44;10;-35.0;1;108;23;3;71;16;14;57;
45;Kalium (K);2003;244;129;4;1;44;10;54.0;2;102;23;2;71;16;8;142;
46;Kalium (K);2004;180;128;4;1;43;10;-8.0;2;105;23;2;71;16;11;75;
47;Kalium (K);2005;184;128;4;2;39;10;-1.0;2;103;23;2;71;16;9;81;
48;Kalium (K);2006;172;113;4;2;35;10;6.0;2;106;23;2;64;9;19;66;
49;Kalium (K);2007;178;124;4;2;38;10;-3.0;3;112;24;2;64;9;24;66;
50;Kalium (K);2008;180;142;4;2;24;10;-4.0;2;120;25;2;67;12;28;60;
51;Kalium (K);2009;169;130;4;2;15;10;5.0;3;129;25;3;72;17;32;40;
52;Kalium (K);2010;201;125;4;2;46;10;12.0;2;132;26;4;72;17;34;69;
53;Kalium (K);2011;157;123;4;2;19;10;-3.0;2;127;26;2;67;12;34;30;
