ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Waarde_2;CumulatieveWaarde_3
0;46 Groothandel en handelsbemiddeling;2005 1e kwartaal;96.4;;
1;46 Groothandel en handelsbemiddeling;2005 2e kwartaal;99.4;;
2;46 Groothandel en handelsbemiddeling;2005 3e kwartaal;98.4;;
3;46 Groothandel en handelsbemiddeling;2005 4e kwartaal;105.9;;
4;46 Groothandel en handelsbemiddeling;2005;100.0;;
5;46 Groothandel en handelsbemiddeling;2006 1e kwartaal;102.2;6.1;6.1
6;46 Groothandel en handelsbemiddeling;2006 2e kwartaal;105.7;6.4;6.2
7;46 Groothandel en handelsbemiddeling;2006 3e kwartaal;103.7;5.4;6.0
8;46 Groothandel en handelsbemiddeling;2006 4e kwartaal;110.4;4.3;5.5
9;46 Groothandel en handelsbemiddeling;2006;105.5;5.5;5.5
10;46 Groothandel en handelsbemiddeling;2007 1e kwartaal;111.0;8.5;8.5
11;46 Groothandel en handelsbemiddeling;2007 2e kwartaal;115.7;9.5;9.0
12;46 Groothandel en handelsbemiddeling;2007 3e kwartaal;114.2;10.1;9.4
13;46 Groothandel en handelsbemiddeling;2007 4e kwartaal;124.4;12.7;10.2
14;46 Groothandel en handelsbemiddeling;2007;116.3;10.2;10.2
15;46 Groothandel en handelsbemiddeling;2008 1e kwartaal;122.9;10.8;10.8
16;46 Groothandel en handelsbemiddeling;2008 2e kwartaal;129.3;11.7;11.3
17;46 Groothandel en handelsbemiddeling;2008 3e kwartaal;127.6;11.7;11.4
18;46 Groothandel en handelsbemiddeling;2008 4e kwartaal;122.4;-1.6;7.9
19;46 Groothandel en handelsbemiddeling;2008;125.5;7.9;7.9
20;46 Groothandel en handelsbemiddeling;2009 1e kwartaal;111.7;-9.1;-9.1
21;46 Groothandel en handelsbemiddeling;2009 2e kwartaal;114.1;-11.8;-10.5
22;46 Groothandel en handelsbemiddeling;2009 3e kwartaal;112.0;-12.2;-11.1
23;46 Groothandel en handelsbemiddeling;2009 4e kwartaal;117.0;-4.4;-9.4
24;46 Groothandel en handelsbemiddeling;2009;113.7;-9.4;-9.4
25;46 Groothandel en handelsbemiddeling;2010 1e kwartaal;116.2;4.0;4.0
