ID;Geslacht;Leeftijd;Gemeenten;Perioden;TotaleBevolking100_1;NederlandseAchtergrond_2;NederlandseAchtergrondRelatief_3;TotaalMetMigratieachtergrond_4;TotaalMetMigratieachtergrondRelatief_5;TotaalWesterseMigratieachtergrond_6;WesterseMigratieachtergrondRelatief_7;EuropeseUnieExclNederlandseAcht_8;EUExclNedAchtergrondRelatief_9;Belgie_10;BelgieRelatief_11;Duitsland_12;DuitslandRelatief_13;Indonesie_14;IndonesieRelatief_15;TotaalNietWesterseMigratieachtergrond_16;NietWesterseMigratieachtergrondRel_17;Marokko_18;MarokkoRelatief_19;VoormaligeNederlandseAntillenAruba_20;VoormNedAntillenArubaRelatief_21;Suriname_22;SurinameRelatief_23;Turkije_24;TurkijeRelatief_25;GrenswijzigingenPer1Januari_26;TotaalHuishoudens_27;Eenpersoonshuishoudens_28;TotaalMeerpersoonshuishoudens_29;MeerpersoonshuishoudensZonderKinderen_30;MeerpersoonshuishoudensMetKinderen_31;TotaalNietGehuwdeParen_32;NietGehuwdPaarZonderKinderen_33;NietGehuwdPaarMetKinderen_34;TotaalGehuwdeParen_35;GehuwdPaarZonderKinderen_36;GehuwdPaarMetKinderen_37;Eenouderhuishoudens_38;OverigeHuishoudens_39;GemiddeldAantalPersonenPerHuishouden_40;TotaalLevendGeborenKinderen100_41;NederlandseAchtergrond_42;NederlandseAchtergrondRelatief_43;TotaalMetMigratieachtergrond_44;TotaalMetMigratieachtergrondRelatief_45;TotaalWesterseMigratieachtergrond_46;WesterseMigratieachtergrondRelatief_47;EuropeseUnie_48;EuropeseUnieRelatief_49;Belgie_50;BelgieRelatief_51;Duitsland_52;DuitslandRelatief_53;Indonesie_54;IndonesieRelatief_55;TotaalNietWesterseMigratieachtergrond_56;NietWesterseMigAchtergrondRelatief_57;Marokko_58;MarokkoRelatief_59;VoormaligeNederlandseAntillenAruba_60;VoormNedAntillenArubaRelatief_61;Suriname_62;SurinameRelatief_63;Turkije_64;TurkijeRelatief_65;Overledenen_66;Geboorteoverschot_67;BinnenGemeentenVerhuisdePersonen_68;TotaalGevestigdePersonen_69;Immigratie_70;UitAndereGemeente_71;TotaalVertrokkenPersonenInclusief_72;TotaalVertrokkenPersonenExclusie_73;EmigratieInclusiefAdministratieveC_74;EmigratieExclusiefAdministratieveC_75;NaarAndereGemeente_76;MigratiesaldoInclusiefAdministratie_77;MigratiesaldoExclusiefAdministratie_78;SaldoAdministratieveCorrecties_79;AdministratieveOpnemingen_80;AdministratieveAfvoeringen_81;TotaleBevolkingsgroei_82;TotaleBevolkingsgroeiRelatief_83;TotaleBevolkingOp31December_84
0;Totaal mannen en vrouwen;Totaal;Nederland;2000;15863950.0;13088648.0;82.5;2775302.0;17.5;1366535.0;8.6;739309.0;4.7;112604.0;0.7;401119.0;2.5;405155.0;2.6;1408767.0;8.9;262221.0;1.7;107197.0;0.7;302514.0;1.9;308890.0;1.9;;6801008.0;2272219.0;4528789.0;2062123.0;2466666.0;657579.0;494809.0;162770.0;3440642.0;1521063.0;1919579.0;384317.0;46251.0;2.3;206619.0;161875.0;78.3;44744.0;21.7;12147.0;5.9;6872.0;3.3;1221.0;0.6;2338.0;1.1;1117.0;0.5;32597.0;15.8;7544.0;3.7;2066.0;1.0;4762.0;2.3;7005.0;3.4;140527.0;66092.0;972256.0;746947.0;132850.0;614097.0;693074.0;675298.0;78977.0;61201.0;614097.0;53873.0;71649.0;-17776.0;18710.0;36486.0;123125.0;7.8;15987075.0
1;Totaal mannen en vrouwen;Totaal;Nederland;2001;15987075.0;13116851.0;82.0;2870224.0;18.0;1387036.0;8.7;744219.0;4.7;113066.0;0.7;398776.0;2.5;403894.0;2.5;1483188.0;9.3;272752.0;1.7;117089.0;0.7;308824.0;1.9;319600.0;2.0;;6866954.0;2307075.0;4559879.0;2073831.0;2486048.0;674085.0;495693.0;178392.0;3442027.0;1530722.0;1911305.0;396351.0;47416.0;2.3;202603.0;157657.0;77.8;44946.0;22.2;12075.0;6.0;6590.0;3.3;1118.0;0.6;2234.0;1.1;976.0;0.5;32871.0;16.2;7486.0;3.7;2256.0;1.1;4715.0;2.3;6754.0;3.3;140377.0;62226.0;952457.0;743567.0;133404.0;610163.0;692729.0;673481.0;82566.0;63318.0;610163.0;50838.0;70086.0;-19248.0;19161.0;38409.0;118210.0;7.4;16105285.0
2;Totaal mannen en vrouwen;Totaal;Nederland;2002;16105285.0;13140336.0;81.6;2964949.0;18.4;1406596.0;8.7;748930.0;4.7;113239.0;0.7;396316.0;2.5;402663.0;2.5;1558353.0;9.7;284124.0;1.8;124870.0;0.8;315177.0;2.0;330709.0;2.1;;6934263.0;2344903.0;4589360.0;2082747.0;2506613.0;696290.0;499191.0;197099.0;3432715.0;1534892.0;1897823.0;411691.0;48664.0;2.29;202083.0;156784.0;77.6;45299.0;22.4;12164.0;6.0;6737.0;3.3;1176.0;0.6;2241.0;1.1;964.0;0.5;33135.0;16.4;7736.0;3.8;2370.0;1.2;4552.0;2.3;6555.0;3.2;142355.0;59728.0;966979.0;750197.0;121250.0;628947.0;725865.0;695675.0;96918.0;66728.0;628947.0;24332.0;54522.0;-30190.0;21743.0;51933.0;87287.0;5.4;16192572.0
3;Totaal mannen en vrouwen;Totaal;Nederland;2003;16192572.0;13153814.0;81.2;3038758.0;18.8;1416156.0;8.7;749561.0;4.6;113239.0;0.7;393207.0;2.4;400622.0;2.5;1622602.0;10.0;295332.0;1.8;129312.0;0.8;320658.0;2.0;341400.0;2.1;;6995724.0;2383580.0;4612144.0;2095156.0;2516988.0;714200.0;500064.0;214136.0;3425384.0;1546656.0;1878728.0;424124.0;48436.0;2.28;200297.0;155096.0;77.4;45201.0;22.6;12227.0;6.1;6652.0;3.3;1148.0;0.6;2174.0;1.1;979.0;0.5;32974.0;16.5;7977.0;4.0;2270.0;1.1;4287.0;2.1;6406.0;3.2;141936.0;58361.0;950321.0;720704.0;104514.0;616190.0;721021.0;685075.0;104831.0;68885.0;616190.0;-317.0;35629.0;-35946.0;24872.0;60818.0;65460.0;4.0;16258032.0
4;Totaal mannen en vrouwen;Totaal;Nederland;2004;16258032.0;13169880.0;81.0;3088152.0;19.0;1419855.0;8.7;748417.0;4.6;113081.0;0.7;389912.0;2.4;398502.0;2.5;1668297.0;10.3;306219.0;1.9;130722.0;0.8;325281.0;2.0;351648.0;2.2;;7049280.0;2423950.0;4625330.0;2099479.0;2525851.0;726722.0;495214.0;231508.0;3416714.0;1556343.0;1860371.0;433972.0;47922.0;2.28;194007.0;148472.0;76.5;45535.0;23.5;12489.0;6.4;6748.0;3.5;1229.0;0.6;2185.0;1.1;960.0;0.5;33046.0;17.0;8180.0;4.2;2184.0;1.1;4113.0;2.1;6338.0;3.3;136553.0;57454.0;970322.0;711944.0;94019.0;617925.0;728160.0;692974.0;110235.0;75049.0;617925.0;-16216.0;18970.0;-35186.0;27960.0;63146.0;47494.0;2.9;16305526.0
5;Totaal mannen en vrouwen;Totaal;Nederland;2005;16305526.0;13182809.0;80.8;3122717.0;19.2;1423675.0;8.7;811570.0;5.0;112731.0;0.7;386716.0;2.4;396080.0;2.4;1699042.0;10.4;315821.0;1.9;130538.0;0.8;329430.0;2.0;358846.0;2.2;;7090965.0;2449378.0;4641587.0;2110295.0;2531292.0;747056.0;498513.0;248543.0;3402433.0;1563808.0;1838625.0;444124.0;47974.0;2.27;187910.0;143287.0;76.3;44623.0;23.7;12140.0;6.5;7711.0;4.1;1155.0;0.6;2145.0;1.1;917.0;0.5;32483.0;17.3;8257.0;4.4;2117.0;1.1;3857.0;2.1;6353.0;3.4;136402.0;51508.0;1009486.0;734386.0;92297.0;642089.0;761814.0;725488.0;119725.0;83399.0;642089.0;-27428.0;8898.0;-36326.0;30491.0;66817.0;28684.0;1.8;16334210.0
6;Totaal mannen en vrouwen;Totaal;Nederland;2006;16334210.0;13186595.0;80.7;3147615.0;19.3;1427565.0;8.7;815968.0;5.0;112315.0;0.7;383841.0;2.3;393057.0;2.4;1720050.0;10.5;323239.0;2.0;129683.0;0.8;331890.0;2.0;364333.0;2.2;;7146088.0;2502084.0;4644004.0;2114857.0;2529147.0;759189.0;495029.0;264160.0;3384769.0;1572152.0;1812617.0;452370.0;47676.0;2.26;185057.0;141088.0;76.2;43969.0;23.8;12079.0;6.5;7642.0;4.1;1214.0;0.7;2026.0;1.1;833.0;0.5;31890.0;17.2;8012.0;4.3;2122.0;1.1;3736.0;2.0;6035.0;3.3;135372.0;49685.0;1025817.0;753452.0;101150.0;652302.0;784772.0;743330.0;132470.0;91028.0;652302.0;-31320.0;10122.0;-41442.0;34251.0;75693.0;23782.0;1.5;16357992.0
7;Totaal mannen en vrouwen;Totaal;Nederland;2007;16357992.0;13187586.0;80.6;3170406.0;19.4;1431954.0;8.8;834474.0;5.1;112224.0;0.7;381186.0;2.3;389940.0;2.4;1738452.0;10.6;329493.0;2.0;129965.0;0.8;333504.0;2.0;368600.0;2.3;;7190543.0;2536891.0;4653652.0;2128727.0;2524925.0;777059.0;496187.0;280872.0;3369128.0;1583956.0;1785172.0;458881.0;48584.0;2.25;181336.0;137826.0;76.0;43510.0;24.0;12244.0;6.8;8162.0;4.5;1141.0;0.6;2021.0;1.1;868.0;0.5;31266.0;17.2;7711.0;4.3;2235.0;1.2;3587.0;2.0;5797.0;3.2;133022.0;48314.0;992616.0;763383.0;116819.0;646564.0;769140.0;737851.0;122576.0;91287.0;646564.0;-5757.0;25532.0;-31289.0;38733.0;70022.0;47407.0;2.9;16405399.0
8;Totaal mannen en vrouwen;Totaal;Nederland;2008;16405399.0;13189983.0;80.4;3215416.0;19.6;1449686.0;8.8;851690.0;5.2;112333.0;0.7;379610.0;2.3;387124.0;2.4;1765730.0;10.8;335127.0;2.0;131841.0;0.8;335799.0;2.0;372714.0;2.3;;7242202.0;2571014.0;4671188.0;2148277.0;2522911.0;800022.0;501445.0;298577.0;3354949.0;1596319.0;1758630.0;465704.0;50513.0;2.24;184634.0;140470.0;76.1;44164.0;23.9;12906.0;7.0;8696.0;4.7;1223.0;0.7;2107.0;1.1;834.0;0.5;31258.0;16.9;7713.0;4.2;2345.0;1.3;3535.0;1.9;5550.0;3.0;135136.0;49498.0;983138.0;792769.0;143516.0;649253.0;767032.0;739320.0;117779.0;90067.0;649253.0;25737.0;53449.0;-27712.0;42250.0;69962.0;80388.0;4.9;16485787.0
9;Totaal mannen en vrouwen;Totaal;Nederland;2009;16485787.0;13198081.0;80.1;3287706.0;19.9;1478396.0;9.0;877552.0;5.3;112600.0;0.7;379559.0;2.3;384497.0;2.3;1809310.0;11.0;341528.0;2.1;134774.0;0.8;338678.0;2.1;378330.0;2.3;;7312579.0;2619394.0;4693185.0;2166972.0;2526213.0;819717.0;505151.0;314566.0;3346156.0;1609418.0;1736738.0;474909.0;52403.0;2.23;184915.0;140482.0;76.0;44433.0;24.0;13550.0;7.3;9339.0;5.1;1196.0;0.6;2173.0;1.2;842.0;0.5;30883.0;16.7;7444.0;4.0;2245.0;1.2;3446.0;1.9;5189.0;2.8;134235.0;50680.0;900320.0;743878.0;146378.0;597500.0;709397.0;682857.0;111897.0;85357.0;597500.0;34481.0;61021.0;-26540.0;41653.0;68193.0;89202.0;5.4;16574989.0
