ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
55;I Horeca;5.4;31.2;18.04;15.43;1730;100;80.1;11.5;4.2;1.8;2.4
56;55 Logiesverstrekking;1.5;35.8;20.62;17.34;1738;100;79.8;11.2;4.5;2.1;2.3
57;56 Eet- en drinkgelegenheden;3.9;29.8;17.23;14.82;1727;100;80.2;11.6;4.1;1.6;2.5
58;J Informatie en communicatie;14.4;71.4;40.36;34.36;1768;100;79.7;9.8;6.3;2.5;1.7
59;58 Uitgeverijen;1.8;68.2;40.42;34.31;1687;100;76.7;10.2;7.9;2.9;2.3
60;"59 Film- en tv-productie; geluidsopname";0.5;56.9;31.29;26.65;1819;100;79.9;9.8;5.9;2.2;2.3
61;60 Radio- en televisieomroepen;0.5;80.7;48.26;40.75;1673;100;77.0;10.1;7.9;2.8;2.2
62;61 Telecommunicatie;2.1;73.7;41.81;35.96;1764;100;79.2;9.6;6.1;3.0;2.1
63;62 IT-dienstverlening;8.9;72.5;40.63;34.52;1784;100;80.2;9.8;6.1;2.4;1.5
64;63 Diensten op het gebied van informatie;0.6;64.9;35.82;30.68;1811;100;84.5;7.9;4.7;1.6;1.3
65;K Financiële dienstverlening;21.0;91.7;54.73;46.26;1676;100;72.9;7.1;14.4;2.2;3.4
66;64 Bankwezen;12.4;99.3;59.3;50.28;1675;100;72.2;6.6;15.7;2.1;3.3
67;65 Verzekeraars en pensioenfondsen;5.8;91.6;56.03;46.83;1635;100;70.2;8.0;15.7;2.6;3.5
68;66 Overige financiële dienstverlening;2.8;68.6;39.35;33.53;1743;100;81.7;7.5;5.9;1.8;3.1
69;L Verhuur en handel van onroerend goed;3.5;62.9;37.8;31.87;1663;100;78.5;9.2;6.3;2.6;3.4
70;68 Verhuur en handel van onroerend goed;3.5;62.9;37.8;31.87;1663;100;78.5;9.2;6.3;2.6;3.4
71;M Specialistische zakelijke diensten;29.7;73.4;41.67;35.36;1762;100;80.6;7.8;6.8;2.1;2.7
72;69 Juridische diensten en administratie;6.9;67.5;38.95;32.86;1733;100;80.3;8.1;6.2;2.2;3.1
73;70 Holdings en managementadviesbureaus;11.3;89.0;50.37;42.93;1767;100;82.8;6.1;6.6;1.9;2.6
74;71 Architecten-, ingenieursbureaus e.d.;6.1;68.8;38.51;32.61;1788;100;78.1;9.5;7.7;2.0;2.6
75;72 Research;2.2;75.0;43.08;36.03;1741;100;78.2;9.2;8.8;2.6;1.2
76;73 Reclamewezen en marktonderzoek;1.8;55.7;30.99;26.63;1799;100;80.2;9.4;4.9;2.0;3.4
77;74 Design, fotografie, vertaalbureaus;1.1;58.5;32.96;28.33;1774;100;80.2;8.9;5.8;1.9;3.1
78;75 Veterinaire dienstverlening;0.2;42.6;25.89;22.12;1646;100;77.8;9.2;6.1;2.4;4.5
79;N Verhuur en overige zakelijke diensten;21.3;39.6;22.26;19.4;1781;100;79.0;12.7;4.2;2.0;2.1
80;77 Verhuur van roerende goederen;1.4;56.8;31.09;26.97;1828;100;78.9;9.9;6.6;2.1;2.5
81;78 Uitzendbureaus en arbeidsbemiddeling;13.3;37.8;21.13;18.63;1791;100;79.8;13.7;3.1;1.4;1.9
82;79 Reisbureaus, reisorganisatie en -info;0.8;51.6;28.46;24.0;1815;100;80.4;9.2;5.6;2.6;2.2
83;80 Beveiligings- en opsporingsdiensten;1.2;45.2;24.35;21.06;1855;100;78.2;12.4;4.6;3.0;1.8
84;81 Schoonmaakbedrijven, hoveniers e.d.;3.4;36.6;21.63;18.16;1690;100;76.2;11.7;5.9;3.7;2.5
85;82 Overige zakelijke dienstverlening;1.2;45.5;25.11;21.72;1813;100;78.0;10.8;6.4;2.7;2.1
86;O Openbaar bestuur en overheidsdiensten;30.6;68.2;42.27;35.11;1613;100;70.0;7.5;11.0;8.5;2.9
87;84 Openbaar bestuur en overheidsdiensten;30.6;68.2;42.27;35.11;1613;100;70.0;7.5;11.0;8.5;2.9
88;P Onderwijs;23.4;62.2;40.93;32.36;1520;100;73.9;8.5;10.3;4.7;2.6
89;85 Onderwijs;23.4;62.2;40.93;32.36;1520;100;73.9;8.5;10.3;4.7;2.6
