ID;Versie;Voertuigcategorie;Wegtype;Bouwjaar;CO_1;VOS_2;NOx_3;PM10_4
0;Nieuwe emissiefactoren;Totaal;Bebouwde kom;Bouwjaar groep 1996 en ouder;9.12;1.27;1.33;0.081
1;Nieuwe emissiefactoren;Totaal;Bebouwde kom;1997;4.41;0.58;1.15;0.065
2;Nieuwe emissiefactoren;Totaal;Bebouwde kom;1998;3.79;0.52;1.35;0.077
3;Nieuwe emissiefactoren;Totaal;Bebouwde kom;1999;3.4;0.48;1.45;0.085
4;Nieuwe emissiefactoren;Totaal;Bebouwde kom;2000;2.66;0.49;1.64;0.08
5;Nieuwe emissiefactoren;Totaal;Bebouwde kom;2001;2.14;0.51;1.59;0.068
6;Nieuwe emissiefactoren;Totaal;Bebouwde kom;2002;2.09;0.49;1.38;0.066
7;Nieuwe emissiefactoren;Totaal;Bebouwde kom;2003;1.96;0.49;1.41;0.068
8;Nieuwe emissiefactoren;Totaal;Bebouwde kom;2004;1.87;0.49;1.48;0.07
9;Nieuwe emissiefactoren;Totaal;Bebouwde kom;2005;1.58;0.44;1.12;0.052
10;Nieuwe emissiefactoren;Totaal;Buitenwegen;Bouwjaar groep 1996 en ouder;2.93;0.39;0.99;0.041
11;Nieuwe emissiefactoren;Totaal;Buitenwegen;1997;1.64;0.1;0.54;0.028
12;Nieuwe emissiefactoren;Totaal;Buitenwegen;1998;1.44;0.09;0.64;0.031
13;Nieuwe emissiefactoren;Totaal;Buitenwegen;1999;1.32;0.09;0.69;0.03
14;Nieuwe emissiefactoren;Totaal;Buitenwegen;2000;1.01;0.07;0.72;0.027
15;Nieuwe emissiefactoren;Totaal;Buitenwegen;2001;0.62;0.06;0.7;0.025
16;Nieuwe emissiefactoren;Totaal;Buitenwegen;2002;0.59;0.05;0.59;0.023
17;Nieuwe emissiefactoren;Totaal;Buitenwegen;2003;0.49;0.07;0.77;0.028
18;Nieuwe emissiefactoren;Totaal;Buitenwegen;2004;0.41;0.07;0.81;0.03
19;Nieuwe emissiefactoren;Totaal;Buitenwegen;2005;0.3;0.06;0.63;0.022
20;Nieuwe emissiefactoren;Totaal;Autosnelwegen;Bouwjaar groep 1996 en ouder;3.92;0.37;1.71;0.052
21;Nieuwe emissiefactoren;Totaal;Autosnelwegen;1997;1.58;0.08;0.88;0.039
22;Nieuwe emissiefactoren;Totaal;Autosnelwegen;1998;1.3;0.08;1.08;0.049
23;Nieuwe emissiefactoren;Totaal;Autosnelwegen;1999;1.17;0.07;1.14;0.058
24;Nieuwe emissiefactoren;Totaal;Autosnelwegen;2000;0.78;0.05;1.09;0.053
25;Nieuwe emissiefactoren;Totaal;Autosnelwegen;2001;0.5;0.05;1.07;0.048
26;Nieuwe emissiefactoren;Totaal;Autosnelwegen;2002;0.46;0.04;0.88;0.046
27;Nieuwe emissiefactoren;Totaal;Autosnelwegen;2003;0.38;0.03;0.73;0.043
28;Nieuwe emissiefactoren;Totaal;Autosnelwegen;2004;0.34;0.03;0.77;0.044
29;Nieuwe emissiefactoren;Totaal;Autosnelwegen;2005;0.3;0.02;0.51;0.038
30;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;Bouwjaar groep 1996 en ouder;10.11;1.24;0.82;0.017
31;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;1997;5.44;0.42;0.33;0.01
32;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;1998;5.32;0.41;0.32;0.01
33;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;1999;5.3;0.4;0.32;0.01
34;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;2000;4.17;0.4;0.21;0.008
35;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;2001;3.04;0.4;0.11;0.006
36;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;2002;2.97;0.39;0.11;0.006
37;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;2003;2.65;0.39;0.08;0.006
38;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;2004;2.48;0.38;0.07;0.006
39;Nieuwe emissiefactoren;Personenauto-benzine;Bebouwde kom;2005;2.33;0.38;0.06;0.006
40;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;Bouwjaar groep 1996 en ouder;2.78;0.35;0.65;0.01
41;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;1997;1.69;0.07;0.2;0.005
42;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;1998;1.7;0.07;0.19;0.005
43;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;1999;1.82;0.07;0.19;0.005
44;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;2000;1.4;0.05;0.1;0.003
45;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;2001;0.88;0.02;0.02;0.001
46;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;2002;0.84;0.02;0.02;0.001
47;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;2003;0.53;0.02;0.03;0.001
48;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;2004;0.38;0.02;0.03;0.001
49;Nieuwe emissiefactoren;Personenauto-benzine;Buitenwegen;2005;0.25;0.02;0.03;0.002
50;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;Bouwjaar groep 1996 en ouder;3.94;0.34;1.24;0.01
51;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;1997;1.87;0.06;0.08;0.005
52;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;1998;1.81;0.05;0.07;0.005
53;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;1999;1.8;0.05;0.07;0.005
54;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;2000;1.17;0.03;0.05;0.006
55;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;2001;0.55;0.01;0.04;0.008
56;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;2002;0.53;0.01;0.04;0.008
57;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;2003;0.48;0.01;0.03;0.008
58;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;2004;0.46;0.01;0.03;0.008
59;Nieuwe emissiefactoren;Personenauto-benzine;Autosnelwegen;2005;0.43;0.01;0.02;0.008
60;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;Bouwjaar groep 1996 en ouder;0.91;0.17;0.58;0.176
61;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;1997;0.97;0.17;0.97;0.108
62;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;1998;0.86;0.16;1.01;0.113
63;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;1999;0.69;0.14;1.08;0.12
64;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;2000;0.66;0.1;0.99;0.093
65;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;2001;0.6;0.05;0.89;0.064
66;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;2002;0.6;0.05;0.89;0.064
67;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;2003;0.6;0.05;0.89;0.064
68;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;2004;0.6;0.05;0.89;0.064
69;Nieuwe emissiefactoren;Personenauto-diesel;Bebouwde kom;2005;0.25;0.02;0.51;0.05
70;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;Bouwjaar groep 1996 en ouder;0.21;0.07;0.37;0.077
71;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;1997;0.13;0.05;0.42;0.053
72;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;1998;0.1;0.04;0.46;0.049
73;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;1999;0.07;0.04;0.52;0.044
74;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;2000;0.05;0.03;0.51;0.037
75;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;2001;0.03;0.01;0.5;0.03
76;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;2002;0.03;0.01;0.5;0.03
77;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;2003;0.03;0.01;0.5;0.03
78;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;2004;0.03;0.01;0.5;0.03
79;Nieuwe emissiefactoren;Personenauto-diesel;Buitenwegen;2005;0.02;0.0;0.27;0.024
80;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;Bouwjaar groep 1996 en ouder;0.19;0.06;0.51;0.089
81;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;1997;0.1;0.02;0.61;0.062
82;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;1998;0.09;0.02;0.62;0.069
83;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;1999;0.07;0.02;0.66;0.082
84;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;2000;0.05;0.02;0.62;0.069
85;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;2001;0.04;0.01;0.58;0.054
86;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;2002;0.04;0.01;0.58;0.054
87;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;2003;0.04;0.01;0.58;0.054
88;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;2004;0.04;0.01;0.58;0.054
89;Nieuwe emissiefactoren;Personenauto-diesel;Autosnelwegen;2005;0.05;0.01;0.25;0.05
90;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;Bouwjaar groep 1996 en ouder;6.99;1.05;1.09;0.014
91;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;1997;7.04;0.59;0.46;0.009
92;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;1998;6.91;0.58;0.45;0.009
93;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;1999;6.95;0.58;0.44;0.009
94;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;2000;4.66;0.47;0.4;0.007
95;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;2001;2.33;0.37;0.35;0.005
96;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;2002;2.28;0.36;0.35;0.005
97;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;2003;2.05;0.37;0.24;0.005
98;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;2004;1.93;0.37;0.19;0.005
99;Nieuwe emissiefactoren;Personenauto-LPG;Bebouwde kom;2005;1.81;0.37;0.14;0.005
100;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;Bouwjaar groep 1996 en ouder;2.99;0.29;0.79;0.01
101;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;1997;4.55;0.04;0.36;0.005
102;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;1998;4.59;0.04;0.34;0.005
103;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;1999;4.93;0.04;0.33;0.005
104;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;2000;2.84;0.04;0.26;0.003
105;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;2001;0.51;0.04;0.19;0.002
106;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;2002;0.49;0.04;0.19;0.002
107;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;2003;0.49;0.04;0.12;0.002
108;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;2004;0.49;0.04;0.09;0.002
109;Nieuwe emissiefactoren;Personenauto-LPG;Buitenwegen;2005;0.49;0.04;0.06;0.002
110;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;Bouwjaar groep 1996 en ouder;1.21;0.44;1.28;0.009
111;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;1997;1.44;0.07;0.51;0.005
112;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;1998;1.4;0.06;0.49;0.005
113;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;1999;1.39;0.06;0.48;0.005
114;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;2000;1.08;0.04;0.29;0.007
115;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;2001;0.78;0.02;0.12;0.01
116;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;2002;0.75;0.02;0.12;0.01
117;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;2003;0.48;0.02;0.08;0.01
118;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;2004;0.34;0.02;0.06;0.01
119;Nieuwe emissiefactoren;Personenauto-LPG;Autosnelwegen;2005;0.22;0.02;0.04;0.01
120;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;Bouwjaar groep 1996 en ouder;15.18;2.47;1.96;0.033
121;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;1997;3.7;0.23;0.28;0.007
122;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;1998;3.64;0.23;0.28;0.007
123;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;1999;3.66;0.23;0.27;0.007
124;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;2000;2.67;0.22;0.18;0.006
125;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;2001;1.64;0.2;0.09;0.004
126;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;2002;1.6;0.2;0.09;0.004
127;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;2003;1.45;0.2;0.07;0.004
128;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;2004;1.38;0.2;0.06;0.004
129;Nieuwe emissiefactoren;Bestelauto-benzine;Bebouwde kom;2005;1.31;0.19;0.06;0.004
130;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;Bouwjaar groep 1996 en ouder;6.71;1.01;1.8;0.02
131;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;1997;1.63;0.07;0.2;0.005
