ID;Bedrijfsactiviteiten;Perioden;TotaalInvesteringen_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;ExterneVervoermiddelen_5;InterneTransportmiddelen_6;ComputersEnRandapparatuur_7;OverigeMachinesInstallatiesED_8;OverigeMaterieleVasteActiva_9
0;10-45 Nijverheid;1995;9701.8;108.2;1166.3;1499.9;470.2;4.5;434.5;5422.1;470.0
1;10-45 Nijverheid;1996;11595.0;110.3;1315.9;1792.1;519.0;141.7;494.8;6782.2;438.9
2;10-45 Nijverheid;1997;12478.6;133.3;1254.7;1682.8;501.6;144.9;518.9;7752.0;490.4
3;10-45 Nijverheid;1998;11262.2;126.4;1270.7;1585.4;546.4;175.3;650.4;6389.1;518.5
4;10-45 Nijverheid;1999;11024.1;129.2;1465.9;1090.6;770.6;179.1;715.6;6068.1;605.0
5;10-14 Delfstoffenwinning;1995;772.2;0.1;4.9;326.9;7.4;0.8;4.7;420.5;6.9
6;10-14 Delfstoffenwinning;1996;712.9;1.5;16.9;471.6;3.5;1.0;10.4;202.8;5.0
7;10-14 Delfstoffenwinning;1997;1865.1;9.9;18.3;627.0;2.1;1.2;8.0;1192.8;5.8
8;10-14 Delfstoffenwinning;1998;1126.8;4.6;24.6;542.0;9.8;2.5;11.4;526.8;5.0
9;10-14 Delfstoffenwinning;1999;832.8;13.0;8.8;350.1;5.2;0.7;29.6;401.1;24.4
10;15-37 Industrie;1995;6016.2;66.3;824.1;65.8;280.2;103.0;349.5;3971.5;355.6
11;15-37 Industrie;1996;6512.1;52.7;865.9;75.2;275.1;114.5;382.4;4419.1;327.2
12;15-37 Industrie;1997;7749.9;83.5;992.5;98.2;289.8;111.6;379.2;5440.3;354.8
13;15-37 Industrie;1998;7495.0;92.4;1034.5;83.6;309.2;139.8;495.0;4957.2;383.3
14;15-37 Industrie;1999;7002.3;81.5;1175.0;70.8;355.3;136.6;541.9;4243.0;398.1
15;15 Voedingsmidd. en dranken ind.;1995;1048.3;12.1;152.7;4.8;61.4;13.2;33.8;677.6;92.7
16;15 Voedingsmidd. en dranken ind.;1996;1128.5;5.7;160.3;6.4;58.6;19.7;37.8;744.8;95.2
17;15 Voedingsmidd. en dranken ind.;1997;1277.8;21.8;229.5;12.9;55.6;18.7;41.4;794.7;103.2
18;15 Voedingsmidd. en dranken ind.;1998;1224.2;14.4;197.1;13.0;73.9;52.3;46.7;724.0;102.7
19;15 Voedingsmidd. en dranken ind.;1999;1311.3;17.7;208.9;6.4;78.7;29.7;56.7;783.8;129.5
20;151 Slachterijen en vleesverwerking;1995;112.1;2.2;19.9;1.0;10.2;2.2;4.0;67.3;5.5
21;151 Slachterijen en vleesverwerking;1996;125.5;1.0;23.1;0.6;11.3;3.2;5.2;75.1;6.0
22;151 Slachterijen en vleesverwerking;1997;164.3;3.6;40.3;4.6;9.8;3.8;5.0;87.1;10.1
23;151 Slachterijen en vleesverwerking;1998;177.0;1.2;56.8;1.4;13.3;6.9;5.4;86.4;5.6
24;151 Slachterijen en vleesverwerking;1999;191.6;2.2;43.4;1.4;14.2;3.2;7.3;111.7;8.1
25;15-16 Voedingsmidd. Drank en tabak;1995;1112.8;12.2;155.9;4.8;63.4;13.6;36.9;732.6;93.4
26;15-16 Voedingsmidd. Drank en tabak;1996;1224.6;5.7;166.9;6.6;63.3;20.7;43.9;821.3;96.2
27;15-16 Voedingsmidd. Drank en tabak;1997;1363.3;23.3;242.0;12.9;59.0;19.7;47.8;853.2;105.4
28;15-16 Voedingsmidd. Drank en tabak;1998;1287.2;14.4;211.1;13.4;77.5;54.5;51.7;760.2;104.2
29;15-16 Voedingsmidd. Drank en tabak;1999;1390.6;17.9;211.4;6.4;81.9;30.7;62.1;847.1;133.1
30;152 Visverwerkende industrie;1995;13.4;0.2;2.8;0.0;0.5;0.5;0.3;7.5;1.4
31;152 Visverwerkende industrie;1996;12.6;0.3;1.2;0.0;1.6;0.4;0.3;8.0;0.8
32;152 Visverwerkende industrie;1997;13.2;0.0;1.0;0.2;0.9;0.4;0.3;9.8;0.7
33;152 Visverwerkende industrie;1998;11.3;0.0;2.0;0.0;0.8;0.6;0.2;6.1;1.6
34;152 Visverwerkende industrie;1999;23.5;0.5;5.2;0.0;1.4;0.2;0.8;13.1;2.3
35;153 Groente- en fruitverwerkende ind.;1995;92.6;1.0;10.5;0.1;2.9;0.5;2.0;67.8;7.9
36;153 Groente- en fruitverwerkende ind.;1996;78.9;0.6;11.8;0.5;2.0;1.3;2.5;55.6;4.5
37;153 Groente- en fruitverwerkende ind.;1997;108.4;2.8;11.9;0.4;2.4;1.2;5.1;79.2;5.5
38;153 Groente- en fruitverwerkende ind.;1998;126.0;1.5;19.0;2.0;5.5;4.4;4.4;84.5;4.8
39;153 Groente- en fruitverwerkende ind.;1999;124.5;1.2;11.3;1.2;4.0;2.5;3.2;93.3;7.9
40;154 Marg.- oliën- en vettenind.;1995;28.0;0.0;0.7;0.7;1.0;0.5;1.6;20.5;2.9
41;154 Marg.- oliën- en vettenind.;1996;38.3;0.7;6.2;0.6;1.0;0.5;2.5;25.3;1.6
42;154 Marg.- oliën- en vettenind.;1997;73.3;0.3;13.4;0.7;2.0;0.4;2.8;49.5;4.3
43;154 Marg.- oliën- en vettenind.;1998;35.8;0.0;3.0;0.2;1.5;1.1;1.9;25.2;2.9
44;154 Marg.- oliën- en vettenind.;1999;37.6;0.0;2.4;0.0;0.6;0.1;3.8;26.5;4.1
45;155 Zuivelindustrie;1995;150.8;0.9;20.2;0.3;3.1;2.6;4.3;110.1;9.4
46;155 Zuivelindustrie;1996;153.0;0.4;16.0;0.4;4.1;4.3;2.4;118.7;6.8
47;155 Zuivelindustrie;1997;164.3;0.3;21.0;0.7;2.4;2.9;2.9;126.3;7.8
48;155 Zuivelindustrie;1998;136.2;2.6;26.5;0.8;3.5;5.0;3.2;83.7;10.8
49;155 Zuivelindustrie;1999;141.1;2.5;14.3;1.1;4.7;2.0;3.8;110.7;2.0
50;156 Meelindustrie;1995;55.6;0.0;5.1;0.2;0.6;0.0;0.9;40.0;8.8
51;156 Meelindustrie;1996;91.2;0.0;14.1;0.1;1.0;0.1;1.0;71.7;3.1
52;156 Meelindustrie;1997;75.6;0.0;8.3;0.8;1.5;0.2;1.0;57.0;6.8
53;156 Meelindustrie;1998;67.4;0.0;7.0;4.4;2.2;1.5;2.9;46.1;3.2
54;156 Meelindustrie;1999;69.7;0.2;4.6;1.2;1.5;1.1;1.9;55.2;3.9
55;157 Diervoederind.;1995;99.3;1.1;17.2;1.5;11.8;1.1;3.7;59.4;3.5
56;157 Diervoederind.;1996;82.7;0.9;12.7;0.7;10.9;0.9;2.7;49.9;4.1
57;157 Diervoederind.;1997;91.7;2.5;16.4;1.2;10.2;1.0;4.5;51.5;4.2
58;157 Diervoederind.;1998;87.3;1.2;12.7;1.2;11.4;2.6;4.4;45.7;8.1
59;157 Diervoederind.;1999;78.4;1.2;9.8;0.2;12.7;8.5;5.8;34.9;5.4
60;158 Overige voedingsmidd. Ind.;1995;300.0;5.7;47.7;0.6;17.0;4.2;9.8;202.0;13.1
61;158 Overige voedingsmidd. Ind.;1996;307.3;1.1;52.5;1.7;15.2;6.0;12.6;204.4;13.9
62;158 Overige voedingsmidd. Ind.;1997;331.5;3.2;47.7;3.4;16.3;6.3;10.3;225.8;18.5
63;158 Overige voedingsmidd. Ind.;1998;336.0;3.4;54.9;1.2;24.2;9.2;15.7;210.0;17.5
64;158 Overige voedingsmidd. Ind.;1999;372.6;2.5;56.1;0.9;24.5;8.6;23.2;238.6;18.2
65;159 Drankenindustrie;1995;196.4;1.0;28.6;0.5;14.2;1.6;7.3;102.9;40.3
66;159 Drankenindustrie;1996;239.2;0.6;22.7;1.8;11.5;3.1;8.6;136.3;54.5
67;159 Drankenindustrie;1997;255.5;9.0;69.6;1.0;10.1;2.4;9.5;108.5;45.4
68;159 Drankenindustrie;1998;247.0;4.6;15.3;1.7;11.5;21.1;8.6;136.2;48.1
69;159 Drankenindustrie;1999;272.6;7.4;61.9;0.3;15.2;3.4;7.0;99.7;77.6
70;16 Tabakverwerkende industrie;1995;64.4;0.0;3.1;0.0;2.0;0.5;3.0;55.0;0.8
71;16 Tabakverwerkende industrie;1996;96.0;0.0;6.6;0.2;4.7;1.0;6.1;76.5;1.0
72;16 Tabakverwerkende industrie;1997;85.6;1.5;12.4;0.0;3.4;1.1;6.4;58.5;2.2
73;16 Tabakverwerkende industrie;1998;63.0;0.0;14.1;0.4;3.6;2.2;5.0;36.2;1.5
74;16 Tabakverwerkende industrie;1999;79.2;0.2;2.5;0.0;3.1;1.0;5.4;63.3;3.6
75;17 Textiel industrie;1995;75.4;0.9;11.9;0.0;4.1;1.2;4.5;49.8;2.9
76;17 Textiel industrie;1996;75.8;0.2;3.9;0.1;3.9;1.0;4.9;57.3;4.6
77;17 Textiel industrie;1997;68.3;0.2;7.8;0.2;2.9;1.7;4.3;46.9;4.4
78;17 Textiel industrie;1998;81.0;0.0;9.3;0.3;3.1;1.3;5.7;55.2;6.0
79;17 Textiel industrie;1999;127.9;0.4;21.4;0.4;5.3;2.9;6.8;87.9;2.9
80;17* Spinnerijen en Weverijen;1995;12.0;0.0;2.5;0.0;0.6;0.2;0.6;7.7;0.4
81;17* Spinnerijen en Weverijen;1996;15.6;0.0;0.3;0.0;0.7;0.3;1.0;12.4;1.0
82;17* Spinnerijen en Weverijen;1997;9.8;0.0;0.7;0.0;0.5;0.3;0.7;7.0;0.5
83;17* Spinnerijen en Weverijen;1998;20.5;0.0;4.8;0.0;0.2;0.4;0.6;14.2;0.4
