ID;ExpenditureCategories;Periods;CPI_1;DerivedCPI_2;MonthOnMonthChangeCPI_3;MonthOnMonthChangeDerivedCPI_4;YearOnYearChangeCPI_5;YearOnYearChangeDerivedCPI_6;WeightingCoefficient_7
0;000000 All items;1996 January;68.03;72.28;;;;;100000
1;000000 All items;1996 February;68.29;72.55;0.4;0.4;;;100000
2;000000 All items;1996 March;68.92;73.22;0.9;0.9;;;100000
3;000000 All items;1996 April;69.13;73.44;0.3;0.3;;;100000
4;000000 All items;1996 May;68.96;73.26;-0.2;-0.2;;;100000
5;000000 All items;1996 June;68.67;72.95;-0.4;-0.4;;;100000
6;000000 All items;1996 July;68.84;73.14;0.2;0.3;;;100000
7;000000 All items;1996 August;68.75;73.04;-0.1;-0.1;;;100000
8;000000 All items;1996 September;69.37;73.72;0.9;0.9;;;100000
9;000000 All items;1996 October;69.53;73.89;0.2;0.2;;;100000
10;000000 All items;1996 November;69.45;73.8;-0.1;-0.1;;;100000
11;000000 All items;1996 December;69.37;73.72;-0.1;-0.1;;;100000
12;000000 All items;1996;68.94;73.25;;;;;100000
13;000000 All items;1997 January;69.45;73.63;0.1;-0.1;2.1;1.9;100000
14;000000 All items;1997 February;69.59;73.78;0.2;0.2;1.9;1.7;100000
15;000000 All items;1997 March;70.12;74.32;0.8;0.7;1.7;1.5;100000
16;000000 All items;1997 April;70.2;74.39;0.1;0.1;1.5;1.3;100000
17;000000 All items;1997 May;70.36;74.56;0.2;0.2;2.0;1.8;100000
18;000000 All items;1997 June;70.02;74.21;-0.5;-0.5;2.0;1.7;100000
19;000000 All items;1997 July;70.25;74.48;0.3;0.4;2.0;1.8;100000
20;000000 All items;1997 August;70.44;74.68;0.3;0.3;2.5;2.2;100000
21;000000 All items;1997 September;71.07;75.37;0.9;0.9;2.5;2.2;100000
22;000000 All items;1997 October;71.14;75.44;0.1;0.1;2.3;2.1;100000
23;000000 All items;1997 November;71.17;75.47;0.0;0.0;2.5;2.3;100000
24;000000 All items;1997 December;70.95;75.24;-0.3;-0.3;2.3;2.1;100000
25;000000 All items;1997;70.4;74.63;;;2.1;1.9;100000
26;000000 All items;1998 January;70.71;74.81;-0.3;-0.6;1.8;1.6;100000
27;000000 All items;1998 February;71.11;75.22;0.6;0.5;2.2;2.0;100000
28;000000 All items;1998 March;71.7;75.85;0.8;0.8;2.3;2.1;100000
29;000000 All items;1998 April;71.88;76.04;0.3;0.3;2.4;2.2;100000
30;000000 All items;1998 May;71.81;75.96;-0.1;-0.1;2.1;1.9;100000
31;000000 All items;1998 June;71.51;75.65;-0.4;-0.4;2.1;1.9;100000
32;000000 All items;1998 July;71.65;75.8;0.2;0.2;2.0;1.8;100000
33;000000 All items;1998 August;71.66;75.8;0.0;0.0;1.7;1.5;100000
34;000000 All items;1998 September;72.25;76.45;0.8;0.9;1.7;1.4;100000
35;000000 All items;1998 October;72.41;76.63;0.2;0.2;1.8;1.6;100000
36;000000 All items;1998 November;72.41;76.61;0.0;0.0;1.7;1.5;100000
37;000000 All items;1998 December;72.21;76.39;-0.3;-0.3;1.8;1.5;100000
38;000000 All items;1998;71.78;75.93;;;2.0;1.7;100000
39;000000 All items;1999 January;72.25;76.06;0.1;-0.4;2.2;1.7;100000
40;000000 All items;1999 February;72.61;76.44;0.5;0.5;2.1;1.6;100000
41;000000 All items;1999 March;73.24;77.11;0.9;0.9;2.1;1.7;100000
42;000000 All items;1999 April;73.4;77.28;0.2;0.2;2.1;1.6;100000
43;000000 All items;1999 May;73.42;77.31;0.0;0.0;2.2;1.8;100000
44;000000 All items;1999 June;73.14;77.0;-0.4;-0.4;2.3;1.8;100000
45;000000 All items;1999 July;73.06;76.92;-0.1;-0.1;2.0;1.5;100000
46;000000 All items;1999 August;73.46;77.34;0.5;0.5;2.5;2.0;100000
47;000000 All items;1999 September;73.8;77.68;0.5;0.4;2.1;1.6;100000
48;000000 All items;1999 October;73.86;77.74;0.1;0.1;2.0;1.4;100000
49;000000 All items;1999 November;73.95;77.84;0.1;0.1;2.1;1.6;100000
50;000000 All items;1999 December;73.7;77.58;-0.3;-0.3;2.1;1.6;100000
51;000000 All items;1999;73.32;77.19;;;2.1;1.7;100000
52;000000 All items;2000 January;73.55;77.17;-0.2;-0.5;1.8;1.5;100000
53;000000 All items;2000 February;74.0;77.64;0.6;0.6;1.9;1.6;100000
54;000000 All items;2000 March;74.66;78.33;0.9;0.9;1.9;1.6;100000
55;000000 All items;2000 April;74.78;78.46;0.2;0.2;1.9;1.5;100000
