ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;AantalVoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
52;Vrachtauto's en trekkers;Totaal;N Verhuur en overige zakelijke diensten;2010;6700.0;241.9;36120.0
53;Vrachtauto's en trekkers;Totaal;N Verhuur en overige zakelijke diensten;2011;6580.0;233.1;35436.0
54;Vrachtauto's en trekkers;Totaal;O-Q Overheid en zorg;2009;2460.0;43.0;17482.0
55;Vrachtauto's en trekkers;Totaal;O-Q Overheid en zorg;2010;2490.0;39.2;15753.0
56;Vrachtauto's en trekkers;Totaal;O-Q Overheid en zorg;2011;2580.0;38.3;14827.0
57;Vrachtauto's en trekkers;Totaal;O Openbaar bestuur en overheidsdiensten;2009;1340.0;16.7;12441.0
58;Vrachtauto's en trekkers;Totaal;O Openbaar bestuur en overheidsdiensten;2010;1430.0;18.4;12867.0
59;Vrachtauto's en trekkers;Totaal;O Openbaar bestuur en overheidsdiensten;2011;1560.0;17.8;11418.0
60;Vrachtauto's en trekkers;Totaal;P Onderwijs;2009;750.0;17.1;22795.0
61;Vrachtauto's en trekkers;Totaal;P Onderwijs;2010;740.0;14.8;20193.0
62;Vrachtauto's en trekkers;Totaal;P Onderwijs;2011;720.0;14.1;19748.0
63;Vrachtauto's en trekkers;Totaal;Q Gezondheids- en welzijnszorg;2009;370.0;9.2;24961.0
64;Vrachtauto's en trekkers;Totaal;Q Gezondheids- en welzijnszorg;2010;320.0;5.9;18464.0
65;Vrachtauto's en trekkers;Totaal;Q Gezondheids- en welzijnszorg;2011;300.0;6.3;20814.0
66;Vrachtauto's en trekkers;Totaal;R-U Cultuur, recreatie, overige diensten;2009;3330.0;69.7;20893.0
67;Vrachtauto's en trekkers;Totaal;R-U Cultuur, recreatie, overige diensten;2010;3400.0;74.1;21819.0
68;Vrachtauto's en trekkers;Totaal;R-U Cultuur, recreatie, overige diensten;2011;3400.0;77.9;22917.0
69;Vrachtauto's en trekkers;Totaal;R Cultuur, sport en recreatie;2009;2240.0;27.3;12175.0
70;Vrachtauto's en trekkers;Totaal;R Cultuur, sport en recreatie;2010;2280.0;29.8;13049.0
71;Vrachtauto's en trekkers;Totaal;R Cultuur, sport en recreatie;2011;2250.0;30.4;13488.0
72;Vrachtauto's en trekkers;Totaal;S Overige dienstverlening;2009;1090.0;42.4;38744.0
73;Vrachtauto's en trekkers;Totaal;S Overige dienstverlening;2010;1120.0;44.4;39743.0
74;Vrachtauto's en trekkers;Totaal;S Overige dienstverlening;2011;1150.0;47.6;41421.0
75;Vrachtauto's en trekkers;Totaal;SBI-code onbekend;2009;0.0;0.0;0.0
76;Vrachtauto's en trekkers;Totaal;SBI-code onbekend;2010;0.0;0.0;0.0
77;Vrachtauto's en trekkers;Totaal;SBI-code onbekend;2011;0.0;0.0;0.0
78;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2009;61270.0;4955.2;80870.0
79;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2010;52530.0;4179.1;79559.0
80;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2011;49590.0;3840.3;77445.0
81;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2009;990.0;62.6;63224.0
82;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2010;910.0;56.2;61813.0
83;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2011;870.0;52.5;60453.0
84;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2009;4250.0;220.5;51911.0
85;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2010;3890.0;197.3;50792.0
86;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2011;3980.0;198.5;49899.0
87;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2009;60.0;2.7;43641.0
88;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2010;40.0;1.9;52573.0
89;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2011;50.0;2.3;50826.0
90;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;C Industrie;2009;2740.0;141.4;51515.0
91;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;C Industrie;2010;2480.0;123.6;49807.0
92;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;C Industrie;2011;2690.0;130.9;48725.0
93;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;D Energievoorziening;2009;20.0;0.5;28494.0
94;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;D Energievoorziening;2010;20.0;;
95;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;D Energievoorziening;2011;30.0;0.6;24287.0
96;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;E Waterbedrijven en afvalbeheer;2009;1430.0;76.0;53304.0
97;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;E Waterbedrijven en afvalbeheer;2010;1350.0;71.2;52771.0
98;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;E Waterbedrijven en afvalbeheer;2011;1220.0;64.7;52994.0
99;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;F Bouwnijverheid;2009;2860.0;105.5;36929.0
100;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;F Bouwnijverheid;2010;2800.0;104.2;37275.0
101;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;F Bouwnijverheid;2011;2550.0;95.1;37248.0
102;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2009;47740.0;4320.5;90509.0
103;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2010;40030.0;3589.9;89670.0
104;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2011;37580.0;3287.0;87471.0
105;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;G Handel;2009;11050.0;660.8;59823.0
106;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;G Handel;2010;10400.0;604.6;58163.0
107;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;G Handel;2011;10170.0;587.4;57757.0
108;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;H Vervoer en opslag;2009;36590.0;3654.8;99894.0
109;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;H Vervoer en opslag;2010;29550.0;2981.4;100905.0
110;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;H Vervoer en opslag;2011;27350.0;2697.9;98655.0
111;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;I Horeca;2009;100.0;4.8;47426.0
112;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;I Horeca;2010;90.0;3.9;41943.0
113;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;I Horeca;2011;60.0;1.7;27564.0
114;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;J Informatie en communicatie;2009;60.0;1.7;30350.0
115;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;J Informatie en communicatie;2010;50.0;1.0;19596.0
116;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;J Informatie en communicatie;2011;50.0;0.8;16897.0
117;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;K Financiële dienstverlening;2009;610.0;42.0;68890.0
118;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;K Financiële dienstverlening;2010;490.0;37.1;75864.0
119;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;K Financiële dienstverlening;2011;550.0;37.1;67990.0
