ID;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;DemografischeDruk_8;Levendgeborenen_9;TotaalVruchtbaarheidscijfer_10;Overledenen_11;LevensverwachtingMannen_12;LevensverwachtingVrouwen_13;Immigratie_14;EmigratieInclusiefCorrecties_15;MigratiesaldoInclusiefCorrecties_16
0;2007;16357992;3957103;10032537;2368352;24.2;61.3;14.5;0.63;180677.0;1.71;131582.0;78.13;82.44;115427.0;120145.0;-4718.0
1;2008;16406871;3940502;10050835;2415532;24.0;61.3;14.7;0.632;179938.0;1.73;134443.0;78.24;82.42;119322.0;118906.0;416.0
2;2009;16457285;3925473;10059701;2472105;23.9;61.1;15.0;0.636;178879.0;1.74;137246.0;78.35;82.41;122654.0;118668.0;3985.0
3;2010;16507398;3908209;10064660;2534529;23.7;61.0;15.4;0.64;177959.0;1.75;140065.0;78.46;82.39;124034.0;118414.0;5620.0
4;2011;16555411;3882659;10086772;2585980;23.5;60.9;15.6;0.641;177228.0;1.75;142813.0;78.58;82.37;123890.0;118560.0;5330.0
5;2012;16599655;3856893;10043434;2699328;23.2;60.5;16.3;0.653;176763.0;1.75;145450.0;78.69;82.36;123970.0;118158.0;5812.0
6;2013;16641279;3833705;10006094;2801483;23.0;60.1;16.8;0.663;176685.0;1.75;147408.0;78.83;82.43;124214.0;117289.0;6925.0
7;2014;16681982;3812882;9980300;2888800;22.9;59.8;17.3;0.671;;;;;;;;
