ID;EnterprisesByActivitySIC93;Periods;RealisationIncreased_1;RealisationRemainedTheSame_2;RealisationDecreased_3;RealisationBalance_4;ForecastIncrease_5;ForecastRemainTheSame_6;ForecastDecrease_7;ForecastBalance_8;CapacityUtilisation_9;CapacityTooLarge_10;CapacitySatisfactory_11;CapacityTooSmall_12;CapacityBalance_13;NoObstaclesToProduction_14;ObstaclesBecauseOfInsufficientDemand_15;ObstaclesBecauseOfLabourShortage_16;ObstaclesTechnCapAndOrMaterials_17;OtherObstacles_18;OrdersReceivedIncreased_19;OrdersReceivedRemainedTheSame_20;OrdersReceivedDecreased_21;OrdersReceivedBalance_22;DomesticOrdersIncreased_23;DomesticOrdersRemainedTheSame_24;DomesticOrdersDecreased_25;DomesticOrdersBalance_26;ForeignOrdersIncreased_27;ForeignOrdersRemainedTheSame_28;ForeignOrdersDecreased_29;ForeignOrdersBalance_30;OrdersReceivedLarge_31;OrdersReceivedNormal_32;OrdersReceivedSmall_33;OrdersReceivedBalance_34;Index_35;OrderPositionLarge_36;OrderPositionNormal_37;OrderPositionSmall_38;OrderPositionBalance_39;ForeignOrderPositionLarge_40;ForeignOrderPositionNormal_41;ForeignOrderPositionSmall_42;ForeignOrderPositionBalance_43;SalesPricesRise_44;SalesPricesRemainTheSame_45;SalesPricesFall_46;SalesPricesBalance_47;StocksFinalProductsTooLarge_48;StocksFinalProductsSufficient_49;StocksFinalProductsTooSmall_50;StocksFinalProductsBalance_51;CompetitivePositionImproved_52;CompetitivePositionRemainedTheSame_53;CompetitivePositionDeclined_54;CompetitivePositionBalance_55;CompetitivePositionImproved_56;CompetitivePositionRemainedTheSame_57;CompetitivePositionDeclined_58;CompetitivePositionBalance_59;CompetitivePositionImproved_60;CompetitivePositionRemainedTheSame_61;CompetitivePositionDeclined_62;CompetitivePositionBalance_63;ForeignSalesIncrease_64;ForeignSalesRemainTheSame_65;ForeignSalesDecrease_66;ForeignSalesBalance_67;NumberOfEmployeesIncrease_68;NumberOfEmployeesRemainTheSame_69;NumberOfEmployeesDecrease_70;Balance_71;RealisationProduction_72;ForecastProduction_73;OpinionOnProductionCapacity_74;TotalOrdersReceived_75;DomesticOrders_76;ForeignOrders_77;OpinionOnOrdersReceived_78;TotalOrderPosition_79;ForeignOrderPosition_80;SalesPrices_81;StocksFinalProducts_82;DutchMarket_83;InsideTheEU_84;OutsideTheEU_85;ForeignSales_86;NumberOfEmployees_87
0;Manufacturing industry;1989 February;14.0;73.0;13.0;1.0;17.0;78.0;5.0;12.0;;;;;;;;;;;25.0;57.0;18.0;7.0;20.0;62.0;18.0;2.0;27.0;53.0;20.0;7.0;12.0;77.0;11.0;1.0;113.5;9.0;80.0;11.0;-2.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;1.0;12.0;;7.0;2.0;7.0;1.0;-2.0;;;3.0;;;;;
1;Manufacturing industry;1989 March;12.0;79.0;9.0;3.0;20.0;73.0;7.0;13.0;;;;;;;;;;;23.0;60.0;17.0;6.0;19.0;66.0;15.0;4.0;24.0;59.0;17.0;7.0;9.0;79.0;12.0;-3.0;114.0;10.0;78.0;12.0;-2.0;;;;;;;;;8.0;88.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;3.0;13.0;;6.0;4.0;7.0;-3.0;-2.0;;;4.0;;;;;
2;Manufacturing industry;1989 April;24.0;69.0;7.0;17.0;18.0;75.0;7.0;11.0;86.1;8.0;85.0;7.0;1.0;83.0;8.0;2.0;3.0;4.0;31.0;58.0;11.0;20.0;31.0;59.0;10.0;21.0;28.0;61.0;11.0;17.0;10.0;79.0;11.0;-1.0;120.0;11.0;78.0;11.0;0.0;;;;;;;;;7.0;87.0;6.0;1.0;;;;;;;;;;;;;29.0;67.0;4.0;25.0;14.0;70.0;16.0;-2.0;17.0;11.0;1.0;20.0;21.0;17.0;-1.0;0.0;;;1.0;;;;25.0;-2.0
3;Manufacturing industry;1989 May;15.0;74.0;11.0;4.0;19.0;74.0;7.0;12.0;;;;;;;;;;;18.0;59.0;23.0;-5.0;18.0;66.0;16.0;2.0;17.0;53.0;30.0;-13.0;9.0;78.0;13.0;-4.0;119.7;10.0;79.0;11.0;-1.0;;;;;;;;;7.0;88.0;5.0;2.0;;;;;;;;;;;;;;;;;;;;;4.0;12.0;;-5.0;2.0;-13.0;-4.0;-1.0;;;2.0;;;;;
4;Manufacturing industry;1989 June;15.0;75.0;10.0;5.0;15.0;78.0;7.0;8.0;;;;;;;;;;;20.0;61.0;19.0;1.0;21.0;62.0;17.0;4.0;19.0;62.0;19.0;0.0;9.0;78.0;13.0;-4.0;119.7;10.0;78.0;12.0;-2.0;;;;;;;;;7.0;88.0;5.0;2.0;;;;;;;;;;;;;;;;;;;;;5.0;8.0;;1.0;4.0;0.0;-4.0;-2.0;;;2.0;;;;;
5;Manufacturing industry;1989 July;19.0;72.0;9.0;10.0;11.0;79.0;10.0;1.0;85.8;6.0;87.0;7.0;-1.0;82.0;7.0;3.0;3.0;5.0;25.0;61.0;14.0;11.0;19.0;66.0;15.0;4.0;25.0;62.0;13.0;12.0;10.0;77.0;13.0;-3.0;120.7;12.0;78.0;10.0;2.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;14.0;80.0;6.0;8.0;13.0;73.0;14.0;-1.0;10.0;1.0;-1.0;11.0;4.0;12.0;-3.0;2.0;;;3.0;;;;8.0;-1.0
6;Manufacturing industry;1989 August;9.0;78.0;13.0;-4.0;15.0;78.0;7.0;8.0;;;;;;;;;;;14.0;60.0;26.0;-12.0;12.0;68.0;20.0;-8.0;12.0;57.0;31.0;-19.0;7.0;81.0;12.0;-5.0;120.3;11.0;79.0;10.0;1.0;;;;;;;;;7.0;89.0;4.0;3.0;;;;;;;;;;;;;;;;;;;;;-4.0;8.0;;-12.0;-8.0;-19.0;-5.0;1.0;;;3.0;;;;;
7;Manufacturing industry;1989 September;13.0;76.0;11.0;2.0;17.0;75.0;8.0;9.0;;;;;;;;;;;21.0;59.0;20.0;1.0;22.0;62.0;16.0;6.0;22.0;56.0;22.0;0.0;7.0;78.0;15.0;-8.0;120.6;9.0;81.0;10.0;-1.0;;;;;;;;;8.0;88.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;2.0;9.0;;1.0;6.0;0.0;-8.0;-1.0;;;4.0;;;;;
8;Manufacturing industry;1989 October;20.0;71.0;9.0;11.0;15.0;78.0;7.0;8.0;86.5;6.0;87.0;7.0;-1.0;81.0;7.0;4.0;3.0;5.0;31.0;55.0;14.0;17.0;27.0;60.0;13.0;14.0;33.0;50.0;17.0;16.0;8.0;78.0;14.0;-6.0;121.9;10.0;80.0;10.0;0.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;16.0;75.0;9.0;7.0;14.0;72.0;14.0;0.0;11.0;8.0;-1.0;17.0;14.0;16.0;-6.0;0.0;;;3.0;;;;7.0;0.0
9;Manufacturing industry;1989 November;14.0;76.0;10.0;4.0;13.0;80.0;7.0;6.0;;;;;;;;;;;20.0;62.0;18.0;2.0;19.0;65.0;16.0;3.0;20.0;61.0;19.0;1.0;8.0;78.0;14.0;-6.0;122.3;10.0;80.0;10.0;0.0;;;;;;;;;8.0;88.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;4.0;6.0;;2.0;3.0;1.0;-6.0;0.0;;;4.0;;;;;
