ID;EnterprisesByActivitySIC93;Periods;RealisationIncreased_1;RealisationRemainedTheSame_2;RealisationDecreased_3;RealisationBalance_4;ForecastIncrease_5;ForecastRemainTheSame_6;ForecastDecrease_7;ForecastBalance_8;CapacityUtilisation_9;CapacityTooLarge_10;CapacitySatisfactory_11;CapacityTooSmall_12;CapacityBalance_13;NoObstaclesToProduction_14;ObstaclesBecauseOfInsufficientDemand_15;ObstaclesBecauseOfLabourShortage_16;ObstaclesTechnCapAndOrMaterials_17;OtherObstacles_18;OrdersReceivedIncreased_19;OrdersReceivedRemainedTheSame_20;OrdersReceivedDecreased_21;OrdersReceivedBalance_22;DomesticOrdersIncreased_23;DomesticOrdersRemainedTheSame_24;DomesticOrdersDecreased_25;DomesticOrdersBalance_26;ForeignOrdersIncreased_27;ForeignOrdersRemainedTheSame_28;ForeignOrdersDecreased_29;ForeignOrdersBalance_30;OrdersReceivedLarge_31;OrdersReceivedNormal_32;OrdersReceivedSmall_33;OrdersReceivedBalance_34;Index_35;OrderPositionLarge_36;OrderPositionNormal_37;OrderPositionSmall_38;OrderPositionBalance_39;ForeignOrderPositionLarge_40;ForeignOrderPositionNormal_41;ForeignOrderPositionSmall_42;ForeignOrderPositionBalance_43;SalesPricesRise_44;SalesPricesRemainTheSame_45;SalesPricesFall_46;SalesPricesBalance_47;StocksFinalProductsTooLarge_48;StocksFinalProductsSufficient_49;StocksFinalProductsTooSmall_50;StocksFinalProductsBalance_51;CompetitivePositionImproved_52;CompetitivePositionRemainedTheSame_53;CompetitivePositionDeclined_54;CompetitivePositionBalance_55;CompetitivePositionImproved_56;CompetitivePositionRemainedTheSame_57;CompetitivePositionDeclined_58;CompetitivePositionBalance_59;CompetitivePositionImproved_60;CompetitivePositionRemainedTheSame_61;CompetitivePositionDeclined_62;CompetitivePositionBalance_63;ForeignSalesIncrease_64;ForeignSalesRemainTheSame_65;ForeignSalesDecrease_66;ForeignSalesBalance_67;NumberOfEmployeesIncrease_68;NumberOfEmployeesRemainTheSame_69;NumberOfEmployeesDecrease_70;Balance_71;RealisationProduction_72;ForecastProduction_73;OpinionOnProductionCapacity_74;TotalOrdersReceived_75;DomesticOrders_76;ForeignOrders_77;OpinionOnOrdersReceived_78;TotalOrderPosition_79;ForeignOrderPosition_80;SalesPrices_81;StocksFinalProducts_82;DutchMarket_83;InsideTheEU_84;OutsideTheEU_85;ForeignSales_86;NumberOfEmployees_87
10;Manufacturing industry;1989 December;15.0;77.0;8.0;7.0;11.0;77.0;12.0;-1.0;;;;;;;;;;;16.0;64.0;20.0;-4.0;17.0;67.0;16.0;1.0;15.0;63.0;22.0;-7.0;8.0;76.0;16.0;-8.0;119.8;9.0;78.0;13.0;-4.0;;;;;;;;;9.0;87.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;7.0;-1.0;;-4.0;1.0;-7.0;-8.0;-4.0;;;5.0;;;;;
11;Manufacturing industry;1990 January;13.0;71.0;16.0;-3.0;16.0;71.0;13.0;3.0;85.7;5.0;90.0;5.0;0.0;87.0;6.0;3.0;2.0;2.0;20.0;61.0;19.0;1.0;18.0;65.0;17.0;1.0;21.0;59.0;20.0;1.0;9.0;76.0;15.0;-6.0;119.6;11.0;76.0;13.0;-2.0;;;;;;;;;9.0;86.0;5.0;4.0;;;;;;;;;;;;;17.0;72.0;11.0;6.0;17.0;74.0;9.0;8.0;-3.0;3.0;0.0;1.0;1.0;1.0;-6.0;-2.0;;;4.0;;;;6.0;8.0
12;Manufacturing industry;1990 February;15.0;74.0;11.0;4.0;21.0;73.0;6.0;15.0;;;;;;;;;;;25.0;54.0;21.0;4.0;21.0;59.0;20.0;1.0;24.0;55.0;21.0;3.0;9.0;77.0;14.0;-5.0;120.0;10.0;77.0;13.0;-3.0;;;;;;;;;9.0;85.0;6.0;3.0;;;;;;;;;;;;;;;;;;;;;4.0;15.0;;4.0;1.0;3.0;-5.0;-3.0;;;3.0;;;;;
13;Manufacturing industry;1990 March;17.0;76.0;7.0;10.0;19.0;75.0;6.0;13.0;;;;;;;;;;;20.0;62.0;18.0;2.0;21.0;62.0;17.0;4.0;19.0;64.0;17.0;2.0;8.0;78.0;14.0;-6.0;120.4;9.0;78.0;13.0;-4.0;;;;;;;;;9.0;87.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;10.0;13.0;;2.0;4.0;2.0;-6.0;-4.0;;;5.0;;;;;
14;Manufacturing industry;1990 April;20.0;71.0;9.0;11.0;16.0;78.0;6.0;10.0;86.2;6.0;88.0;6.0;0.0;85.0;5.0;5.0;2.0;3.0;33.0;55.0;12.0;21.0;26.0;62.0;12.0;14.0;36.0;54.0;10.0;26.0;10.0;77.0;13.0;-3.0;120.7;8.0;82.0;10.0;-2.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;18.0;74.0;8.0;10.0;19.0;76.0;5.0;14.0;11.0;10.0;0.0;21.0;14.0;26.0;-3.0;-2.0;;;3.0;;;;10.0;14.0
15;Manufacturing industry;1990 May;16.0;72.0;12.0;4.0;16.0;76.0;8.0;8.0;;;;;;;;;;;16.0;64.0;20.0;-4.0;17.0;67.0;16.0;1.0;14.0;63.0;23.0;-9.0;7.0;78.0;15.0;-8.0;120.3;9.0;81.0;10.0;-1.0;;;;;;;;;8.0;86.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;;4.0;8.0;;-4.0;1.0;-9.0;-8.0;-1.0;;;2.0;;;;;
16;Manufacturing industry;1990 June;17.0;73.0;10.0;7.0;14.0;80.0;6.0;8.0;;;;;;;;;;;21.0;62.0;17.0;4.0;18.0;64.0;18.0;0.0;22.0;59.0;19.0;3.0;8.0;76.0;16.0;-8.0;120.7;8.0;81.0;11.0;-3.0;;;;;;;;;8.0;86.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;;7.0;8.0;;4.0;0.0;3.0;-8.0;-3.0;;;2.0;;;;;
17;Manufacturing industry;1990 July;15.0;71.0;14.0;1.0;11.0;80.0;9.0;2.0;86.1;7.0;86.0;7.0;0.0;83.0;5.0;7.0;3.0;2.0;22.0;57.0;21.0;1.0;18.0;64.0;18.0;0.0;22.0;58.0;20.0;2.0;9.0;76.0;15.0;-6.0;120.3;9.0;80.0;11.0;-2.0;;;;;;;;;9.0;84.0;7.0;2.0;;;;;;;;;;;;;13.0;80.0;7.0;6.0;11.0;79.0;10.0;1.0;1.0;2.0;0.0;1.0;0.0;2.0;-6.0;-2.0;;;2.0;;;;6.0;1.0
18;Manufacturing industry;1990 August;8.0;80.0;12.0;-4.0;15.0;78.0;7.0;8.0;;;;;;;;;;;16.0;59.0;25.0;-9.0;13.0;67.0;20.0;-7.0;15.0;57.0;28.0;-13.0;8.0;79.0;13.0;-5.0;120.0;10.0;79.0;11.0;-1.0;;;;;;;;;10.0;86.0;4.0;6.0;;;;;;;;;;;;;;;;;;;;;-4.0;8.0;;-9.0;-7.0;-13.0;-5.0;-1.0;;;6.0;;;;;
19;Manufacturing industry;1990 September;12.0;75.0;13.0;-1.0;19.0;73.0;8.0;11.0;;;;;;;;;;;21.0;61.0;18.0;3.0;18.0;64.0;18.0;0.0;23.0;58.0;19.0;4.0;7.0;79.0;14.0;-7.0;119.0;9.0;78.0;13.0;-4.0;;;;;;;;;11.0;83.0;6.0;5.0;;;;;;;;;;;;;;;;;;;;;-1.0;11.0;;3.0;0.0;4.0;-7.0;-4.0;;;5.0;;;;;
20;Manufacturing industry;1990 October;21.0;67.0;12.0;9.0;17.0;73.0;10.0;7.0;85.4;5.0;88.0;7.0;-2.0;81.0;5.0;7.0;3.0;4.0;27.0;57.0;16.0;11.0;23.0;61.0;16.0;7.0;28.0;56.0;16.0;12.0;8.0;76.0;16.0;-8.0;117.9;8.0;77.0;15.0;-7.0;;;;;;;;;11.0;83.0;6.0;5.0;;;;;;;;;;;;;16.0;61.0;23.0;-7.0;13.0;75.0;12.0;1.0;9.0;7.0;-2.0;11.0;7.0;12.0;-8.0;-7.0;;;5.0;;;;-7.0;1.0
21;Manufacturing industry;1990 November;19.0;70.0;11.0;8.0;15.0;73.0;12.0;3.0;;;;;;;;;;;23.0;61.0;16.0;7.0;24.0;60.0;16.0;8.0;21.0;59.0;20.0;1.0;10.0;74.0;16.0;-6.0;117.9;9.0;75.0;16.0;-7.0;7.0;81.0;12.0;-5.0;15.0;79.0;6.0;9.0;12.0;81.0;7.0;5.0;;;;;;;;;;;;;;;;;;;;;8.0;3.0;;7.0;8.0;1.0;-6.0;-7.0;-5.0;9.0;5.0;;;;;
22;Manufacturing industry;1990 December;19.0;68.0;13.0;6.0;12.0;76.0;12.0;0.0;;;;;;;;;;;16.0;64.0;20.0;-4.0;17.0;63.0;20.0;-3.0;17.0;64.0;19.0;-2.0;8.0;75.0;17.0;-9.0;118.3;9.0;74.0;17.0;-8.0;8.0;79.0;13.0;-5.0;19.0;75.0;6.0;13.0;11.0;82.0;7.0;4.0;;;;;;;;;;;;;;;;;;;;;6.0;0.0;;-4.0;-3.0;-2.0;-9.0;-8.0;-5.0;13.0;4.0;;;;;
23;Manufacturing industry;1991 January;14.0;70.0;16.0;-2.0;13.0;75.0;12.0;1.0;84.5;6.0;87.0;7.0;-1.0;83.0;7.0;5.0;2.0;3.0;17.0;64.0;19.0;-2.0;15.0;65.0;20.0;-5.0;17.0;65.0;18.0;-1.0;9.0;75.0;16.0;-7.0;119.4;10.0;74.0;16.0;-6.0;7.0;75.0;18.0;-11.0;27.0;64.0;9.0;18.0;11.0;82.0;7.0;4.0;;;;;;;;;;;;;18.0;72.0;10.0;8.0;12.0;73.0;15.0;-3.0;-2.0;1.0;-1.0;-2.0;-5.0;-1.0;-7.0;-6.0;-11.0;18.0;4.0;;;;8.0;-3.0
24;Manufacturing industry;1991 February;20.0;69.0;11.0;9.0;16.0;75.0;9.0;7.0;;;;;;;;;;;27.0;55.0;18.0;9.0;23.0;56.0;21.0;2.0;27.0;57.0;16.0;11.0;12.0;72.0;16.0;-4.0;117.9;8.0;77.0;15.0;-7.0;6.0;77.0;17.0;-11.0;15.0;79.0;6.0;9.0;11.0;84.0;5.0;6.0;;;;;;;;;;;;;;;;;;;;;9.0;7.0;;9.0;2.0;11.0;-4.0;-7.0;-11.0;9.0;6.0;;;;;
25;Manufacturing industry;1991 March;13.0;69.0;18.0;-5.0;20.0;71.0;9.0;11.0;;;;;;;;;;;21.0;58.0;21.0;0.0;19.0;59.0;22.0;-3.0;22.0;58.0;20.0;2.0;8.0;75.0;17.0;-9.0;116.8;8.0;76.0;16.0;-8.0;7.0;75.0;18.0;-11.0;10.0;83.0;7.0;3.0;12.0;82.0;6.0;6.0;;;;;;;;;;;;;;;;;;;;;-5.0;11.0;;0.0;-3.0;2.0;-9.0;-8.0;-11.0;3.0;6.0;;;;;
26;Manufacturing industry;1991 April;21.0;66.0;13.0;8.0;18.0;69.0;13.0;5.0;85.3;8.0;85.0;7.0;1.0;80.0;9.0;5.0;2.0;4.0;21.0;60.0;19.0;2.0;21.0;59.0;20.0;1.0;20.0;62.0;18.0;2.0;8.0;75.0;17.0;-9.0;116.1;6.0;78.0;16.0;-10.0;5.0;76.0;19.0;-14.0;10.0;80.0;10.0;0.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;22.0;70.0;8.0;14.0;10.0;75.0;15.0;-5.0;8.0;5.0;1.0;2.0;1.0;2.0;-9.0;-10.0;-14.0;0.0;8.0;;;;14.0;-5.0
27;Manufacturing industry;1991 May;14.0;66.0;20.0;-6.0;18.0;74.0;8.0;10.0;;;;;;;;;;;17.0;57.0;26.0;-9.0;16.0;57.0;27.0;-11.0;16.0;57.0;27.0;-11.0;5.0;74.0;21.0;-16.0;114.3;6.0;75.0;19.0;-13.0;5.0;73.0;22.0;-17.0;6.0;84.0;10.0;-4.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;;;;;;;;;-6.0;10.0;;-9.0;-11.0;-11.0;-16.0;-13.0;-17.0;-4.0;8.0;;;;;
28;Manufacturing industry;1991 June;21.0;65.0;14.0;7.0;18.0;73.0;9.0;9.0;;;;;;;;;;;23.0;56.0;21.0;2.0;22.0;60.0;18.0;4.0;22.0;57.0;21.0;1.0;6.0;74.0;20.0;-14.0;112.9;6.0;74.0;20.0;-14.0;6.0;71.0;23.0;-17.0;6.0;87.0;7.0;-1.0;15.0;81.0;4.0;11.0;;;;;;;;;;;;;;;;;;;;;7.0;9.0;;2.0;4.0;1.0;-14.0;-14.0;-17.0;-1.0;11.0;;;;;
29;Manufacturing industry;1991 July;19.0;69.0;12.0;7.0;10.0;78.0;12.0;-2.0;84.9;11.0;84.0;5.0;6.0;78.0;13.0;5.0;2.0;2.0;26.0;56.0;18.0;8.0;20.0;61.0;19.0;1.0;28.0;54.0;18.0;10.0;7.0;76.0;17.0;-10.0;112.8;7.0;77.0;16.0;-9.0;6.0;78.0;16.0;-10.0;9.0;85.0;6.0;3.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;12.0;76.0;12.0;0.0;10.0;73.0;17.0;-7.0;7.0;-2.0;6.0;8.0;1.0;10.0;-10.0;-9.0;-10.0;3.0;8.0;;;;0.0;-7.0
30;Manufacturing industry;1991 August;17.0;66.0;17.0;0.0;16.0;73.0;11.0;5.0;;;;;;;;;;;16.0;55.0;29.0;-13.0;16.0;59.0;25.0;-9.0;16.0;52.0;32.0;-16.0;10.0;74.0;16.0;-6.0;112.1;7.0;78.0;15.0;-8.0;6.0;79.0;15.0;-9.0;9.0;87.0;4.0;5.0;12.0;83.0;5.0;7.0;;;;;;;;;;;;;;;;;;;;;0.0;5.0;;-13.0;-9.0;-16.0;-6.0;-8.0;-9.0;5.0;7.0;;;;;
31;Manufacturing industry;1991 September;14.0;68.0;18.0;-4.0;22.0;67.0;11.0;11.0;;;;;;;;;;;20.0;56.0;24.0;-4.0;19.0;57.0;24.0;-5.0;18.0;58.0;24.0;-6.0;7.0;74.0;19.0;-12.0;111.5;6.0;78.0;16.0;-10.0;4.0;81.0;15.0;-11.0;8.0;87.0;5.0;3.0;13.0;82.0;5.0;8.0;;;;;;;;;;;;;;;;;;;;;-4.0;11.0;;-4.0;-5.0;-6.0;-12.0;-10.0;-11.0;3.0;8.0;;;;;
32;Manufacturing industry;1991 October;22.0;66.0;12.0;10.0;19.0;67.0;14.0;5.0;83.7;12.0;83.0;5.0;7.0;77.0;14.0;3.0;2.0;4.0;29.0;51.0;20.0;9.0;25.0;55.0;20.0;5.0;30.0;52.0;18.0;12.0;9.0;71.0;20.0;-11.0;111.5;6.0;76.0;18.0;-12.0;6.0;76.0;18.0;-12.0;9.0;85.0;6.0;3.0;14.0;82.0;4.0;10.0;;;;;;;;;;;;;18.0;71.0;11.0;7.0;9.0;73.0;18.0;-9.0;10.0;5.0;7.0;9.0;5.0;12.0;-11.0;-12.0;-12.0;3.0;10.0;;;;7.0;-9.0
33;Manufacturing industry;1991 November;23.0;63.0;14.0;9.0;18.0;69.0;13.0;5.0;;;;;;;;;;;24.0;57.0;19.0;5.0;21.0;56.0;23.0;-2.0;21.0;64.0;15.0;6.0;9.0;72.0;19.0;-10.0;111.9;7.0;77.0;16.0;-9.0;6.0;79.0;15.0;-9.0;14.0;78.0;8.0;6.0;13.0;83.0;4.0;9.0;;;;;;;;;;;;;;;;;;;;;9.0;5.0;;5.0;-2.0;6.0;-10.0;-9.0;-9.0;6.0;9.0;;;;;
34;Manufacturing industry;1991 December;17.0;65.0;18.0;-1.0;18.0;66.0;16.0;2.0;;;;;;;;;;;18.0;55.0;27.0;-9.0;18.0;56.0;26.0;-8.0;15.0;58.0;27.0;-12.0;7.0;74.0;19.0;-12.0;110.1;6.0;75.0;19.0;-13.0;4.0;77.0;19.0;-15.0;18.0;74.0;8.0;10.0;13.0;83.0;4.0;9.0;;;;;;;;;;;;;;;;;;;;;-1.0;2.0;;-9.0;-8.0;-12.0;-12.0;-13.0;-15.0;10.0;9.0;;;;;
35;Manufacturing industry;1992 January;18.0;63.0;19.0;-1.0;20.0;67.0;13.0;7.0;83.5;9.0;85.0;6.0;3.0;83.0;11.0;2.0;2.0;2.0;20.0;57.0;23.0;-3.0;19.0;57.0;24.0;-5.0;20.0;58.0;22.0;-2.0;7.0;74.0;19.0;-12.0;109.6;7.0;76.0;17.0;-10.0;5.0;76.0;19.0;-14.0;27.0;65.0;8.0;19.0;12.0;83.0;5.0;7.0;;;;;;;;;;;;;21.0;70.0;9.0;12.0;8.0;75.0;17.0;-9.0;-1.0;7.0;3.0;-3.0;-5.0;-2.0;-12.0;-10.0;-14.0;19.0;7.0;;;;12.0;-9.0
36;Manufacturing industry;1992 February;18.0;66.0;16.0;2.0;22.0;71.0;7.0;15.0;;;;;;;;;;;22.0;60.0;18.0;4.0;22.0;58.0;20.0;2.0;21.0;62.0;17.0;4.0;8.0;75.0;17.0;-9.0;111.6;7.0;76.0;17.0;-10.0;6.0;79.0;15.0;-9.0;14.0;79.0;7.0;7.0;11.0;84.0;5.0;6.0;;;;;;;;;;;;;;;;;;;;;2.0;15.0;;4.0;2.0;4.0;-9.0;-10.0;-9.0;7.0;6.0;;;;;
37;Manufacturing industry;1992 March;16.0;71.0;13.0;3.0;18.0;72.0;10.0;8.0;;;;;;;;;;;20.0;62.0;18.0;2.0;22.0;59.0;19.0;3.0;18.0;65.0;17.0;1.0;8.0;74.0;18.0;-10.0;112.1;7.0;75.0;18.0;-11.0;6.0;78.0;16.0;-10.0;12.0;83.0;5.0;7.0;12.0;83.0;5.0;7.0;;;;;;;;;;;;;;;;;;;;;3.0;8.0;;2.0;3.0;1.0;-10.0;-11.0;-10.0;7.0;7.0;;;;;
38;Manufacturing industry;1992 April;22.0;65.0;13.0;9.0;19.0;73.0;8.0;11.0;83.8;9.0;86.0;5.0;4.0;80.0;12.0;2.0;2.0;4.0;26.0;57.0;17.0;9.0;25.0;56.0;19.0;6.0;24.0;62.0;14.0;10.0;9.0;73.0;18.0;-9.0;115.2;7.0;75.0;18.0;-11.0;7.0;77.0;16.0;-9.0;13.0;81.0;6.0;7.0;12.0;84.0;4.0;8.0;;;;;;;;;;;;;20.0;73.0;6.0;14.0;7.0;74.0;19.0;-12.0;9.0;11.0;4.0;9.0;6.0;10.0;-9.0;-11.0;-9.0;7.0;8.0;;;;14.0;-12.0
39;Manufacturing industry;1992 May;17.0;68.0;15.0;2.0;15.0;76.0;9.0;6.0;;;;;;;;;;;18.0;59.0;23.0;-5.0;19.0;58.0;23.0;-4.0;17.0;60.0;23.0;-6.0;7.0;73.0;20.0;-13.0;114.9;7.0;75.0;18.0;-11.0;6.0;77.0;17.0;-11.0;12.0;84.0;4.0;8.0;13.0;83.0;4.0;9.0;;;;;;;;;;;;;;;;;;;;;2.0;6.0;;-5.0;-4.0;-6.0;-13.0;-11.0;-11.0;8.0;9.0;;;;;
40;Manufacturing industry;1992 June;12.0;68.0;20.0;-8.0;15.0;76.0;9.0;6.0;;;;;;;;;;;15.0;62.0;23.0;-8.0;17.0;60.0;23.0;-6.0;13.0;65.0;22.0;-9.0;7.0;71.0;22.0;-15.0;112.2;7.0;74.0;19.0;-12.0;8.0;73.0;19.0;-11.0;10.0;85.0;5.0;5.0;13.0;83.0;4.0;9.0;;;;;;;;;;;;;;;;;;;;;-8.0;6.0;;-8.0;-6.0;-9.0;-15.0;-12.0;-11.0;5.0;9.0;;;;;
41;Manufacturing industry;1992 July;20.0;70.0;10.0;10.0;9.0;77.0;14.0;-5.0;84.5;12.0;83.0;5.0;7.0;81.0;12.0;2.0;2.0;3.0;27.0;53.0;20.0;7.0;23.0;56.0;21.0;2.0;30.0;51.0;19.0;11.0;9.0;74.0;17.0;-8.0;111.1;7.0;74.0;19.0;-12.0;8.0;76.0;16.0;-8.0;9.0;84.0;7.0;2.0;11.0;85.0;4.0;7.0;;;;;;;;;;;;;10.0;76.0;14.0;-4.0;6.0;74.0;20.0;-14.0;10.0;-5.0;7.0;7.0;2.0;11.0;-8.0;-12.0;-8.0;2.0;7.0;;;;-4.0;-14.0
