ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;NettoOmzet_7;OverigeBedrijfsopbrengsten_8;TotaleBedrijfslasten_9;InkoopwaardeOmzet_10;Arbeidskosten_11;AfschrijvingenOpVasteActiva_12;TotaalOverigeBedrijfslasten_13;Verkoopkosten_14;KostenEnergieverbruik_15;KostenVanDienstverleningDoorDerden_16;NietEerderGenoemdeBedrijfslasten_17;Bedrijfsresultaat_18;FinancieelResultaat_19;SaldoVoorzieningen_20;BuitengewoonResultaat_21;ResultaatVoorBelastingen_22
0;"014 Hoveniers; dienstverl. vd landbouw";2000;10370.0;;;;;;;;;;;;;;;;;;;;;
1;"014 Hoveniers; dienstverl. vd landbouw";2001;10535.0;;;;;;;;;;;;;;;;;;;;;
2;"014 Hoveniers; dienstverl. vd landbouw";2002;11455.0;57.3;50.1;41.3;35.7;4244.0;4188.0;56.0;3695.0;1240.0;1162.0;325.0;966.0;52.0;88.0;79.0;747.0;549.0;-48.0;0.0;9.0;510.0
3;"014 Hoveniers; dienstverl. vd landbouw";2003;11940.0;55.2;48.3;38.9;33.8;4044.0;3987.0;57.0;3537.0;1100.0;1133.0;339.0;965.0;52.0;72.0;83.0;758.0;507.0;-44.0;1.0;4.0;466.0
4;"014 Hoveniers; dienstverl. vd landbouw";2004;12185.0;53.9;48.5;37.2;33.3;4228.0;4167.0;61.0;3704.0;1217.0;1149.0;337.0;999.0;44.0;82.0;85.0;788.0;524.0;-49.0;-2.0;13.0;486.0
5;"014 Hoveniers; dienstverl. vd landbouw";2005;12800.0;59.1;53.9;39.3;35.2;4410.0;4346.0;64.0;3893.0;1254.0;1165.0;334.0;1139.0;53.0;109.0;90.0;887.0;518.0;-46.0;-1.0;22.0;492.0
6;"0141 Hoveniers; dienstv.akker-, tuinbw";2000;9680.0;;;;;;;;;;;;;;;;;;;;;
7;"0141 Hoveniers; dienstv.akker-, tuinbw";2001;9800.0;;;;;;;;;;;;;;;;;;;;;
8;"0141 Hoveniers; dienstv.akker-, tuinbw";2002;10595.0;;;;;;;;;;;;;;;;;;;;;
9;"0141 Hoveniers; dienstv.akker-, tuinbw";2003;10975.0;;;;;;;;;;;;;;;;;;;;;
10;"0141 Hoveniers; dienstv.akker-, tuinbw";2004;11130.0;;;;;;;;;;;;;;;;;;;;;
11;"0141 Hoveniers; dienstv.akker-, tuinbw";2005;11665.0;;;;;;;;;;;;;;;;;;;;;
12;01411 Hoveniersbedrijven;2000;4035.0;;;;;;;;;;;;;;;;;;;;;
13;01411 Hoveniersbedrijven;2001;4415.0;;;;;;;;;;;;;;;;;;;;;
14;01411 Hoveniersbedrijven;2002;4730.0;21.8;19.4;14.9;13.5;1371.0;1353.0;18.0;1171.0;441.0;411.0;59.0;258.0;17.0;8.0;21.0;212.0;200.0;-11.0;-1.0;-1.0;187.0
15;01411 Hoveniersbedrijven;2003;5020.0;21.5;19.6;14.9;13.6;1406.0;1390.0;16.0;1217.0;430.0;436.0;69.0;282.0;19.0;8.0;24.0;231.0;189.0;-9.0;-1.0;-2.0;177.0
16;01411 Hoveniersbedrijven;2004;5130.0;22.4;20.6;15.8;14.4;1511.0;1484.0;27.0;1318.0;473.0;472.0;75.0;298.0;19.0;9.0;27.0;243.0;193.0;-11.0;-2.0;1.0;181.0
17;01411 Hoveniersbedrijven;2005;5440.0;24.7;23.2;16.1;14.9;1537.0;1510.0;27.0;1346.0;501.0;460.0;67.0;319.0;21.0;11.0;24.0;263.0;191.0;-9.0;0.0;0.0;181.0
18;01412 Dienstverl. vd akker-, tuinbouw;2000;5645.0;;;;;;;;;;;;;;;;;;;;;
19;01412 Dienstverl. vd akker-, tuinbouw;2001;5385.0;;;;;;;;;;;;;;;;;;;;;
20;01412 Dienstverl. vd akker-, tuinbouw;2002;5865.0;;;;;;;;;;;;;;;;;;;;;
21;01412 Dienstverl. vd akker-, tuinbouw;2003;5955.0;;;;;;;;;;;;;;;;;;;;;
22;01412 Dienstverl. vd akker-, tuinbouw;2004;6000.0;;;;;;;;;;;;;;;;;;;;;
