ID;Bedrijfstak;Landen;Perioden;Investeringsquote_1
0;Bedrijfstakken, totaal;Australië;1990;25.7
1;Bedrijfstakken, totaal;Australië;1991;23.8
2;Bedrijfstakken, totaal;Australië;1992;24.1
3;Bedrijfstakken, totaal;Australië;1993;24.6
4;Bedrijfstakken, totaal;Australië;1994;26.1
5;Bedrijfstakken, totaal;Australië;1995;24.9
6;Bedrijfstakken, totaal;Australië;1996;25.0
7;Bedrijfstakken, totaal;Australië;1997;26.1
8;Bedrijfstakken, totaal;Australië;1998;26.3
9;Bedrijfstakken, totaal;Australië;1999;27.0
10;Bedrijfstakken, totaal;Australië;2000;24.1
11;Bedrijfstakken, totaal;Australië;2001;25.1
12;Bedrijfstakken, totaal;Australië;2002;27.3
13;Bedrijfstakken, totaal;Australië;2003;27.8
14;Bedrijfstakken, totaal;Australië;2004;28.1
15;Bedrijfstakken, totaal;Australië;2005;28.9
16;Bedrijfstakken, totaal;Australië;2006;
17;Bedrijfstakken, totaal;België;1990;
18;Bedrijfstakken, totaal;België;1991;
19;Bedrijfstakken, totaal;België;1992;
20;Bedrijfstakken, totaal;België;1993;
21;Bedrijfstakken, totaal;België;1994;
22;Bedrijfstakken, totaal;België;1995;21.4
23;Bedrijfstakken, totaal;België;1996;21.6
24;Bedrijfstakken, totaal;België;1997;22.4
25;Bedrijfstakken, totaal;België;1998;22.6
26;Bedrijfstakken, totaal;België;1999;23.2
27;Bedrijfstakken, totaal;België;2000;23.4
28;Bedrijfstakken, totaal;België;2001;22.8
29;Bedrijfstakken, totaal;België;2002;21.5
30;Bedrijfstakken, totaal;België;2003;21.0
31;Bedrijfstakken, totaal;België;2004;22.0
32;Bedrijfstakken, totaal;België;2005;22.8
33;Bedrijfstakken, totaal;België;2006;23.3
34;Bedrijfstakken, totaal;Canada;1990;23.1
35;Bedrijfstakken, totaal;Canada;1991;21.3
36;Bedrijfstakken, totaal;Canada;1992;20.3
37;Bedrijfstakken, totaal;Canada;1993;19.6
38;Bedrijfstakken, totaal;Canada;1994;20.4
39;Bedrijfstakken, totaal;Canada;1995;19.1
40;Bedrijfstakken, totaal;Canada;1996;19.4
41;Bedrijfstakken, totaal;Canada;1997;21.4
42;Bedrijfstakken, totaal;Canada;1998;21.5
43;Bedrijfstakken, totaal;Canada;1999;21.5
44;Bedrijfstakken, totaal;Canada;2000;20.7
45;Bedrijfstakken, totaal;Canada;2001;21.2
46;Bedrijfstakken, totaal;Canada;2002;
47;Bedrijfstakken, totaal;Canada;2003;
48;Bedrijfstakken, totaal;Canada;2004;
49;Bedrijfstakken, totaal;Canada;2005;
50;Bedrijfstakken, totaal;Canada;2006;
51;Bedrijfstakken, totaal;Denemarken;1990;22.6
52;Bedrijfstakken, totaal;Denemarken;1991;21.5
53;Bedrijfstakken, totaal;Denemarken;1992;20.3
54;Bedrijfstakken, totaal;Denemarken;1993;19.4
55;Bedrijfstakken, totaal;Denemarken;1994;19.9
56;Bedrijfstakken, totaal;Denemarken;1995;21.3
57;Bedrijfstakken, totaal;Denemarken;1996;21.6
58;Bedrijfstakken, totaal;Denemarken;1997;22.9
59;Bedrijfstakken, totaal;Denemarken;1998;24.1
60;Bedrijfstakken, totaal;Denemarken;1999;23.3
