ID;RegioS;Perioden;AlleLanden_1;Nederland_2;BuitenlandTotaal_3;EuropaExclusiefNederland_4;Duitsland_5;Belgie_6;GrootBrittannie_7;Frankrijk_8;Zwitserland_9;Italie_10;Spanje_11;Denemarken_12;Zweden_13;OverigeLandenEurozone_14;OverigEuropa_15;Amerika_16;Azie_17;AustralieEnOceanie_18;Afrika_19;AlleLanden_20;Nederland_21;BuitenlandTotaal_22;EuropaExclusiefNederland_23;Duitsland_24;Belgie_25;GrootBrittannie_26;Frankrijk_27;Zwitserland_28;Italie_29;Spanje_30;Denemarken_31;Zweden_32;OverigeLandenEurozone_33;OverigEuropa_34;Amerika_35;Azie_36;AustralieEnOceanie_37;Afrika_38
0;Nederland;1998 januari;292.8;244.3;48.6;48.3;37.0;9.2;;;;;;;;;;;;;;1155.9;941.3;214.6;211.5;165.2;34.4;;;;;;;;;;;;;
1;Nederland;1998 februari;349.7;299.5;50.2;50.1;36.8;10.1;1.9;;;;;;;;;;;;;1377.0;1183.3;193.7;191.6;138.0;38.1;9.3;;;;;;;;;;;;
2;Nederland;1998 maart;366.4;309.7;56.7;56.5;44.6;8.6;1.6;;;;;;;;;;;;;1401.6;1146.5;255.1;253.1;203.9;35.2;6.4;;;;;;;;;;;;
3;Nederland;1998 1e kwartaal;1008.9;853.5;155.4;154.9;118.4;27.9;4.3;1.2;;;;1.1;;;1.4;;;;;3934.5;3271.1;663.4;656.2;507.2;107.7;19.6;6.0;;;;4.4;;;8.1;;;;
4;Nederland;1998 april;739.7;504.5;235.2;233.4;182.5;28.9;10.0;4.8;;;;1.3;;;4.3;1.1;;;;3123.7;1978.7;1145.1;1135.8;928.1;119.9;45.3;16.9;;;;4.2;;;15.7;7.0;;;
5;Nederland;1998 mei;1207.0;1014.2;192.8;190.6;152.0;17.5;8.6;4.3;;;;;;;5.3;;;1.0;;4726.3;3936.3;790.0;782.3;646.7;62.7;36.0;10.3;;;;;;;18.1;;;2.8;
6;Nederland;1998 juni;1085.6;876.1;209.5;206.2;175.3;11.5;6.6;2.4;;1.3;;2.0;;;5.9;1.1;;1.5;;5379.1;4173.7;1205.4;1191.8;1050.6;64.6;30.1;6.7;;2.6;;7.2;;;25.8;5.3;;5.7;
7;Nederland;1998 2e kwartaal;3032.3;2394.8;637.5;630.2;509.9;57.9;25.2;11.6;2.2;2.8;1.1;4.0;;;15.5;3.2;;2.9;;13229.2;10088.7;3140.4;3109.8;2625.3;247.3;111.5;33.8;9.5;6.0;3.4;13.4;;;59.5;16.5;;9.6;
8;Nederland;1998 juli;1257.6;955.5;302.1;297.6;210.7;30.9;12.2;11.1;3.7;5.9;2.8;7.8;;;12.4;1.2;;1.6;;8956.6;6898.6;2058.0;2041.8;1672.7;165.5;55.4;33.2;16.6;13.0;7.8;26.5;;;51.1;4.5;;4.2;
9;Nederland;1998 augustus;1641.3;1289.3;351.9;347.7;224.9;33.3;22.9;16.0;2.6;26.3;6.8;1.9;;;12.9;1.3;1.2;1.3;;12502.2;10373.1;2129.2;2112.1;1599.2;183.5;130.2;44.4;12.6;63.4;19.3;6.4;;;53.2;5.0;7.0;3.3;
10;Nederland;1998 september;787.7;643.5;144.2;141.5;105.0;17.7;7.5;2.1;;4.0;1.1;;;;3.2;;;1.7;;3890.8;3064.4;826.4;816.4;639.9;88.8;33.2;6.9;;19.9;4.0;;;;18.4;;;4.6;
11;Nederland;1998 3e kwartaal;3686.6;2888.3;798.3;786.8;540.6;81.8;42.6;29.2;7.0;36.2;10.8;10.2;;;28.5;3.1;2.4;4.6;1.4;25349.6;20336.1;5013.5;4970.3;3911.7;437.8;218.8;84.5;32.8;96.3;31.1;34.7;;;122.7;12.1;13.5;12.2;5.5
12;Nederland;1998 oktober;702.1;552.4;149.7;149.0;125.3;14.8;4.9;;;;;;;;1.2;;;;;3356.4;2507.5;848.9;845.4;744.9;61.3;21.7;;;;;;;;5.2;;;;
13;Nederland;1998 november;425.3;335.9;89.4;89.2;57.7;25.5;3.3;;;;;;;;;;;;;1691.7;1303.8;387.9;387.1;255.9;102.5;15.0;;;;;;;;;;;;
14;Nederland;1998 december;339.7;290.7;49.0;48.9;35.2;11.1;;;;;;;;;;;;;;1617.3;1397.3;220.0;218.8;146.5;51.1;;;;;;;;;;;;;
