ID;Populatie;RegioS;Motieven;Mobiliteitskenmerken;Perioden;VerplaatsingenPerPersoonPerDag_1;AfstandPerPersoonPerDag_2;ReisduurPerPersoonPerDag_3
0;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1985;;;
1;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1986;;;
2;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1987;;;
3;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1988;;;
4;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1989;;;
5;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1990;;;
6;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1991;;;
7;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1992;;;
8;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1993;;;
9;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1994;3.21;30.79;61.49
10;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1995;3.17;31.43;61.84
11;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1996;3.15;31.29;60.99
12;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1997;3.17;32.39;62.96
13;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1998;3.14;32.08;61.84
14;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;1999;3.15;32.44;61.79
15;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2000;3.11;32.01;60.76
16;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2001;3.07;31.75;59.98
17;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2002;3.07;31.82;59.36
18;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2003;3.09;31.92;59.91
19;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2004;3.06;32.71;61.36
20;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2005;3.0;32.22;60.24
21;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2006;3.03;32.31;60.87
22;Hele bevolking;Nederland;1;Totaal mobiliteitskenmerken;2007;2.99;32.58;60.72
23;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1985;;;
24;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1986;;;
25;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1987;;;
26;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1988;;;
27;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1989;;;
28;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1990;;;
29;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1991;;;
30;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1992;;;
31;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1993;;;
32;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1994;0.27;0.06;1.12
33;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1995;0.25;0.06;1.02
34;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1996;0.24;0.06;0.97
35;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1997;0.24;0.05;0.95
36;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1998;0.24;0.06;1.0
37;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;1999;0.25;0.07;1.29
38;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;2000;0.25;0.07;1.21
39;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;2001;0.24;0.07;1.13
40;Hele bevolking;Nederland;1;Afstand van 0 tot 0,5 km;2002;0.25;0.07;1.21
