ID;Geslacht;RedenenBijEchtScheiding;TotaalAlleScheidingen_1;ScheidingNaEenHuwelijk_2;ScheidingNaNietGehuwdSamenwonen_3
0;Mannen;Moeizaam met elkaar praten;55;59;52
1;Mannen;Botsende karakters;55;57;54
2;Mannen;Seksuele problemen;19;24;14
3;Mannen;Onverenigbare toekomstplannen;33;27;39
4;Mannen;Onenigheid over het krijgen van kinderen;8;8;8
5;Mannen;Financiële problemen;11;14;9
6;Mannen;Verslavingsproblemen;5;5;5
7;Mannen;Vreemdgaan;32;37;27
8;Vrouwen;Moeizaam met elkaar praten;60;64;55
9;Vrouwen;Botsende karakters;54;56;51
10;Vrouwen;Seksuele problemen;25;29;20
11;Vrouwen;Onverenigbare toekomstplannen;39;34;45
12;Vrouwen;Onenigheid over het krijgen van kinderen;12;9;14
13;Vrouwen;Financiële problemen;21;24;18
14;Vrouwen;Verslavingsproblemen;19;20;18
15;Vrouwen;Vreemdgaan;33;35;31
