ID;RegioS;Perioden;Bevolking15Tot65Jaar_1;TotaalBeroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;NettoArbeidsparticipatie_6;Werkloosheidspercentage_7
0;Nederland;1987;10024;5743;5257;486;4281;52.4;8.5
1;Nederland;1988;10107;5867;5378;490;4240;53.2;8.3
2;Nederland;1989;10168;5929;5477;452;4238;53.9;7.6
3;Nederland;1990;10228;6063;5644;419;4165;55.2;6.9
4;Nederland;1991;10294;6189;5790;400;4105;56.2;6.5
5;Nederland;1992;10349;6296;5885;411;4052;56.9;6.5
6;Nederland;1993;10420;6406;5925;481;4014;56.9;7.5
7;Nederland;1994;10473;6466;5920;547;4007;56.5;8.5
8;Nederland;1995;10498;6596;6063;533;3901;57.8;8.1
9;Nederland;1996;10534;6686;6185;501;3848;58.7;7.5
10;Nederland;1997;10566;6832;6384;448;3734;60.4;6.6
11;Nederland;1998;10606;6941;6587;354;3665;62.1;5.1
12;Nederland;1999;10665;7069;6768;301;3596;63.5;4.3
13;Nederland;2000;10729;7187;6917;270;3542;64.5;3.8
14;Nederland;2001;10801;7273;7021;252;3528;65.0;3.5
15;Nederland;2002;10863;7337;7035;302;3526;64.8;4.1
16;Nederland;2003;10903;7401;7001;399;3502;64.2;5.4
17;Nederland;2004;10925;7398;6919;479;3527;63.3;6.5
18;Nederland;2005;10943;7401;6918;483;3542;63.2;6.5
19;Nederland;2006;10964;7486;7074;413;3478;64.5;5.5
20;Noord-Nederland (LD);1987;1062;575;516;59;487;48.6;10.3
21;Noord-Nederland (LD);1988;1067;581;520;62;485;48.7;10.6
22;Noord-Nederland (LD);1989;1069;579;523;56;490;48.9;9.7
23;Noord-Nederland (LD);1990;1072;596;543;53;475;50.7;8.9
24;Noord-Nederland (LD);1991;1075;614;565;49;460;52.6;8.0
25;Noord-Nederland (LD);1992;1077;625;570;55;451;52.9;8.9
26;Noord-Nederland (LD);1993;1081;617;558;59;464;51.7;9.5
27;Noord-Nederland (LD);1994;1086;627;563;64;459;51.8;10.3
28;Noord-Nederland (LD);1995;1090;646;583;63;444;53.5;9.7
29;Noord-Nederland (LD);1996;1093;663;597;66;430;54.6;10.0
30;Noord-Nederland (LD);1997;1095;676;620;56;420;56.6;8.3
31;Noord-Nederland (LD);1998;1098;693;643;50;405;58.6;7.2
32;Noord-Nederland (LD);1999;1103;704;657;47;399;59.6;6.6
33;Noord-Nederland (LD);2000;1108;704;669;36;404;60.3;5.0
34;Noord-Nederland (LD);2001;1117;724;690;34;393;61.8;4.7
35;Noord-Nederland (LD);2002;1125;729;688;41;395;61.2;5.7
36;Noord-Nederland (LD);2003;1129;737;687;50;392;60.9;6.8
37;Noord-Nederland (LD);2004;1129;742;684;58;388;60.5;7.8
38;Noord-Nederland (LD);2005;1129;733;674;59;396;59.7;8.1
39;Noord-Nederland (LD);2006;1132;745;697;48;387;61.5;6.5
40;Oost-Nederland (LD);1987;2012;1135;1029;106;876;51.2;9.4
41;Oost-Nederland (LD);1988;2033;1164;1065;99;870;52.4;8.5
42;Oost-Nederland (LD);1989;2051;1164;1073;91;887;52.3;7.8
43;Oost-Nederland (LD);1990;2067;1213;1126;87;854;54.5;7.2
44;Oost-Nederland (LD);1991;2083;1219;1138;81;864;54.6;6.7
45;Oost-Nederland (LD);1992;2098;1253;1175;78;845;56.0;6.3
46;Oost-Nederland (LD);1993;2118;1277;1183;93;841;55.9;7.3
47;Oost-Nederland (LD);1994;2134;1299;1193;106;835;55.9;8.2
48;Oost-Nederland (LD);1995;2148;1330;1225;105;818;57.0;7.9
49;Oost-Nederland (LD);1996;2160;1344;1247;97;816;57.7;7.2
50;Oost-Nederland (LD);1997;2172;1376;1293;83;795;59.5;6.0
51;Oost-Nederland (LD);1998;2186;1406;1339;67;780;61.2;4.8
52;Oost-Nederland (LD);1999;2205;1448;1389;59;757;63.0;4.0
53;Oost-Nederland (LD);2000;2218;1475;1422;54;743;64.1;3.6
