ID;SizeClassEnterprise;Periods;EnterprisesApplyingForAnEPOPatent_1;PatentApplicationsAtTheEPO_2;EnterprisesApplyingForANLOCPatent_3;PatentApplicationsAtTheNLOC_4
0;1;2000;665.0;4003;1074.0;2031
1;1;2001;679.0;4442;987.0;1783
2;1;2002;612.0;4814;972.0;1791
3;1;2003;624.0;5069;1084.0;1888
4;1;2004;695.0;4771;1060.0;1802
5;1;2005;693.0;4820;1088.0;1837
6;1;2006;756.0;5070;1000.0;1764
7;1;2007;783.0;5123;981.0;1649
8;1;2008;714.0;4597;956.0;1887
9;1;2009;777.0;4544;1097.0;1904
10;1;2010;695.0;3460;1039.0;1849
11;2;2000;90.0;264;155.0;195
12;2;2001;107.0;346;133.0;160
13;2;2002;80.0;272;129.0;144
14;2;2003;80.0;318;123.0;152
15;2;2004;83.0;165;133.0;162
16;2;2005;74.0;171;135.0;149
17;2;2006;70.0;132;73.0;123
18;2;2007;70.0;136;84.0;107
19;2;2008;47.0;64;80.0;112
20;2;2009;86.0;96;120.0;143
21;2;2010;60.0;72;119.0;138
22;3;2000;77.0;89;229.0;248
23;3;2001;81.0;90;224.0;239
24;3;2002;65.0;82;232.0;256
25;3;2003;77.0;98;254.0;272
26;3;2004;107.0;117;240.0;267
27;3;2005;90.0;95;284.0;308
28;3;2006;90.0;89;214.0;224
29;3;2007;91.0;116;239.0;261
30;3;2008;98.0;100;255.0;275
31;3;2009;96.0;106;280.0;304
32;3;2010;102.0;123;259.0;258
33;4;2000;70.0;82;138.0;154
34;4;2001;69.0;95;132.0;141
35;4;2002;66.0;85;132.0;140
36;4;2003;62.0;71;174.0;185
37;4;2004;74.0;86;154.0;168
38;4;2005;73.0;83;153.0;167
39;4;2006;111.0;156;176.0;202
40;4;2007;88.0;108;170.0;192
41;4;2008;73.0;85;150.0;161
42;4;2009;102.0;139;169.0;175
43;4;2010;76.0;108;154.0;182
44;5;2000;43.0;53;80.0;84
45;5;2001;30.0;104;67.0;75
46;5;2002;28.0;47;68.0;81
47;5;2003;36.0;52;72.0;88
48;5;2004;44.0;65;76.0;89
49;5;2005;45.0;55;76.0;93
50;5;2006;58.0;67;74.0;75
51;5;2007;68.0;97;81.0;88
52;5;2008;62.0;74;68.0;78
53;5;2009;53.0;62;59.0;66
54;5;2010;46.0;64;79.0;90
55;6;2000;52.0;98;86.0;103
56;6;2001;53.0;116;65.0;91
57;6;2002;42.0;113;67.0;78
58;6;2003;35.0;95;75.0;97
59;6;2004;38.0;101;83.0;102
60;6;2005;47.0;82;88.0;108
61;6;2006;55.0;91;81.0;112
62;6;2007;62.0;85;66.0;77
63;6;2008;57.0;81;66.0;77
64;6;2009;64.0;114;97.0;114
65;6;2010;63.0;84;78.0;94
66;7;2000;62.0;91;92.0;112
67;7;2001;66.0;114;103.0;136
68;7;2002;76.0;119;77.0;96
69;7;2003;63.0;129;91.0;115
70;7;2004;67.0;118;100.0;128
71;7;2005;71.0;151;98.0;118
72;7;2006;81.0;115;82.0;101
73;7;2007;80.0;126;99.0;124
74;7;2008;76.0;120;85.0;111
75;7;2009;80.0;119;103.0;144
76;7;2010;73.0;137;102.0;152
77;8;2000;46.0;179;72.0;102
78;8;2001;55.0;123;61.0;72
79;8;2002;47.0;89;51.0;64
80;8;2003;43.0;75;61.0;73
81;8;2004;52.0;93;67.0;83
82;8;2005;54.0;90;55.0;73
83;8;2006;48.0;127;80.0;110
84;8;2007;64.0;157;63.0;89
85;8;2008;56.0;158;63.0;84
86;8;2009;54.0;110;62.0;73
87;8;2010;52.0;102;62.0;85
88;9;2000;59.0;144;63.0;126
89;9;2001;56.0;136;48.0;67
90;9;2002;48.0;88;60.0;110
