ID;ArbeidspositieEindePeriode;Persoonskenmerken;Perioden;BeginPeriodeTotaal15Tot65Jaar_1;BeginPeriodeWerkzameBeroepsbevolking_2;BeginPeriodeWerklozeBeroepsbevolking_3;BeginPeriodeNietBeroepsbevolking_4
0;1;Totaal persoonskenmerken;2003 1e kwartaal;10893.0;6945.0;362.0;3587.0
1;1;Totaal persoonskenmerken;2003 2e kwartaal;10906.0;6959.0;392.0;3555.0
2;1;Totaal persoonskenmerken;2003 3e kwartaal;10906.0;7022.0;414.0;3470.0
3;1;Totaal persoonskenmerken;2003 4e kwartaal;10913.0;6945.0;417.0;3551.0
4;1;Totaal persoonskenmerken;2004 1e kwartaal;10919.0;6894.0;488.0;3537.0
5;1;Totaal persoonskenmerken;2004 2e kwartaal;10923.0;6933.0;489.0;3501.0
6;1;Totaal persoonskenmerken;2004 3e kwartaal;10927.0;7004.0;467.0;3456.0
7;1;Totaal persoonskenmerken;2004 4e kwartaal;10931.0;6933.0;460.0;3538.0
8;1;Totaal persoonskenmerken;2005 1e kwartaal;10935.0;6881.0;510.0;3544.0
9;1;Totaal persoonskenmerken;2005 2e kwartaal;10938.0;6959.0;493.0;3486.0
10;1;Totaal persoonskenmerken;2005 3e kwartaal;10941.0;7042.0;476.0;3424.0
11;1;Totaal persoonskenmerken;2005 4e kwartaal;10945.0;7010.0;448.0;3486.0
12;1;Totaal persoonskenmerken;2006 1e kwartaal;10948.0;6994.0;466.0;3487.0
13;1;Totaal persoonskenmerken;2006 2e kwartaal;10950.0;7060.0;417.0;3473.0
14;1;Totaal persoonskenmerken;2006 3e kwartaal;10951.0;7170.0;387.0;3394.0
15;1;Totaal persoonskenmerken;2006 4e kwartaal;10956.0;7165.0;370.0;3421.0
16;1;Totaal persoonskenmerken;2007 1e kwartaal;10960.0;7178.0;396.0;3386.0
17;1;Totaal persoonskenmerken;2007 2e kwartaal;10965.0;7290.0;349.0;3327.0
18;1;Totaal persoonskenmerken;2007 3e kwartaal;10971.0;7400.0;326.0;3246.0
19;1;Totaal persoonskenmerken;2007 4e kwartaal;10976.0;7370.0;303.0;3304.0
20;1;Totaal persoonskenmerken;2008 1e kwartaal;10984.0;7396.0;329.0;3258.0
21;1;Totaal persoonskenmerken;2008 2e kwartaal;10992.0;7495.0;304.0;3193.0
22;1;Totaal persoonskenmerken;2008 3e kwartaal;11001.0;7578.0;286.0;3137.0
23;1;Totaal persoonskenmerken;2008 4e kwartaal;11010.0;7534.0;281.0;3194.0
24;1;Totaal persoonskenmerken;2009 1e kwartaal;11014.0;7500.0;344.0;3170.0
25;1;Totaal persoonskenmerken;2009 2e kwartaal;11014.0;7495.0;369.0;3149.0
26;1;Totaal persoonskenmerken;2009 3e kwartaal;11014.0;7499.0;390.0;3124.0
27;1;Totaal persoonskenmerken;2009 4e kwartaal;11013.0;7382.0;406.0;3225.0
28;1;Totaal persoonskenmerken;2010 1e kwartaal;11014.0;7312.0;467.0;3235.0
29;1;Totaal persoonskenmerken;2010 2e kwartaal;11016.0;7370.0;437.0;3210.0
30;1;Totaal persoonskenmerken;2010 3e kwartaal;11018.0;7455.0;410.0;3153.0
