ID;SIC1993SizeClasses;Periods;UnfilledVacancies_1;NewVacancies_2;FilledVacancies_3;UnfilledVacancies_4;NewVacancies_5;FilledVacancies_6
0;A-O Total SIC'93;1997 1st quarter;;;;88.8;151.0;141.0
1;A-O Total SIC'93;1997 2nd quarter;;;;100.5;190.0;178.0
2;A-O Total SIC'93;1997 3rd quarter;;;;91.6;182.0;191.0
3;A-O Total SIC'93;1997 4th quarter;;;;115.3;189.0;165.0
4;A-O Total SIC'93;1997 annual figure;;;;;;
5;A-O Total SIC'93;1998 1st quarter;;;;133.1;220.0;202.0
6;A-O Total SIC'93;1998 2nd quarter;;;;151.7;229.0;211.0
7;A-O Total SIC'93;1998 3rd quarter;;;;128.9;209.0;232.0
8;A-O Total SIC'93;1998 4th quarter;;;;136.7;197.0;189.0
9;A-O Total SIC'93;1998 annual figure;;;;134.9;855.0;834.0
10;A-O Total SIC'93;1999 1st quarter;;;;158.0;241.0;221.0
11;A-O Total SIC'93;1999 2nd quarter;;;;196.9;268.0;229.0
12;A-O Total SIC'93;1999 3rd quarter;;;;170.7;217.0;243.0
13;A-O Total SIC'93;1999 4th quarter;;;;183.7;226.0;213.0
14;A-O Total SIC'93;1999 annual figure;;;;171.5;952.0;905.0
15;A-O Total SIC'93;2000 1st quarter;;;;215.6;283.0;251.0
16;A-O Total SIC'93;2000 2nd quarter;;;;218.2;251.0;248.0
17;A-O Total SIC'93;2000 3rd quarter;;;;183.4;230.0;265.0
18;A-O Total SIC'93;2000 4th quarter;;;;204.2;254.0;233.0
19;A-O Total SIC'93;2000 annual figure;;;;202.8;1018.0;997.0
20;A-O Total SIC'93;2001 1st quarter;;;;215.6;270.0;258.0
21;A-O Total SIC'93;2001 2nd quarter;;;;218.1;273.0;270.0
22;A-O Total SIC'93;2001 3rd quarter;;;;170.7;209.0;256.0
23;A-O Total SIC'93;2001 4th quarter;;;;163.9;194.0;200.0
24;A-O Total SIC'93;2001 annual figure;;;;197.1;945.0;986.0
25;A-O Total SIC'93;2002 1st quarter;;;;177.8;213.0;199.0
26;A-O Total SIC'93;2002 2nd quarter;;;;162.0;200.0;216.0
27;A-O Total SIC'93;2002 3rd quarter;;;;115.1;160.0;207.0
28;A-O Total SIC'93;2002 4th quarter;;;;120.9;162.0;156.0
29;A-O Total SIC'93;2002 annual figure;;;;149.3;735.0;777.0
30;A-O Total SIC'93;2003 1st quarter;;;;123.5;177.0;174.0
31;A-O Total SIC'93;2003 2nd quarter;;;;125.2;175.0;173.0
32;A-O Total SIC'93;2003 3rd quarter;;;;81.3;141.0;185.0
33;A-O Total SIC'93;2003 4th quarter;;;;94.1;152.0;139.0
34;A-O Total SIC'93;2003 annual figure;;;;109.4;645.0;671.0
35;A-O Total SIC'93;2004 1st quarter;;;;121.2;178.0;151.0
36;A-O Total SIC'93;2004 2nd quarter;;;;135.7;203.0;188.0
37;A-O Total SIC'93;2004 3rd quarter;;;;109.3;168.0;195.0
38;A-O Total SIC'93;2004 4th quarter;;;;120.2;176.0;165.0
39;A-O Total SIC'93;2004 annual figure;;;;118.3;725.0;699.0
40;A-O Total SIC'93;2005 1st quarter;;;;153.9;217.0;183.0
41;A-O Total SIC'93;2005 2nd quarter;;;;154.1;212.0;212.0
42;A-O Total SIC'93;2005 3rd quarter;;;;152.8;228.0;229.0
43;A-O Total SIC'93;2005 4th quarter;;;;156.9;212.0;208.0
44;A-O Total SIC'93;2005 annual figure;;;;149.8;869.0;832.0
45;A-O Total SIC'93;2006 1st quarter;;;;185.4;252.0;224.0
46;A-O Total SIC'93;2006 2nd quarter;;;;210.0;283.0;259.0
47;A-O Total SIC'93;2006 3rd quarter;;;;200.5;264.0;274.0
48;A-O Total SIC'93;2006 4th quarter;221.2;257.0;256.0;208.0;246.0;238.0
49;A-O Total SIC'93;2006 annual figure;;;;194.6;1045.0;994.0
50;A-O Total SIC'93;2007 1st quarter;239.0;293.0;275.0;;;
51;A-O Total SIC'93;2007 2nd quarter;251.1;302.0;290.0;;;
52;A-O Total SIC'93;2007 3rd quarter;238.2;272.0;285.0;;;
53;A-O Total SIC'93;2007 4th quarter;240.2;260.0;258.0;;;
54;A-O Total SIC'93;2007 annual figure;239.8;1127.0;1108.0;;;
55;A-O Total SIC'93;2008 1st quarter;250.0;275.0;266.0;;;
56;A-O Total SIC'93;2008 2nd quarter;255.9;287.0;281.0;;;
57;A-O Total SIC'93;2008 3rd quarter;237.5;263.0;289.0;;;
58;A-O Total SIC'93;2008 4rd quarter;187.8;204.0;254.0;;;
59;A-O Total SIC'93;2008 annual figure;239.3;1030.0;1089.0;;;
60;A-O Total SIC'93;2009 1st quarter;153.9;187.0;221.0;;;
61;A-O Total SIC'93;2009 2nd quarter;136.8;185.0;202.0;;;
62;A-O Total SIC'93;2009 3rd quarter;124.4;182.0;195.0;;;
63;A-O Total SIC'93;2009 4rd quarter;119.1;171.0;176.0;;;
64;A-O Total SIC'93;2009 annual figure;142.1;725.0;793.0;;;
65;A, B Agriculture and fishing;1997 1st quarter;;;;0.9;3.0;3.0
66;A, B Agriculture and fishing;1997 2nd quarter;;;;2.0;7.0;6.0
67;A, B Agriculture and fishing;1997 3rd quarter;;;;1.8;3.0;4.0
68;A, B Agriculture and fishing;1997 4th quarter;;;;1.5;3.0;3.0
69;A, B Agriculture and fishing;1997 annual figure;;;;;;
70;A, B Agriculture and fishing;1998 1st quarter;;;;2.4;8.0;7.0
71;A, B Agriculture and fishing;1998 2nd quarter;;;;1.8;5.0;5.0
72;A, B Agriculture and fishing;1998 3rd quarter;;;;2.0;7.0;7.0
73;A, B Agriculture and fishing;1998 4th quarter;;;;2.1;4.0;4.0
74;A, B Agriculture and fishing;1998 annual figure;;;;2.0;24.0;23.0
75;A, B Agriculture and fishing;1999 1st quarter;;;;2.6;7.0;6.0
76;A, B Agriculture and fishing;1999 2nd quarter;;;;3.2;8.0;7.0
77;A, B Agriculture and fishing;1999 3rd quarter;;;;2.3;5.0;6.0
78;A, B Agriculture and fishing;1999 4th quarter;;;;2.5;4.0;4.0
79;A, B Agriculture and fishing;1999 annual figure;;;;2.6;23.0;23.0
80;A, B Agriculture and fishing;2000 1st quarter;;;;3.4;7.0;6.0
81;A, B Agriculture and fishing;2000 2nd quarter;;;;4.1;6.0;5.0
82;A, B Agriculture and fishing;2000 3rd quarter;;;;2.8;8.0;9.0
83;A, B Agriculture and fishing;2000 4th quarter;;;;3.8;6.0;5.0
84;A, B Agriculture and fishing;2000 annual figure;;;;3.4;26.0;25.0
85;A, B Agriculture and fishing;2001 1st quarter;;;;4.4;6.0;6.0
86;A, B Agriculture and fishing;2001 2nd quarter;;;;3.4;4.0;5.0
87;A, B Agriculture and fishing;2001 3rd quarter;;;;2.7;4.0;5.0
88;A, B Agriculture and fishing;2001 4th quarter;;;;2.6;3.0;3.0
89;A, B Agriculture and fishing;2001 annual figure;;;;3.4;18.0;19.0
90;A, B Agriculture and fishing;2002 1st quarter;;;;4.6;6.0;4.0
91;A, B Agriculture and fishing;2002 2nd quarter;;;;4.0;4.0;5.0
