ID;LeeftijdsklasseVoertuig;Perioden;TotaalMotorvoertuigen_1;Personenauto_2;TotaalBedrijfsvoertuigen_3;TotaalBedrijfsmotorvoertuigen_4;Bestelauto_5;VrachtautoExclTrekkerVoorOplegger_6;TrekkerVoorOplegger_7;SpeciaalVoertuig_8;Bus_9;TotaalAanhangwagensEnOpleggers_10;Aanhangwagen_11;Oplegger_12;Motorfiets_13
0;Totaal;2019;11372065;8442982;2283037;1110651;903005;61652;78788;57693;9513;1172386;1008412;163974;646046
1;Totaal;2020;11567203;8584391;2328425;1135943;927251;61746;80118;57129;9699;1192482;1023980;168502;654387
2;Totaal;2021;11704406;8686419;2351390;1151740;945433;60831;79932;56494;9050;1199650;1029636;170014;666597
3;Totaal;2022;11917133;8827709;2411637;1182857;974792;60867;82436;56230;8532;1228780;1051486;177294;677787
4;Totaal;2023;12063981;8917107;2456150;1201061;989841;60811;85679;55974;8756;1255089;1069827;185262;690724
5;Totaal;2024;12255576;9067393;2484868;1218693;1006477;61521;86457;55563;8675;1266175;1077996;188179;703315
6;Totaal;2025;12519332;9247810;2550931;1265892;1050688;63197;87837;54937;9233;1285039;1096141;188898;720591
7;Jonger dan 1 jaar;2019;579535;431167;136429;92325;76972;4363;8963;1479;548;44104;29785;14319;11939
8;Jonger dan 1 jaar;2020;578342;432604;132935;89441;73655;4737;8495;1653;901;43494;31090;12404;12803
9;Jonger dan 1 jaar;2021;468963;344308;111036;70023;59187;3439;5483;1292;622;41013;31565;9448;13619
10;Jonger dan 1 jaar;2022;461654;320706;126478;77212;65794;3132;6702;1324;260;49266;36131;13135;14470
11;Jonger dan 1 jaar;2023;438664;309317;114818;67818;55301;3131;7895;1266;225;47000;32375;14625;14529
12;Jonger dan 1 jaar;2024;499485;359863;123355;81165;65270;4678;9365;1470;382;42190;29590;12600;16267
13;Jonger dan 1 jaar;2025;569755;377211;174310;133772;115336;6166;9648;1773;849;40538;30193;10345;18234
14;1 of 2 jaar;2019;1128801;849233;254774;174519;144712;7967;17469;2649;1722;80255;54018;26237;24794
15;1 of 2 jaar;2020;1215649;920578;269594;183023;152899;8385;17521;2790;1428;86571;58272;28299;25477
16;1 of 2 jaar;2021;1266699;964313;275247;187839;156228;9153;17783;3240;1435;87408;60911;26497;27139
17;1 of 2 jaar;2022;1184233;903443;251719;167234;140185;8254;14242;3020;1533;84485;62756;21729;29071
18;1 of 2 jaar;2023;1056969;783029;243141;152984;130380;6632;12338;2702;932;90157;67864;22293;30799
19;1 of 2 jaar;2024;1028746;748824;248556;152409;128143;6337;14695;2708;526;96147;68607;27540;31366
20;1 of 2 jaar;2025;1066507;785442;247605;158388;129410;7958;17578;2818;624;89217;62173;27044;33460
21;3 of 4 jaar;2019;1125681;900893;200992;133781;110546;5818;14551;1909;957;67211;45261;21950;23796
22;3 of 4 jaar;2020;1152497;894870;230737;157713;129594;7214;17333;2443;1129;73024;49057;23967;26890
23;3 of 4 jaar;2021;1171871;886492;256174;176105;146202;7993;17679;2633;1598;80069;54128;25941;29205
24;3 of 4 jaar;2022;1290656;984955;275233;188631;157604;8515;18421;2806;1285;86602;58430;28172;30468
25;3 of 4 jaar;2023;1347463;1033567;281836;194169;161069;9404;18938;3278;1480;87667;61062;26605;32060
26;3 of 4 jaar;2024;1245371;958445;253435;169008;141577;8361;14420;3099;1551;84427;62952;21475;33491
27;3 of 4 jaar;2025;1176314;896571;244558;154287;131554;6813;12217;2785;918;90271;68223;22048;35185
28;5 of 6 jaar;2019;1136326;934460;178909;121612;99524;6443;12162;2241;1242;57297;42901;14396;22957
29;5 of 6 jaar;2020;1048991;847200;177550;119078;98416;5644;11899;1962;1157;58472;41712;16760;24241
30;5 of 6 jaar;2021;1101298;877150;196072;129771;107839;5653;13503;1897;879;66301;45212;21089;28076
31;5 of 6 jaar;2022;1164204;904688;227718;155407;128066;7256;16545;2488;1052;72311;49189;23122;31798
32;5 of 6 jaar;2023;1208201;919998;253984;174175;144403;8139;17289;2720;1624;79809;54399;25410;34219
33;5 of 6 jaar;2024;1296086;992170;268811;182603;152279;8532;17500;2883;1409;86208;58534;27674;35105
34;5 of 6 jaar;2025;1338910;1031271;271329;184079;152746;9189;17322;3352;1470;87250;61249;26001;36310
35;7 of 8 jaar;2019;1243912;1038679;176967;111827;94325;6510;7495;2309;1188;65140;53260;11880;28266
36;7 of 8 jaar;2020;1268340;1061999;179797;117466;99737;6182;8090;2286;1171;62331;49465;12866;26544
37;7 of 8 jaar;2021;1144358;950487;167984;112302;94547;5694;8697;2196;1168;55682;42511;13171;25887
38;7 of 8 jaar;2022;1072671;875299;169669;111990;94522;5134;9334;1945;1055;57679;41523;16156;27703
39;7 of 8 jaar;2023;1114654;894263;188570;123227;103617;5483;11299;1942;886;65343;45170;20173;31821
40;7 of 8 jaar;2024;1155167;905585;214380;143460;120294;6817;12723;2481;1145;70920;49088;21832;35202
41;7 of 8 jaar;2025;1199032;927256;234088;155703;131559;7169;12572;2698;1705;78385;54432;23953;37688
42;9 tot 12 jaar;2019;1598676;1236297;298088;170912;144133;11026;9174;4402;2177;127176;102756;24420;64291
43;9 tot 12 jaar;2020;1611769;1293695;260361;151720;128743;9924;7184;3819;2050;108641;90048;18593;57713
44;9 tot 12 jaar;2021;1701356;1417409;234109;139204;119678;8469;6257;3299;1501;94905;79889;15016;49838
45;9 tot 12 jaar;2022;1807853;1526692;235799;145102;126432;7556;6652;3060;1402;90697;74870;15827;45362
46;9 tot 12 jaar;2023;1745135;1468342;233316;147522;128381;7089;7478;3074;1500;85794;68580;17214;43477
47;9 tot 12 jaar;2024;1603349;1333827;224734;142724;124771;6331;7357;2715;1550;82010;63637;18373;44788
48;9 tot 12 jaar;2025;1560692;1283035;229315;143687;125076;6285;8374;2647;1305;85628;64401;21227;48342
49;12 tot 15 jaar;2019;1469899;1158657;245284;115106;100430;5358;4459;4256;603;130178;113250;16928;65958
50;12 tot 15 jaar;2020;1472758;1159686;246624;115807;100379;6095;4882;3631;820;130817;110862;19955;66448
51;12 tot 15 jaar;2021;1518885;1185966;263669;133071;115791;7308;5434;3592;946;130598;108316;22282;69250
52;12 tot 15 jaar;2022;1473455;1157441;248812;129811;112926;7508;4655;3536;1186;119001;98895;20106;67202
53;12 tot 15 jaar;2023;1507159;1226341;220662;117823;102942;6857;3791;3093;1140;102839;87288;15551;60156
54;12 tot 15 jaar;2024;1578626;1328847;198070;107339;94839;5652;3181;2674;993;90731;78325;12406;51709
55;12 tot 15 jaar;2025;1628337;1390642;190573;104466;93567;4548;3007;2353;991;86107;73530;12577;47122
56;15 tot 20 jaar;2019;1756846;1327287;319042;113357;92166;5888;2420;12404;479;205685;188953;16732;110517
57;15 tot 20 jaar;2020;1770116;1333231;327654;118401;99163;5228;2508;11051;451;209253;191844;17409;109231
58;15 tot 20 jaar;2021;1764979;1340122;317729;114541;97345;4805;2766;9272;353;203188;185602;17586;107128
59;15 tot 20 jaar;2022;1803384;1381167;315067;112928;96697;5129;3313;7502;287;202139;183253;18886;107150
60;15 tot 20 jaar;2023;1867368;1431714;326042;121578;105690;5515;3811;6090;472;204464;182027;22437;109612
61;15 tot 20 jaar;2024;1941132;1498456;331504;132049;115830;6258;4164;5191;606;199455;174842;24613;111172
62;15 tot 20 jaar;2025;1938168;1525750;304394;117330;101900;6491;3884;4192;863;187064;163994;23070;108024
63;20 tot 25 jaar;2019;554259;295356;171902;32672;18193;2797;828;10651;203;139230;130850;8380;87001
64;20 tot 25 jaar;2020;636199;361777;183262;37584;22230;2904;877;11376;197;145678;136446;9232;91160
65;20 tot 25 jaar;2021;721653;430213;196010;41247;25555;3001;917;11599;175;154763;144905;9858;95430
66;20 tot 25 jaar;2022;771460;466140;208708;44045;28124;3099;1018;11657;147;164663;154209;10454;96612
67;20 tot 25 jaar;2023;836246;521796;217455;47514;31726;3169;1187;11284;148;169941;159343;10598;96995
68;20 tot 25 jaar;2024;911537;584315;229155;49676;34948;2984;1291;10291;162;179479;168741;10738;98067
69;20 tot 25 jaar;2025;969391;635647;236015;51893;38609;2789;1336;8997;162;184122;173109;11013;97729
70;25 jaar of ouder;2019;778130;270953;300650;44540;22004;5482;1267;15393;394;256110;247378;8732;206527
71;25 jaar of ouder;2020;812542;278751;319911;45710;22435;5433;1329;16118;395;274201;265184;9017;213880
72;25 jaar of ouder;2021;844344;289959;333360;47637;23061;5316;1413;17474;373;285723;276597;9126;221025
73;25 jaar of ouder;2022;887563;307178;352434;50497;24442;5284;1554;18892;325;301937;292230;9707;227951
74;25 jaar of ouder;2023;942122;328740;376326;54251;26332;5392;1653;20525;349;322075;311719;10356;237056
75;25 jaar of ouder;2024;996077;357061;392868;58260;28526;5571;1761;22051;351;334608;323680;10928;246148
76;25 jaar of ouder;2025;1072226;394985;418744;62287;30931;5789;1899;23322;346;356457;344837;11620;258497
