ID;DuurVanDeTrajecten;RegioS;Perioden;TotaalJeugdzorgtrajecten_1;TotaalJeugdhulphulptrajecten_2;TotaalJeugdhulpZonderVerblijf_3;UitgevoerdDoorHetWijkOfBuurtteam_4;TotaalNietUitgevoerd_5;AmbulanteJeugdhulpOpLocatieAanbieder_6;DaghulpOpLocatieVanDeAanbieder_7;JeugdhulpInHetNetwerkVanDeJongere_8;TotaalJeugdhulpMetVerblijf_9;Pleegzorg_10;Gezinsgericht_11;GeslotenPlaatsing_12;AnderVerblijfBijJeugdhulpaanbieder_13;TotaalJeugdbeschermingstrajecten_14;TotaalOndertoezichtstelling_15;Ondertoezichtstelling_16;VoorlopigeOndertoezichtstelling_17;TotaalVoogdij_18;ReguliereVoogdij_19;VoorlopigeVoogdij_20;TijdelijkeVoogdij_21;TotaalJeugdreclasseringstrajecten_22;ToezichtEnBegeleidingGedwongenKader_23;ToezichtEnBegeleidingVrijwillig_24;IndividueleTrajectbegeleidingHardeKern_25;IndividueleTrajectbegeleidingCriem_26;ScholingsEnTrainingsprogramma_27;GedragsbeinvloedendeMaatregel_28;VoorbereidGedragsbeinvloedMaatregel_29
0;Totaal alle trajecten;Nederland;31 maart 2015;319590;277720;245135;14705.0;230430;181495.0;16605.0;32330.0;32585.0;18290.0;2940.0;1225.0;10125.0;33565.0;24605.0;24355.0;250.0;8960.0;8835.0;115.0;10.0;8305.0;6970.0;875.0;105.0;60.0;;145.0;150.0
1;Totaal alle trajecten;Nederland;30 juni 2015;341375;300185;266965;18980.0;247985;195625.0;18155.0;34210.0;33215.0;18400.0;3080.0;1305.0;10430.0;32780.0;23720.0;23405.0;315.0;9055.0;8940.0;105.0;10.0;8410.0;7010.0;905.0;130.0;80.0;;145.0;145.0
2;Totaal alle trajecten;Nederland;31 december 2015;349210;309780;276690;24795.0;251895;197030.0;19035.0;35830.0;33090.0;18335.0;3220.0;1250.0;10285.0;31075.0;21730.0;21445.0;285.0;9345.0;9225.0;115.0;;8350.0;6885.0;990.0;135.0;60.0;;140.0;145.0
3;Totaal alle trajecten;Nederland;30 juni 2016;356665;318600;282420;37390.0;245035;192195.0;18125.0;34715.0;36180.0;18630.0;3400.0;1250.0;12895.0;30630.0;20765.0;20420.0;345.0;9865.0;9725.0;105.0;40.0;7435.0;6275.0;740.0;115.0;65.0;;15.0;225.0
4;Totaal alle trajecten;Nederland;31 december 2016;362265;325140;288725;40710.0;248015;191960.0;19060.0;36995.0;36420.0;18590.0;3515.0;1205.0;13105.0;30300.0;20410.0;20085.0;325.0;9895.0;9755.0;110.0;25.0;6820.0;5925.0;590.0;95.0;60.0;;15.0;135.0
5;Totaal alle trajecten;Nederland;30 juni 2017;383050;345520;307255;52200.0;255055;201345.0;19160.0;34545.0;38265.0;19040.0;3580.0;1305.0;14345.0;30805.0;20645.0;20345.0;300.0;10160.0;9990.0;125.0;45.0;6725.0;5780.0;770.0;115.0;50.0;;10.0;
6;Totaal alle trajecten;Nederland;31 december 2017;372445;335170;296840;48610.0;248225;193045.0;19315.0;35865.0;38330.0;18885.0;3670.0;1315.0;14455.0;30785.0;20705.0;20380.0;325.0;10080.0;9935.0;105.0;40.0;6490.0;5595.0;720.0;115.0;50.0;;10.0;
7;Totaal alle trajecten;Noord-Nederland (LD);31 maart 2015;38870;34185;30650;435.0;30215;25695.0;1190.0;3330.0;3535.0;2245.0;410.0;140.0;745.0;3870.0;2685.0;2660.0;25.0;1185.0;1170.0;15.0;;815.0;730.0;60.0;15.0;;;;
8;Totaal alle trajecten;Noord-Nederland (LD);30 juni 2015;41170;36495;32895;580.0;32320;27450.0;1300.0;3565.0;3600.0;2240.0;445.0;155.0;765.0;3830.0;2620.0;2575.0;40.0;1210.0;1195.0;15.0;;850.0;745.0;75.0;20.0;;;;
9;Totaal alle trajecten;Noord-Nederland (LD);31 december 2015;41130;36640;32980;760.0;32220;27065.0;1460.0;3690.0;3665.0;2245.0;480.0;130.0;810.0;3685.0;2460.0;2435.0;25.0;1225.0;1220.0;;;805.0;685.0;85.0;25.0;10.0;;;
10;Totaal alle trajecten;Noord-Nederland (LD);30 juni 2016;39575;35155;30465;740.0;29720;24435.0;1285.0;4000.0;4695.0;2470.0;685.0;125.0;1415.0;3635.0;2370.0;2335.0;30.0;1265.0;1260.0;;;780.0;690.0;80.0;10.0;;;;
11;Totaal alle trajecten;Noord-Nederland (LD);31 december 2016;39890;35480;30715;855.0;29860;24415.0;1235.0;4210.0;4765.0;2450.0;745.0;105.0;1470.0;3650.0;2375.0;2350.0;25.0;1275.0;1265.0;10.0;;760.0;685.0;60.0;10.0;;;;
12;Totaal alle trajecten;Noord-Nederland (LD);30 juni 2017;47705;43340;38195;2575.0;35620;30210.0;1435.0;3975.0;5145.0;2655.0;570.0;150.0;1775.0;3635.0;2285.0;2275.0;10.0;1350.0;1330.0;20.0;;730.0;600.0;115.0;15.0;;;;
13;Totaal alle trajecten;Noord-Nederland (LD);31 december 2017;46530;42200;36960;2180.0;34785;29070.0;1540.0;4175.0;5240.0;2685.0;575.0;150.0;1830.0;3615.0;2270.0;2235.0;30.0;1350.0;1335.0;10.0;;715.0;590.0;105.0;15.0;;;;
14;Totaal alle trajecten;Oost-Nederland (LD);31 maart 2015;70460;60985;52750;1050.0;51700;39835.0;4420.0;7445.0;8235.0;4065.0;1130.0;235.0;2805.0;7860.0;5860.0;5805.0;55.0;2000.0;1985.0;15.0;;1610.0;1365.0;205.0;15.0;20.0;;;
