ID;AfnameOpJaarbasis;Perioden;HoogsteTarief_1;GemiddeldeTarief_2;LaagsteTarief_3
0;50;1997;2.55;1.66;0.74
1;50;1998;2.57;1.67;0.74
2;50;1999;2.57;1.73;0.78
3;50;2000;2.66;1.95;0.89
4;50;2001;2.75;2.01;0.94
5;50;2002;2.69;1.93;0.96
6;50;2003;2.85;1.95;1.04
7;50;2004;2.87;1.96;1.14
8;50;2005;2.91;1.98;1.25
9;50;2006;3.56;2.03;1.39
10;50;2007;3.36;2.04;1.47
11;50;2008;3.3;2.04;1.54
12;50;2009;3.37;2.05;1.64
13;50;2010;3.45;2.09;1.68
14;50;2011;3.49;2.13;1.71
15;50;2012;3.34;2.06;1.57
16;50;2013;3.31;2.09;1.64
17;100 m3;1997;2.01;1.34;0.74
18;100 m3;1998;2.02;1.36;0.74
19;100 m3;1999;2.02;1.42;0.78
20;100 m3;2000;2.14;1.59;0.9
21;100 m3;2001;2.14;1.63;0.94
22;100 m3;2002;2.07;1.59;0.99
23;100 m3;2003;2.14;1.6;1.05
24;100 m3;2004;2.15;1.61;1.13
25;100 m3;2005;2.17;1.61;1.22
26;100 m3;2006;2.47;1.63;1.27
27;100 m3;2007;2.28;1.62;1.3
28;100 m3;2008;2.21;1.6;1.33
29;100 m3;2009;2.25;1.61;1.37
30;100 m3;2010;2.31;1.63;1.38
31;100 m3;2011;2.34;1.65;1.41
32;100 m3;2012;2.19;1.53;1.23
33;100 m3;2013;2.22;1.54;1.25
34;300 m3;1997;1.65;1.13;0.73
35;300 m3;1998;1.66;1.16;0.73
36;300 m3;1999;1.66;1.21;0.78
37;300 m3;2000;1.84;1.34;0.91
38;300 m3;2001;1.85;1.38;0.95
39;300 m3;2002;1.72;1.36;1.0
40;300 m3;2003;1.67;1.36;1.07
41;300 m3;2004;1.67;1.37;1.13
42;300 m3;2005;1.68;1.36;1.13
43;300 m3;2006;1.75;1.36;1.11
44;300 m3;2007;1.63;1.34;1.08
45;300 m3;2008;1.63;1.31;1.05
46;300 m3;2009;1.55;1.31;1.06
47;300 m3;2010;1.56;1.32;1.07
48;300 m3;2011;1.59;1.32;1.05
49;300 m3;2012;1.56;1.18;0.84
50;300 m3;2013;1.56;1.17;0.86
