ID;SamenstellingVanHetHuishouden;SoortWoonruimte;RegioS;Perioden;ParticuliereHuishoudens_1
0;Totaal particulier huishouden;Totaal;Nederland;2015;7720175.0
1;Totaal particulier huishouden;Totaal;Nederland;2016;7793525.0
2;Totaal particulier huishouden;Totaal;Nederland;2017;7857365.0
3;Totaal particulier huishouden;Totaal;Nederland;2018;7924140.0
4;Totaal particulier huishouden;Totaal;Nederland;2019;7997285.0
5;Totaal particulier huishouden;Totaal;Nederland;2020;8043135.0
6;Totaal particulier huishouden;Totaal;Nederland;2021;8138130.0
7;Totaal particulier huishouden;Totaal;Nederland;2022;8269785.0
8;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2015;790450.0
9;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2016;795695.0
10;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2017;798875.0
11;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2018;803635.0
12;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2019;809145.0
13;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2020;812545.0
14;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2021;820005.0
15;Totaal particulier huishouden;Totaal;Noord-Nederland (LD);2022;829270.0
16;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2015;1552995.0
17;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2016;1570450.0
18;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2017;1584080.0
19;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2018;1600650.0
20;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2019;1616405.0
21;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2020;1629250.0
22;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2021;1648470.0
23;Totaal particulier huishouden;Totaal;Oost-Nederland (LD);2022;1673885.0
24;Totaal particulier huishouden;Totaal;West-Nederland (LD);2015;3743855.0
25;Totaal particulier huishouden;Totaal;West-Nederland (LD);2016;3778705.0
26;Totaal particulier huishouden;Totaal;West-Nederland (LD);2017;3811835.0
27;Totaal particulier huishouden;Totaal;West-Nederland (LD);2018;3843860.0
28;Totaal particulier huishouden;Totaal;West-Nederland (LD);2019;3882015.0
29;Totaal particulier huishouden;Totaal;West-Nederland (LD);2020;3901820.0
30;Totaal particulier huishouden;Totaal;West-Nederland (LD);2021;3950075.0
31;Totaal particulier huishouden;Totaal;West-Nederland (LD);2022;4020360.0
32;Totaal particulier huishouden;Totaal;Zuid-Nederland (LD);2015;1632875.0
33;Totaal particulier huishouden;Totaal;Zuid-Nederland (LD);2016;1648670.0
34;Totaal particulier huishouden;Totaal;Zuid-Nederland (LD);2017;1662580.0
35;Totaal particulier huishouden;Totaal;Zuid-Nederland (LD);2018;1675950.0
