ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Herkomst (land);10773.4;17.7
1;Nederland;Herkomst: Nederland;9080.0;17.9
2;Nederland;Herkomst: Niet-Nederland;1693.3;16.7
3;Nederland;Herkomst: Westers land;930.4;18.3
4;Nederland;Herkomst: Niet-westers land;762.9;14.8
5;Noord-Nederland (LD);Herkomst (land);1125.9;16.3
6;Noord-Nederland (LD);Herkomst: Nederland;1039.7;16.4
7;Noord-Nederland (LD);Herkomst: Niet-Nederland;86.2;15.5
8;Noord-Nederland (LD);Herkomst: Westers land;59.9;16.4
9;Noord-Nederland (LD);Herkomst: Niet-westers land;26.3;13.5
10;Oost-Nederland (LD);Herkomst (land);2255.4;17.1
11;Oost-Nederland (LD);Herkomst: Nederland;1970.8;17.3
12;Oost-Nederland (LD);Herkomst: Niet-Nederland;284.5;15.9
13;Oost-Nederland (LD);Herkomst: Westers land;171.2;17.2
14;Oost-Nederland (LD);Herkomst: Niet-westers land;113.4;14.1
15;West-Nederland (LD);Herkomst (land);5010.8;18.5
16;West-Nederland (LD);Herkomst: Nederland;4025.3;18.8
17;West-Nederland (LD);Herkomst: Niet-Nederland;985.5;17.3
18;West-Nederland (LD);Herkomst: Westers land;463.7;19.8
19;West-Nederland (LD);Herkomst: Niet-westers land;521.7;15.1
20;Zuid-Nederland (LD);Herkomst (land);2381.3;17.2
21;Zuid-Nederland (LD);Herkomst: Nederland;2044.1;17.5
22;Zuid-Nederland (LD);Herkomst: Niet-Nederland;337.2;15.9
23;Zuid-Nederland (LD);Herkomst: Westers land;235.6;16.7
24;Zuid-Nederland (LD);Herkomst: Niet-westers land;101.5;14.1
25;Groningen (PV);Herkomst (land);380.6;16.2
26;Groningen (PV);Herkomst: Nederland;344.1;16.3
27;Groningen (PV);Herkomst: Niet-Nederland;36.5;15.4
28;Groningen (PV);Herkomst: Westers land;23.8;16.4
29;Groningen (PV);Herkomst: Niet-westers land;12.7;13.6
30;Friesland (PV);Herkomst (land);420.8;16.2
31;Friesland (PV);Herkomst: Nederland;394.0;16.3
32;Friesland (PV);Herkomst: Niet-Nederland;26.9;15.0
33;Friesland (PV);Herkomst: Westers land;18.5;15.9
34;Friesland (PV);Herkomst: Niet-westers land;8.3;13.0
35;Drenthe (PV);Herkomst (land);324.5;16.7
36;Drenthe (PV);Herkomst: Nederland;301.6;16.7
37;Drenthe (PV);Herkomst: Niet-Nederland;22.8;16.2
38;Drenthe (PV);Herkomst: Westers land;17.6;16.9
39;Drenthe (PV);Herkomst: Niet-westers land;5.3;14.1
40;Overijssel (PV);Herkomst (land);726.0;16.6
41;Overijssel (PV);Herkomst: Nederland;639.7;16.8
42;Overijssel (PV);Herkomst: Niet-Nederland;86.3;15.3
43;Overijssel (PV);Herkomst: Westers land;52.6;16.5
44;Overijssel (PV);Herkomst: Niet-westers land;33.7;13.3
45;Flevoland (PV);Herkomst (land);225.1;17.2
46;Flevoland (PV);Herkomst: Nederland;179.6;17.4
47;Flevoland (PV);Herkomst: Niet-Nederland;45.5;16.4
48;Flevoland (PV);Herkomst: Westers land;17.9;17.8
49;Flevoland (PV);Herkomst: Niet-westers land;27.6;15.5
50;Gelderland (PV);Herkomst (land);1304.2;17.3
51;Gelderland (PV);Herkomst: Nederland;1151.4;17.5
52;Gelderland (PV);Herkomst: Niet-Nederland;152.7;16.2
53;Gelderland (PV);Herkomst: Westers land;100.7;17.4
54;Gelderland (PV);Herkomst: Niet-westers land;52.0;13.9
55;Utrecht (PV);Herkomst (land);772.4;19.1
56;Utrecht (PV);Herkomst: Nederland;650.5;19.4
57;Utrecht (PV);Herkomst: Niet-Nederland;121.9;17.5
58;Utrecht (PV);Herkomst: Westers land;64.0;19.8
59;Utrecht (PV);Herkomst: Niet-westers land;57.9;15.0
60;Noord-Holland (PV);Herkomst (land);1728.8;18.7
61;Noord-Holland (PV);Herkomst: Nederland;1362.3;19.0
62;Noord-Holland (PV);Herkomst: Niet-Nederland;366.5;17.7
63;Noord-Holland (PV);Herkomst: Westers land;175.1;20.1
64;Noord-Holland (PV);Herkomst: Niet-westers land;191.4;15.4
65;Zuid-Holland (PV);Herkomst (land);2258.1;18.3
66;Zuid-Holland (PV);Herkomst: Nederland;1791.7;18.6
67;Zuid-Holland (PV);Herkomst: Niet-Nederland;466.4;17.1
68;Zuid-Holland (PV);Herkomst: Westers land;200.8;19.8
69;Zuid-Holland (PV);Herkomst: Niet-westers land;265.6;15.0
70;Zeeland (PV);Herkomst (land);251.6;17.3
71;Zeeland (PV);Herkomst: Nederland;220.9;17.5
72;Zeeland (PV);Herkomst: Niet-Nederland;30.7;16.0
73;Zeeland (PV);Herkomst: Westers land;23.9;16.7
74;Zeeland (PV);Herkomst: Niet-westers land;6.8;13.8
75;Noord-Brabant (PV);Herkomst (land);1616.6;17.5
76;Noord-Brabant (PV);Herkomst: Nederland;1414.8;17.7
