ID;Periods;TotalOverdraft_1
0;2010 June;13945
1;2010 July;14100
2;2010 August;14284
3;2010 September;14253
4;2010 October;14158
5;2010 November;14159
6;2010 December;14230
7;2011 January;14174
8;2011 February;13788
9;2011 March;13770
10;2011 April;13721
11;2011 May;13332
12;2011 June;13399
13;2011 July;13396
14;2011 August;13599
15;2011 September;13687
16;2011 October;13672
17;2011 November;13552
18;2011 December;13678
19;2012 January;13394
20;2012 February;13438
21;2012 March;13235
22;2012 April;13224
23;2012 May;12801
24;2012 June;13005
25;2012 July;13167
26;2012 August;13341
27;2012 September;13319
28;2012 October;13276
29;2012 November;13199
30;2012 December;13237
31;2013 January;13083
32;2013 February;12959
33;2013 March;12952
34;2013 April;13171
35;2013 May;12623
36;2013 June;12594
37;2013 July;12744
38;2013 August;12778
39;2013 September;12788
40;2013 October;12767
41;2013 November;13005
42;2013 December;13012
43;2014 January;12720
44;2014 February;12596
45;2014 March;12603
46;2014 April;12527
47;2014 May;12144
48;2014 June;11991
49;2014 July;12078
50;2014 August;11958
51;2014 September;12043
52;2014 October;12018
53;2014 November;11734
54;2014 December;12532
55;2015 January;12354
56;2015 February;12180
57;2015 March;12338
58;2015 April;12062
59;2015 May;11733
60;2015 June;11872
61;2015 July;11794
62;2015 August;12164
63;2015 September;11746
64;2015 October;11732
65;2015 November;11736
66;2015 December;11179
67;2016 January;11068
68;2016 February;11037
69;2016 March;10915
70;2016 April;10881
71;2016 May;10640
72;2016 June;10547
73;2016 July;10546
74;2016 August;10539
75;2016 September;9946
76;2016 October;9956
77;2016 November;9833
78;2016 December;9613
79;2017 January;9453
80;2017 February;9363
81;2017 March;9302
82;2017 April;9279
83;2017 May;8930
84;2017 June;8892
85;2017 July;8974
86;2017 August;8956
87;2017 September;8871
88;2017 October;8837
89;2017 November;8789
90;2017 December;9025
