ID;Perioden;MannenEnVrouwen_1;Mannen_2;Vrouwen_3
0;1950 januari;10026773;4998251;5028522
1;1950 februari;10037742;5003638;5034104
2;1950 maart;10049303;5009320;5039983
3;1950 april;10064636;5016883;5047753
4;1950 mei;10075973;5022453;5053520
5;1950 juni;10089965;5029346;5060619
6;1950 juli;10103092;5035808;5067284
7;1950 augustus;10120912;5044609;5076303
8;1950 september;10138578;5053333;5085245
9;1950 oktober;10155017;5061445;5093572
10;1950 november;10168605;5068136;5100469
11;1950 december;10186753;5077099;5109654
12;1951 januari;10200280;5083759;5116521
13;1951 februari;10212933;5089916;5123017
14;1951 maart;10221928;5094249;5127679
15;1951 april;10231507;5098873;5132634
16;1951 mei;10240669;5103289;5137380
17;1951 juni;10250512;5108045;5142467
18;1951 juli;10261933;5113586;5148347
19;1951 augustus;10275436;5120164;5155272
20;1951 september;10285365;5124961;5160404
21;1951 oktober;10298134;5131173;5166961
22;1951 november;10307938;5135907;5172031
23;1951 december;10316739;5140142;5176597
24;1952 januari;10328343;5145772;5182571
25;1952 februari;10335914;5149446;5186468
26;1952 maart;10344249;5153500;5190749
27;1952 april;10352954;5157738;5195216
28;1952 mei;10360354;5161326;5199028
29;1952 juni;10369340;5165704;5203636
30;1952 juli;10377283;5169562;5207721
31;1952 augustus;10387037;5174322;5212715
32;1952 september;10398350;5179859;5218491
33;1952 oktober;10408805;5184968;5223837
34;1952 november;10418106;5189502;5228604
35;1952 december;10425645;5193158;5232487
36;1953 januari;10435631;5198033;5237598
37;1953 februari;10444074;5202300;5241774
38;1953 maart;10451031;5205826;5245205
39;1953 april;10459002;5209858;5249144
40;1953 mei;10467847;5214325;5253522
41;1953 juni;10477762;5219325;5258437
42;1953 juli;10487956;5224464;5263492
43;1953 augustus;10497858;5229458;5268400
44;1953 september;10509440;5235289;5274151
45;1953 oktober;10520833;5241026;5279807
46;1953 november;10530277;5245792;5284485
47;1953 december;10539781;5250588;5289193
48;1954 januari;10550737;5256108;5294629
49;1954 februari;10558755;5260122;5298633
50;1954 maart;10568031;5264764;5303267
51;1954 april;10577013;5269258;5307755
52;1954 mei;10586702;5274105;5312597
53;1954 juni;10597331;5279421;5317910
54;1954 juli;10609149;5285329;5323820
55;1954 augustus;10621032;5291269;5329763
56;1954 september;10633138;5297320;5335818
57;1954 oktober;10644809;5303155;5341654
58;1954 november;10655702;5308602;5347100
59;1954 december;10666941;5314221;5352720
60;1955 januari;10680023;5320759;5359264
61;1955 februari;10689667;5325517;5364150
62;1955 maart;10699826;5330531;5369295
63;1955 april;10710818;5335960;5374858
64;1955 mei;10722441;5341703;5380738
65;1955 juni;10734899;5347862;5387037
66;1955 juli;10747456;5354070;5393386
67;1955 augustus;10761139;5360839;5400300
68;1955 september;10775801;5368096;5407705
69;1955 oktober;10787325;5373789;5413536
70;1955 november;10797664;5378892;5418772
71;1955 december;10808516;5384250;5424266
72;1956 januari;10821661;5390751;5430910
73;1956 februari;10831321;5395677;5435644
74;1956 maart;10841050;5400639;5440411
75;1956 april;10851859;5406138;5445721
76;1956 mei;10862463;5411535;5450928
77;1956 juni;10875753;5418271;5457482
78;1956 juli;10887844;5424410;5463434
79;1956 augustus;10899348;5430256;5469092
80;1956 september;10912180;5436765;5475415
81;1956 oktober;10923996;5442767;5481229
82;1956 november;10934539;5448135;5486404
83;1956 december;10944726;5453327;5491399
84;1957 januari;10957040;5459578;5497462
85;1957 februari;10965133;5463642;5501491
86;1957 maart;10973497;5467841;5505656
87;1957 april;10984127;5473170;5510957
88;1957 mei;10995573;5478905;5516668
89;1957 juni;11008549;5485402;5523147
90;1957 juli;11021185;5491730;5529455
91;1957 augustus;11033187;5497742;5535445
92;1957 september;11046118;5504218;5541900
93;1957 oktober;11057542;5509942;5547600
94;1957 november;11068950;5515659;5553291
95;1957 december;11081210;5521800;5559410
96;1958 januari;11095726;5529065;5566661
97;1958 februari;11110618;5536374;5574244
98;1958 maart;11126873;5544361;5582512
99;1958 april;11144046;5552806;5591240
100;1958 mei;11157256;5559276;5597980
101;1958 juni;11172548;5566782;5605766
102;1958 juli;11186175;5573459;5612716
103;1958 augustus;11198215;5579345;5618870
104;1958 september;11211497;5585850;5625647
105;1958 oktober;11224563;5592246;5632317
106;1958 november;11235835;5597749;5638086
107;1958 december;11257150;5608254;5648896
108;1959 januari;11278024;5618540;5659484
109;1959 februari;11288279;5623505;5664774
110;1959 maart;11299049;5628726;5670323
111;1959 april;11310070;5634071;5675999
112;1959 mei;11321197;5639470;5681727
113;1959 juni;11334090;5645747;5688343
114;1959 juli;11346180;5651625;5694555
115;1959 augustus;11359425;5658077;5701348
116;1959 september;11372011;5664201;5707810
117;1959 oktober;11384415;5670233;5714182
118;1959 november;11395345;5675532;5719813
119;1959 december;11406006;5680696;5725310
120;1960 januari;11417254;5686152;5731102
121;1960 februari;11427104;5690973;5736131
122;1960 maart;11435864;5695251;5740613
123;1960 april;11446031;5700230;5745801
124;1960 mei;11456455;5705336;5751119
125;1960 juni;11468037;5711019;5757018
126;1960 juli;11480237;5717009;5763228
127;1960 augustus;11491921;5722743;5769178
128;1960 september;11505524;5729432;5776092
129;1960 oktober;11519587;5736349;5783238
130;1960 november;11532445;5742667;5789778
131;1960 december;11543652;5748162;5795490
132;1961 januari;11556008;5754229;5801779
133;1961 februari;11566801;5759749;5807052
134;1961 maart;11578488;5765715;5812773
135;1961 april;11593386;5773280;5820106
136;1961 mei;11607854;5780631;5827223
137;1961 juni;11622863;5788252;5834611
138;1961 juli;11637223;5795551;5841672
139;1961 augustus;11650939;5802529;5848410
140;1961 september;11665610;5809982;5855628
141;1961 oktober;11680218;5817405;5862813
142;1961 november;11694227;5824530;5869697
143;1961 december;11706792;5830936;5875856
144;1962 januari;11721416;5838368;5883048
145;1962 februari;11733058;5844289;5888769
146;1962 maart;11744880;5850301;5894579
147;1962 april;11756823;5856373;5900450
148;1962 mei;11768726;5862425;5906301
149;1962 juni;11783812;5870063;5913749
150;1962 juli;11797199;5876855;5920344
151;1962 augustus;11810874;5883791;5927083
152;1962 september;11826715;5891806;5934909
153;1962 oktober;11844161;5900621;5943540
154;1962 november;11861039;5909153;5951886
155;1962 december;11876379;5916920;5959459
156;1963 januari;11889962;5923811;5966151
157;1963 februari;11900762;5929343;5971419
158;1963 maart;11910520;5934355;5976165
159;1963 april;11923924;5941185;5982739
160;1963 mei;11937953;5948326;5989627
161;1963 juni;11953044;5955997;5997047
162;1963 juli;11967051;5963128;6003923
163;1963 augustus;11971295;5965395;6005900
164;1963 september;11985647;5972699;6012948
165;1963 oktober;11998460;5979236;6019224
166;1963 november;12016177;5988217;6027960
167;1963 december;12028808;5994664;6034144
168;1964 januari;12041970;6001376;6040594
169;1964 februari;12053346;6007398;6045948
170;1964 maart;12065892;6014003;6051889
171;1964 april;12079183;6020980;6058203
172;1964 mei;12094328;6028883;6065445
173;1964 juni;12109577;6036838;6072739
174;1964 juli;12123864;6044315;6079549
175;1964 augustus;12138264;6051848;6086416
176;1964 september;12152295;6059199;6093096
177;1964 oktober;12168231;6067500;6100731
178;1964 november;12183433;6075436;6107997
179;1964 december;12196837;6082476;6114361
180;1965 januari;12212269;6090529;6121740
181;1965 februari;12223090;6096378;6126712
182;1965 maart;12235494;6103018;6132476
183;1965 april;12249161;6110289;6138872
184;1965 mei;12263417;6117855;6145562
185;1965 juni;12278167;6125668;6152499
186;1965 juli;12291887;6132968;6158919
187;1965 augustus;12306673;6140802;6165871
188;1965 september;12320540;6148178;6172362
189;1965 oktober;12335596;6156148;6179448
190;1965 november;12348689;6163139;6185550
191;1965 december;12361523;6170003;6191520
192;1966 januari;12377194;6178283;6198911
193;1966 februari;12387577;6183865;6203712
194;1966 maart;12398154;6189544;6208610
