ID;VehicleCategory;YearOfConstructionOfVehicle;RoadType;CO_1;VOC_2;NOx_3;PM10_4
0;Total;Years of construction 1999 and older;Urban roads;8.22;1.04;1.1;0.089
1;Total;Years of construction 1999 and older;Rural roads;3.82;0.39;0.79;0.051
2;Total;Years of construction 1999 and older;Motorways;3.6;0.27;1.22;0.06
3;Total;2000;Urban roads;3.52;0.5;1.03;0.049
4;Total;2000;Rural roads;2.29;0.16;0.54;0.023
5;Total;2000;Motorways;1.44;0.05;1.06;0.05
6;Total;2001;Urban roads;2.7;0.5;1.04;0.04
7;Total;2001;Rural roads;1.96;0.15;0.59;0.018
8;Total;2001;Motorways;1.09;0.05;1.23;0.042
9;Total;2002;Urban roads;2.69;0.53;1.05;0.04
10;Total;2002;Rural roads;1.89;0.15;0.59;0.018
11;Total;2002;Motorways;1.06;0.05;1.18;0.04
12;Total;2003;Urban roads;2.57;0.61;1.23;0.045
13;Total;2003;Rural roads;1.81;0.15;0.62;0.018
14;Total;2003;Motorways;0.91;0.04;1.12;0.041
15;Total;2004;Urban roads;2.39;0.61;1.29;0.049
16;Total;2004;Rural roads;1.62;0.14;0.68;0.02
17;Total;2004;Motorways;0.82;0.04;1.21;0.045
18;Total;2005;Urban roads;2.13;0.58;1.09;0.031
19;Total;2005;Rural roads;1.51;0.13;0.56;0.014
20;Total;2005;Motorways;0.75;0.03;0.98;0.031
21;Total;2006;Urban roads;2.26;0.57;1.15;0.027
22;Total;2006;Rural roads;1.65;0.14;0.72;0.015
23;Total;2006;Motorways;0.71;0.02;0.74;0.025
24;Total;2007;Urban roads;2.11;0.54;0.96;0.027
25;Total;2007;Rural roads;1.53;0.13;0.56;0.015
26;Total;2007;Motorways;0.65;0.01;0.53;0.026
27;Total;2008;Urban roads;2.08;0.49;0.99;0.027
28;Total;2008;Rural roads;1.57;0.13;0.58;0.015
29;Total;2008;Motorways;0.69;0.01;0.55;0.025
30;Passenger car-petrol;Years of construction 1999 and older;Urban roads;9.06;0.99;0.65;0.015
31;Passenger car-petrol;Years of construction 1999 and older;Rural roads;4.48;0.4;0.49;0.008
32;Passenger car-petrol;Years of construction 1999 and older;Motorways;3.73;0.24;0.8;0.008
33;Passenger car-petrol;2000;Urban roads;4.53;0.43;0.23;0.008
34;Passenger car-petrol;2000;Rural roads;3.6;0.21;0.1;0.002
35;Passenger car-petrol;2000;Motorways;2.24;0.02;0.08;0.002
36;Passenger car-petrol;2001;Urban roads;3.33;0.43;0.12;0.006
37;Passenger car-petrol;2001;Rural roads;3.17;0.21;0.06;0.002
38;Passenger car-petrol;2001;Motorways;1.57;0.01;0.03;0.002
39;Passenger car-petrol;2002;Urban roads;3.33;0.43;0.12;0.006
40;Passenger car-petrol;2002;Rural roads;3.17;0.21;0.06;0.002
41;Passenger car-petrol;2002;Motorways;1.57;0.01;0.03;0.002
42;Passenger car-petrol;2003;Urban roads;2.89;0.41;0.1;0.006
43;Passenger car-petrol;2003;Rural roads;2.92;0.2;0.04;0.002
44;Passenger car-petrol;2003;Motorways;1.44;0.01;0.02;0.002
45;Passenger car-petrol;2004;Urban roads;2.67;0.41;0.09;0.007
46;Passenger car-petrol;2004;Rural roads;2.79;0.2;0.03;0.002
47;Passenger car-petrol;2004;Motorways;1.38;0.01;0.02;0.002
48;Passenger car-petrol;2005;Urban roads;2.45;0.4;0.07;0.007
49;Passenger car-petrol;2005;Rural roads;2.67;0.19;0.02;0.002
50;Passenger car-petrol;2005;Motorways;1.31;0.01;0.01;0.002
51;Passenger car-petrol;2006;Urban roads;2.45;0.4;0.07;0.007
52;Passenger car-petrol;2006;Rural roads;2.67;0.19;0.02;0.002
53;Passenger car-petrol;2006;Motorways;1.31;0.01;0.01;0.002
54;Passenger car-petrol;2007;Urban roads;2.45;0.4;0.07;0.007
55;Passenger car-petrol;2007;Rural roads;2.67;0.19;0.02;0.002
56;Passenger car-petrol;2007;Motorways;1.31;0.01;0.01;0.002
57;Passenger car-petrol;2008;Urban roads;2.45;0.4;0.07;0.007
58;Passenger car-petrol;2008;Rural roads;2.67;0.19;0.02;0.002
59;Passenger car-petrol;2008;Motorways;1.31;0.01;0.01;0.002
60;Passenger car-diesel;Years of construction 1999 and older;Urban roads;1.22;0.24;0.89;0.234
61;Passenger car-diesel;Years of construction 1999 and older;Rural roads;0.39;0.09;0.55;0.112
62;Passenger car-diesel;Years of construction 1999 and older;Motorways;0.31;0.07;0.65;0.138
63;Passenger car-diesel;2000;Urban roads;0.73;0.11;0.96;0.087
64;Passenger car-diesel;2000;Rural roads;0.21;0.03;0.55;0.036
65;Passenger car-diesel;2000;Motorways;0.04;0.01;0.52;0.082
66;Passenger car-diesel;2001;Urban roads;0.6;0.05;0.89;0.06
67;Passenger car-diesel;2001;Rural roads;0.17;0.01;0.55;0.026
68;Passenger car-diesel;2001;Motorways;0.01;0.0;0.54;0.058
69;Passenger car-diesel;2002;Urban roads;0.6;0.05;0.89;0.06
70;Passenger car-diesel;2002;Rural roads;0.17;0.01;0.55;0.026
71;Passenger car-diesel;2002;Motorways;0.01;0.0;0.54;0.058
72;Passenger car-diesel;2003;Urban roads;0.6;0.05;0.89;0.06
73;Passenger car-diesel;2003;Rural roads;0.17;0.01;0.55;0.026
74;Passenger car-diesel;2003;Motorways;0.01;0.0;0.54;0.058
75;Passenger car-diesel;2004;Urban roads;0.6;0.05;0.89;0.06
76;Passenger car-diesel;2004;Rural roads;0.17;0.01;0.55;0.026
77;Passenger car-diesel;2004;Motorways;0.01;0.0;0.54;0.058
78;Passenger car-diesel;2005;Urban roads;0.25;0.02;0.51;0.02
79;Passenger car-diesel;2005;Rural roads;0.14;0.01;0.38;0.012
80;Passenger car-diesel;2005;Motorways;0.03;0.0;0.39;0.028
81;Passenger car-diesel;2006;Urban roads;0.25;0.02;0.51;0.02
