ID;SectorBranchSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;PurchaseValueOfSales_9;Total_10;GrossWagesAndSalaries_11;Total_12;EmployerPaidSocialInsurancePremiums_13;PensionAndEarlyRetirementPremiums_14;OtherSocialInsuranceCosts_15;OtherPersonnelCosts_16;Total_17;CostsOfEnergyUse_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;CostsOfOtherServices_24;OtherLiabilities_25;DepreciationFixedAssets_26;OperatingResults_27;NetFinancialIncome_28;BalanceOfProvisions_29;NetExtraordinaryIncome_30;PreTaxResults_31
0;016 Support activities for agriculture;2009;19.1;36.1;15.2;27.4;3355;3260;95;2856;1138;674;455;113;72;41;10;96;721;116;74;210;113;22;18;56;112;324;499;-66;1;23;457
1;016 Support activities for agriculture;2010;21.2;41.4;17.1;29.4;3956;3843;113;3453;1477;759;503;121;76;45;7;128;850;145;77;220;138;27;19;74;149;367;504;-72;2;35;469
2;016 Support activities for agriculture;2011;22.9;43.8;18.2;31.6;4780;4660;120;4229;1984;863;560;138;87;50;8;158;998;198;86;253;141;33;22;76;190;383;552;-82;1;-5;465
3;016 Support activities for agriculture;2012;20.7;42.2;17.1;31.2;4507;4407;100;3933;1841;785;520;132;83;49;9;124;973;194;82;245;145;29;21;71;187;334;575;-76;2;12;512
4;016 Support activities for agriculture;2013;20.8;42.7;16.7;35.2;5142;5043;99;4530;2236;883;574;146;89;57;9;154;1033;165;95;260;150;39;22;126;177;378;613;-57;-2;46;600
