ID;SITC;LandenGroepen;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3;Dekkingspercentage_4;JaarmutatieInvoer_5;JaarmutatieUitvoer_6
0;Totaal goederen;Totaal landen(groepen);1996 januari;11454559.0;12580840.0;1126281.0;109.8;;
1;Totaal goederen;Totaal landen(groepen);1996 februari;11145615.0;12413339.0;1267724.0;111.4;;
2;Totaal goederen;Totaal landen(groepen);1996 maart;12158342.0;13671702.0;1513360.0;112.4;;
3;Totaal goederen;Totaal landen(groepen);1996 april;11203068.0;12006131.0;803063.0;107.2;;
4;Totaal goederen;Totaal landen(groepen);1996 mei;11571482.0;12653195.0;1081713.0;109.3;;
5;Totaal goederen;Totaal landen(groepen);1996 juni;11342260.0;12773503.0;1431243.0;112.6;;
6;Totaal goederen;Totaal landen(groepen);1996 juli;11239890.0;12315215.0;1075325.0;109.6;;
7;Totaal goederen;Totaal landen(groepen);1996 augustus;10379162.0;11543397.0;1164235.0;111.2;;
8;Totaal goederen;Totaal landen(groepen);1996 september;11840633.0;13230139.0;1389506.0;111.7;;
9;Totaal goederen;Totaal landen(groepen);1996 oktober;13104318.0;13765073.0;660755.0;105.0;;
10;Totaal goederen;Totaal landen(groepen);1996 november;12370916.0;13473968.0;1103052.0;108.9;;
11;Totaal goederen;Totaal landen(groepen);1996 december;12118090.0;13325499.0;1207409.0;110.0;;
12;Totaal goederen;Totaal landen(groepen);1996;139929109.0;153752479.0;13823370.0;109.9;;
13;Totaal goederen;Totaal landen(groepen);1997 januari;12461640.0;13546175.0;1084535.0;108.7;8.8;7.7
14;Totaal goederen;Totaal landen(groepen);1997 februari;12377716.0;13421683.0;1043967.0;108.4;11.1;8.1
15;Totaal goederen;Totaal landen(groepen);1997 maart;13042001.0;14195988.0;1153987.0;108.8;7.3;3.8
16;Totaal goederen;Totaal landen(groepen);1997 april;13227195.0;14175481.0;948286.0;107.2;18.1;18.1
17;Totaal goederen;Totaal landen(groepen);1997 mei;12620063.0;13720045.0;1099982.0;108.7;9.1;8.4
18;Totaal goederen;Totaal landen(groepen);1997 juni;13289606.0;14504117.0;1214511.0;109.1;17.2;13.5
19;Totaal goederen;Totaal landen(groepen);1997 juli;12985942.0;13885990.0;900048.0;106.9;15.5;12.8
20;Totaal goederen;Totaal landen(groepen);1997 augustus;11655107.0;12847262.0;1192155.0;110.2;12.3;11.3
21;Totaal goederen;Totaal landen(groepen);1997 september;14071854.0;15465346.0;1393492.0;109.9;18.8;16.9
