ID;Landbouwmethode;RegioS;Perioden;AantalLandbouwbedrijvenTotaal_1;Oppervlakte_2;AantalBedrijven_3;Oppervlakte_4;AantalBedrijven_5;Oppervlakte_6;AantalBedrijven_7;Oppervlakte_8;AantalBedrijven_9;Oppervlakte_10;AantalBedrijven_11;Oppervlakte_12;AantalBedrijven_13;AantalDieren_14;AantalBedrijven_15;AantalDieren_16;AantalBedrijven_17;AantalDieren_18;AantalBedrijven_19;AantalDieren_20;AantalBedrijven_21;AantalDieren_22;AantalBedrijven_23
0;Totaal landbouw;Nederland;2011;70392;53504248;20408;8855224;10851;102491890;5462;122454892;54976;98826206;52131;23628686;26562;3885345;31752;1088485;12529;380351;3541;12429138;6525;96918611;2266
1;Totaal landbouw;Nederland;2012;68810;52080287;19869;8642095;10346;99616624;5099;122451298;54071;98652367;51180;23798931;26143;3879252;30943;1042758;12518;396725;3547;12233649;5918;95273269;2141
2;Totaal landbouw;Nederland;2013;67481;53241217;20258;8635971;10109;98174658;4796;121820902;53227;98217524;50304;23603378;25724;3999221;30243;1033566;12344;412545;3459;12219169;5528;97719294;2093
3;Totaal landbouw;Nederland;2014;65507;51727912;19183;8710145;9799;94881967;4415;122514834;52213;99346200;49062;23168634;26057;4068331;29668;958602;11985;431421;3338;12238120;5108;103038539;2067
4;Totaal landbouw;Nederland;2015;63913;50508755;18742;9104183;9949;92078263;4126;124040841;52011;100798884;48563;23241957;26913;4133854;28841;946179;11378;469749;3185;12602888;4928;106762945;2049
5;Totaal landbouw;Nederland;2016;55681;50365996;18185;9224088;9818;92790067;3820;119108150;44881;97514955;41918;21593195;25051;4251456;26628;783906;8525;499556;2662;12478594;4508;105619586;1965
6;Totaal landbouw;Nederland;2017;54840;50914706;17964;9352427;9873;90794934;3476;117824115;44411;96295505;41613;21528610;24715;4096110;26260;798833;8434;532872;2660;12400699;4301;105184440;1920
7;Totaal landbouw;Noord-Nederland (LD);2011;12608;16600290;3548;404752;495;3804798;175;36561849;11097;31572160;10803;4989689;4239;929085;6849;337982;3175;34950;894;501266;314;20041462;352
8;Totaal landbouw;Noord-Nederland (LD);2012;12465;16172744;3534;424850;469;3618158;154;36915770;11031;31923848;10727;4991922;4165;948585;6792;332757;3182;36941;895;498801;293;20089643;349
9;Totaal landbouw;Noord-Nederland (LD);2013;12295;16671065;3574;412921;453;3528116;144;36840205;10882;32197524;10601;4642681;3906;977794;6678;330263;3162;38275;862;518774;299;20037792;338
10;Totaal landbouw;Noord-Nederland (LD);2014;11990;16200595;3308;447949;449;3339101;138;37088987;10672;32600476;10337;4488511;3995;1003782;6589;303793;3068;38716;824;518762;265;20834447;343
11;Totaal landbouw;Noord-Nederland (LD);2015;11681;15911101;3189;512972;529;3435801;131;37383881;10472;32814434;10096;4569447;4136;1031749;6459;287761;2854;42215;775;517826;272;22483974;338
12;Totaal landbouw;Noord-Nederland (LD);2016;9925;15920415;3106;515706;515;3420098;116;36184699;8840;31919122;8491;4265577;3915;1059672;6024;240238;1965;44565;627;532096;228;21539049;337
13;Totaal landbouw;Noord-Nederland (LD);2017;9813;16285878;3099;567399;540;3526325;113;35721776;8720;31470834;8408;4250942;3855;1007789;5931;252517;1946;46372;641;495848;210;21562247;328
14;Totaal landbouw;Oost-Nederland (LD);2011;22482;10498266;4818;1744462;2304;9906605;761;40164161;19207;31339205;18348;8824956;11093;1574366;12636;237485;3156;130226;1097;3863805;2821;30618526;898
15;Totaal landbouw;Oost-Nederland (LD);2012;22032;10094975;4670;1708521;2228;9267085;718;39999628;18902;31118269;18054;8881359;10884;1565076;12297;225889;3254;141747;1170;3705760;2521;28760966;838
16;Totaal landbouw;Oost-Nederland (LD);2013;21605;10388378;4900;1700698;2190;9154307;678;39795776;18543;30963232;17686;8832544;10756;1619710;11995;230322;3201;148987;1166;3721075;2329;30094625;835
17;Totaal landbouw;Oost-Nederland (LD);2014;21046;9929423;4508;1741233;2157;9020253;619;40009609;18197;31402120;17241;8607489;10945;1639501;11737;214986;3141;156895;1113;3711285;2148;32420290;822
18;Totaal landbouw;Oost-Nederland (LD);2015;20707;9669422;4410;1846889;2182;8793874;562;40691168;18149;32230856;17048;8460312;11129;1655882;11396;219257;3031;173051;1069;3734219;2048;32853462;807
19;Totaal landbouw;Oost-Nederland (LD);2016;18043;9577910;4279;1862790;2187;9129848;497;39397434;15715;31488305;14786;7909129;10438;1706462;10483;174294;2243;188641;893;3603930;1818;32208453;771
20;Totaal landbouw;Oost-Nederland (LD);2017;17782;9723254;4307;1913489;2251;8865984;463;39024834;15479;31157796;14601;7867038;10230;1655038;10301;177432;2221;204373;901;3521236;1730;31670611;751
21;Totaal landbouw;West-Nederland (LD);2011;17980;15941348;5168;3633633;4199;65430232;3267;24511405;11148;21957993;10814;2553412;3036;584072;6198;392676;4707;46806;986;490980;601;5775166;276
22;Totaal landbouw;West-Nederland (LD);2012;17473;15764235;5027;3499809;3962;64242103;3039;24339410;10964;21832361;10643;2507049;2938;577047;6028;367902;4603;45795;907;475081;547;5830028;263
23;Totaal landbouw;West-Nederland (LD);2013;17068;15982788;5094;3518750;3833;62628499;2849;24123857;10851;21684044;10534;2439813;2874;594382;5888;357142;4516;45789;862;465940;499;6031033;255
24;Totaal landbouw;West-Nederland (LD);2014;16494;15720026;4926;3471269;3619;60306359;2621;24311219;10661;21878392;10301;2432827;2905;607283;5778;331464;4365;50395;844;451202;465;6723831;248
25;Totaal landbouw;West-Nederland (LD);2015;15868;15381881;4770;3644252;3592;59509336;2452;24589014;10675;22143863;10286;2445151;3069;622039;5599;326934;4137;52804;801;466193;434;7142751;251
26;Totaal landbouw;West-Nederland (LD);2016;13905;15182162;4552;3678897;3427;58602293;2260;23573788;9194;21195733;8838;2378055;2906;633228;5169;274284;3315;56680;649;454152;382;7316948;221
27;Totaal landbouw;West-Nederland (LD);2017;13563;15119306;4411;3714205;3388;56601785;2026;23327134;9097;20933031;8786;2394103;2883;605694;5123;274349;3288;64079;636;476533;359;7268795;215
28;Totaal landbouw;Zuid-Nederland (LD);2011;17322;10464344;6874;3072377;3853;23350255;1259;21217477;13524;13956848;12166;7260629;8194;797822;6069;120342;1491;168369;564;7573087;2789;40483457;740
29;Totaal landbouw;Zuid-Nederland (LD);2012;16840;10048333;6638;3008915;3687;22489278;1188;21196490;13174;13777889;11756;7418601;8156;788544;5826;116210;1479;172242;575;7554007;2557;40592632;691
30;Totaal landbouw;Zuid-Nederland (LD);2013;16513;10198986;6690;3003602;3633;22863736;1125;21061064;12951;13372724;11483;7688340;8188;807335;5682;115839;1465;179494;569;7513380;2401;41555844;665
31;Totaal landbouw;Zuid-Nederland (LD);2014;15977;9877868;6441;3049694;3574;22216254;1037;21105019;12683;13465212;11183;7639807;8212;817765;5564;108359;1411;185415;557;7556871;2230;43059971;654
32;Totaal landbouw;Zuid-Nederland (LD);2015;15657;9546351;6373;3100070;3646;20339252;981;21376778;12715;13609731;11133;7767047;8579;824184;5387;112227;1356;201679;540;7884650;2174;44282758;653
33;Totaal landbouw;Zuid-Nederland (LD);2016;13808;9685509;6248;3166695;3689;21637828;947;19952229;11132;12911795;9803;7040434;7792;852094;4952;95090;1002;209670;493;7888416;2080;44555136;636
34;Totaal landbouw;Zuid-Nederland (LD);2017;13682;9786268;6147;3157334;3694;21800840;874;19750371;11115;12733844;9818;7016527;7747;827589;4905;94535;979;218048;482;7907082;2002;44682787;626
35;Totaal landbouw;Groningen (PV);2011;3277;8466730;1511;91609;169;546314;49;7491193;2654;6404197;2540;1086996;862;190121;1374;86616;825;7340;234;135540;102;5582389;108
36;Totaal landbouw;Groningen (PV);2012;3233;8367657;1507;90624;152;528393;46;7715091;2628;6658070;2516;1057021;835;194213;1377;89079;816;6983;216;146282;94;5633621;105
37;Totaal landbouw;Groningen (PV);2013;3215;8552326;1506;91465;149;560011;45;7659325;2614;6689070;2505;970255;773;203355;1359;84149;819;8115;211;154851;95;5960825;109
38;Totaal landbouw;Groningen (PV);2014;3143;8384127;1425;96400;149;630933;45;7807933;2579;6872943;2457;934990;785;208746;1343;83658;786;8644;195;155676;86;5987152;110
39;Totaal landbouw;Groningen (PV);2015;3039;8288758;1379;112535;173;641767;42;7820449;2553;6813535;2407;1006914;860;213633;1304;74241;706;8118;182;165663;90;6095849;103
40;Totaal landbouw;Groningen (PV);2016;2630;8279244;1346;104670;169;601958;33;7487187;2170;6560900;2041;926287;820;220067;1207;63424;497;8714;138;162849;77;5706031;104
41;Totaal landbouw;Groningen (PV);2017;2601;8400966;1347;114451;170;549852;30;7376384;2149;6482939;2037;893445;804;207576;1198;66301;490;8797;143;154931;73;5881663;102
42;Totaal landbouw;Friesland (PV);2011;5654;2215566;714;109160;128;1385834;51;20388211;5318;18493586;5271;1894625;1831;522013;3714;196460;1783;16098;488;94909;69;8061468;119
43;Totaal landbouw;Friesland (PV);2012;5587;2149777;749;111446;121;1447336;44;20295208;5259;18449383;5218;1845825;1742;527999;3669;189677;1778;15493;502;102041;69;8022285;116
44;Totaal landbouw;Friesland (PV);2013;5501;2274145;781;112032;118;1425767;38;20237267;5177;18565638;5144;1671629;1595;539191;3615;192320;1762;15832;484;100210;71;7763430;110
45;Totaal landbouw;Friesland (PV);2014;5371;2183228;684;114179;117;1348107;37;20300082;5063;18742761;5019;1557321;1574;553222;3558;167052;1704;15612;471;98278;57;7787656;113
46;Totaal landbouw;Friesland (PV);2015;5231;2075242;615;127510;130;1321695;37;20437213;4951;18854433;4907;1582780;1608;570982;3511;160194;1636;18844;447;96321;60;8945589;118
47;Totaal landbouw;Friesland (PV);2016;4412;2014064;600;129771;125;1315085;33;19965346;4168;18461530;4117;1503816;1502;583349;3312;135722;1165;20019;373;106387;51;8296977;110
48;Totaal landbouw;Friesland (PV);2017;4365;2068967;576;148549;139;1478053;31;19791214;4115;18187228;4074;1603986;1544;558857;3265;143205;1148;20247;380;102314;45;8174500;111
49;Totaal landbouw;Drenthe (PV);2011;3677;5917994;1323;203983;198;1872650;75;8682445;3125;6674377;2992;2008068;1546;216951;1761;54906;567;11512;172;270817;143;6397605;125
50;Totaal landbouw;Drenthe (PV);2012;3645;5655310;1278;222780;196;1642429;64;8905471;3144;6816395;2993;2089076;1588;226373;1746;54001;588;14465;177;250478;130;6433737;128
51;Totaal landbouw;Drenthe (PV);2013;3579;5844594;1287;209424;186;1542338;61;8943613;3091;6942816;2952;2000797;1538;235248;1704;53794;581;14328;167;263713;133;6313537;119
52;Totaal landbouw;Drenthe (PV);2014;3476;5633240;1199;237370;183;1360061;56;8980972;3030;6984772;2861;1996200;1636;241814;1688;53083;578;14460;158;264808;122;7059639;120
53;Totaal landbouw;Drenthe (PV);2015;3411;5547101;1195;272927;226;1472339;52;9126219;2968;7146466;2782;1979753;1668;247134;1644;53326;512;15253;146;255842;122;7442536;117
54;Totaal landbouw;Drenthe (PV);2016;2883;5627107;1160;281265;221;1503055;50;8732166;2502;6896692;2333;1835474;1593;256256;1505;41092;303;15832;116;262860;100;7536041;123
55;Totaal landbouw;Drenthe (PV);2017;2847;5815945;1176;304399;231;1498420;52;8554178;2456;6800667;2297;1753511;1507;241356;1468;43011;308;17328;118;238603;92;7506084;115
56;Totaal landbouw;Overijssel (PV);2011;8618;1588585;1114;212344;310;1400181;107;18339283;8207;14230585;7878;4108698;5017;614645;5769;77330;1080;51080;406;1660141;1143;10631637;280
57;Totaal landbouw;Overijssel (PV);2012;8454;1471576;1031;210090;305;1409857;104;18206144;8051;14073247;7726;4132897;4940;607489;5627;73713;1119;54539;430;1632576;1011;9819108;259
58;Totaal landbouw;Overijssel (PV);2013;8283;1532155;1095;205258;292;1349562;98;18120921;7897;13996183;7570;4124738;4885;630917;5486;74391;1085;56603;443;1650888;944;10189953;264
59;Totaal landbouw;Overijssel (PV);2014;8067;1424320;1005;205672;299;1361524;90;18077029;7703;14174672;7344;3902357;4925;637355;5358;69830;1066;58704;401;1646310;875;11493220;265
60;Totaal landbouw;Overijssel (PV);2015;7953;1392440;1021;213305;310;1205490;79;18238718;7607;14480765;7200;3757953;4955;651670;5224;68800;1017;60031;377;1671730;825;11923662;260
61;Totaal landbouw;Overijssel (PV);2016;7016;1405366;1015;212346;315;1171343;64;17875460;6736;14304745;6377;3570715;4725;665824;4869;57492;749;64819;316;1627010;726;11790545;250
62;Totaal landbouw;Overijssel (PV);2017;6902;1447343;1077;230585;328;1336842;65;17668685;6601;14130537;6264;3538148;4640;650384;4785;58494;734;72332;333;1578897;695;11540553;247
63;Totaal landbouw;Flevoland (PV);2011;1859;6482625;1431;660480;451;1808815;79;1747362;674;1282595;597;464767;349;62226;334;11637;97;4396;38;71204;43;2253368;67
64;Totaal landbouw;Flevoland (PV);2012;1812;6332009;1402;631307;431;1686204;74;1800298;682;1285367;593;514931;354;62872;332;11346;109;5272;44;68874;39;2160103;62
65;Totaal landbouw;Flevoland (PV);2013;1806;6401628;1402;623647;443;1668029;70;1825113;681;1338952;596;486161;354;66241;330;11448;103;5119;48;64042;37;2390440;61
66;Totaal landbouw;Flevoland (PV);2014;1768;6279712;1360;643788;453;1602437;59;1928208;731;1405721;609;522487;413;69368;325;10994;106;5897;50;72739;36;2567359;60
67;Totaal landbouw;Flevoland (PV);2015;1764;6210107;1350;694648;489;1986772;62;2123013;875;1541142;732;581871;477;73755;322;12666;112;6614;51;56285;36;2675974;64
68;Totaal landbouw;Flevoland (PV);2016;1694;6119580;1335;721855;501;2758662;60;2072328;802;1580197;694;492131;406;76646;318;11765;94;7899;50;52980;30;2762472;62
69;Totaal landbouw;Flevoland (PV);2017;1697;6199549;1326;734874;532;3003424;68;2015538;815;1549779;708;465759;394;72378;321;11215;103;8085;49;48434;29;2654471;60
70;Totaal landbouw;Gelderland (PV);2011;12005;2427056;2273;871638;1543;6697609;575;20077516;10326;15826025;9873;4251491;5727;897495;6533;148518;1979;74750;653;2132460;1635;17733521;551
71;Totaal landbouw;Gelderland (PV);2012;11766;2291390;2237;867124;1492;6171024;540;19993186;10169;15759655;9735;4233531;5590;894715;6338;140830;2026;81936;696;2004310;1471;16781755;517
72;Totaal landbouw;Gelderland (PV);2013;11516;2454595;2403;871793;1455;6136716;510;19849742;9965;15628097;9520;4221645;5517;922552;6179;144483;2013;87265;675;2006145;1348;17514232;510
73;Totaal landbouw;Gelderland (PV);2014;11211;2225391;2143;891773;1405;6056292;470;20004372;9763;15821727;9288;4182645;5607;932778;6054;134162;1969;92294;662;1992236;1237;18359711;497
74;Totaal landbouw;Gelderland (PV);2015;10990;2066875;2039;938936;1383;5601612;421;20329437;9667;16208949;9116;4120488;5697;930457;5850;137791;1902;106406;641;2006204;1187;18253826;483
75;Totaal landbouw;Gelderland (PV);2016;9333;2052964;1929;928589;1371;5199843;373;19449646;8177;15603363;7715;3846283;5307;963992;5296;105037;1400;115923;527;1923940;1062;17655436;459
76;Totaal landbouw;Gelderland (PV);2017;9183;2076362;1904;948030;1391;4525718;330;19340611;8063;15477480;7629;3863131;5196;932276;5195;107723;1384;123956;519;1893905;1006;17475587;444
77;Totaal landbouw;Utrecht (PV);2011;2857;121471;210;212805;353;1319428;87;6194038;2540;5527614;2510;666424;904;191513;1864;61157;1018;18207;231;288668;321;2095666;108
78;Totaal landbouw;Utrecht (PV);2012;2832;152449;196;214395;339;1341356;83;6116596;2510;5470634;2473;645962;869;187895;1804;57604;1026;21020;221;277197;288;2303637;104
79;Totaal landbouw;Utrecht (PV);2013;2779;150298;217;205595;324;1331973;82;6080624;2463;5433300;2434;647324;835;196975;1764;52553;1015;20731;207;259739;262;2321615;108
80;Totaal landbouw;Utrecht (PV);2014;2722;128167;187;207477;305;1224818;77;6059168;2413;5448402;2380;610766;834;196430;1733;49199;985;22872;211;253420;244;2888072;99
81;Totaal landbouw;Utrecht (PV);2015;2647;111157;169;209568;304;1076362;66;6128293;2375;5550986;2340;577307;843;204344;1672;48950;954;22872;206;266734;241;2966443;107
82;Totaal landbouw;Utrecht (PV);2016;2247;96011;166;218216;315;964189;57;5941535;2013;5383106;1981;558429;813;205241;1576;36986;748;23960;165;252425;203;3034070;97
83;Totaal landbouw;Utrecht (PV);2017;2215;94097;161;217676;317;867466;48;5882149;1986;5330521;1960;551628;795;197179;1555;36685;747;27029;176;268709;193;2993372;96
84;Totaal landbouw;Noord-Holland (PV);2011;4863;3153755;1148;1984993;1496;8807552;632;7600649;3088;6968792;2974;631857;693;153506;1599;163841;1522;13832;296;21098;42;1150011;65
85;Totaal landbouw;Noord-Holland (PV);2012;4691;3072605;1111;1918200;1401;9195190;576;7638314;3003;7026067;2903;612247;674;154189;1564;152037;1473;10477;263;20080;42;904305;55
86;Totaal landbouw;Noord-Holland (PV);2013;4588;3207582;1150;1944246;1379;9564693;548;7556217;2978;6999429;2871;556788;633;157709;1529;150616;1436;11515;257;26858;44;1271717;57
87;Totaal landbouw;Noord-Holland (PV);2014;4447;3151220;1099;1949437;1319;9221058;509;7644736;2928;7090135;2813;554601;637;162086;1494;136364;1395;11714;242;26673;41;1378052;59
88;Totaal landbouw;Noord-Holland (PV);2015;4268;3053450;1060;2053866;1329;9003749;477;7731078;2929;7147327;2814;583751;660;167108;1463;133439;1308;13701;238;24636;37;1508312;64
89;Totaal landbouw;Noord-Holland (PV);2016;3696;2966790;1007;2083738;1266;9258153;441;7395590;2476;6845790;2368;549800;613;171939;1342;113443;1048;14438;191;22102;37;1784311;54
