ID;RegioS;Periode;AantalGemeenten_1;NieuwGevormdeGemeenten_2;HeringedeeldeGemeenten10Jaarstotaal_3;OverigeGrenscorrecties_4;Totaal_5;JongerDan20Jaar_6;k_20Tot65Jaar_7;k_65JaarOfOuder_8;Totaal_9;JongerDan20Jaar_10;k_20Tot65Jaar_11;k_65JaarOfOuder_12;Totaal_13;JongerDan20Jaar_14;k_20Tot65Jaar_15;k_65JaarOfOuder_16;Bevolkingsdichtheid_17;ZeerSterkStedelijk_18;SterkStedelijk_19;MatigStedelijk_20;WeinigStedelijk_21;NietStedelijk_22;Woningvoorraad_23;Woningdichtheid_24;WoningvooraadToevoegingDoorNieuwbouw_25;SaldoVermeerdering_26;SaldoVermeerderingPer1000Woningen_27;InkomstenUitProvinciefonds_28;OpcentenMotorrijtuigenbelasting_29;OverigeInkomsten_30;UitgavenEconActiviteiten_31;UitgavenEconActiviteitenPerInwoner_32;UitgavenAanWegonderhoud_33;UitgavenAanWegonderhoudPerInwoner_34;BelastingdrukPerMotorvoertuig_35;RegionaleEconomischeGroei_36;GroeiBanenVanWerknemers_37;LengteWegenTotaal_38;ProvincialeWegen_39;OverigeWegen_40;LengteVanSpoorwegen_41;AantalVerkeersdoden_42;VermogenDoorWarmteKoudeopslag_43;Totaal_44;TotaalLand_45;TotaalWater_46;LandEnWaterTotaal_47;LandTotaal_48;Verkeersterrein_49;Totaal_50;Woonterrein_51;Bedrijventerrein_52;OverigBebouwdTerrein_53;BosEnOpenNatuurlijkTerrein_54;OverigeOppervlakteLand_55;Totaal_56;IJsselmeerMarkermeer_57;RijnEnMaas_58;OverigBinnenwater_59;Buitenwater_60;LandEnWaterTotaal_61;LandTotaal_62;Verkeersterrein_63;Totaal_64;Woonterrein_65;Bedrijventerrein_66;OverigBebouwdTerrein_67;BosEnOpenNatuurlijkTerrein_68;OverigeOppervlakteLand_69;Totaal_70;IJsselmeerMarkermeer_71;RijnEnMaas_72;OverigBinnenwater_73;Buitenwater_74
0;Nederland;2006;458;4;264;11;16334210;3975626;10028125;2330459;8077407;2033125;5055516;988766;8256803;1942501;4972609;1341693;484;3141750;3732860;2932320;3193260;3334030;6912405;205;72382;58014;8.4;1083757.0;1134376.0;4483851.0;695809.0;43.0;251796.0;15.0;127.0;3.4;;134948;7745;127203;2797;811.0;625.0;4154307;3375617;778690;4152795.0;3375616.0;114268.0;328867.0;223891.0;71086.0;33890.0;484090.0;2448392.0;359815.0;183170.0;17913.0;158732.0;417363.0;;;;;;;;;;;;;;
1;Nederland;2007;443;9;205;2;16357992;3957103;10032537;2368352;8088514;2024153;5052301;1012060;8269478;1932950;4980236;1356292;485;3144180;3749950;2984380;3184000;3295490;6967046;206;80193;63697;9.1;1128209.0;1216221.0;6566514.0;230945.0;14.0;752912.0;46.0;137.0;3.6;2.9;135470;7899;127571;2801;791.0;564.0;4154307;3375617;778690;4152795.0;3375617.0;114268.0;328867.0;223891.0;71086.0;33890.0;484090.0;2448392.0;359815.0;183170.0;17913.0;158732.0;417363.0;;;;;;;;;;;;;;
2;Nederland;2008;443;0;169;0;16405399;3940450;10050123;2414826;8112073;2015088;5058026;1038959;8293326;1925362;4992097;1375867;486;3181140;3787780;3001390;3179580;3255510;7043212;209;78882;63723;9.0;1207818.0;1332501.0;5963001.0;259178.0;16.0;651683.0;40.0;147.0;2.0;1.4;136135;7848;128287;2888;750.0;;4154307;3375617;778690;4152795.0;3375617.0;114268.0;328867.0;223891.0;71086.0;33890.0;484090.0;2448392.0;359815.0;183170.0;17913.0;158732.0;417363.0;;;;;;;;;;;;;;
3;Nederland;2009;441;2;158;8;16485787;3933585;10080387;2471815;8156396;2011893;5072548;1071955;8329391;1921692;5007839;1399860;489;3329390;3886840;2986850;3127440;3074870;7104518;211;82932;70876;10.0;;;;;;;;;;;136826;7837;128989;2896;;;4154307;3372864;781443;;;;;;;;;;;;;;;4154307.0;3372864.0;115956.0;337927.0;227809.0;75548.0;34570.0;484024.0;2434960.0;362629.0;183168.0;18038.0;161423.0;418815.0
4;Noord-Nederland;2006;68;0;32;1;1700753;409043;1030245;261465;845240;209133;523993;112114;855513;199910;506252;149351;205;125270;162950;259000;390540;762990;721859;87;7164;4887;6.8;227865.0;141462.0;700136.0;74214.0;44.0;22060.0;13.0;126.0;1.2;;22754;1684;21070;411;112.0;18.0;1138914;831606;307308;1138914.0;831605.0;22053.0;44641.0;31634.0;8615.0;4392.0;96077.0;668835.0;76250.0;45779.0;0.0;30471.0;231058.0;;;;;;;;;;;;;;
5;Noord-Nederland;2007;68;0;32;0;1702020;406892;1030027;265101;845590;207846;523336;114408;856430;199046;506691;150693;205;127410;161240;265620;383160;764590;726191;87;7712;5855;8.1;237324.0;125343.0;866870.0;20676.0;12.0;87955.0;52.0;135.0;1.6;3.6;22849;1808;21041;411;97.0;20.0;1138914;831606;307308;1138914.0;831606.0;22053.0;44641.0;31634.0;8615.0;4392.0;96077.0;668835.0;76250.0;45779.0;0.0;30471.0;231058.0;;;;;;;;;;;;;;
6;Noord-Nederland;2008;68;0;0;0;1704783;404849;1029433;270501;846989;206729;522759;117501;857794;198120;506674;153000;205;128660;163870;268380;384340;759520;733208;88;7855;6014;8.2;252318.0;136940.0;896944.0;18785.0;11.0;69615.0;41.0;144.0;5.4;0.2;22930;1808;21122;419;105.0;;1138914;831606;307308;1138914.0;831606.0;22053.0;44641.0;31634.0;8615.0;4392.0;96077.0;668835.0;76250.0;45779.0;0.0;30471.0;231058.0;;;;;;;;;;;;;;
7;Noord-Nederland;2009;68;0;0;1;1708821;403528;1028288;277005;849067;205940;522001;121126;859754;197588;506287;155879;206;138940;180840;277780;383690;723540;738829;89;6472;4852;6.6;;;;;;;;;;;23021;1812;21209;413;;;1138914;830565;308349;;;;;;;;;;;;;;;1138914.0;830565.0;21991.0;46391.0;32345.0;9401.0;4645.0;96618.0;665565.0;77517.0;45773.0;0.0;31743.0;230833.0
8;Oost-Nederland;2006;87;0;80;1;3459889;890388;2092772;476729;1716210;455755;1058008;202447;1743679;434633;1034764;274282;356;174960;783890;748740;892780;859510;1370747;141;15904;13353;9.7;301990.0;266645.0;1335027.0;206476.0;60.0;94998.0;27.0;134.0;4.7;;36652;2757;33895;800;204.0;95.0;1096967;971488;125480;1096967.0;971488.0;29619.0;73706.0;50079.0;15383.0;8244.0;183550.0;684612.0;125480.0;84768.0;6464.0;34248.0;0.0;;;;;;;;;;;;;;
9;Oost-Nederland;2007;87;0;80;1;3469857;887930;2097016;484911;1720994;454600;1059148;207246;1748863;433330;1037868;277665;357;182620;792960;759180;884520;850590;1383036;142;17777;15681;11.3;307033.0;289569.0;1770350.0;97722.0;28.0;221580.0;64.0;142.0;4.6;4.6;36771;2771;34000;799;182.0;111.0;1096967;971488;125480;1096967.0;971488.0;29619.0;73706.0;50079.0;15383.0;8244.0;183550.0;684613.0;125480.0;84768.0;6464.0;34248.0;0.0;;;;;;;;;;;;;;
