ID;MechanischeBestrijding;TeeltsectorenEnGewassen;Perioden;AantalBedrijven_1;PercentageBedrijven_2;GrootteOppervlakte_3;PercentageOppervlakte_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16
0;Totaal mechanisch–en overige bestrijding;Totaal gewassen/teeltsectoren;2012;;;212664;27.4;2.4;2.9;9.6;5.8;10.6;13.2;6.9;4.4;4.5;5.2;1.2;0.3
1;Totaal mechanisch–en overige bestrijding;Totaal gewassen/teeltsectoren;2016;;;190854;25.8;0.9;0.7;2.8;5.8;10.6;12.2;4.9;4.2;4.7;3.4;0.9;0.4
2;Totaal mechanisch–en overige bestrijding;Totaal akkerbouw;2012;;;165925;24.4;2.3;2.8;8.8;4.1;8.7;11.6;4.2;2.2;3.2;4.4;0.7;0.0
3;Totaal mechanisch–en overige bestrijding;Totaal akkerbouw;2016;;;139287;21.8;0.2;0.0;1.1;3.7;8.4;9.8;2.3;1.8;2.9;2.7;0.5;0.0
4;Totaal mechanisch–en overige bestrijding;Totaal bloembollen en -knollen;2012;;;4428;21.1;0.0;0.4;8.2;6.8;9.6;3.8;6.7;5.2;0.9;5.3;0.0;0.0
5;Totaal mechanisch–en overige bestrijding;Totaal bloembollen en -knollen;2016;;;7171;30.5;2.3;2.8;6.8;9.6;8.8;10.1;8.3;5.4;8.2;2.5;0.3;1.0
6;Totaal mechanisch–en overige bestrijding;Bloemkw. onder glas (totaal);2012;;;2750;81.0;37.2;29.0;39.2;42.9;46.3;43.3;56.1;46.7;45.3;40.3;45.9;37.0
7;Totaal mechanisch–en overige bestrijding;Bloemkw. onder glas (totaal);2016;;;2273;79.4;38.4;40.9;39.5;36.1;36.6;46.2;40.3;39.7;41.9;39.3;31.1;31.4
8;Totaal mechanisch–en overige bestrijding;Totaal boomkwekerij en vaste planten;2012;;;12625;76.5;6.9;6.5;34.2;34.8;43.9;46.9;50.6;47.7;30.6;21.9;6.9;4.6
9;Totaal mechanisch–en overige bestrijding;Totaal boomkwekerij en vaste planten;2016;;;13223;77.7;4.7;5.7;18.5;39.1;48.3;48.3;45.2;43.5;40.0;21.5;5.0;2.3
