ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;TotalPersonnelCosts_10;GrossWagesAndSalaries_11;EmployerPaidSocialInsurancePremiums_12;PensionAndEarlyRetirementPremiums_13;OtherSocialInsuranceCosts_14;OtherPersonnelCosts_15;TotalOtherBusinessCosts_16;EnergyCosts_17;HousingCosts_18;EquipmentAndInventoryCosts_19;TransportCosts_20;SalesCosts_21;CommunicationCosts_22;ServicesProvidedByThirdParties_23;BusinessCostsNotElsewhereClassified_24;DepreciationFixedAssets_25;ProfitLoss_26;NetFinancialIncome_27;NetProvisions_28;NetExtraordinaryIncome_29;ProfitLossBeforeTax_30
0;I Transport, storage, communications;2006;544.6;441.0;451.1;373.5;92109.0;88923.0;3186.0;83572.0;29107.0;20303.0;14231.0;1670.0;1154.0;232.0;3017.0;26940.0;421.0;2112.0;877.0;10864.0;2497.0;462.0;6524.0;3183.0;7222.0;8537.0;363.0;-163.0;537.0;9274.0
1;I Transport, storage, communications;2007;575.2;456.7;467.6;385.4;98744.0;95103.0;3641.0;89835.0;32047.0;21693.0;15061.0;1769.0;1145.0;241.0;3477.0;28261.0;444.0;2237.0;814.0;11428.0;2564.0;458.0;6481.0;3837.0;7834.0;8909.0;-837.0;-187.0;79.0;7963.0
2;I Transport, storage, communications;2008;576.7;465.7;469.7;389.1;101654.0;98199.0;3455.0;93061.0;32218.0;22820.0;15722.0;1907.0;1207.0;124.0;3861.0;30170.0;484.0;2608.0;786.0;13059.0;2382.0;428.0;5820.0;4603.0;7854.0;8592.0;-2141.0;-110.0;482.0;6823.0
3;"60 Land transport; transport via ..";2006;219.7;184.7;191.3;161.4;24103.0;22601.0;1501.0;22468.0;5387.0;7738.0;5508.0;718.0;516.0;59.0;937.0;8004.0;88.0;461.0;109.0;5304.0;187.0;158.0;660.0;1036.0;1339.0;1634.0;-205.0;-51.0;59.0;1438.0
4;"60 Land transport; transport via ..";2007;233.3;192.3;201.7;170.1;25938.0;24297.0;1641.0;24394.0;6240.0;8351.0;5955.0;774.0;558.0;69.0;994.0;8505.0;85.0;506.0;145.0;5724.0;194.0;154.0;651.0;1046.0;1297.0;1544.0;-127.0;31.0;116.0;1564.0
5;"60 Land transport; transport via ..";2008;230.7;195.3;199.6;169.3;27140.0;25612.0;1529.0;25802.0;6782.0;8780.0;6186.0;818.0;611.0;60.0;1105.0;8809.0;92.0;536.0;130.0;6008.0;199.0;143.0;700.0;1001.0;1431.0;1338.0;-122.0;4.0;112.0;1332.0
6;601 Transport via railways;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;601 Transport via railways;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;601 Transport via railways;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;602 Road transport;2006;208.1;173.7;180.0;150.7;21755.0;20379.0;1376.0;20443.0;5279.0;7165.0;5081.0;664.0;508.0;57.0;856.0;6831.0;78.0;426.0;88.0;4651.0;153.0;141.0;615.0;679.0;1167.0;1312.0;-199.0;-50.0;59.0;1122.0
10;602 Road transport;2007;220.3;180.2;189.1;158.3;23588.0;22059.0;1529.0;22246.0;6120.0;7697.0;5475.0;712.0;548.0;68.0;894.0;7308.0;78.0;459.0;130.0;5017.0;151.0;138.0;603.0;732.0;1120.0;1342.0;-138.0;32.0;116.0;1353.0
11;602 Road transport;2008;217.3;182.6;186.6;157.1;24632.0;23223.0;1409.0;23524.0;6666.0;8044.0;5665.0;747.0;599.0;59.0;974.0;7557.0;83.0;487.0;116.0;5266.0;152.0;130.0;636.0;687.0;1257.0;1108.0;-135.0;5.0;112.0;1090.0
12;602a Passenger transport by tram or bus;2006;31.2;26.9;28.2;24.5;2618.0;1369.0;1248.0;2462.0;191.0;1253.0;878.0;93.0;115.0;7.0;160.0;769.0;11.0;56.0;23.0;495.0;38.0;15.0;47.0;84.0;248.0;156.0;-56.0;-40.0;11.0;71.0
13;602a Passenger transport by tram or bus;2007;33.6;28.1;30.9;26.0;2929.0;1549.0;1380.0;2893.0;479.0;1360.0;946.0;100.0;131.0;18.0;165.0;904.0;12.0;65.0;50.0;584.0;31.0;14.0;43.0;104.0;151.0;36.0;-4.0;18.0;18.0;68.0
14;602a Passenger transport by tram or bus;2008;33.1;28.8;29.8;25.7;2894.0;1614.0;1280.0;2892.0;463.0;1410.0;935.0;99.0;152.0;18.0;206.0;826.0;10.0;68.0;28.0;530.0;34.0;13.0;48.0;95.0;193.0;2.0;-31.0;13.0;8.0;-8.0
15;6022 Taxi operation;2006;43.7;28.6;36.8;22.9;1450.0;1436.0;14.0;1320.0;190.0;659.0;498.0;71.0;35.0;3.0;53.0;394.0;5.0;27.0;7.0;250.0;10.0;15.0;21.0;58.0;77.0;130.0;-7.0;0.0;2.0;126.0
16;6022 Taxi operation;2007;41.6;27.4;35.0;22.7;1568.0;1558.0;11.0;1386.0;238.0;652.0;500.0;70.0;35.0;3.0;44.0;421.0;4.0;21.0;8.0;255.0;12.0;15.0;20.0;86.0;74.0;183.0;-12.0;2.0;1.0;174.0
17;6022 Taxi operation;2008;41.3;28.2;33.8;22.0;1621.0;1613.0;8.0;1465.0;219.0;711.0;543.0;71.0;40.0;3.0;55.0;444.0;5.0;24.0;6.0;260.0;14.0;14.0;25.0;97.0;91.0;156.0;-10.0;0.0;6.0;152.0
18;6024 Freight transport by road;2006;133.2;118.2;115.0;103.3;17688.0;17574.0;114.0;16662.0;4898.0;5253.0;3705.0;500.0;359.0;46.0;643.0;5668.0;62.0;344.0;58.0;3905.0;105.0;111.0;546.0;537.0;842.0;1026.0;-136.0;-11.0;46.0;925.0
19;6024 Freight transport by road;2007;145.1;124.8;123.2;109.6;19091.0;18953.0;138.0;17967.0;5403.0;5686.0;4029.0;543.0;382.0;47.0;685.0;5983.0;62.0;373.0;72.0;4178.0;109.0;108.0;540.0;542.0;895.0;1124.0;-121.0;11.0;97.0;1110.0
20;6024 Freight transport by road;2008;142.9;125.6;123.0;109.4;20116.0;19996.0;120.0;19166.0;5984.0;5922.0;4187.0;577.0;407.0;37.0;714.0;6287.0;69.0;395.0;81.0;4476.0;104.0;103.0;563.0;496.0;973.0;950.0;-94.0;-8.0;98.0;946.0
21;603 Transport via pipelines;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;603 Transport via pipelines;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;603 Transport via pipelines;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;61 Water transport;2006;29.2;26.3;15.4;14.0;7023.0;6958.0;65.0;6055.0;1853.0;984.0;519.0;57.0;48.0;8.0;353.0;2415.0;8.0;37.0;37.0;1503.0;100.0;26.0;444.0;260.0;802.0;968.0;-63.0;-9.0;274.0;1170.0
25;61 Water transport;2007;31.8;28.3;16.8;14.8;7852.0;7777.0;75.0;6586.0;2007.0;1018.0;566.0;60.0;51.0;6.0;335.0;2737.0;15.0;43.0;60.0;1602.0;125.0;28.0;533.0;331.0;825.0;1266.0;-102.0;-18.0;144.0;1291.0
26;61 Water transport;2008;30.8;27.9;16.0;14.8;8223.0;8133.0;89.0;6829.0;1539.0;1079.0;564.0;60.0;45.0;7.0;403.0;3347.0;6.0;54.0;82.0;1998.0;168.0;27.0;563.0;448.0;865.0;1394.0;-256.0;-35.0;255.0;1357.0
27;611 Sea and coastal water transport;2006;14.0;13.1;7.2;6.8;5122.0;5079.0;43.0;4544.0;1666.0;643.0;292.0;27.0;28.0;3.0;293.0;1654.0;2.0;18.0;9.0;1033.0;77.0;9.0;334.0;172.0;580.0;579.0;-9.0;-4.0;208.0;774.0
28;611 Sea and coastal water transport;2007;15.6;14.3;8.1;7.4;5746.0;5695.0;50.0;4930.0;1719.0;633.0;307.0;29.0;29.0;3.0;265.0;1984.0;2.0;19.0;27.0;1173.0;91.0;13.0;422.0;236.0;594.0;815.0;-39.0;-14.0;135.0;897.0
29;611 Sea and coastal water transport;2008;14.4;13.6;7.5;7.2;5894.0;5835.0;60.0;5084.0;1219.0;683.0;292.0;28.0;26.0;3.0;334.0;2545.0;2.0;27.0;54.0;1491.0;142.0;12.0;477.0;340.0;638.0;810.0;-148.0;-19.0;161.0;804.0
30;612 Inland water transport;2006;15.1;13.2;8.2;7.2;1901.0;1879.0;22.0;1511.0;187.0;341.0;227.0;30.0;20.0;5.0;59.0;760.0;7.0;19.0;28.0;470.0;23.0;17.0;110.0;88.0;222.0;389.0;-54.0;-5.0;66.0;397.0
31;612 Inland water transport;2007;16.3;13.9;8.7;7.3;2106.0;2081.0;25.0;1656.0;287.0;384.0;259.0;31.0;22.0;3.0;69.0;753.0;13.0;24.0;33.0;430.0;34.0;15.0;110.0;95.0;231.0;451.0;-63.0;-4.0;10.0;393.0
