ID;Perioden;DeelnemersParticulierOnderwijs_1;ErkendeMboOpleidingen_2;ErkendeHboOpleidingen_3;OverigeOpleidingenEnCursussen_4;SchriftelijkOnderwijs_5;MondelingOnderwijs_6;VoortgezetOnderwijsLagereTrap_7;VoortgezetOnderwijsHogereTrap_8;HogerOnderwijs_9;Humaniora_10;Landbouw_11;Techniek_12;TransportCommunicatieEnVerkeer_13;Gezondheidszorg_14;TotaalEconAdminCommercieel_15;BedrijfskundeManagement_16;SecretarieelEnBedrijfsadministratie_17;InformatieverwerkingAutomatisering_18;CommercieelEnDetailhandel_19;OverigEconomisch_20;SociaalMaatschappelijk_21;Dienstverlening_22;OpenbareOrdeEnVeiligheid_23;OverigParticulierOnderwijs_24;k_16Maanden_25;k_712Maanden_26;MeerDan12Maanden_27;ErkendeMboOpleidingenIn_28;ErkendeHboOpleidingenIn_29;OverigeOpleidingenEnCursussenIn_30;SchriftelijkOnderwijsIn_31;MondelingOnderwijsIn_32;VoortgezetOnderwijsLagereTrapIn_33;VoortgezetOnderwijsHogereTrapIn_34;HogerOnderwijsIn_35;HumanioraIn_36;LandbouwIn_37;TechniekIn_38;TransportCommunicatieEnVerkeerIn_39;GezondheidszorgIn_40;TotaalEconAdminCommercieelIn_41;BedrijfskundeManagementIn_42;SecretarieelEnBedrijfsadminIn_43;InformatieverwerkAutomatiseringIn_44;CommercieelEnDetailhandelIn_45;OverigEconomischIn_46;SociaalMaatschappelijkIn_47;DienstverleningIn_48;OpenbareOrdeEnVeiligheidIn_49;OverigParticulierOnderwijsIn_50;k_16MaandenIn_51;k_712MaandenIn_52;MeerDan12MaandenIn_53
0;1990/'91;390650;;;;208540;182110;;;;;;;;;;;;;;;;;;;119770;168160;72720;;;;53;47;;;;;;;;;;;;;;;;;;;31;43;19
1;1991/'92;398880;;;;208420;190460;147430.0;198760.0;52700.0;;;;;;;;;;;;;;;;131920;173620;93350;;;;52;48;37.0;50.0;13.0;;;;;;;;;;;;;;;;33;44;23
2;1992/'93;423730;;;;215850;207890;150950.0;233310.0;49480.0;;;;;;;;;;;;;;;;142400;189150;92180;;;;51;49;36.0;55.0;12.0;;;;;;;;;;;;;;;;34;45;22
3;1993/'94;368090;;;;190810;177280;110130.0;200680.0;57290.0;;;;;;;;;;;;;;;;121000;170840;76250;;;;52;48;30.0;55.0;16.0;;;;;;;;;;;;;;;;33;46;21
4;1994/'95;326310;;;;176940;149370;99130.0;187950.0;39230.0;;;;;;;;;;;;;;;;102180;158750;65380;;;;54;46;30.0;58.0;12.0;;;;;;;;;;;;;;;;31;49;20
5;1995/'96;309390;;;;167120;142270;97650.0;171960.0;39790.0;;;;;;;;;;;;;;;;96330;153630;59440;;;;54;46;32.0;56.0;13.0;;;;;;;;;;;;;;;;31;50;19
6;1996/'97;317730;;;;186070;131660;121710.0;160540.0;35480.0;;;;;;;;;;;;;;;;109560;149130;59040;;;;59;41;38.0;51.0;11.0;;;;;;;;;;;;;;;;34;47;19
7;1997/'98;336810;;;;208070;128740;131810.0;166310.0;38690.0;;;;;;;;;;;;;;;;114250;150710;71850;;;;62;38;39.0;49.0;11.0;;;;;;;;;;;;;;;;34;45;21
8;1998/'99;346100;;;;211710;134390;131200.0;162460.0;52440.0;;;;;;;;;;;;;;;;123460;149610;73030;;;;61;39;38.0;47.0;15.0;;;;;;;;;;;;;;;;36;43;21
9;1999/'00;330760;;;;201850;128910;130800.0;155250.0;44710.0;36840.0;3640.0;33160.0;4190.0;10490.0;158850.0;24500.0;48790.0;22690.0;55510.0;7350.0;17990.0;21960.0;16900.0;26740.0;104280;143850;82640;;;;61;39;40.0;47.0;14.0;11.0;1.0;10.0;1.0;3.0;48.0;7.0;15.0;7.0;17.0;2.0;5.0;7.0;5.0;8.0;32;43;25
10;2000/'01;332710;24360.0;29360.0;278910.0;204770;127940;128920.0;156960.0;46820.0;41420.0;3380.0;36630.0;3900.0;11270.0;152300.0;20870.0;46510.0;28530.0;48140.0;8260.0;18000.0;19380.0;13480.0;32950.0;100130;132630;99950;7.0;9.0;84.0;62;38;39.0;47.0;14.0;12.0;1.0;11.0;1.0;3.0;46.0;6.0;14.0;9.0;14.0;2.0;5.0;6.0;4.0;10.0;30;40;30
