ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;DirectLoon_7;BijzondereBeloningen_8;LoonVoorNietGewerkteTijd_9;LoonInNatura_10;PremieWIA_11;PremieZVW_12;PremieWW_13;Pensioenpremies_14;OverigePremies_15;LoonBijZiekte_16;Ontslagvergoedingen_17;Opleidingskosten_18;OverigeUitgaven_19;Subsidies_20;PotentieleArbeidsduur_21;VerlofurenEnUrenVanFeestdagen_22;ZiekteUrenVerleturenEnKortVerzuim_23;ZwangerschapsEnBevallingsverlof_24;GewerkteUrenExclOverwerkuren_25;BetaaldeEnOnbetaaldeOverwerkuren_26;GewerkteUren_27
0;A-U Alle economische activiteiten;327.9;56.6;33.14;28.0;1707;100;56.0;10.2;8.5;1.7;3.0;4.3;2.1;8.0;0.2;2.9;0.6;0.9;2.1;-0.5;100;12.4;4.3;0.5;82.8;2.7;85.5
1;A Landbouw, bosbouw en visserij;2.8;39.5;21.6;18.87;1828;100;59.0;6.5;12.2;1.4;3.2;4.6;2.5;7.1;0.8;1.9;0.0;0.4;1.2;-0.8;100;11.9;3.1;0.2;84.9;4.6;89.5
2;B Delfstoffenwinning;0.8;105.3;58.2;50.08;1810;100;58.0;16.6;4.7;1.5;2.2;3.0;2.0;7.7;0.1;2.1;0.0;1.0;1.6;-0.5;100;12.0;3.5;0.2;84.3;3.0;87.3
3;C Industrie;38.8;57.9;33.16;28.12;1746;100;56.5;10.4;8.1;1.5;3.1;4.4;2.7;8.3;0.3;3.1;0.1;0.7;1.7;-0.9;100;12.1;5.0;0.2;82.7;3.6;86.3
4;D Energievoorziening;2.1;84.8;49.47;41.39;1715;100;55.4;10.8;5.9;2.1;2.6;3.8;0.8;12.1;0.1;2.6;0.2;2.5;1.4;-0.3;100;12.5;3.9;0.9;82.6;1.7;84.3
5;E Waterbedrijven en afvalbeheer;2.1;61.5;33.45;29.06;1838;100;55.2;10.2;8.1;1.5;3.2;4.6;1.8;9.0;0.1;3.5;0.4;1.3;1.6;-0.5;100;12.3;5.7;0.2;81.8;8.9;90.7
6;F Bouwnijverheid;18.8;58.6;32.84;27.74;1783;100;58.5;6.4;8.8;2.7;3.0;4.3;3.0;8.1;0.5;2.7;0.0;1.0;1.3;-0.4;100;12.3;5.1;0.1;82.5;3.5;86.0
7;G Handel;43.1;48.7;27.69;23.76;1757;100;56.2;9.7;9.8;2.8;3.1;4.4;2.5;6.7;0.2;2.3;0.1;0.3;2.3;-0.4;100;11.9;3.5;0.4;84.2;2.7;87.0
8;H Vervoer en opslag;16.8;56.8;28.53;25.87;1991;100;56.6;9.4;8.7;1.5;3.1;4.5;2.6;8.1;0.2;2.9;0.3;0.8;2.0;-0.9;100;12.2;4.7;0.2;82.9;14.0;96.9
9;I Horeca;5.4;31.2;18.04;15.43;1730;100;56.9;6.6;15.4;1.2;3.6;5.0;2.8;4.0;0.2;1.7;0.0;0.0;2.8;-0.4;100;12.7;2.8;0.3;84.3;2.2;86.5
