ID;RegioS;Perioden;TotaalBrandmeldingen_1;Buitenbrand_2;TotaalBinnenbranden_3;GroteEnMiddelgroteBrand_4;KleineBinnenbrand_5;Schoorsteenbrand_6;TotaalLozeAlarmmeldingen_7;ViaBrandmeldinstallatie_8;OverigeLozeAlarmmeldingen_9;TotaalHulpverleningsmeldingen_10;HulpverleningInGebouwen_11;HulpverleningAndersDanInGebouwen_12;LozeAlarmmeldingen_13
0;Totaal Nederland;1985;53501.0;20356.0;12064.0;1563.0;10501.0;4568.0;16513.0;11246.0;5267.0;29333.0;14378.0;13479.0;1476.0
1;Totaal Nederland;1986;59771.0;26128.0;11641.0;1562.0;10079.0;4253.0;17749.0;11877.0;5872.0;31992.0;15334.0;15269.0;1389.0
2;Totaal Nederland;1987;59060.0;23478.0;11950.0;1568.0;10382.0;3745.0;19887.0;13892.0;5995.0;31810.0;16255.0;14379.0;1176.0
3;Totaal Nederland;1988;56810.0;21863.0;11411.0;1432.0;9979.0;2900.0;20636.0;15183.0;5453.0;26312.0;12274.0;13059.0;979.0
4;Totaal Nederland;1989;64420.0;27863.0;11776.0;1207.0;10569.0;2627.0;22154.0;15968.0;6186.0;31992.0;14721.0;14973.0;2298.0
5;Totaal Nederland;1990;66922.0;27280.0;12592.0;1426.0;11166.0;2488.0;24562.0;17961.0;6601.0;36932.0;16636.0;17506.0;2790.0
6;Totaal Nederland;1991;72403.0;28663.0;13201.0;1665.0;11536.0;2898.0;27641.0;20382.0;7259.0;33185.0;14975.0;15877.0;2333.0
7;Totaal Nederland;1992;71268.0;28134.0;12842.0;1621.0;11221.0;2281.0;28011.0;21148.0;6863.0;35179.0;14949.0;17640.0;2590.0
8;Totaal Nederland;1993;73829.0;28004.0;13179.0;1466.0;11713.0;2337.0;30309.0;22492.0;7815.0;38526.0;16781.0;18487.0;3258.0
9;Totaal Nederland;1994;76363.0;27684.0;13180.0;1268.0;11912.0;2175.0;33324.0;25852.0;7472.0;35005.0;13906.0;17646.0;3453.0
10;Totaal Nederland;1995;81106.0;30284.0;13634.0;1315.0;12319.0;2194.0;34994.0;26745.0;8249.0;37813.0;14024.0;19630.0;4159.0
11;Totaal Nederland;1996;92294.0;37408.0;15257.0;1611.0;13646.0;2540.0;37089.0;26591.0;10498.0;38950.0;15150.0;19239.0;4561.0
12;Totaal Nederland;1997;89847.0;32653.0;15041.0;1432.0;13609.0;1793.0;40360.0;29943.0;10417.0;44380.0;18609.0;20699.0;5072.0
13;Totaal Nederland;1998;85506.0;27799.0;14368.0;1412.0;12956.0;1813.0;41526.0;33141.0;8385.0;46459.0;17388.0;23755.0;5316.0
14;Totaal Nederland;1999;88896.0;32483.0;13927.0;1479.0;12448.0;1671.0;40815.0;31577.0;9238.0;40028.0;14772.0;20341.0;4915.0
15;Totaal Nederland;2000;91739.0;30426.0;13910.0;1521.0;12389.0;1663.0;45740.0;34031.0;11709.0;46489.0;15002.0;24431.0;7056.0
16;Totaal Nederland;2001;92281.0;30513.0;14277.0;1765.0;12512.0;1704.0;45787.0;36868.0;8919.0;45876.0;17176.0;22398.0;6302.0
17;Totaal Nederland;2002;96977.0;30491.0;14192.0;1914.0;12278.0;1824.0;50470.0;41818.0;8652.0;55709.0;21003.0;28539.0;6167.0
18;Totaal Nederland;2003;105305.0;38297.0;13928.0;2126.0;11802.0;1728.0;51352.0;41531.0;9821.0;41063.0;14871.0;21380.0;4812.0
19;Totaal Nederland;2004;96451.0;28301.0;13040.0;1872.0;11168.0;1697.0;53413.0;42635.0;10778.0;45356.0;16107.0;24053.0;5196.0
20;Totaal Nederland;2005;101410.0;28547.0;13147.0;1917.0;11230.0;1505.0;58211.0;47782.0;10429.0;42268.0;15293.0;21630.0;5345.0
21;Totaal Nederland;2006;112826.0;33758.0;14272.0;2109.0;12163.0;1740.0;63056.0;52759.0;10297.0;45710.0;17299.0;22702.0;5709.0
22;Totaal Nederland;2007;108146.0;30980.0;14801.0;2212.0;12589.0;1546.0;60819.0;52130.0;8689.0;55053.0;20291.0;29151.0;5611.0
23;Totaal Nederland;2008;109408.0;29074.0;14423.0;2576.0;11847.0;1857.0;64054.0;55645.0;8409.0;48614.0;20442.0;23486.0;4686.0
24;Totaal Nederland;2009;109582.0;29704.0;15420.0;2529.0;12891.0;1947.0;62511.0;52946.0;9565.0;46891.0;21872.0;19835.0;5184.0
25;Totaal Nederland;2010;103170.0;24370.0;15563.0;2694.0;12869.0;2098.0;61139.0;48099.0;13040.0;48576.0;23279.0;20410.0;4887.0
26;Totaal Nederland;2011;107181.0;25652.0;14478.0;1993.0;12485.0;1806.0;65245.0;54093.0;11152.0;48310.0;21046.0;23823.0;3441.0
27;Totaal Nederland;2012;95648.0;19693.0;14381.0;1784.0;12597.0;1741.0;59833.0;49603.0;10230.0;46543.0;17775.0;25233.0;3535.0
28;Totaal Nederland;2013;86881.0;19401.0;14326.0;1559.0;12767.0;1720.0;51434.0;27828.0;23606.0;52184.0;28365.0;21018.0;2801.0
29;Noord-Nederland (LD);1985;4772.0;1647.0;1157.0;221.0;936.0;596.0;1372.0;931.0;441.0;2305.0;703.0;1523.0;79.0
30;Noord-Nederland (LD);1986;5205.0;2171.0;1109.0;199.0;910.0;496.0;1429.0;996.0;433.0;2337.0;762.0;1489.0;86.0
31;Noord-Nederland (LD);1987;4951.0;1906.0;1058.0;220.0;838.0;448.0;1539.0;1094.0;445.0;2828.0;914.0;1825.0;89.0
32;Noord-Nederland (LD);1988;4954.0;1915.0;987.0;186.0;801.0;376.0;1676.0;1291.0;385.0;2246.0;626.0;1560.0;60.0
33;Noord-Nederland (LD);1989;5509.0;2417.0;1092.0;175.0;917.0;326.0;1674.0;1219.0;455.0;2542.0;654.0;1761.0;127.0
34;Noord-Nederland (LD);1990;5460.0;2228.0;1116.0;194.0;922.0;344.0;1772.0;1350.0;422.0;2843.0;943.0;1743.0;157.0
35;Noord-Nederland (LD);1991;5662.0;2403.0;1134.0;229.0;905.0;343.0;1782.0;1303.0;479.0;2527.0;587.0;1811.0;129.0
36;Noord-Nederland (LD);1992;5935.0;2560.0;1093.0;239.0;854.0;275.0;2007.0;1496.0;511.0;2522.0;616.0;1771.0;135.0
