ID;Periods;IndexFigures_1;YearOnYearChange_2;IndexFigures_3;YearOnYearChange_4;IndexFigures_5;YearOnYearChange_6
0;1990 January;91.5;;101.0;;92.4;
1;1990 February;92.5;;99.9;;92.4;
2;1990 March;95.4;;99.4;;94.8;
3;1990 1st quarter;93.2;;100.1;;93.2;
4;1990 April;93.5;;100.0;;93.5;
5;1990 May;96.1;;96.9;;93.2;
6;1990 June;97.1;;95.8;;92.9;
7;1990 2nd quarter;95.5;;97.6;;93.2;
8;1990 July;93.1;;98.1;;91.3;
9;1990 August;92.6;;102.2;;94.7;
10;1990 September;90.7;;105.7;;95.9;
11;1990 3rd quarter;92.2;;102.0;;94.0;
12;1990 October;96.4;;104.1;;100.3;
13;1990 November;95.7;;103.0;;98.6;
14;1990 December;95.3;;102.6;;97.8;
15;1990 4th quarter;95.8;;103.2;;98.9;
16;1990;94.2;;100.7;;94.9;
17;1991 January;94.1;2.8;99.3;-1.6;93.4;1.1
18;1991 February;95.8;3.6;96.9;-2.9;92.9;0.6
19;1991 March;96.4;1.0;98.2;-1.2;94.6;-0.2
20;1991 1st quarter;95.4;2.4;98.2;-1.9;93.7;0.5
21;1991 April;94.4;1.1;99.8;-0.2;94.3;0.8
22;1991 May;96.5;0.4;97.9;1.0;94.5;1.4
23;1991 June;96.5;-0.6;97.7;2.1;94.3;1.5
24;1991 2nd quarter;95.8;0.3;98.5;0.9;94.4;1.2
25;1991 July;92.2;-1.0;101.3;3.3;93.5;2.3
26;1991 August;93.0;0.4;101.4;-0.8;94.4;-0.4
27;1991 September;92.4;1.9;101.3;-4.2;93.6;-2.4
28;1991 3rd quarter;92.6;0.4;101.3;-0.7;93.8;-0.2
29;1991 October;96.1;-0.3;100.0;-3.9;96.1;-4.2
30;1991 November;94.6;-1.2;100.8;-2.2;95.3;-3.3
31;1991 December;93.9;-1.6;100.7;-1.8;94.5;-3.4
32;1991 4th quarter;94.8;-1.0;100.5;-2.6;95.3;-3.7
33;1991;94.7;0.5;99.6;-1.1;94.3;-0.6
34;1992 January;91.6;-2.6;97.5;-1.9;89.3;-4.4
35;1992 February;92.9;-3.1;96.9;-0.1;90.0;-3.2
36;1992 March;94.9;-1.5;97.6;-0.6;92.7;-2.1
37;1992 1st quarter;93.1;-2.4;97.3;-0.8;90.6;-3.2
38;1992 April;93.3;-1.2;98.9;-0.9;92.3;-2.1
39;1992 May;94.9;-1.7;97.5;-0.3;92.6;-2.0
40;1992 June;95.7;-0.8;96.5;-1.3;92.4;-2.1
41;1992 2nd quarter;94.6;-1.2;97.7;-0.8;92.4;-2.1
42;1992 July;93.9;1.8;98.0;-3.3;92.0;-1.6
43;1992 August;95.0;2.1;97.1;-4.3;92.2;-2.2
44;1992 September;94.1;1.9;96.8;-4.4;91.1;-2.6
45;1992 3rd quarter;94.3;1.9;97.3;-4.0;91.8;-2.2
46;1992 October;97.2;1.2;94.5;-5.6;91.9;-4.4
47;1992 November;95.4;0.9;96.2;-4.5;91.8;-3.7
48;1992 December;94.2;0.3;96.8;-3.9;91.1;-3.6
49;1992 4th quarter;95.6;0.8;95.8;-4.7;91.6;-3.9
50;1992;94.4;-0.3;97.0;-2.6;91.6;-2.9
51;1993 January;91.3;-0.3;93.5;-4.1;85.4;-4.4
52;1993 February;92.3;-0.6;93.4;-3.6;86.2;-4.1
53;1993 March;94.5;-0.5;94.1;-3.6;88.9;-4.1
54;1993 1st quarter;92.7;-0.5;93.7;-3.7;86.9;-4.2
55;1993 April;93.3;-0.1;94.4;-4.5;88.1;-4.6
56;1993 May;95.2;0.3;92.9;-4.8;88.4;-4.6
57;1993 June;95.3;-0.4;92.3;-4.4;87.9;-4.8
58;1993 2nd quarter;94.6;-0.1;93.2;-4.6;88.1;-4.6
59;1993 July;93.9;0.0;93.9;-4.1;88.2;-4.1
60;1993 August;94.8;-0.2;93.5;-3.7;88.6;-3.9
61;1993 September;94.5;0.4;92.1;-4.8;87.1;-4.4
62;1993 3rd quarter;94.4;0.1;93.2;-4.2;88.0;-4.2
63;1993 October;97.7;0.5;91.9;-2.7;89.9;-2.2
64;1993 November;96.0;0.7;93.7;-2.6;90.0;-1.9
65;1993 December;94.6;0.4;95.1;-1.7;89.9;-1.3
66;1993 4th quarter;96.1;0.5;93.6;-2.3;89.9;-1.8
67;1993;94.5;0.1;93.4;-3.7;88.3;-3.6
68;1994 January;92.2;0.9;91.9;-1.8;84.7;-0.9
69;1994 February;93.4;1.2;91.7;-1.9;85.7;-0.7
70;1994 March;95.0;0.5;92.7;-1.5;88.0;-1.0
71;1994 1st quarter;93.5;0.9;92.1;-1.7;86.1;-0.9
72;1994 April;94.6;1.4;93.7;-0.8;88.6;0.6
73;1994 May;95.9;0.7;92.8;-0.1;88.9;0.6
74;1994 June;95.7;0.4;92.6;0.4;88.6;0.8
75;1994 2nd quarter;95.4;0.8;93.0;-0.2;88.7;0.7
76;1994 July;94.3;0.5;92.9;-1.1;87.6;-0.7
77;1994 August;95.0;0.3;93.4;0.0;88.8;0.2
78;1994 September;94.4;-0.2;93.3;1.3;88.0;1.1
79;1994 3rd quarter;94.6;0.2;93.2;0.0;88.1;0.2
80;1994 October;97.4;-0.3;92.5;0.6;90.1;0.3
81;1994 November;96.0;0.0;94.6;0.9;90.8;0.9
82;1994 December;95.0;0.4;96.3;1.3;91.5;1.7
83;1994 4th quarter;96.2;0.0;94.4;0.9;90.8;1.0
84;1994;94.9;0.5;93.2;-0.2;88.5;0.2
85;1995 January;94.1;2.1;92.9;1.1;87.4;3.2
86;1995 February;94.9;1.6;92.8;1.2;88.1;2.8
87;1995 March;97.0;2.1;92.9;0.3;90.1;2.4
88;1995 1st quarter;95.3;1.9;92.9;0.9;88.5;2.8
89;1995 April;94.8;0.2;93.7;0.1;88.8;0.2
90;1995 May;96.9;1.1;92.0;-0.8;89.1;0.2
91;1995 June;97.5;1.8;91.1;-1.6;88.8;0.2
92;1995 2nd quarter;96.4;1.0;92.3;-0.8;88.9;0.2
93;1995 July;95.8;1.6;91.9;-1.1;88.0;0.5
94;1995 August;96.6;1.6;92.7;-0.8;89.5;0.8
95;1995 September;95.1;0.8;93.6;0.3;89.0;1.1
96;1995 3rd quarter;95.8;1.3;92.7;-0.5;88.8;0.8
97;1995 October;98.2;0.8;92.7;0.2;91.0;1.0
98;1995 November;96.3;0.3;94.1;-0.5;90.6;-0.2
