ID;Brandstofsoort;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseBestelautoSInGebruik_10
0;Totaal;Totaal;1990;8065.0;7842.0;225.0;8168.0;7842.0;327.0;;;;
1;Totaal;Totaal;1991;8571.0;8324.0;246.0;8672.0;8324.0;347.0;;;;
2;Totaal;Totaal;1992;9518.0;9235.0;283.0;9621.0;9235.0;386.0;;;;
3;Totaal;Totaal;1993;10475.0;10156.0;319.0;10580.0;10156.0;423.0;;;;
4;Totaal;Totaal;1994;10551.0;10216.0;334.0;10643.0;10216.0;426.0;;;;
5;Totaal;Totaal;1995;10562.0;10214.0;347.0;10641.0;10214.0;425.0;;;;
6;Totaal;Totaal;1996;10938.0;10564.0;372.0;11004.0;10564.0;440.0;;;;
7;Totaal;Totaal;1997;11728.0;11315.0;413.0;11787.0;11315.0;471.0;;;;
8;Totaal;Totaal;1998;12771.0;12306.0;465.0;12819.0;12306.0;512.0;;;;
9;Totaal;Totaal;1999;14018.0;13490.0;528.0;14054.0;13490.0;562.0;;;;
10;Totaal;Totaal;2000;15351.0;14753.0;596.0;15369.0;14753.0;615.0;;;;
11;Totaal;Totaal;2001;16398.8;15742.9;656.0;16398.8;15742.9;656.0;18777.0;18026.0;751.0;873345.0
12;Totaal;Totaal;2002;16613.7;15949.2;664.5;16613.7;15949.2;664.5;18155.0;17428.0;726.0;915129.0
13;Totaal;Totaal;2003;17010.2;16329.8;680.4;17010.2;16329.8;680.4;18005.0;17284.0;720.0;944772.0
14;Totaal;Totaal;2004;17721.3;17012.5;708.9;17721.3;17012.5;708.9;17887.0;17172.0;715.0;990727.0
15;Totaal;Totaal;2005;17908.7;17192.3;716.3;17908.7;17192.3;716.3;17945.0;17227.0;718.0;997980.0
16;Totaal;Totaal;2006;17253.1;16562.9;690.1;17253.1;16562.9;690.1;18022.0;17301.0;721.0;957327.0
17;Totaal;Totaal;2007;17567.7;16865.0;702.7;17567.7;16865.0;702.7;18306.0;17574.0;732.0;959673.0
18;Totaal;Totaal;2008;17859.3;17144.9;714.4;17859.3;17144.9;714.4;18195.0;17468.0;728.0;981524.0
19;Totaal;Totaal;2009;17407.0;16710.7;696.3;17407.0;16710.7;696.3;17933.0;17216.0;717.0;970668.0
20;Totaal;Totaal;2010;17287.3;16595.8;691.5;17287.3;16595.8;691.5;17918.0;17201.0;717.0;964803.0
21;Totaal;Totaal;2011;17056.1;16373.9;682.2;17056.1;16373.9;682.2;17769.0;17058.0;711.0;959886.0
22;Totaal;Totaal;2012;16649.0;15983.0;666.0;16649.0;15983.0;666.0;17637.0;16931.0;705.0;944006.0
23;Totaal;Totaal;2013;16309.2;15656.8;652.4;16309.2;15656.8;652.4;17690.0;16982.0;708.0;921961.0
24;Totaal;Totaal;2014;16295.5;15643.7;651.8;16295.5;15643.7;651.8;17933.0;17216.0;717.0;908687.0
25;Totaal;Totaal;2015;16544.3;15882.5;661.8;16544.3;15882.5;661.8;18132.0;17407.0;725.0;912431.0
26;Totaal;Totaal;2016;17144.3;16407.1;737.2;17144.3;16407.1;737.2;18143.0;17362.0;780.0;944982.0
27;Totaal;Totaal;2017;17668.4;16908.7;759.7;17668.4;16908.7;759.7;18039.0;17263.0;776.0;979457.0
28;Totaal;Totaal;2018;18217.0;17470.1;746.9;18217.0;17470.1;746.9;17878.0;17145.0;733.0;1018980.0
29;Totaal;Totaal;2019;18683.4;17898.7;784.7;18683.4;17898.7;784.7;17772.0;17026.0;746.0;1051255.0
30;Totaal;Totaal;2020;18107.8;17365.4;742.4;18107.8;17365.4;742.4;17036.0;16338.0;698.0;1062912.0
31;Totaal;0 jaar;1990;945.0;919.0;26.0;957.0;919.0;38.0;;;;
32;Totaal;0 jaar;1991;1160.0;1127.0;33.0;1174.0;1127.0;47.0;;;;
33;Totaal;0 jaar;1992;1489.0;1444.0;44.0;1505.0;1444.0;60.0;;;;
34;Totaal;0 jaar;1993;1653.0;1603.0;50.0;1670.0;1603.0;67.0;;;;
35;Totaal;0 jaar;1994;1566.0;1517.0;50.0;1580.0;1517.0;63.0;;;;
36;Totaal;0 jaar;1995;1469.0;1421.0;48.0;1480.0;1421.0;59.0;;;;
37;Totaal;0 jaar;1996;1419.0;1370.0;48.0;1427.0;1370.0;57.0;;;;
38;Totaal;0 jaar;1997;1411.0;1362.0;50.0;1418.0;1362.0;57.0;;;;
39;Totaal;0 jaar;1998;1417.0;1365.0;52.0;1422.0;1365.0;57.0;;;;
40;Totaal;0 jaar;1999;1424.0;1370.0;54.0;1427.0;1370.0;57.0;;;;
41;Totaal;0 jaar;2000;1415.0;1360.0;55.0;1417.0;1360.0;57.0;;;;
42;Totaal;0 jaar;2001;1357.5;1303.2;54.3;1357.5;1303.2;54.3;15896.0;15260.0;636.0;85400.0
43;Totaal;0 jaar;2002;1349.8;1295.8;54.0;1349.8;1295.8;54.0;15897.0;15261.0;636.0;84913.0
44;Totaal;0 jaar;2003;1196.7;1148.8;47.9;1196.7;1148.8;47.9;15905.0;15269.0;636.0;75242.0
45;Totaal;0 jaar;2004;1390.2;1334.6;55.6;1390.2;1334.6;55.6;16066.0;15424.0;643.0;86528.0
46;Totaal;0 jaar;2005;1193.3;1145.5;47.7;1193.3;1145.5;47.7;18230.0;17501.0;729.0;65456.0
47;Totaal;0 jaar;2006;1067.6;1024.9;42.7;1067.6;1024.9;42.7;16613.0;15949.0;665.0;64265.0
48;Totaal;0 jaar;2007;1380.7;1325.5;55.2;1380.7;1325.5;55.2;17258.0;16568.0;690.0;80003.0
49;Totaal;0 jaar;2008;1406.8;1350.5;56.3;1406.8;1350.5;56.3;16824.0;16151.0;673.0;83616.0
50;Totaal;0 jaar;2009;852.1;818.0;34.1;852.1;818.0;34.1;16955.0;16277.0;678.0;50258.0
51;Totaal;0 jaar;2010;825.4;792.4;33.0;825.4;792.4;33.0;16829.0;16156.0;673.0;49048.0
52;Totaal;0 jaar;2011;941.8;904.1;37.7;941.8;904.1;37.7;16350.0;15696.0;654.0;57602.0
53;Totaal;0 jaar;2012;951.9;913.8;38.1;951.9;913.8;38.1;17138.0;16452.0;686.0;55544.0
54;Totaal;0 jaar;2013;867.6;832.9;34.7;867.6;832.9;34.7;17437.0;16740.0;697.0;49758.0
55;Totaal;0 jaar;2014;840.2;806.6;33.6;840.2;806.6;33.6;16475.0;15816.0;659.0;51000.0
56;Totaal;0 jaar;2015;930.1;892.9;37.2;930.1;892.9;37.2;16185.0;15538.0;647.0;57468.0
57;Totaal;0 jaar;2016;1143.5;1094.3;49.2;1143.5;1094.3;49.2;16233.0;15535.0;698.0;70441.0
58;Totaal;0 jaar;2017;1142.5;1093.4;49.1;1142.5;1093.4;49.1;15502.0;14836.0;667.0;73699.0
59;Totaal;0 jaar;2018;1208.6;1159.0;49.6;1208.6;1159.0;49.6;15250.0;14625.0;625.0;79251.0
60;Totaal;0 jaar;2019;1212.6;1161.7;50.9;1212.6;1161.7;50.9;15812.0;15148.0;664.0;76689.0
61;Totaal;0 jaar;2020;918.3;880.7;37.7;918.3;880.7;37.7;15054.0;14437.0;617.0;60999.0
