ID;Leeftijd;Perioden;TotaalAantalKinderen_1;k_1eKinderen_2;k_2eKinderen_3;k_3eKinderen_4;k_4OfVolgendeKinderen_5
0;Totaal over leeftijd 15-50;2004;1.72697;0.82148;0.6231;0.2051;0.07728
1;Totaal over leeftijd 15-50;2005;1.73225;0.81795;0.62797;0.20612;0.0802
2;Totaal over leeftijd 15-50;2006;1.73658;0.81415;0.63211;0.20683;0.08348
3;Totaal over leeftijd 15-50;2007;1.74209;0.81233;0.63648;0.20663;0.08665
4;Totaal over leeftijd 15-50;2008;1.7471;0.80972;0.64053;0.20694;0.08991
5;Totaal over leeftijd 15-50;2009;1.75075;0.80689;0.64426;0.2065;0.0931
6;Totaal over leeftijd 15-50;2010;1.75303;0.80472;0.64647;0.2064;0.09544
7;Totaal over leeftijd 15-50;2011;1.75273;0.80393;0.64709;0.20589;0.09582
8;Totaal over leeftijd 15-50;2012;1.75226;0.80312;0.64768;0.20528;0.09618
9;Totaal over leeftijd 15-50;2013;1.75238;0.80264;0.64821;0.20503;0.0965
10;Totaal over leeftijd 15-50;2014;1.75216;0.80218;0.64867;0.20451;0.0968
11;Totaal over leeftijd 15-50;2015;1.75181;0.80138;0.64907;0.20431;0.09705
12;Totaal over leeftijd 15-50;2016;1.75161;0.80075;0.64943;0.20413;0.0973
13;Totaal over leeftijd 15-50;2017;1.75151;0.80019;0.64979;0.20402;0.09751
14;Totaal over leeftijd 15-50;2018;1.75135;0.79977;0.65003;0.20389;0.09766
15;Totaal over leeftijd 15-50;2019;1.75121;0.79943;0.65023;0.20371;0.09784
16;Totaal over leeftijd 15-50;2020;1.75112;0.79916;0.6504;0.20351;0.09805
17;Totaal over leeftijd 15-50;2021;1.75102;0.79898;0.65051;0.20332;0.09821
18;Totaal over leeftijd 15-50;2022;1.75093;0.79883;0.65063;0.20315;0.09832
19;Totaal over leeftijd 15-50;2023;1.75087;0.7987;0.65072;0.20298;0.09847
20;Totaal over leeftijd 15-50;2024;1.75072;0.79859;0.65075;0.20281;0.09857
21;Totaal over leeftijd 15-50;2025;1.75068;0.79856;0.6508;0.20267;0.09865
22;Totaal over leeftijd 15-50;2026;1.75062;0.79854;0.65082;0.2025;0.09876
23;Totaal over leeftijd 15-50;2027;1.75065;0.79855;0.65087;0.20236;0.09887
24;Totaal over leeftijd 15-50;2028;1.75053;0.79855;0.65086;0.20221;0.09891
25;Totaal over leeftijd 15-50;2029;1.75057;0.79858;0.65088;0.20208;0.09903
26;Totaal over leeftijd 15-50;2030;1.75059;0.79865;0.65088;0.20195;0.09911
27;Totaal over leeftijd 15-50;2031;1.75057;0.79863;0.65089;0.20185;0.0992
28;Totaal over leeftijd 15-50;2032;1.75056;0.79871;0.65089;0.20173;0.09923
29;Totaal over leeftijd 15-50;2033;1.75058;0.79878;0.65085;0.20165;0.0993
30;Totaal over leeftijd 15-50;2034;1.75056;0.79886;0.65081;0.20153;0.09936
31;Totaal over leeftijd 15-50;2035;1.7506;0.79893;0.65081;0.20143;0.09943
32;Totaal over leeftijd 15-50;2036;1.75062;0.79904;0.65078;0.20134;0.09946
33;Totaal over leeftijd 15-50;2037;1.75068;0.79913;0.65078;0.20125;0.09952
34;Totaal over leeftijd 15-50;2038;1.7507;0.79924;0.65072;0.20118;0.09956
35;Totaal over leeftijd 15-50;2039;1.75079;0.79936;0.65072;0.20112;0.09959
36;Totaal over leeftijd 15-50;2040;1.75079;0.79941;0.65068;0.20106;0.09964
37;Totaal over leeftijd 15-50;2041;1.75081;0.7995;0.65065;0.20097;0.09969
38;Totaal over leeftijd 15-50;2042;1.75069;0.79954;0.65057;0.20088;0.0997
39;Totaal over leeftijd 15-50;2043;1.75059;0.79957;0.65051;0.20078;0.09973
40;Totaal over leeftijd 15-50;2044;1.75051;0.79953;0.65047;0.20074;0.09977
41;Totaal over leeftijd 15-50;2045;1.7504;0.79951;0.65045;0.20067;0.09977
42;Totaal over leeftijd 15-50;2046;1.75033;0.79953;0.65042;0.20058;0.0998
43;Totaal over leeftijd 15-50;2047;1.7502;0.79944;0.65043;0.20049;0.09984
44;Totaal over leeftijd 15-50;2048;1.74992;0.7992;0.65044;0.2004;0.09988
45;Totaal over leeftijd 15-50;2049;1.74998;0.7993;0.65043;0.20033;0.09992
46;Totaal over leeftijd 15-50;2050;1.74994;0.79939;0.65038;0.20025;0.09992
47;15 jaar of jonger;2004;0.00043;0.00043;0.0;0.0;0.0
48;15 jaar of jonger;2005;0.0004;0.0004;0.0;0.0;0.0
49;15 jaar of jonger;2006;0.00038;0.00038;0.0;0.0;0.0
50;15 jaar of jonger;2007;0.00035;0.00035;0.0;0.0;0.0
51;15 jaar of jonger;2008;0.00032;0.00032;0.0;0.0;0.0
52;15 jaar of jonger;2009;0.00029;0.00029;0.0;0.0;0.0
53;15 jaar of jonger;2010;0.00023;0.00023;0.0;0.0;0.0
54;15 jaar of jonger;2011;0.00022;0.00022;0.0;0.0;0.0
55;15 jaar of jonger;2012;0.00022;0.00022;0.0;0.0;0.0
56;15 jaar of jonger;2013;0.00021;0.00021;0.0;0.0;0.0
57;15 jaar of jonger;2014;0.0002;0.0002;0.0;0.0;0.0
58;15 jaar of jonger;2015;0.00019;0.00019;0.0;0.0;0.0
59;15 jaar of jonger;2016;0.00018;0.00018;0.0;0.0;0.0
60;15 jaar of jonger;2017;0.00017;0.00017;0.0;0.0;0.0
61;15 jaar of jonger;2018;0.00016;0.00016;0.0;0.0;0.0
62;15 jaar of jonger;2019;0.00015;0.00015;0.0;0.0;0.0
63;15 jaar of jonger;2020;0.00014;0.00014;0.0;0.0;0.0
64;15 jaar of jonger;2021;0.00013;0.00013;0.0;0.0;0.0
65;15 jaar of jonger;2022;0.00013;0.00013;0.0;0.0;0.0
66;15 jaar of jonger;2023;0.00012;0.00012;0.0;0.0;0.0
67;15 jaar of jonger;2024;0.00011;0.00011;0.0;0.0;0.0
68;15 jaar of jonger;2025;0.0001;0.0001;0.0;0.0;0.0
69;15 jaar of jonger;2026;9e-05;9e-05;0.0;0.0;0.0
70;15 jaar of jonger;2027;8e-05;8e-05;0.0;0.0;0.0
71;15 jaar of jonger;2028;7e-05;7e-05;0.0;0.0;0.0
72;15 jaar of jonger;2029;6e-05;6e-05;0.0;0.0;0.0
73;15 jaar of jonger;2030;5e-05;5e-05;0.0;0.0;0.0
74;15 jaar of jonger;2031;4e-05;4e-05;0.0;0.0;0.0
75;15 jaar of jonger;2032;3e-05;3e-05;0.0;0.0;0.0
76;15 jaar of jonger;2033;2e-05;2e-05;0.0;0.0;0.0
77;15 jaar of jonger;2034;1e-05;1e-05;0.0;0.0;0.0
78;15 jaar of jonger;2035;0.0;0.0;0.0;0.0;0.0
79;15 jaar of jonger;2036;0.0;0.0;0.0;0.0;0.0
80;15 jaar of jonger;2037;0.0;0.0;0.0;0.0;0.0
81;15 jaar of jonger;2038;0.0;0.0;0.0;0.0;0.0
82;15 jaar of jonger;2039;0.0;0.0;0.0;0.0;0.0
83;15 jaar of jonger;2040;0.0;0.0;0.0;0.0;0.0
84;15 jaar of jonger;2041;0.0;0.0;0.0;0.0;0.0
85;15 jaar of jonger;2042;0.0;0.0;0.0;0.0;0.0
86;15 jaar of jonger;2043;0.0;0.0;0.0;0.0;0.0
87;15 jaar of jonger;2044;0.0;0.0;0.0;0.0;0.0
88;15 jaar of jonger;2045;0.0;0.0;0.0;0.0;0.0
89;15 jaar of jonger;2046;0.0;0.0;0.0;0.0;0.0
90;15 jaar of jonger;2047;0.0;0.0;0.0;0.0;0.0
91;15 jaar of jonger;2048;0.0;0.0;0.0;0.0;0.0
92;15 jaar of jonger;2049;0.0;0.0;0.0;0.0;0.0
93;15 jaar of jonger;2050;0.0;0.0;0.0;0.0;0.0
94;16 jaar;2004;0.00141;0.00139;1e-05;1e-05;0.0
95;16 jaar;2005;0.00134;0.00132;1e-05;1e-05;0.0
96;16 jaar;2006;0.00125;0.00123;1e-05;1e-05;0.0
97;16 jaar;2007;0.00115;0.00115;0.0;0.0;0.0
98;16 jaar;2008;0.00108;0.00108;0.0;0.0;0.0
99;16 jaar;2009;0.001;0.001;0.0;0.0;0.0
100;16 jaar;2010;0.00085;0.00085;0.0;0.0;0.0
101;16 jaar;2011;0.00084;0.00084;0.0;0.0;0.0
102;16 jaar;2012;0.00082;0.00082;0.0;0.0;0.0
103;16 jaar;2013;0.0008;0.0008;0.0;0.0;0.0
104;16 jaar;2014;0.00078;0.00078;0.0;0.0;0.0
105;16 jaar;2015;0.00077;0.00077;0.0;0.0;0.0
106;16 jaar;2016;0.00075;0.00075;0.0;0.0;0.0
107;16 jaar;2017;0.00074;0.00074;0.0;0.0;0.0
108;16 jaar;2018;0.00072;0.00072;0.0;0.0;0.0
109;16 jaar;2019;0.00071;0.00071;0.0;0.0;0.0
110;16 jaar;2020;0.00069;0.00069;0.0;0.0;0.0
111;16 jaar;2021;0.00068;0.00068;0.0;0.0;0.0
112;16 jaar;2022;0.00066;0.00066;0.0;0.0;0.0
113;16 jaar;2023;0.00064;0.00064;0.0;0.0;0.0
114;16 jaar;2024;0.00063;0.00063;0.0;0.0;0.0
115;16 jaar;2025;0.00061;0.00061;0.0;0.0;0.0
116;16 jaar;2026;0.0006;0.0006;0.0;0.0;0.0
117;16 jaar;2027;0.00058;0.00058;0.0;0.0;0.0
118;16 jaar;2028;0.00057;0.00057;0.0;0.0;0.0
119;16 jaar;2029;0.00055;0.00055;0.0;0.0;0.0
120;16 jaar;2030;0.00053;0.00053;0.0;0.0;0.0
121;16 jaar;2031;0.00052;0.00052;0.0;0.0;0.0
122;16 jaar;2032;0.0005;0.0005;0.0;0.0;0.0
123;16 jaar;2033;0.00048;0.00048;0.0;0.0;0.0
124;16 jaar;2034;0.00047;0.00047;0.0;0.0;0.0
125;16 jaar;2035;0.00045;0.00045;0.0;0.0;0.0
126;16 jaar;2036;0.00043;0.00043;0.0;0.0;0.0
127;16 jaar;2037;0.00043;0.00043;0.0;0.0;0.0
128;16 jaar;2038;0.00043;0.00043;0.0;0.0;0.0
129;16 jaar;2039;0.00043;0.00043;0.0;0.0;0.0
