ID;TypeOfDwelling;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3;Number_4;ChangesComparedToThePreviousPeriod_5;ChangesComparedToThePreviousYear_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
0;Total of own houses;2015 1st quarter;68.2;;;39556;;;225216;8909
1;Total of own houses;2015 2nd quarter;68.9;0.9;;47372;19.8;;232155;10998
2;Total of own houses;2015 3rd quarter;70.1;1.8;;56958;20.2;;237519;13529
3;Total of own houses;2015 4th quarter;70.5;0.5;;60788;6.7;;240009;14590
4;Total of own houses;2015;69.4;;;204674;;;234639;48025
5;Total of own houses;2016 1st quarter;71.2;1.0;4.3;48465;-20.3;22.5;241247;11692
6;Total of own houses;2016 2nd quarter;72.2;1.5;4.9;57154;17.9;20.6;245030;14004
7;Total of own houses;2016 3rd quarter;74.0;2.5;5.5;67256;17.7;18.1;253303;17036
8;Total of own houses;2016 4th quarter;75.0;1.4;6.4;69653;3.6;14.6;252997;17622
9;Total of own houses;2016;73.1;5.3;5.3;242528;18.5;18.5;248856;60355
10;Total of own houses;2017 1st quarter;76.5;2.0;7.5;62698;-10.0;29.4;261461;16393
11;Total of own houses;2017 2nd quarter;77.8;1.7;7.7;65902;5.1;15.3;266544;17566
12;Total of own houses;2017 3rd quarter;80.0;2.8;8.1;68112;3.4;1.3;272812;18582
13;Total of own houses;2017 4th quarter;81.7;2.2;9.0;76349;12.1;9.6;276133;21083
14;Total of own houses;2017;79.0;8.1;8.1;273061;12.6;12.6;269621;73623
15;Total of own houses;2018 1st quarter;83.5;2.2;9.2;58256;-23.7;-7.1;285799;16650
16;Total of own houses;2018 2nd quarter;85.1;1.9;9.4;59998;3.0;-9.0;291484;17488
17;Total of own houses;2018 3rd quarter;87.8;3.1;9.7;63074;5.1;-7.4;300901;18979
18;Total of own houses;2018 4th quarter;89.0;1.4;8.9;65291;3.5;-14.5;303562;19820
19;Total of own houses;2018;86.4;9.3;9.3;246619;-9.7;-9.7;295747;72937
20;Total of own houses;2019 1st quarter;90.5;1.7;8.3;53177;-18.6;-8.7;308267;16393
21;Total of own houses;2019 2nd quarter;91.7;1.4;7.8;58811;10.6;-2.0;310573;18265
22;Total of own houses;2019 3rd quarter;93.4;1.8;6.4;64748;10.1;2.7;319710;20701
23;Total of own houses;2019 4th quarter;94.8;1.5;6.5;66701;3.0;2.2;321609;21452
