ID;RegioSSituatie2013;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5
0;Nederland;2014;7630.5;2855.4;4199.0;532.3;43.9
1;Nederland;2015;7688.5;2894.8;4212.8;536.7;44.2
2;Nederland;2016;7744.2;2928.5;4232.7;538.3;44.8
3;Nederland;2017;7801.7;2965.8;4250.9;539.7;45.2
4;Nederland;2018;7858.1;3003.4;4268.1;541.0;45.6
5;Nederland;2019;7913.3;3042.4;4283.1;542.0;45.9
6;Nederland;2020;7966.6;3081.2;4296.4;542.7;46.3
7;Nederland;2021;8017.3;3119.4;4308.2;543.1;46.7
8;Nederland;2022;8066.1;3157.4;4318.8;542.9;46.9
9;Nederland;2023;8112.2;3194.4;4328.1;542.6;47.1
10;Nederland;2024;8157.0;3231.2;4336.3;542.0;47.5
11;Nederland;2025;8198.4;3266.4;4343.1;541.3;47.7
12;Nederland;2026;8237.8;3301.0;4348.5;540.3;48.0
13;Nederland;2027;8274.3;3334.6;4352.2;539.2;48.3
14;Nederland;2028;8308.7;3368.1;4354.2;538.1;48.3
15;Nederland;2029;8340.2;3399.7;4354.9;537.0;48.7
16;Nederland;2030;8369.0;3430.3;4354.1;535.9;48.8
17;Nederland;2031;8394.7;3458.6;4352.0;535.1;49.0
18;Nederland;2032;8417.3;3485.2;4348.7;534.3;49.1
19;Nederland;2033;8437.4;3510.0;4344.4;533.8;49.2
20;Nederland;2034;8455.5;3533.5;4339.2;533.4;49.3
21;Nederland;2035;8471.7;3555.6;4333.3;533.4;49.3
22;Nederland;2036;8486.0;3576.0;4326.7;533.8;49.5
23;Nederland;2037;8499.1;3595.4;4319.9;534.2;49.6
24;Nederland;2038;8511.0;3614.0;4312.7;534.6;49.7
25;Nederland;2039;8521.7;3630.9;4305.7;535.3;49.8
26;Nederland;2040;8531.4;3646.7;4298.6;536.1;49.9
27;Noord-Nederland (LD);2014;793.8;299.8;440.2;48.9;5.0
28;Noord-Nederland (LD);2015;800.3;305.4;440.4;49.4;5.2
29;Noord-Nederland (LD);2016;805.7;309.1;441.7;49.5;5.3
30;Noord-Nederland (LD);2017;811.2;313.3;442.7;49.8;5.4
31;Noord-Nederland (LD);2018;815.8;317.0;443.5;49.9;5.4
32;Noord-Nederland (LD);2019;820.4;320.9;444.1;49.9;5.5
33;Noord-Nederland (LD);2020;824.7;324.5;444.7;49.9;5.6
34;Noord-Nederland (LD);2021;828.8;328.1;445.1;49.9;5.7
35;Noord-Nederland (LD);2022;832.4;331.2;445.6;49.9;5.7
36;Noord-Nederland (LD);2023;835.8;334.4;445.9;49.8;5.7
37;Noord-Nederland (LD);2024;838.8;337.6;445.9;49.6;5.7
38;Noord-Nederland (LD);2025;841.6;340.6;445.7;49.5;5.8
39;Noord-Nederland (LD);2026;843.6;343.0;445.3;49.4;5.9
40;Noord-Nederland (LD);2027;845.2;345.1;444.9;49.3;5.9
41;Noord-Nederland (LD);2028;846.5;347.1;444.4;49.0;5.9
42;Noord-Nederland (LD);2029;847.6;349.2;443.5;48.9;5.9
43;Noord-Nederland (LD);2030;848.7;351.2;442.6;48.8;6.0
44;Noord-Nederland (LD);2031;849.0;352.5;441.6;48.8;6.0
45;Noord-Nederland (LD);2032;848.8;354.0;440.2;48.7;6.0
46;Noord-Nederland (LD);2033;848.7;355.1;438.9;48.6;6.0
47;Noord-Nederland (LD);2034;848.1;355.7;437.9;48.6;5.9
48;Noord-Nederland (LD);2035;847.3;356.5;436.3;48.6;5.9
49;Noord-Nederland (LD);2036;846.6;357.5;434.5;48.6;6.0
50;Noord-Nederland (LD);2037;845.6;358.0;433.0;48.6;6.0
51;Noord-Nederland (LD);2038;844.6;358.2;431.6;48.7;6.1
52;Noord-Nederland (LD);2039;843.5;358.9;429.8;48.7;6.1
53;Noord-Nederland (LD);2040;843.0;359.6;428.4;48.9;6.2
54;Oost-Nederland (LD);2014;1549.9;535.6;907.5;98.4;8.4
55;Oost-Nederland (LD);2015;1564.7;546.8;910.3;99.2;8.5
56;Oost-Nederland (LD);2016;1578.1;555.9;914.3;99.3;8.6
57;Oost-Nederland (LD);2017;1590.8;564.2;918.3;99.6;8.7
58;Oost-Nederland (LD);2018;1602.8;572.1;922.1;99.8;8.8
59;Oost-Nederland (LD);2019;1614.7;580.3;925.6;100.0;8.9
60;Oost-Nederland (LD);2020;1626.4;588.5;928.8;100.1;9.0
61;Oost-Nederland (LD);2021;1637.1;596.6;931.3;100.2;9.0
62;Oost-Nederland (LD);2022;1647.5;604.5;933.8;100.1;9.0
63;Oost-Nederland (LD);2023;1657.4;612.0;936.1;100.1;9.2
64;Oost-Nederland (LD);2024;1667.1;619.6;938.2;100.0;9.2
65;Oost-Nederland (LD);2025;1675.8;626.5;940.2;99.9;9.1
66;Oost-Nederland (LD);2026;1684.3;633.9;941.7;99.6;9.2
67;Oost-Nederland (LD);2027;1692.1;640.7;943.0;99.2;9.2
68;Oost-Nederland (LD);2028;1699.2;647.2;944.0;98.8;9.2
69;Oost-Nederland (LD);2029;1706.2;653.6;945.0;98.3;9.4
70;Oost-Nederland (LD);2030;1712.9;659.7;945.9;98.0;9.4
71;Oost-Nederland (LD);2031;1718.6;665.2;946.4;97.6;9.4
72;Oost-Nederland (LD);2032;1723.6;669.8;947.1;97.4;9.4
73;Oost-Nederland (LD);2033;1728.3;674.3;947.4;97.1;9.5
74;Oost-Nederland (LD);2034;1732.3;679.0;946.9;96.9;9.5
75;Oost-Nederland (LD);2035;1736.3;683.1;946.7;96.9;9.6
76;Oost-Nederland (LD);2036;1739.7;686.7;946.7;96.9;9.5
77;Oost-Nederland (LD);2037;1742.7;690.5;945.7;97.0;9.5
78;Oost-Nederland (LD);2038;1745.1;693.4;945.1;96.9;9.6
79;Oost-Nederland (LD);2039;1747.4;696.2;944.5;97.0;9.6
80;Oost-Nederland (LD);2040;1749.0;699.2;943.2;97.1;9.5
81;West-Nederland (LD);2014;3676.6;1466.9;1909.4;279.1;21.2
82;West-Nederland (LD);2015;3702.1;1482.2;1918.5;280.3;21.0
83;West-Nederland (LD);2016;3728.5;1496.8;1930.2;280.5;21.1
84;West-Nederland (LD);2017;3756.7;1513.7;1941.5;280.4;21.2
85;West-Nederland (LD);2018;3786.3;1532.1;1952.2;280.8;21.3
86;West-Nederland (LD);2019;3815.6;1551.6;1961.4;281.1;21.5
87;West-Nederland (LD);2020;3844.1;1571.3;1969.9;281.3;21.6
88;West-Nederland (LD);2021;3872.0;1590.6;1978.2;281.4;21.8
89;West-Nederland (LD);2022;3899.5;1610.6;1985.7;281.3;21.8
90;West-Nederland (LD);2023;3925.1;1629.5;1992.7;281.1;21.9
91;West-Nederland (LD);2024;3950.7;1648.6;1999.1;280.8;22.2
92;West-Nederland (LD);2025;3975.0;1667.6;2004.5;280.6;22.4
93;West-Nederland (LD);2026;3998.2;1686.4;2009.3;280.1;22.5
94;West-Nederland (LD);2027;4020.6;1705.0;2013.4;279.6;22.6
95;West-Nederland (LD);2028;4041.8;1723.6;2016.3;279.1;22.7
96;West-Nederland (LD);2029;4061.2;1741.1;2018.6;278.7;22.8
97;West-Nederland (LD);2030;4078.9;1757.4;2020.6;278.1;22.8
98;West-Nederland (LD);2031;4096.0;1773.5;2021.6;277.9;23.1
99;West-Nederland (LD);2032;4111.4;1788.9;2021.9;277.5;23.1
100;West-Nederland (LD);2033;4125.4;1803.2;2021.9;277.1;23.1
101;West-Nederland (LD);2034;4138.4;1816.4;2021.7;277.0;23.3
102;West-Nederland (LD);2035;4150.4;1829.4;2020.8;276.9;23.3
103;West-Nederland (LD);2036;4161.5;1841.4;2019.4;277.2;23.4
104;West-Nederland (LD);2037;4172.5;1852.4;2019.1;277.5;23.5
105;West-Nederland (LD);2038;4182.8;1864.1;2017.5;277.8;23.5
106;West-Nederland (LD);2039;4192.6;1874.5;2016.4;278.2;23.5
107;West-Nederland (LD);2040;4201.7;1883.7;2015.7;278.6;23.7
108;Zuid-Nederland (LD);2014;1610.2;553.1;942.0;105.9;9.3
109;Zuid-Nederland (LD);2015;1621.3;560.4;943.6;107.7;9.6
110;Zuid-Nederland (LD);2016;1631.9;566.6;946.5;109.0;9.8
111;Zuid-Nederland (LD);2017;1642.9;574.6;948.4;109.9;9.9
112;Zuid-Nederland (LD);2018;1653.1;582.3;950.3;110.5;10.0
113;Zuid-Nederland (LD);2019;1662.6;589.6;952.0;111.0;10.1
114;Zuid-Nederland (LD);2020;1671.4;596.9;953.0;111.4;10.1
115;Zuid-Nederland (LD);2021;1679.3;604.0;953.5;111.6;10.2
116;Zuid-Nederland (LD);2022;1686.7;611.1;953.7;111.6;10.4
117;Zuid-Nederland (LD);2023;1693.9;618.5;953.4;111.6;10.3
118;Zuid-Nederland (LD);2024;1700.4;625.5;953.1;111.5;10.3
119;Zuid-Nederland (LD);2025;1706.0;631.7;952.7;111.3;10.4
120;Zuid-Nederland (LD);2026;1711.6;637.7;952.1;111.3;10.5
121;Zuid-Nederland (LD);2027;1716.4;643.8;951.0;111.1;10.5
122;Zuid-Nederland (LD);2028;1721.3;650.2;949.5;111.1;10.4
123;Zuid-Nederland (LD);2029;1725.3;655.8;947.8;111.0;10.6
124;Zuid-Nederland (LD);2030;1728.5;662.1;945.0;111.0;10.5
125;Zuid-Nederland (LD);2031;1731.1;667.4;942.4;110.8;10.6
126;Zuid-Nederland (LD);2032;1733.5;672.6;939.5;110.7;10.6
127;Zuid-Nederland (LD);2033;1735.1;677.4;936.1;110.9;10.7
128;Zuid-Nederland (LD);2034;1736.7;682.4;932.8;110.9;10.6
129;Zuid-Nederland (LD);2035;1737.7;686.6;929.6;111.0;10.5
130;Zuid-Nederland (LD);2036;1738.2;690.5;926.0;111.1;10.6
131;Zuid-Nederland (LD);2037;1738.3;694.5;922.1;111.1;10.6
132;Zuid-Nederland (LD);2038;1738.6;698.3;918.5;111.1;10.7
133;Zuid-Nederland (LD);2039;1738.3;701.3;915.0;111.3;10.7
134;Zuid-Nederland (LD);2040;1737.7;704.2;911.4;111.6;10.6
135;Groningen (PV);2014;289.2;128.2;141.0;17.9;2.1
136;Groningen (PV);2015;292.2;130.5;141.3;18.2;2.2
137;Groningen (PV);2016;294.8;132.2;142.0;18.3;2.2
