ID;BeroepsEnEigenVervoer;Vervoerstromen;Goederensoort;Perioden;VervoerdGewicht_1
0;Beroeps- en eigen vervoer;0;11;2010;564790
1;Beroeps- en eigen vervoer;0;11;2011;560998
2;Beroeps- en eigen vervoer;0;11;2012;538418
3;Beroeps- en eigen vervoer;0;12;2010;154507
4;Beroeps- en eigen vervoer;0;12;2011;155668
5;Beroeps- en eigen vervoer;0;12;2012;158568
6;Beroeps- en eigen vervoer;0;13;2010;216062
7;Beroeps- en eigen vervoer;0;13;2011;218254
8;Beroeps- en eigen vervoer;0;13;2012;195083
9;Beroeps- en eigen vervoer;0;14;2010;89672
10;Beroeps- en eigen vervoer;0;14;2011;85839
11;Beroeps- en eigen vervoer;0;14;2012;88069
12;Beroeps- en eigen vervoer;0;15;2010;57848
13;Beroeps- en eigen vervoer;0;15;2011;53265
14;Beroeps- en eigen vervoer;0;15;2012;55379
15;Beroeps- en eigen vervoer;0;16;2010;46700
16;Beroeps- en eigen vervoer;0;16;2011;47972
17;Beroeps- en eigen vervoer;0;16;2012;41318
18;Beroeps- en eigen vervoer;1;11;2010;534994
19;Beroeps- en eigen vervoer;1;11;2011;532353
20;Beroeps- en eigen vervoer;1;11;2012;511413
21;Beroeps- en eigen vervoer;1;12;2010;148176
22;Beroeps- en eigen vervoer;1;12;2011;149784
23;Beroeps- en eigen vervoer;1;12;2012;152191
24;Beroeps- en eigen vervoer;1;13;2010;208567
25;Beroeps- en eigen vervoer;1;13;2011;210751
26;Beroeps- en eigen vervoer;1;13;2012;187404
27;Beroeps- en eigen vervoer;1;14;2010;82749
28;Beroeps- en eigen vervoer;1;14;2011;78667
29;Beroeps- en eigen vervoer;1;14;2012;82361
30;Beroeps- en eigen vervoer;1;15;2010;52424
31;Beroeps- en eigen vervoer;1;15;2011;48815
32;Beroeps- en eigen vervoer;1;15;2012;51073
33;Beroeps- en eigen vervoer;1;16;2010;43078
34;Beroeps- en eigen vervoer;1;16;2011;44336
35;Beroeps- en eigen vervoer;1;16;2012;38384
36;Beroeps- en eigen vervoer;2;11;2010;441276
37;Beroeps- en eigen vervoer;2;11;2011;436979
38;Beroeps- en eigen vervoer;2;11;2012;420661
39;Beroeps- en eigen vervoer;2;12;2010;121461
40;Beroeps- en eigen vervoer;2;12;2011;122252
41;Beroeps- en eigen vervoer;2;12;2012;125027
42;Beroeps- en eigen vervoer;2;13;2010;177313
43;Beroeps- en eigen vervoer;2;13;2011;176965
44;Beroeps- en eigen vervoer;2;13;2012;157825
45;Beroeps- en eigen vervoer;2;14;2010;66377
46;Beroeps- en eigen vervoer;2;14;2011;63600
47;Beroeps- en eigen vervoer;2;14;2012;66164
48;Beroeps- en eigen vervoer;2;15;2010;37710
49;Beroeps- en eigen vervoer;2;15;2011;35270
50;Beroeps- en eigen vervoer;2;15;2012;38346
51;Beroeps- en eigen vervoer;2;16;2010;38414
52;Beroeps- en eigen vervoer;2;16;2011;38893
53;Beroeps- en eigen vervoer;2;16;2012;33299
54;Beroeps- en eigen vervoer;3;11;2010;123514
55;Beroeps- en eigen vervoer;3;11;2011;124018
56;Beroeps- en eigen vervoer;3;11;2012;117757
57;Beroeps- en eigen vervoer;3;12;2010;33046
58;Beroeps- en eigen vervoer;3;12;2011;33417
59;Beroeps- en eigen vervoer;3;12;2012;33541
60;Beroeps- en eigen vervoer;3;13;2010;38748
61;Beroeps- en eigen vervoer;3;13;2011;41290
62;Beroeps- en eigen vervoer;3;13;2012;37258
63;Beroeps- en eigen vervoer;3;14;2010;23295
64;Beroeps- en eigen vervoer;3;14;2011;22239
65;Beroeps- en eigen vervoer;3;14;2012;21905
66;Beroeps- en eigen vervoer;3;15;2010;20138
67;Beroeps- en eigen vervoer;3;15;2011;17995
68;Beroeps- en eigen vervoer;3;15;2012;17033
69;Beroeps- en eigen vervoer;3;16;2010;8286
70;Beroeps- en eigen vervoer;3;16;2011;9078
71;Beroeps- en eigen vervoer;3;16;2012;8019
72;Beroeps- en eigen vervoer;4;11;2010;93718
73;Beroeps- en eigen vervoer;4;11;2011;95374
74;Beroeps- en eigen vervoer;4;11;2012;90752
75;Beroeps- en eigen vervoer;4;12;2010;26715
76;Beroeps- en eigen vervoer;4;12;2011;27532
77;Beroeps- en eigen vervoer;4;12;2012;27164
78;Beroeps- en eigen vervoer;4;13;2010;31253
79;Beroeps- en eigen vervoer;4;13;2011;33786
80;Beroeps- en eigen vervoer;4;13;2012;29579
81;Beroeps- en eigen vervoer;4;14;2010;16371
82;Beroeps- en eigen vervoer;4;14;2011;15067
83;Beroeps- en eigen vervoer;4;14;2012;16197
84;Beroeps- en eigen vervoer;4;15;2010;14714
85;Beroeps- en eigen vervoer;4;15;2011;13545
86;Beroeps- en eigen vervoer;4;15;2012;12727
87;Beroeps- en eigen vervoer;4;16;2010;4664
88;Beroeps- en eigen vervoer;4;16;2011;5443
89;Beroeps- en eigen vervoer;4;16;2012;5085
90;Beroeps- en eigen vervoer;5;11;2010;15861
91;Beroeps- en eigen vervoer;5;11;2011;16037
92;Beroeps- en eigen vervoer;5;11;2012;16255
93;Beroeps- en eigen vervoer;5;12;2010;3513
94;Beroeps- en eigen vervoer;5;12;2011;3230
