ID;Vissoort;Perioden;AanvoerVerseVis_1;PrijsVerseVisBijAfslag_2;AanvoerDiepvriesvis_3
0;1;1994 januari;16211.0;;24320.3
1;1;1994 februari;15984.9;;33116.7
2;1;1994 maart;12489.5;;39691.8
3;1;1994 april;12023.7;;28770.0
4;1;1994 mei;9476.0;;29450.3
5;1;1994 juni;10712.2;;19424.2
6;1;1994 juli;11918.1;;30144.8
7;1;1994 augustus;11927.1;;38750.6
8;1;1994 september;19243.1;;12283.6
9;1;1994 oktober;19986.9;;35814.4
10;1;1994 november;20002.8;;29894.8
11;1;1994 december;15535.4;;48433.6
12;1;1994;175510.8;;370095.1
13;1;1995 januari;13365.3;;22228.4
14;1;1995 februari;12658.0;;31038.3
15;1;1995 maart;9847.6;;28953.2
16;1;1995 april;9276.6;;25838.3
17;1;1995 mei;8281.4;;33747.2
18;1;1995 juni;8819.9;;22284.4
19;1;1995 juli;7862.9;;37326.8
20;1;1995 augustus;9810.0;;40752.8
21;1;1995 september;14181.9;;30451.4
22;1;1995 oktober;18773.4;;31119.3
23;1;1995 november;18506.0;;36271.0
24;1;1995 december;12480.3;;49816.8
25;1;1995;143863.2;;389827.9
26;1;1996 januari;14153.5;;29292.4
27;1;1996 februari;13042.7;;37986.8
28;1;1996 maart;12262.1;;35343.6
29;1;1996 april;8865.1;;32848.9
30;1;1996 mei;9161.1;;36280.4
31;1;1996 juni;9646.5;;21899.2
32;1;1996 juli;6516.1;;30015.0
33;1;1996 augustus;10215.7;;20675.8
34;1;1996 september;10008.2;;27174.6
35;1;1996 oktober;14212.9;;33685.5
36;1;1996 november;12549.9;;40062.0
37;1;1996 december;7869.7;;58844.2
38;1;1996;136780.3;;404615.2
39;1;1997 januari;12667.2;;31051.9
40;1;1997 februari;8721.2;;34578.8
41;1;1997 maart;10356.2;;48555.9
42;1;1997 april;7479.1;;38853.7
43;1;1997 mei;9830.1;;25044.9
44;1;1997 juni;8506.1;;20831.6
45;1;1997 juli;8151.5;;27025.3
46;1;1997 augustus;10358.2;;31747.4
47;1;1997 september;11277.7;;27757.8
