ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenFTEEindSeptember_2;WerknemersFTEOpEigenLoonlijst_3;TotaleBedrijfsopbrengsten_4;TotaleNettoOmzet_5;OmzetHoofdactiviteit_6;OmzetUitNevenactiviteiten_7;OverigeBedrijfsopbrengsten_8;TotaleBedrijfslasten_9;InkoopwaardeOmzet_10;InkoopwaardeHandelsgoederen_11;InkoopwaardeGrondEnHulpstoffen_12;Arbeidskosten_13;BrutoLonenEnSalarissen_14;OverigePersoneelskosten_15;Verkoopkosten_16;KostenVanHuisvesting_17;KostenEnergieverbruik_18;KostenMachinesEnInstallaties_19;KostenVervoermiddelen_20;Communicatiekosten_21;KostenVanDienstverleningDoorDerden_22;OverigeBedrijfslasten_23;AfschrijvingenOpVasteActiva_24;Bedrijfsresultaat_25;SaldoOverigeFinancieleResultaten_26;ResultaatVoorBelastingen_27
0;50 Handel in en reparatie van auto's ..;2000;23350.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1;50 Handel in en reparatie van auto's ..;2001;23090.0;;;64513.0;64344.0;;;169.0;62608.0;52052.0;;;3676.0;3069.0;;915.0;;158.0;;;;356.0;;649.0;1906.0;-272.0;1634.0
2;50 Handel in en reparatie van auto's ..;2002;22840.0;136.9;113.9;63560.0;63388.0;62868.0;520.0;172.0;61617.0;50891.0;47666.0;2703.0;3713.0;3083.0;304.0;911.0;769.0;154.0;152.0;316.0;129.0;378.0;3277.0;623.0;1943.0;-341.0;1602.0
3;50 Handel in en reparatie van auto's ..;2003;20940.0;135.9;114.1;63438.0;63254.0;62617.0;637.0;184.0;61639.0;50832.0;48240.0;2205.0;3844.0;3178.0;306.0;945.0;830.0;171.0;156.0;299.0;131.0;381.0;3129.0;615.0;1799.0;-220.0;1579.0
4;50 Handel in en reparatie van auto's ..;2004;21460.0;135.9;114.9;64582.0;64324.0;63547.0;778.0;258.0;62797.0;51709.0;49049.0;2216.0;3871.0;3197.0;322.0;937.0;885.0;167.0;158.0;320.0;127.0;388.0;3326.0;585.0;1786.0;-291.0;1495.0
5;50 Handel in en reparatie van auto's ..;2005;21745.0;133.8;112.5;64646.0;64429.0;63435.0;993.0;218.0;63033.0;51566.0;48814.0;2453.0;3900.0;3214.0;323.0;963.0;909.0;181.0;146.0;336.0;127.0;403.0;3609.0;571.0;1621.0;-273.0;1348.0
6;501 Handel in en reparatie van auto's ..;2000;14870.0;;;45105.0;;;;;43861.0;36287.0;;;;;;;;;;;;;;384.0;1244.0;-111.0;1133.0
7;501 Handel in en reparatie van auto's ..;2001;14685.0;90.4;76.7;46657.0;46535.0;;;122.0;45381.0;37534.0;;;2422.0;2023.0;;687.0;;89.0;;;;251.0;;438.0;1276.0;-182.0;1094.0
8;501 Handel in en reparatie van auto's ..;2002;14635.0;86.9;72.2;46392.0;46261.0;46044.0;217.0;131.0;45084.0;37087.0;34440.0;2207.0;2445.0;2033.0;182.0;705.0;489.0;89.0;98.0;216.0;86.0;251.0;3028.0;406.0;1309.0;-264.0;1045.0
9;501 Handel in en reparatie van auto's ..;2003;13405.0;87.1;73.7;45903.0;45782.0;45492.0;290.0;121.0;44732.0;36690.0;34645.0;1704.0;2554.0;2118.0;196.0;739.0;505.0;99.0;99.0;207.0;89.0;259.0;2906.0;389.0;1171.0;-155.0;1016.0
10;501 Handel in en reparatie van auto's ..;2004;13715.0;87.0;74.3;46799.0;46616.0;46213.0;404.0;182.0;45642.0;37309.0;35158.0;1723.0;2571.0;2127.0;195.0;750.0;563.0;100.0;103.0;222.0;88.0;266.0;3097.0;378.0;1157.0;-210.0;947.0
11;501 Handel in en reparatie van auto's ..;2005;13800.0;84.1;71.1;45732.0;45574.0;44992.0;582.0;157.0;44739.0;36165.0;34019.0;1884.0;2564.0;2114.0;203.0;753.0;565.0;105.0;90.0;222.0;84.0;268.0;3368.0;353.0;998.0;-207.0;791.0
12;5010a Handel in en reparatie van ..;2000;1050.0;;;3977.0;;;;;3790.0;3097.0;;;;;;;;;;;;;;56.0;188.0;-33.0;155.0
13;5010a Handel in en reparatie van ..;2001;1105.0;11.3;10.5;3775.0;3765.0;;;10.0;3590.0;2862.0;;;382.0;319.0;;41.0;;9.0;;;;27.0;;57.0;185.0;-37.0;148.0
14;5010a Handel in en reparatie van ..;2002;1165.0;11.5;10.6;3806.0;3800.0;3749.0;51.0;7.0;3651.0;2888.0;2521.0;291.0;403.0;339.0;38.0;47.0;68.0;10.0;16.0;38.0;12.0;30.0;52.0;48.0;156.0;-34.0;122.0
15;5010a Handel in en reparatie van ..;2003;1060.0;;;;;;;;;;;;;;;;;;;;;;;;;;
16;5010a Handel in en reparatie van ..;2004;1050.0;11.5;10.8;3929.0;3905.0;3800.0;105.0;24.0;3773.0;2960.0;2604.0;256.0;434.0;362.0;46.0;43.0;76.0;12.0;13.0;34.0;11.0;39.0;54.0;51.0;156.0;-27.0;129.0
