ID;Geslacht;Arbeidsmarktpositie;Peilmoment;Studiekenmerken;Persoonskenmerken;Perioden;UitstromersHoTotaal_1;UitstromersHoZonderDiploma_2;UitstromersHoMetDiploma_3
0;Mannen en vrouwen;0;1;0;0;2006/'07;124310.0;45750.0;78560.0
1;Mannen en vrouwen;0;1;0;0;2007/'08;125220.0;46990.0;78230.0
2;Mannen en vrouwen;0;1;0;0;2008/'09;122000.0;43240.0;78770.0
3;Mannen en vrouwen;0;1;0;0;2009/'10;128890.0;47490.0;81400.0
4;Mannen en vrouwen;0;1;0;0;2010/'11;137810.0;51100.0;86720.0
5;Mannen en vrouwen;0;1;0;0;2011/'12;149970.0;53790.0;96170.0
6;Mannen en vrouwen;0;1;0;0;2012/'13;131010.0;44180.0;86830.0
7;Mannen en vrouwen;0;1;0;0;2013/'14;137070.0;48070.0;89000.0
8;Mannen en vrouwen;0;1;0;1;2006/'07;4230.0;4230.0;
9;Mannen en vrouwen;0;1;0;1;2007/'08;4480.0;4470.0;
10;Mannen en vrouwen;0;1;0;1;2008/'09;3990.0;3990.0;
11;Mannen en vrouwen;0;1;0;1;2009/'10;4130.0;4120.0;
12;Mannen en vrouwen;0;1;0;1;2010/'11;4090.0;4090.0;
13;Mannen en vrouwen;0;1;0;1;2011/'12;4180.0;4180.0;
14;Mannen en vrouwen;0;1;0;1;2012/'13;3420.0;3410.0;10.0
15;Mannen en vrouwen;0;1;0;1;2013/'14;3590.0;3580.0;10.0
16;Mannen en vrouwen;0;1;0;2;2006/'07;39830.0;16290.0;23540.0
17;Mannen en vrouwen;0;1;0;2;2007/'08;42000.0;17620.0;24380.0
18;Mannen en vrouwen;0;1;0;2;2008/'09;39230.0;15330.0;23900.0
19;Mannen en vrouwen;0;1;0;2;2009/'10;42160.0;17440.0;24710.0
20;Mannen en vrouwen;0;1;0;2;2010/'11;44930.0;18800.0;26130.0
21;Mannen en vrouwen;0;1;0;2;2011/'12;49360.0;20130.0;29230.0
22;Mannen en vrouwen;0;1;0;2;2012/'13;46480.0;17730.0;28760.0
23;Mannen en vrouwen;0;1;0;2;2013/'14;47770.0;19090.0;28680.0
24;Mannen en vrouwen;0;1;0;3;2006/'07;45670.0;11250.0;34420.0
25;Mannen en vrouwen;0;1;0;3;2007/'08;45410.0;11510.0;33900.0
26;Mannen en vrouwen;0;1;0;3;2008/'09;45390.0;10630.0;34760.0
27;Mannen en vrouwen;0;1;0;3;2009/'10;48500.0;12070.0;36430.0
28;Mannen en vrouwen;0;1;0;3;2010/'11;52640.0;13430.0;39210.0
29;Mannen en vrouwen;0;1;0;3;2011/'12;58350.0;14270.0;44080.0
30;Mannen en vrouwen;0;1;0;3;2012/'13;51580.0;12120.0;39460.0
31;Mannen en vrouwen;0;1;0;3;2013/'14;55350.0;13440.0;41900.0
32;Mannen en vrouwen;0;1;0;4;2006/'07;12080.0;4390.0;7700.0
33;Mannen en vrouwen;0;1;0;4;2007/'08;11810.0;4230.0;7570.0
34;Mannen en vrouwen;0;1;0;4;2008/'09;12250.0;4400.0;7860.0
35;Mannen en vrouwen;0;1;0;4;2009/'10;12780.0;4660.0;8120.0
36;Mannen en vrouwen;0;1;0;4;2010/'11;13560.0;5050.0;8510.0
37;Mannen en vrouwen;0;1;0;4;2011/'12;14640.0;5340.0;9310.0
38;Mannen en vrouwen;0;1;0;4;2012/'13;11820.0;4050.0;7770.0
39;Mannen en vrouwen;0;1;0;4;2013/'14;12710.0;4550.0;8160.0
40;Mannen en vrouwen;0;1;0;5;2006/'07;11940.0;5170.0;6770.0
41;Mannen en vrouwen;0;1;0;5;2007/'08;11530.0;5060.0;6470.0
42;Mannen en vrouwen;0;1;0;5;2008/'09;11360.0;4910.0;6450.0
43;Mannen en vrouwen;0;1;0;5;2009/'10;11360.0;4870.0;6490.0
44;Mannen en vrouwen;0;1;0;5;2010/'11;11990.0;5200.0;6790.0
45;Mannen en vrouwen;0;1;0;5;2011/'12;12700.0;5500.0;7210.0
46;Mannen en vrouwen;0;1;0;5;2012/'13;9570.0;3730.0;5840.0
47;Mannen en vrouwen;0;1;0;5;2013/'14;9660.0;4070.0;5590.0
48;Mannen en vrouwen;0;1;0;6;2006/'07;10560.0;4440.0;6120.0
49;Mannen en vrouwen;0;1;0;6;2007/'08;9990.0;4100.0;5900.0
50;Mannen en vrouwen;0;1;0;6;2008/'09;9780.0;3980.0;5790.0
51;Mannen en vrouwen;0;1;0;6;2009/'10;9960.0;4320.0;5640.0
52;Mannen en vrouwen;0;1;0;6;2010/'11;10600.0;4540.0;6060.0
53;Mannen en vrouwen;0;1;0;6;2011/'12;10730.0;4390.0;6340.0
54;Mannen en vrouwen;0;1;0;6;2012/'13;8140.0;3160.0;4980.0
55;Mannen en vrouwen;0;1;0;6;2013/'14;7990.0;3340.0;4650.0
56;Mannen en vrouwen;0;1;0;7;2006/'07;97710.0;33890.0;63820.0
57;Mannen en vrouwen;0;1;0;7;2007/'08;97890.0;34720.0;63170.0
58;Mannen en vrouwen;0;1;0;7;2008/'09;94530.0;31390.0;63140.0
59;Mannen en vrouwen;0;1;0;7;2009/'10;99040.0;34220.0;64830.0
60;Mannen en vrouwen;0;1;0;7;2010/'11;105260.0;36040.0;69210.0
61;Mannen en vrouwen;0;1;0;7;2011/'12;113380.0;37480.0;75900.0
62;Mannen en vrouwen;0;1;0;7;2012/'13;98390.0;30150.0;68240.0
63;Mannen en vrouwen;0;1;0;7;2013/'14;102400.0;32480.0;69920.0
64;Mannen en vrouwen;0;1;0;8;2006/'07;14890.0;7280.0;7610.0
65;Mannen en vrouwen;0;1;0;8;2007/'08;15480.0;7570.0;7910.0
66;Mannen en vrouwen;0;1;0;8;2008/'09;15640.0;7400.0;8230.0
67;Mannen en vrouwen;0;1;0;8;2009/'10;17230.0;8500.0;8730.0
68;Mannen en vrouwen;0;1;0;8;2010/'11;18860.0;9690.0;9170.0
69;Mannen en vrouwen;0;1;0;8;2011/'12;21120.0;10620.0;10500.0
70;Mannen en vrouwen;0;1;0;8;2012/'13;18500.0;9020.0;9480.0
71;Mannen en vrouwen;0;1;0;8;2013/'14;20450.0;10480.0;9970.0
72;Mannen en vrouwen;0;1;0;9;2006/'07;11720.0;4590.0;7130.0
73;Mannen en vrouwen;0;1;0;9;2007/'08;11850.0;4690.0;7160.0
74;Mannen en vrouwen;0;1;0;9;2008/'09;11840.0;4450.0;7390.0
75;Mannen en vrouwen;0;1;0;9;2009/'10;12620.0;4770.0;7850.0
76;Mannen en vrouwen;0;1;0;9;2010/'11;13700.0;5360.0;8340.0
77;Mannen en vrouwen;0;1;0;9;2011/'12;15460.0;5690.0;9770.0
78;Mannen en vrouwen;0;1;0;9;2012/'13;14120.0;5010.0;9120.0
79;Mannen en vrouwen;0;1;0;9;2013/'14;14220.0;5110.0;9110.0
80;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2006/'07;118690.0;43750.0;74940.0
81;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2007/'08;119220.0;44930.0;74290.0
82;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2008/'09;115920.0;41190.0;74730.0
83;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2009/'10;122240.0;45260.0;76980.0
84;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2010/'11;130660.0;48700.0;81950.0
85;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2011/'12;141500.0;51020.0;90490.0
86;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2012/'13;122470.0;41330.0;81140.0
87;Mannen en vrouwen;0;1;0;Nationaliteit: Nederlands;2013/'14;128710.0;45340.0;83380.0
88;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2006/'07;2200.0;690.0;1510.0
89;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2007/'08;2440.0;810.0;1640.0
90;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2008/'09;2560.0;820.0;1740.0
91;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2009/'10;3120.0;1020.0;2090.0
92;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2010/'11;3570.0;1210.0;2360.0
93;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2011/'12;4570.0;1490.0;3080.0
94;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2012/'13;4930.0;1610.0;3310.0
95;Mannen en vrouwen;0;1;0;Nationaliteit: EER;2013/'14;4680.0;1470.0;3220.0
