ID;Sales;SBI2008;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4
0;Total sales;B Mining and quarrying;1981 January;0;69.8;;
1;Total sales;B Mining and quarrying;1981 February;0;70.2;0.6;
2;Total sales;B Mining and quarrying;1981 March ;0;70.5;0.4;
3;Total sales;B Mining and quarrying;1981 April;0;70.5;0.0;
4;Total sales;B Mining and quarrying;1981 May;0;70.8;0.4;
5;Total sales;B Mining and quarrying;1981 June;0;71.4;1.0;
6;Total sales;B Mining and quarrying;1981 July;0;72.2;1.0;
7;Total sales;B Mining and quarrying;1981 August;0;72.1;-0.1;
8;Total sales;B Mining and quarrying;1981 September;0;72.0;-0.2;
9;Total sales;B Mining and quarrying;1981 October;0;71.9;-0.1;
10;Total sales;B Mining and quarrying;1981 November;0;71.9;0.0;
11;Total sales;B Mining and quarrying;1981 December;0;71.9;0.0;
12;Total sales;B Mining and quarrying;1981;0;71.3;;
13;Total sales;B Mining and quarrying;1982 January;0;75.2;4.5;7.6
14;Total sales;B Mining and quarrying;1982 February;0;75.7;0.8;7.8
15;Total sales;B Mining and quarrying;1982 March ;0;76.2;0.7;8.1
16;Total sales;B Mining and quarrying;1982 April;0;77.1;1.2;9.4
17;Total sales;B Mining and quarrying;1982 May;0;77.4;0.3;9.4
18;Total sales;B Mining and quarrying;1982 June;0;77.1;-0.3;8.0
19;Total sales;B Mining and quarrying;1982 July;0;76.9;-0.3;6.5
20;Total sales;B Mining and quarrying;1982 August;0;76.6;-0.4;6.2
21;Total sales;B Mining and quarrying;1982 September;0;76.1;-0.6;5.7
22;Total sales;B Mining and quarrying;1982 October;0;76.0;0.0;5.7
23;Total sales;B Mining and quarrying;1982 November;0;76.6;0.8;6.6
24;Total sales;B Mining and quarrying;1982 December;0;76.8;0.2;6.7
25;Total sales;B Mining and quarrying;1982;0;76.5;;7.3
26;Total sales;B Mining and quarrying;1983 January;0;77.1;0.3;2.5
27;Total sales;B Mining and quarrying;1983 February;0;77.0;-0.1;1.7
28;Total sales;B Mining and quarrying;1983 March ;0;76.9;0.0;0.9
29;Total sales;B Mining and quarrying;1983 April;0;76.9;0.0;-0.3
30;Total sales;B Mining and quarrying;1983 May;0;77.1;0.2;-0.4
31;Total sales;B Mining and quarrying;1983 June;0;77.5;0.5;0.5
32;Total sales;B Mining and quarrying;1983 July;0;77.7;0.3;1.1
33;Total sales;B Mining and quarrying;1983 August;0;78.8;1.4;2.9
34;Total sales;B Mining and quarrying;1983 September;0;80.2;1.8;5.5
35;Total sales;B Mining and quarrying;1983 October;0;80.3;0.1;5.6
36;Total sales;B Mining and quarrying;1983 November;0;80.9;0.7;5.5
37;Total sales;B Mining and quarrying;1983 December;0;81.5;0.7;6.1
38;Total sales;B Mining and quarrying;1983;0;78.5;;2.6
39;Total sales;B Mining and quarrying;1984 January;0;83.7;2.7;8.6
40;Total sales;B Mining and quarrying;1984 February;0;86.3;3.2;12.1
41;Total sales;B Mining and quarrying;1984 March ;0;86.9;0.6;12.9
42;Total sales;B Mining and quarrying;1984 April;0;87.2;0.4;13.4
43;Total sales;B Mining and quarrying;1984 May;0;86.8;-0.5;12.7
44;Total sales;B Mining and quarrying;1984 June;0;87.1;0.3;12.4
45;Total sales;B Mining and quarrying;1984 July;0;87.3;0.2;12.4
46;Total sales;B Mining and quarrying;1984 August;0;85.8;-1.7;8.9
47;Total sales;B Mining and quarrying;1984 September;0;85.1;-0.8;6.1
48;Total sales;B Mining and quarrying;1984 October;0;84.9;-0.2;5.7
49;Total sales;B Mining and quarrying;1984 November;0;84.6;-0.4;4.6
50;Total sales;B Mining and quarrying;1984 December;0;84.2;-0.5;3.4
51;Total sales;B Mining and quarrying;1984;0;85.8;;9.4
52;Total sales;B Mining and quarrying;1985 January;0;84.7;0.6;1.2
53;Total sales;B Mining and quarrying;1985 February;0;85.2;0.7;-1.3
54;Total sales;B Mining and quarrying;1985 March ;0;85.6;0.4;-1.5
55;Total sales;B Mining and quarrying;1985 April;0;88.7;3.6;1.7
56;Total sales;B Mining and quarrying;1985 May;0;89.3;0.7;2.9
57;Total sales;B Mining and quarrying;1985 June;0;87.7;-1.8;0.7
58;Total sales;B Mining and quarrying;1985 July;0;88.2;0.6;1.0
