ID;TypeOfBankruptcy;SectorBranchesSIC2008;Periods;PronouncedBankruptcies_1
0;Total entities with/without legal pers.;A-U All economic activities;2009 January;563
1;Total entities with/without legal pers.;A-U All economic activities;2009 February;601
2;Total entities with/without legal pers.;A-U All economic activities;2009 March;768
3;Total entities with/without legal pers.;A-U All economic activities;2009 1st quarter;1932
4;Total entities with/without legal pers.;A-U All economic activities;2009 April;717
5;Total entities with/without legal pers.;A-U All economic activities;2009 May;581
6;Total entities with/without legal pers.;A-U All economic activities;2009 June;797
7;Total entities with/without legal pers.;A-U All economic activities;2009 2nd quarter;2095
8;Total entities with/without legal pers.;A-U All economic activities;2009 July;731
9;Total entities with/without legal pers.;A-U All economic activities;2009 August;586
10;Total entities with/without legal pers.;A-U All economic activities;2009 September;710
11;Total entities with/without legal pers.;A-U All economic activities;2009 3rd quarter;2027
12;Total entities with/without legal pers.;A-U All economic activities;2009 October;621
13;Total entities with/without legal pers.;A-U All economic activities;2009 November;677
14;Total entities with/without legal pers.;A-U All economic activities;2009 December;635
15;Total entities with/without legal pers.;A-U All economic activities;2009 4th quarter;1933
16;Total entities with/without legal pers.;A-U All economic activities;2009;7987
17;Total entities with/without legal pers.;A-U All economic activities;2010 January;590
18;Total entities with/without legal pers.;A-U All economic activities;2010 February;632
19;Total entities with/without legal pers.;A-U All economic activities;2010 March;744
20;Total entities with/without legal pers.;A-U All economic activities;2010 1st quarter;1966
21;Total entities with/without legal pers.;A-U All economic activities;2010 April;571
22;Total entities with/without legal pers.;A-U All economic activities;2010 May;473
23;Total entities with/without legal pers.;A-U All economic activities;2010 June;754
24;Total entities with/without legal pers.;A-U All economic activities;2010 2nd quarter;1798
25;Total entities with/without legal pers.;A-U All economic activities;2010 July;548
26;Total entities with/without legal pers.;A-U All economic activities;2010 August;590
27;Total entities with/without legal pers.;A-U All economic activities;2010 September;514
28;Total entities with/without legal pers.;A-U All economic activities;2010 3rd quarter;1652
29;Total entities with/without legal pers.;A-U All economic activities;2010 October;590
30;Total entities with/without legal pers.;A-U All economic activities;2010 November;652
31;Total entities with/without legal pers.;A-U All economic activities;2010 December;489
32;Total entities with/without legal pers.;A-U All economic activities;2010 4th quarter;1731
33;Total entities with/without legal pers.;A-U All economic activities;2010;7147
34;Total entities with/without legal pers.;A-U All economic activities;2011 January;546
35;Total entities with/without legal pers.;A-U All economic activities;2011 February;569
