ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;7394045;100.0;150;136;14
1;1;653609;8.8;14;13;1
2;2;574;0.0;0;0;0
3;3;143239;1.9;3;3;0
4;4;354463;4.8;7;7;0
5;5;330398;4.5;7;7;0
6;6;307048;4.2;6;5;1
7;7;41262;0.6;0;0;0
8;8;304714;4.1;6;5;1
9;9;131236;1.8;2;2;0
10;KVP;1305401;17.7;27;25;2
11;Lijst Stam;1547;0.0;0;0;0
12;NMP;32970;0.4;0;0;0
13;NRP;236;0.0;0;0;0
14;PPR;354829;4.8;7;7;0
15;PSP;111262;1.5;2;2;0
16;PvdA;2021454;27.3;43;37;6
17;PvhR;656;0.0;0;0;0
18;RKPN;67658;0.9;1;1;0
19;SGP;163114;2.2;3;3;0
20;VVD;1068375;14.4;22;19;3
