ID;Generatie;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;Autochtoon_2;TotaalNietWesters_3;Marokko_4;NederlandseAntillenAruba_5;Suriname_6;Turkije_7;OverigeNietWesters_8;Westers_9
0;Totaal echtparen;Totaal vrouwen;2003 (Twee jaar getrouwd);75388.0;58954.0;9862.0;2346.0;402.0;1244.0;2777.0;3093.0;6572.0
1;Totaal echtparen;Totaal vrouwen;2004 (Eén jaar getrouwd);69438.0;55830.0;7626.0;1665.0;415.0;1109.0;1997.0;2440.0;5982.0
2;Totaal echtparen;Totaal vrouwen;2005 (Nog geen jaar getrouwd);64273.0;53921.0;4838.0;908.0;437.0;879.0;978.0;1636.0;5514.0
3;Totaal echtparen;Autochtoon;2003 (Twee jaar getrouwd);56139.0;50573.0;1537.0;193.0;176.0;277.0;260.0;631.0;4029.0
4;Totaal echtparen;Autochtoon;2004 (Eén jaar getrouwd);52771.0;47756.0;1332.0;153.0;175.0;255.0;214.0;535.0;3683.0
5;Totaal echtparen;Autochtoon;2005 (Nog geen jaar getrouwd);51169.0;46493.0;1158.0;117.0;190.0;258.0;126.0;467.0;3518.0
6;Totaal echtparen;Totaal niet-westers;2003 (Twee jaar getrouwd);10813.0;2555.0;7797.0;2083.0;192.0;898.0;2390.0;2234.0;461.0
7;Totaal echtparen;Totaal niet-westers;2004 (Eén jaar getrouwd);8841.0;2594.0;5801.0;1444.0;194.0;775.0;1699.0;1689.0;446.0
8;Totaal echtparen;Totaal niet-westers;2005 (Nog geen jaar getrouwd);5922.0;2270.0;3261.0;733.0;205.0;569.0;763.0;991.0;391.0
9;Totaal echtparen;Marokko;2003 (Twee jaar getrouwd);2344.0;157.0;2150.0;2031.0;3.0;15.0;11.0;90.0;37.0
10;Totaal echtparen;Marokko;2004 (Eén jaar getrouwd);1700.0;150.0;1510.0;1408.0;5.0;15.0;13.0;69.0;40.0
11;Totaal echtparen;Marokko;2005 (Nog geen jaar getrouwd);896.0;110.0;763.0;692.0;2.0;8.0;10.0;51.0;23.0
12;Totaal echtparen;Nederlandse Antillen + Aruba;2003 (Twee jaar getrouwd);466.0;235.0;200.0;7.0;148.0;16.0;6.0;23.0;31.0
13;Totaal echtparen;Nederlandse Antillen + Aruba;2004 (Eén jaar getrouwd);475.0;253.0;192.0;4.0;139.0;23.0;5.0;21.0;30.0
