ID;Periods;Value_1;ShiftingAnnualAverageValue_2;Value_3;AggregatedChange_4
0;1995 January;66.7;;;
1;1995 February;63.3;;;
2;1995 March;72.8;;;
3;1995 1st quarter;67.6;;;
4;1995 April;68.3;;;
5;1995 May;68.2;;;
6;1995 June;68.6;;;
7;1995 2nd quarter;68.3;;;
8;1995 July;54.5;;;
9;1995 August;45.7;;;
10;1995 September;56.3;;;
11;1995 3rd quarter;52.2;;;
12;1995 October;64.5;;;
13;1995 November;57.0;;;
14;1995 December;58.5;62.0;;
15;1995 4th quarter;60.0;62.0;;
16;1995;62.0;62.0;;
17;1996 January;73.0;62.6;9.5;9.5
18;1996 February;65.9;62.8;4.1;6.9
19;1996 March;74.4;62.9;2.1;5.2
20;1996 1st quarter;71.1;62.9;5.2;5.2
21;1996 April;79.3;63.8;16.2;7.9
22;1996 May;75.3;64.4;10.5;8.5
23;1996 June;77.4;65.2;12.8;9.2
24;1996 2nd quarter;77.3;65.2;13.2;9.2
25;1996 July;65.1;66.0;19.3;10.4
26;1996 August;47.5;66.2;3.9;9.8
27;1996 September;61.2;66.6;8.8;9.7
28;1996 3rd quarter;57.9;66.6;11.1;9.7
29;1996 October;71.6;67.2;11.1;9.8
30;1996 November;62.0;67.6;8.8;9.8
31;1996 December;65.7;68.2;12.3;10.0
32;1996 4th quarter;66.5;68.2;10.7;10.0
33;1996;68.2;68.2;10.0;10.0
34;1997 January;81.5;68.9;11.7;11.7
35;1997 February;74.4;69.6;12.9;12.3
36;1997 March;80.5;70.1;8.3;10.9
37;1997 1st quarter;78.8;70.1;10.9;10.9
38;1997 April;81.2;70.3;2.4;8.6
39;1997 May;75.2;70.3;-0.2;6.8
40;1997 June;76.4;70.2;-1.4;5.4
41;1997 2nd quarter;77.6;70.2;0.3;5.4
42;1997 July;72.6;70.8;11.6;6.2
43;1997 August;54.1;71.4;14.0;6.8
44;1997 September;73.9;72.4;20.6;8.2
45;1997 3rd quarter;66.9;72.4;15.4;8.2
46;1997 October;76.7;72.9;7.0;8.1
47;1997 November;62.1;72.9;0.0;7.4
48;1997 December;72.7;73.4;10.6;7.7
49;1997 4th quarter;70.5;73.4;6.0;7.7
50;1997;73.4;73.4;7.7;7.7
51;1998 January;96.2;74.7;18.0;18.0
52;1998 February;78.7;75.0;5.7;12.1
53;1998 March;93.8;76.1;16.4;13.6
54;1998 1st quarter;89.5;76.1;13.6;13.6
55;1998 April;91.8;77.0;13.0;13.4
56;1998 May;86.6;78.0;15.3;13.8
57;1998 June;94.4;79.5;23.7;15.4
58;1998 2nd quarter;90.9;79.5;17.2;15.4
59;1998 July;84.7;80.5;16.6;15.6
60;1998 August;63.7;81.3;17.8;15.8
61;1998 September;83.6;82.1;13.2;15.5
62;1998 3rd quarter;77.3;82.1;15.7;15.5
63;1998 October;88.4;83.1;15.3;15.5
64;1998 November;83.0;84.8;33.7;16.9
65;1998 December;93.0;86.5;27.8;17.8
66;1998 4th quarter;88.1;86.5;25.0;17.8
67;1998;86.5;86.5;17.8;17.8
68;1999 January;115.0;88.0;19.6;19.6
69;1999 February;96.4;89.5;22.5;20.9
70;1999 March;125.5;92.2;33.9;25.4
71;1999 1st quarter;112.3;92.2;25.4;25.4
72;1999 April;110.7;93.7;20.6;24.2
73;1999 May;102.0;95.0;17.8;23.0
74;1999 June;107.3;96.1;13.6;21.3
75;1999 2nd quarter;106.7;96.1;17.3;21.3
76;1999 July;94.3;96.9;11.4;20.0
77;1999 August;80.6;98.3;26.5;20.6
78;1999 September;97.0;99.4;16.0;20.1
79;1999 3rd quarter;90.6;99.4;17.2;20.1
80;1999 October;94.7;99.9;7.2;18.8
81;1999 November;85.3;100.1;2.9;17.4
82;1999 December;96.4;100.4;3.7;16.1
83;1999 4th quarter;92.2;100.4;4.6;16.1
84;1999;100.4;100.4;16.1;16.1
85;2000 January;109.4;100.0;-4.8;-4.8
86;2000 February;104.1;100.6;8.0;1.0
87;2000 March;124.3;100.5;-1.0;0.3
88;2000 1st quarter;112.6;100.5;0.3;0.3
89;2000 April;122.8;101.5;11.0;2.9
90;2000 May;103.9;101.7;1.8;2.7
91;2000 June;97.5;100.9;-9.1;0.8
92;2000 2nd quarter;108.1;100.9;1.3;0.8
93;2000 July;89.8;100.5;-4.8;0.1
94;2000 August;82.7;100.7;2.6;0.3
95;2000 September;95.9;100.6;-1.1;0.2
96;2000 3rd quarter;89.4;100.6;-1.3;0.2
97;2000 October;98.5;100.9;4.0;0.5
98;2000 November;92.5;101.5;8.3;1.1
99;2000 December;97.0;101.5;0.6;1.1
100;2000 4th quarter;96.0;101.5;4.2;1.1
101;2000;101.5;101.5;1.1;1.1
102;2001 January;107.3;101.3;-2.0;-2.0
