ID;Productcode;Perioden;Verkoopwaarde_1;Hoeveelheid_2
0;710100000;2008;0.0;0.0
1;710100000;2009;0.0;0.0
2;710100000;2010;0.0;0.0
3;710100000;2011;0.0;0.0
4;710100000;2012;0.0;0.0
5;710100000;2013;0.0;0.0
6;729110000;2008;0.0;0.0
7;729110000;2009;0.0;0.0
8;729110000;2010;0.0;0.0
9;729110000;2011;0.0;0.0
10;729110000;2012;0.0;0.0
11;729110000;2013;0.0;0.0
12;729120000;2008;0.0;0.0
13;729120000;2009;0.0;0.0
14;729120000;2010;0.0;0.0
15;729120000;2011;0.0;0.0
16;729120000;2012;0.0;0.0
17;729120000;2013;0.0;0.0
18;729130000;2008;0.0;0.0
19;729130000;2009;0.0;0.0
20;729130000;2010;0.0;0.0
21;729130000;2011;;
22;729130000;2012;0.0;0.0
23;729130000;2013;0.0;0.0
24;729140000;2008;0.0;0.0
25;729140000;2009;0.0;0.0
26;729140000;2010;0.0;0.0
27;729140000;2011;0.0;0.0
28;729140000;2012;0.0;0.0
29;729140000;2013;0.0;0.0
30;729150000;2008;0.0;0.0
31;729150000;2009;0.0;0.0
32;729150000;2010;0.0;0.0
33;729150000;2011;0.0;0.0
34;729150000;2012;0.0;0.0
35;729150000;2013;0.0;0.0
36;729190000;2008;;
37;729190000;2009;;
38;729190000;2010;;
39;729190000;2011;;
40;729190000;2012;0.0;0.0
41;729190000;2013;0.0;0.0
42;811113300;2008;0.0;0.0
43;811113300;2009;0.0;0.0
44;811113300;2010;0.0;0.0
45;811113300;2011;0.0;0.0
46;811113300;2012;0.0;0.0
47;811113300;2013;0.0;0.0
48;811113600;2008;0.0;0.0
49;811113600;2009;0.0;0.0
50;811113600;2010;0.0;0.0
51;811113600;2011;0.0;0.0
52;811113600;2012;0.0;0.0
53;811113600;2013;0.0;0.0
54;811115000;2008;0.0;0.0
55;811115000;2009;0.0;0.0
56;811115000;2010;0.0;0.0
57;811115000;2011;0.0;0.0
58;811115000;2012;0.0;0.0
59;811115000;2013;0.0;0.0
60;811123300;2008;0.0;0.0
61;811123300;2009;0.0;0.0
62;811123300;2010;0.0;0.0
63;811123300;2011;0.0;0.0
64;811123300;2012;0.0;0.0
65;811123300;2013;0.0;0.0
66;811123600;2008;0.0;0.0
67;811123600;2009;0.0;0.0
68;811123600;2010;0.0;0.0
69;811123600;2011;0.0;0.0
70;811123600;2012;0.0;0.0
71;811123600;2013;0.0;0.0
72;811125000;2008;0.0;0.0
