ID;Periods;MainRefinancingRateECB_1;MarginalLendingRateECB_2;DepositRateECB_3;LevyAndCollectionRate_4;AdvanceRateAgainstSecurities_5;FixedAdvanceRateDutchCentralBank_6;StatutoryInterestRate_7;RateOnStudentLoans_8;OneMonthAiborEuribor_9;ThreeMonthsAiborEuribor_10;SixMonthsAiborEuribor_11;TwelveMonthsAiborEuribor_12;ThreeMonthsLoans_13;ThreeMonthsEuroDollarDeposits_14;CallMoneyInterest_15
0;1957 January;;;;;;;;;;;;;4.99;;3.37
1;1957 February;;;;;;;;;;;;;4.74;;2.85
2;1957 March;;;;;;;;;;;;;4.92;;3.5
3;1957 April;;;;;;;;;;;;;5.01;;3.5
4;1957 May;;;;;;;;;;;;;5.0;;2.88
5;1957 June;;;;;;;;;;;;;5.13;;2.7
6;1957 July;;;;;;;;;;;;;5.49;;3.08
7;1957 August;;;;;;;;;;;;;6.51;;3.51
8;1957 September;;;;;;;;;;;;;7.04;;3.64
9;1957 October;;;;;;;;;;;;;5.82;;3.75
10;1957 November;;;;;;;;;;;;;5.5;;3.35
11;1957 December;;;;;;;;;;;;;5.5;;3.33
12;1957;;;;;;;;;;;;;5.47;;3.29
13;1958 January;;;;;;;;;;;;;5.5;;3.5
14;1958 February;;;;;;;;;;;;;5.05;;3.26
15;1958 March;;;;;;;;;;;;;4.58;;2.77
16;1958 April;;;;;;;;;;;;;4.07;;2.93
17;1958 May;;;;;;;;;;;;;3.74;;2.39
18;1958 June;;;;;;;;;;;;;3.48;;2.34
19;1958 July;;;;;;;;;;;;;3.47;;2.5
20;1958 August;;;;;;;;;;;;;3.1;;2.08
21;1958 September;;;;;;;;;;;;;3.05;;2.16
22;1958 October;;;;;;;;;;;;;3.29;;2.5
23;1958 November;;;;;;;;;;;;;3.18;;1.79
24;1958 December;;;;;;;;;;;;;3.06;;1.5
25;1958;;;;;;;;;;;;;3.8;;2.48
26;1959 January;;;;;;;;;;;;;2.58;;1.58
27;1959 February;;;;;;;;;;;;;2.07;;1.26
28;1959 March;;;;;;;;;;;;;2.04;;1.42
29;1959 April;;;;;;;;;;;;;2.0;;1.5
30;1959 May;;;;;;;;;;;;;2.04;;1.34
31;1959 June;;;;;;;;;;;;;2.45;;1.55
32;1959 July;;;;;;;;;;;;;2.47;;1.63
33;1959 August;;;;;;;;;;;;;2.13;;1.15
34;1959 September;;;;;;;;;;;;;2.1;;1.41
35;1959 October;;;;;;;;;;;;;2.33;;2.21
36;1959 November;;;;;;;;;;;;;2.49;;1.55
37;1959 December;;;;;;;;;;;;;2.75;;2.18
38;1959;;;;;;;;;;;;;2.29;;1.57
39;1960 January;;;;;;;;;;;;;2.83;;1.95
40;1960 February;;;;;;;;;;;;;3.12;;1.55
