ID;BalansstandenEnTransacties;VorderingenEnSchulden;Sectoren;Perioden;Totaal_1;MonetairGoudEnBijzTrekkingsrechten_2;TotaalChartaalGeldEnDepositoS_3;ChartaalGeld_4;GiraleDepositoS_5;TotaalSpaartegoedenEnOvgDepositoS_6;Spaartegoeden_7;OverigeDepositoS_8;TotaalEffectenMUVAandelen_9;KortlopendeWaardepapieren_10;Obligaties_11;FinancieleDerivaten_12;TotaalLeningen_13;KortlopendeLeningen_14;LanglopendeLeningen_15;AandelenEnOverigeDeelnemingen_16;TotaalVerzekeringstechVoorzieningen_17;VoorzieningPensioenEnLevensverz_18;OverigeVerzekeringstechVoorzieningen_19;HandelskredEnTransitPosten_20
0;Beginbalans;Vorderingen;Totale economie NL;2001 1e kwartaal;;;;;;;;;;;;;;;;;;;;
1;Beginbalans;Vorderingen;Totale economie NL;2001 2e kwartaal;;;;;;;;;;;;;;;;;;;;
2;Beginbalans;Vorderingen;Totale economie NL;2001 3e kwartaal;;;;;;;;;;;;;;;;;;;;
3;Beginbalans;Vorderingen;Totale economie NL;2001 4e kwartaal;;;;;;;;;;;;;;;;;;;;
4;Beginbalans;Vorderingen;Totale economie NL;2001;;;;;;;;;;;;;;;;;;;;
5;Beginbalans;Vorderingen;Totale economie NL;2002 1e kwartaal;;;;;;;;;;;;;;;;;;;;
6;Beginbalans;Vorderingen;Totale economie NL;2002 2e kwartaal;;;;;;;;;;;;;;;;;;;;
7;Beginbalans;Vorderingen;Totale economie NL;2002 3e kwartaal;;;;;;;;;;;;;;;;;;;;
8;Beginbalans;Vorderingen;Totale economie NL;2002 4e kwartaal;;;;;;;;;;;;;;;;;;;;
9;Beginbalans;Vorderingen;Totale economie NL;2002;;;;;;;;;;;;;;;;;;;;
10;Beginbalans;Vorderingen;Totale economie NL;2003 1e kwartaal;;;;;;;;;;;;;;;;;;;;
11;Beginbalans;Vorderingen;Totale economie NL;2003 2e kwartaal;;;;;;;;;;;;;;;;;;;;
12;Beginbalans;Vorderingen;Totale economie NL;2003 3e kwartaal;;;;;;;;;;;;;;;;;;;;
13;Beginbalans;Vorderingen;Totale economie NL;2003 4e kwartaal;;;;;;;;;;;;;;;;;;;;
14;Beginbalans;Vorderingen;Totale economie NL;2003;;;;;;;;;;;;;;;;;;;;
15;Beginbalans;Vorderingen;Totale economie NL;2004 1e kwartaal;;;;;;;;;;;;;;;;;;;;
16;Beginbalans;Vorderingen;Totale economie NL;2004 2e kwartaal;;;;;;;;;;;;;;;;;;;;
17;Beginbalans;Vorderingen;Totale economie NL;2004 3e kwartaal;;;;;;;;;;;;;;;;;;;;
18;Beginbalans;Vorderingen;Totale economie NL;2004 4e kwartaal;;;;;;;;;;;;;;;;;;;;
19;Beginbalans;Vorderingen;Totale economie NL;2004;;;;;;;;;;;;;;;;;;;;
20;Beginbalans;Vorderingen;Totale economie NL;2005 1e kwartaal;6131479.0;8005.0;883601.0;21938.0;214223.0;647440.0;197670.0;449770.0;678945.0;28276.0;654049.0;-3380.0;1852871.0;470874.0;1381997.0;1607295.0;776103.0;744277.0;31826.0;324659.0
21;Beginbalans;Vorderingen;Totale economie NL;2005 2e kwartaal;6336647.0;7642.0;935748.0;21604.0;228925.0;685219.0;202834.0;482385.0;693191.0;30849.0;669890.0;-7548.0;1886228.0;498781.0;1387447.0;1672821.0;802672.0;770087.0;32585.0;338345.0
22;Beginbalans;Vorderingen;Totale economie NL;2005 3e kwartaal;6553491.0;8371.0;974283.0;20625.0;267768.0;685890.0;208637.0;477253.0;721321.0;32223.0;694992.0;-5894.0;1921164.0;512425.0;1408739.0;1745199.0;823832.0;789867.0;33965.0;359321.0
23;Beginbalans;Vorderingen;Totale economie NL;2005 4e kwartaal;6778843.0;9108.0;1015355.0;22303.0;265021.0;728031.0;210709.0;517322.0;729448.0;30136.0;702788.0;-3476.0;1966918.0;521133.0;1445785.0;1847047.0;859633.0;824619.0;35014.0;351334.0
24;Beginbalans;Vorderingen;Totale economie NL;2005;6131479.0;8005.0;883601.0;21938.0;214223.0;647440.0;197670.0;449770.0;678945.0;28276.0;654049.0;-3380.0;1852871.0;470874.0;1381997.0;1607295.0;776103.0;744277.0;31826.0;324659.0
25;Beginbalans;Vorderingen;Totale economie NL;2006 1e kwartaal;6925655.0;9680.0;1005098.0;23280.0;248796.0;733022.0;210686.0;522336.0;755296.0;30425.0;730436.0;-5565.0;2027210.0;516783.0;1510427.0;1879289.0;887475.0;851558.0;35917.0;361607.0
