ID;Bedrijfsgrootte;Perioden;Bedrijven_1;Vestigingen_2;TotaalKlanten_3;k_18JaarOfOuder_4;JongerDan18Jaar_5;TotaalWerkzamePersonen_6;WerkzamePersonenInLoondienst_7;WerkzamePersonenNietInLoondienst_8;TotaalWerkzamePersonen_9;WerkzamePersonenInLoondienst_10;WerkzamePersonenNietInLoondienst_11;WerkzamePersonenBelastMetInstructie_12;TotaalBedrijfsopbrengsten_13;InkomstenUitSportEnFitnessdiensten_14;VerkoopopbrengstHorecavoorziening_15;OpbrengstUitOnderVerhuur_16;OverigeOpbrengsten_17;TotaalBedrijfskosten_18;TotaalPersoneleKosten_19;LonenEnWerkgeversaandeelSocLasten_20;BetalingenAanIngehuurdPersoneel_21;TotaalHuisvestingskosten_22;HuurGebouwen_23;EnergieEnWaterkosten_24;OnderhoudEnSchoonmaakkosten_25;TotaalOverigeKosten_26;KostenInventarisEnApparatuur_27;InkoopkostenHorecavoorziening_28;VerkoopEnPromotiekosten_29;AdministratieEnBeheerskosten_30;BetaaldeLicenties_31;KostprijsverhBelastingenEnHeffingen_32;Afschrijvingen_33;OverigeKosten_34;TotaalBedrijfsresultaat_35;SaldoFinancieleBatenEnLasten_36;ResultaatVoorBelastingen_37;TotaalInvesteringen_38;InvesteringenGrondEnGebouwen_39;InvesteringenVervoermiddelen_40;InvMachinesInstallatiesEnApparaten_41;ResultaatBeterDanVorigJaar_42;ResultaatGelijkAanVorigJaar_43;ResultaatSlechterDanVorigJaar_44;ResultaatBeterDanDitJaar_45;ResultaatGelijkAanDitJaar_46;ResultaatSlechterDanDitJaar_47
0;Totaal;2015;1620;1970;2129;1867;262;24.9;18.1;6.8;9.3;6.4;2.9;4.8;685;597;32;22;34;635;229;203;25;195;142;31;22;212;22;14;18;25;15;7;87;24;50;-8;42;129.0;63.0;3.0;63.0;43.0;31.0;26.0;50.0;36.0;13.0
1;Totaal;2017;1570;2020;2358;2122;236;24.2;17.5;6.7;9.2;6.6;2.6;5.1;732;652;26;23;31;651;235;209;26;194;144;30;20;222;29;13;24;27;18;6;91;14;81;-11;70;112.0;61.0;2.0;48.0;51.0;29.0;21.0;44.0;39.0;17.0
2;Totaal;2019;1540;2200;2671;2423;247;25.7;18.6;7.0;9.3;6.9;2.4;6.1;838;760;29;29;20;769;275;241;35;224;165;33;26;270;29;16;28;44;11;8;108;25;69;-11;58;132.0;68.0;3.0;61.0;;;;;;
3;Totaal;2020;1560;2250;2319;2094;225;22.7;16.4;6.2;8.8;6.3;2.4;5.8;654;615;12;15;12;673;227;200;27;207;152;32;23;239;34;9;21;21;10;6;112;25;-19;-6;-25;88.0;52.0;2.0;35.0;;;;;;
4;Totaal;2021;1499;2210;2377;2127;250;22.3;16.5;5.7;8.4;6.7;2.1;4.7;607;525;11;14;58;649;217;197;20;203;147;33;24;229;29;7;18;24;9;9;110;23;-37;-17;-54;;;;;;;;;;
5;0 tot 3 werkzame personen;2015;940;955;352;294;58;5.0;2.5;2.5;2.0;0.7;1.2;1.4;110;100;4;3;2;90;29;22;7;32;24;5;3;30;7;2;3;3;2;1;7;3;20;-1;18;19.0;8.0;1.0;10.0;41.0;36.0;23.0;51.0;38.0;11.0
6;0 tot 3 werkzame personen;2017;895;910;337;285;52;4.4;2.2;2.3;2.0;0.8;1.2;1.4;115;106;3;3;3;89;27;21;6;30;23;5;2;32;9;2;3;3;3;1;7;4;26;-1;25;14.0;6.0;0.0;8.0;50.0;32.0;18.0;44.0;38.0;18.0
7;0 tot 3 werkzame personen;2019;910;950;363;306;57;4.8;2.6;2.2;2.1;1.0;1.1;1.6;132;122;4;4;3;106;33;25;8;35;26;5;3;38;9;2;4;5;3;2;10;3;27;-3;23;24.0;11.0;1.0;12.0;;;;;;
8;0 tot 3 werkzame personen;2020;860;890;295;249;46;4.0;1.9;2.1;1.9;0.7;1.2;1.5;96;91;1;2;1;82;26;18;7;28;21;4;2;29;7;1;3;3;3;1;8;2;14;-2;12;15.0;7.0;1.0;8.0;;;;;;
9;0 tot 3 werkzame personen;2021;824;850;337;300;37;4.6;2.1;2.5;1.8;0.8;1.0;1.3;103;92;2;4;6;91;29;22;6;30;22;6;2;32;8;1;3;3;3;4;7;4;12;-1;11;;;;;;;;;;
10;3 tot 5 werkzame personen;2015;300;310;214;182;32;3.0;1.9;1.1;1.1;0.7;0.4;0.8;72;66;2;2;2;59;23;20;4;17;12;3;2;19;5;1;2;2;1;1;5;2;12;-1;12;13.0;5.0;0.0;7.0;42.0;27.0;31.0;50.0;34.0;16.0
11;3 tot 5 werkzame personen;2017;310;320;236;200;36;2.8;1.9;0.9;1.1;0.7;0.4;0.7;77;71;2;2;1;59;24;22;3;16;11;3;2;19;4;1;2;2;2;1;5;2;17;-1;16;9.0;4.0;1.0;4.0;49.0;25.0;26.0;46.0;36.0;18.0
12;3 tot 5 werkzame personen;2019;295;325;240;201;39;2.9;2.0;0.9;1.2;0.7;0.4;0.9;79;73;2;2;2;59;24;21;4;17;12;4;2;18;3;1;2;2;2;1;5;3;19;-2;18;9.0;3.0;1.0;6.0;;;;;;
13;3 tot 5 werkzame personen;2020;340;365;244;209;35;2.9;1.9;1.0;1.3;0.8;0.5;1.0;74;69;1;2;2;62;23;21;2;19;13;4;2;20;3;1;2;2;2;1;7;3;12;-1;10;6.0;2.0;0.0;3.0;;;;;;
14;3 tot 5 werkzame personen;2021;339;370;246;202;43;3.1;2.0;1.1;1.3;0.8;0.4;0.8;80;69;1;2;7;64;26;23;3;18;13;4;2;20;4;1;2;2;2;1;6;3;15;-2;13;;;;;;;;;;
15;5 tot 10 werkzame personen;2015;250;265;322;272;50;4.3;3.4;0.9;1.5;1.1;0.4;0.9;106;94;4;3;5;91;42;39;3;24;17;4;3;25;5;2;2;3;2;1;7;3;15;0;15;10.0;4.0;1.0;5.0;48.0;23.0;29.0;49.0;34.0;17.0
16;5 tot 10 werkzame personen;2017;235;255;308;263;45;4.2;3.2;1.0;1.4;1.1;0.3;0.8;102;94;4;3;2;83;38;35;3;22;15;4;3;23;6;2;2;2;2;1;5;3;19;-1;19;6.0;2.0;0.0;3.0;48.0;28.0;24.0;38.0;46.0;16.0
17;5 tot 10 werkzame personen;2019;215;255;320;268;51;4.0;3.0;0.9;1.5;1.1;0.3;0.9;105;96;4;3;2;85;39;35;4;22;15;4;3;23;4;2;3;3;2;1;6;3;20;0;20;7.0;1.0;1.0;5.0;;;;;;
18;5 tot 10 werkzame personen;2020;230;295;301;255;45;3.8;3.0;0.9;1.5;1.1;0.4;1.0;91;86;2;2;1;85;38;35;3;23;16;4;2;25;5;4;2;3;2;1;6;2;5;-1;4;6.0;3.0;0.0;3.0;;;;;;
19;5 tot 10 werkzame personen;2021;215;300;334;292;42;4.0;3.0;1.0;1.4;1.1;0.3;0.9;92;79;2;3;9;81;38;35;3;20;14;4;2;22;6;1;2;3;2;1;6;2;11;-1;10;;;;;;;;;;
20;10 tot 50 werkzame personen;2015;120;160;367;305;62;4.8;3.8;1.0;1.8;1.4;0.4;0.9;139;114;11;6;7;123;55;50;5;33;22;7;5;34;3;5;3;4;2;2;12;4;16;0;17;8.0;4.0;0.0;4.0;45.0;21.0;34.0;52.0;36.0;12.0
21;10 tot 50 werkzame personen;2017;120;180;356;305;51;4.9;3.9;1.0;1.8;1.4;0.3;1.0;140;120;7;6;7;124;58;53;6;33;23;5;5;33;5;4;4;3;2;1;11;3;16;-1;15;6.0;2.0;0.0;4.0;63.0;19.0;18.0;43.0;42.0;15.0
22;10 tot 50 werkzame personen;2019;110;220;461;396;64;4.8;3.7;1.2;1.7;1.4;0.3;1.0;154;138;8;5;3;134;63;55;8;37;24;7;6;34;5;3;4;3;2;2;11;4;20;-1;19;9.0;3.0;0.0;6.0;;;;;;
23;10 tot 50 werkzame personen;2020;120;255;379;320;59;4.5;3.5;0.9;1.8;1.5;0.3;1.1;118;108;3;3;3;119;51;46;5;37;27;6;4;30;5;2;4;3;2;1;8;5;-1;-1;-2;5.0;2.0;0.0;2.0;;;;;;
24;10 tot 50 werkzame personen;2021;110;245;387;324;63;4.5;3.8;0.8;1.8;1.6;0.3;1.1;115;92;4;4;15;105;48;44;4;29;20;6;3;27;4;2;3;3;1;1;10;3;10;0;10;;;;;;;;;;
25;50 of meer werkzame personen;2015;10;280;874;814;60;7.9;6.5;1.3;2.9;2.5;0.4;0.9;259;224;10;8;17;272;79;72;6;89;68;11;10;104;2;4;7;14;8;2;56;11;-13;-7;-20;79.0;41.0;0.0;37.0;45.0;55.0;0.0;45.0;55.0;0.0
26;50 of meer werkzame personen;2017;10;355;1120;1068;52;7.9;6.3;1.6;2.9;2.6;0.3;1.3;298;262;9;8;19;296;87;79;8;93;71;13;9;116;6;4;13;16;10;2;62;3;2;-7;-4;76.0;47.0;0.0;29.0;78.0;22.0;0.0;89.0;0.0;11.0
