ID;ProvincialeHeffingen;RegioS;Perioden;ProvincialeHeffingenInMlnEuro_1
0;Totaal provinciale heffingen;Nederland;1995;281.9
1;Totaal provinciale heffingen;Nederland;1996;345.8
2;Totaal provinciale heffingen;Nederland;1997;596.5
3;Totaal provinciale heffingen;Nederland;1998;677.1
4;Totaal provinciale heffingen;Nederland;1999;693.6
5;Totaal provinciale heffingen;Nederland;2000;730.5
6;Totaal provinciale heffingen;Nederland;2001;759.2
7;Totaal provinciale heffingen;Nederland;2002;817.3
8;Totaal provinciale heffingen;Nederland;2003;885.0
9;Totaal provinciale heffingen;Nederland;2004;986.8
10;Totaal provinciale heffingen;Nederland;2005;1068.5
11;Totaal provinciale heffingen;Nederland;2006;1136.0
12;Totaal provinciale heffingen;Nederland;2007;1214.9
13;Totaal provinciale heffingen;Nederland;2008;1317.6
14;Totaal provinciale heffingen;Nederland;2009;1399.1
15;Totaal provinciale heffingen;Nederland;2010;1441.3
16;Totaal provinciale heffingen;Nederland;2011;1472.6
17;Totaal provinciale heffingen;Nederland;2012;1486.4
18;Totaal provinciale heffingen;Nederland;2013;1479.8
19;Totaal provinciale heffingen;Nederland;2014;1550.2
20;Totaal provinciale heffingen;Nederland;2015;1567.7
21;Totaal provinciale heffingen;Nederland;2016;1559.8
22;Totaal provinciale heffingen;Nederland;2017;1596.5
23;Totaal provinciale heffingen;Nederland;2018;1632.2
24;Totaal provinciale heffingen;Nederland;2019;1672.9
25;Totaal provinciale heffingen;Nederland;2020;1690.5
26;Totaal provinciale heffingen;Nederland;2021;1733.6
27;Totaal provinciale heffingen;Nederland;2022;1768.2
28;Totaal provinciale heffingen;Nederland;2023;1837.9
29;Totaal provinciale heffingen;Nederland;2024;1923.9
30;Totaal provinciale heffingen;Nederland;2025;2045.7
31;Totaal provinciale heffingen;Noord-Nederland (LD);1995;46.8
32;Totaal provinciale heffingen;Noord-Nederland (LD);1996;48.3
33;Totaal provinciale heffingen;Noord-Nederland (LD);1997;87.3
34;Totaal provinciale heffingen;Noord-Nederland (LD);1998;94.4
35;Totaal provinciale heffingen;Noord-Nederland (LD);1999;96.7
36;Totaal provinciale heffingen;Noord-Nederland (LD);2000;70.9
37;Totaal provinciale heffingen;Noord-Nederland (LD);2001;74.2
38;Totaal provinciale heffingen;Noord-Nederland (LD);2002;80.9
