ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;Perioden;AlleStijgers_1;NormaleStijgers_2;SnelleStijgers_3;BedrijvenMetOmzetStabiel_4;AlleDalers_5;NormaleDalers_6;SnelleDalers_7
0;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2012 1e kwartaal;48.0;20.0;28.0;2.0;50.0;22.0;28.0
1;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2012 2e kwartaal;44.0;18.0;26.0;2.0;54.0;25.0;30.0
2;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2012 3e kwartaal;47.0;19.0;28.0;2.0;52.0;24.0;28.0
3;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2012 4e kwartaal;41.0;17.0;24.0;1.0;58.0;24.0;33.0
4;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2012;42.0;22.0;20.0;2.0;56.0;31.0;25.0
5;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2013 1e kwartaal;40.0;17.0;23.0;2.0;58.0;25.0;33.0
6;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2013 2e kwartaal;44.0;19.0;25.0;2.0;55.0;25.0;30.0
7;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2013 3e kwartaal;45.0;19.0;26.0;2.0;54.0;23.0;31.0
8;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2013 4e kwartaal;52.0;20.0;32.0;2.0;46.0;21.0;25.0
9;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2013;44.0;23.0;21.0;2.0;54.0;30.0;24.0
10;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2014 1e kwartaal;55.0;21.0;33.0;2.0;44.0;21.0;23.0
11;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2014 2e kwartaal;53.0;22.0;31.0;2.0;46.0;21.0;25.0
12;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2014 3e kwartaal;51.0;21.0;30.0;2.0;48.0;22.0;26.0
13;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2014 4e kwartaal;51.0;21.0;31.0;2.0;47.0;21.0;25.0
14;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2014;53.0;27.0;26.0;2.0;45.0;25.0;20.0
15;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2015 1e kwartaal;51.0;20.0;31.0;2.0;47.0;22.0;25.0
16;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2015 2e kwartaal;54.0;21.0;32.0;2.0;45.0;21.0;24.0
17;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2015 3e kwartaal;52.0;20.0;32.0;2.0;46.0;21.0;25.0
18;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2015 4e kwartaal;54.0;22.0;32.0;2.0;44.0;20.0;24.0
19;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2015;55.0;27.0;28.0;2.0;43.0;24.0;19.0
20;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2016 1e kwartaal;54.0;22.0;32.0;2.0;44.0;20.0;24.0
21;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2016 2e kwartaal;52.0;21.0;31.0;2.0;46.0;22.0;24.0
22;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2016 3e kwartaal;53.0;21.0;32.0;2.0;45.0;21.0;24.0
23;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2016 4e kwartaal;53.0;21.0;32.0;2.0;45.0;21.0;24.0
24;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2016;55.0;28.0;27.0;2.0;43.0;24.0;19.0
25;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2017 1e kwartaal;54.0;21.0;33.0;2.0;44.0;20.0;24.0
26;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2017 2e kwartaal;54.0;22.0;32.0;2.0;45.0;21.0;24.0
27;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2017 3e kwartaal;55.0;21.0;34.0;2.0;43.0;19.0;24.0
28;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2017 4e kwartaal;55.0;21.0;33.0;2.0;44.0;20.0;23.0
29;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2017;56.0;28.0;28.0;2.0;42.0;23.0;18.0
30;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2018 1e kwartaal;55.0;22.0;33.0;2.0;43.0;20.0;23.0
31;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2018 2e kwartaal;55.0;22.0;34.0;2.0;43.0;20.0;22.0
32;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2018 3e kwartaal;53.0;20.0;33.0;2.0;45.0;21.0;24.0
33;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2018 4e kwartaal;56.0;22.0;34.0;2.0;42.0;20.0;23.0
34;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2018;57.0;28.0;29.0;2.0;41.0;23.0;18.0
35;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2019 1e kwartaal;53.0;21.0;32.0;2.0;45.0;21.0;24.0
36;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2019 2e kwartaal;54.0;22.0;32.0;2.0;45.0;21.0;24.0
37;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2019 3e kwartaal;53.0;21.0;33.0;2.0;45.0;20.0;25.0
38;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2019 4e kwartaal;50.0;20.0;30.0;2.0;48.0;22.0;26.0
39;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2019;54.0;27.0;27.0;2.0;44.0;25.0;19.0
40;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2020 1e kwartaal;52.0;22.0;30.0;2.0;46.0;21.0;25.0
41;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2020 2e kwartaal;39.0;15.0;24.0;1.0;59.0;22.0;38.0
42;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2020 3e kwartaal;49.0;19.0;30.0;1.0;49.0;21.0;28.0
43;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2020 4e kwartaal;51.0;21.0;31.0;2.0;47.0;21.0;26.0
44;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2020;48.0;23.0;25.0;2.0;50.0;26.0;25.0
45;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2021 1e kwartaal;51.0;20.0;31.0;2.0;48.0;19.0;29.0
46;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2021 2e kwartaal;67.0;20.0;47.0;1.0;31.0;14.0;17.0
47;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2021 3e kwartaal;60.0;22.0;38.0;1.0;38.0;17.0;21.0
48;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2021 4e kwartaal;63.0;23.0;40.0;2.0;35.0;16.0;19.0
49;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2021;65.0;29.0;36.0;2.0;33.0;18.0;16.0
50;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2022 1e kwartaal;62.0;22.0;41.0;1.0;36.0;16.0;20.0
51;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2022 2e kwartaal;60.0;22.0;39.0;1.0;38.0;18.0;20.0
52;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2022 3e kwartaal;58.0;22.0;36.0;2.0;41.0;18.0;22.0
53;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2022 4e kwartaal;57.0;23.0;35.0;1.0;41.0;19.0;22.0
54;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2022;63.0;29.0;34.0;2.0;35.0;19.0;16.0
55;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2023 1e kwartaal;59.0;23.0;36.0;1.0;40.0;17.0;22.0
56;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2023 2e kwartaal;53.0;22.0;32.0;2.0;45.0;21.0;24.0
57;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2023 3e kwartaal;53.0;21.0;32.0;1.0;45.0;20.0;25.0
58;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2023 4e kwartaal;51.0;22.0;29.0;2.0;47.0;21.0;26.0
59;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2023;56.0;28.0;28.0;2.0;42.0;23.0;19.0
60;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2024 1e kwartaal;51.0;24.0;28.0;2.0;46.0;23.0;23.0
61;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2024 2e kwartaal;53.0;22.0;30.0;2.0;45.0;21.0;24.0
62;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2024 3e kwartaal;53.0;22.0;31.0;2.0;45.0;20.0;24.0
63;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2024 4e kwartaal;53.0;23.0;30.0;2.0;45.0;21.0;24.0
64;Totaal 1 of meer werkzame personen;B-E Nijverheid (geen bouw) en energie;2024;;;;;;;
65;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2012 1e kwartaal;48.0;20.0;28.0;2.0;50.0;18.0;33.0
66;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2012 2e kwartaal;51.0;16.0;35.0;1.0;48.0;20.0;27.0
67;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2012 3e kwartaal;57.0;16.0;41.0;1.0;42.0;18.0;25.0
68;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2012 4e kwartaal;52.0;18.0;34.0;1.0;48.0;18.0;29.0
69;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2012;49.0;20.0;28.0;1.0;51.0;31.0;20.0
70;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2013 1e kwartaal;47.0;20.0;27.0;0.0;53.0;24.0;29.0
71;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2013 2e kwartaal;47.0;21.0;26.0;1.0;52.0;23.0;29.0
72;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2013 3e kwartaal;51.0;20.0;31.0;2.0;47.0;17.0;30.0
73;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2013 4e kwartaal;48.0;18.0;30.0;2.0;51.0;22.0;28.0
74;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2013;53.0;28.0;25.0;1.0;47.0;24.0;23.0
75;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2014 1e kwartaal;60.0;18.0;41.0;1.0;40.0;20.0;20.0
76;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2014 2e kwartaal;51.0;16.0;35.0;2.0;47.0;24.0;23.0
77;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2014 3e kwartaal;48.0;16.0;32.0;1.0;51.0;25.0;26.0
78;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2014 4e kwartaal;58.0;27.0;31.0;1.0;41.0;17.0;24.0
79;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2014;61.0;30.0;31.0;2.0;37.0;17.0;19.0
80;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2015 1e kwartaal;38.0;17.0;21.0;2.0;60.0;27.0;34.0
81;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2015 2e kwartaal;39.0;13.0;26.0;1.0;60.0;25.0;35.0
82;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2015 3e kwartaal;46.0;19.0;26.0;1.0;53.0;22.0;31.0
83;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2015 4e kwartaal;38.0;12.0;26.0;3.0;59.0;21.0;37.0
84;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2015;40.0;17.0;23.0;2.0;57.0;24.0;34.0
85;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2016 1e kwartaal;49.0;25.0;24.0;0.0;51.0;16.0;35.0
86;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2016 2e kwartaal;43.0;17.0;27.0;2.0;55.0;20.0;35.0
87;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2016 3e kwartaal;44.0;18.0;27.0;2.0;54.0;19.0;34.0
88;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2016 4e kwartaal;41.0;12.0;30.0;2.0;57.0;21.0;35.0
89;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2016;41.0;20.0;22.0;2.0;57.0;22.0;35.0
90;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2017 1e kwartaal;44.0;18.0;26.0;4.0;52.0;18.0;34.0
91;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2017 2e kwartaal;43.0;16.0;28.0;3.0;54.0;25.0;29.0
92;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2017 3e kwartaal;45.0;15.0;30.0;3.0;52.0;22.0;30.0
93;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2017 4e kwartaal;52.0;20.0;31.0;4.0;45.0;21.0;24.0
94;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2017;53.0;31.0;21.0;3.0;44.0;20.0;24.0
95;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2018 1e kwartaal;51.0;18.0;32.0;4.0;46.0;21.0;25.0
96;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2018 2e kwartaal;59.0;23.0;36.0;2.0;40.0;16.0;23.0
97;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2018 3e kwartaal;53.0;18.0;35.0;1.0;46.0;16.0;30.0
98;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2018 4e kwartaal;56.0;17.0;39.0;2.0;42.0;14.0;27.0
99;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2018;61.0;27.0;34.0;2.0;37.0;15.0;22.0
100;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2019 1e kwartaal;52.0;18.0;34.0;2.0;46.0;17.0;29.0
101;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2019 2e kwartaal;51.0;19.0;32.0;3.0;46.0;19.0;27.0
102;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2019 3e kwartaal;54.0;21.0;33.0;2.0;45.0;15.0;30.0
