ID;LandVanNationaliteit;Geslacht;Leeftijd;Perioden;TotaalAsielverzoeken_1;EersteAsielverzoeken_2;VolgendeAsielverzoeken_3
0;85;Totaal mannen en vrouwen;Alle leeftijden;2007;9730;7430;2300
1;85;Totaal mannen en vrouwen;Alle leeftijden;2008;15280;13400;1870
2;85;Totaal mannen en vrouwen;Alle leeftijden;2009;16160;14910;1260
3;85;Totaal mannen en vrouwen;Alle leeftijden;2010;15150;13340;1820
4;85;Totaal mannen en vrouwen;Jonger dan 15 jaar;2007;1800;1370;430
5;85;Totaal mannen en vrouwen;Jonger dan 15 jaar;2008;2910;2560;350
6;85;Totaal mannen en vrouwen;Jonger dan 15 jaar;2009;3360;3160;200
7;85;Totaal mannen en vrouwen;Jonger dan 15 jaar;2010;4230;3950;280
8;85;Totaal mannen en vrouwen;15 tot 18 jaar;2007;620;560;60
9;85;Totaal mannen en vrouwen;15 tot 18 jaar;2008;1060;1000;60
10;85;Totaal mannen en vrouwen;15 tot 18 jaar;2009;1470;1440;30
11;85;Totaal mannen en vrouwen;15 tot 18 jaar;2010;1220;1170;50
12;85;Totaal mannen en vrouwen;18 jaar of ouder;2007;7310;5500;1810
13;85;Totaal mannen en vrouwen;18 jaar of ouder;2008;11300;9840;1460
14;85;Totaal mannen en vrouwen;18 jaar of ouder;2009;11330;10300;1030
15;85;Totaal mannen en vrouwen;18 jaar of ouder;2010;9700;8220;1480
16;85;Mannen;Alle leeftijden;2007;6360;4810;1550
17;85;Mannen;Alle leeftijden;2008;10070;8830;1250
18;85;Mannen;Alle leeftijden;2009;10710;9800;900
19;85;Mannen;Alle leeftijden;2010;9060;7780;1290
20;85;Mannen;Jonger dan 15 jaar;2007;910;710;210
21;85;Mannen;Jonger dan 15 jaar;2008;1540;1360;180
22;85;Mannen;Jonger dan 15 jaar;2009;1750;1650;100
23;85;Mannen;Jonger dan 15 jaar;2010;2180;2050;130
24;85;Mannen;15 tot 18 jaar;2007;390;360;30
25;85;Mannen;15 tot 18 jaar;2008;760;730;30
26;85;Mannen;15 tot 18 jaar;2009;1140;1120;20
27;85;Mannen;15 tot 18 jaar;2010;810;780;40
28;85;Mannen;18 jaar of ouder;2007;5060;3750;1320
29;85;Mannen;18 jaar of ouder;2008;7770;6730;1040
30;85;Mannen;18 jaar of ouder;2009;7820;7040;780
31;85;Mannen;18 jaar of ouder;2010;6070;4950;1120
32;85;Vrouwen;Alle leeftijden;2007;3370;2620;740
33;85;Vrouwen;Alle leeftijden;2008;5200;4580;620
34;85;Vrouwen;Alle leeftijden;2009;5460;5100;350
35;85;Vrouwen;Alle leeftijden;2010;6090;5560;530
36;85;Vrouwen;Jonger dan 15 jaar;2007;880;660;220
37;85;Vrouwen;Jonger dan 15 jaar;2008;1370;1200;170
38;85;Vrouwen;Jonger dan 15 jaar;2009;1620;1510;100
39;85;Vrouwen;Jonger dan 15 jaar;2010;2050;1900;160
40;85;Vrouwen;15 tot 18 jaar;2007;230;210;20
41;85;Vrouwen;15 tot 18 jaar;2008;300;270;30
42;85;Vrouwen;15 tot 18 jaar;2009;330;320;10
43;85;Vrouwen;15 tot 18 jaar;2010;400;390;10
44;85;Vrouwen;18 jaar of ouder;2007;2250;1750;500
45;85;Vrouwen;18 jaar of ouder;2008;3530;3110;420
46;85;Vrouwen;18 jaar of ouder;2009;3510;3270;240
47;85;Vrouwen;18 jaar of ouder;2010;3630;3270;360
48;Afghanistan;Totaal mannen en vrouwen;Alle leeftijden;2007;520;190;330
49;Afghanistan;Totaal mannen en vrouwen;Alle leeftijden;2008;700;400;310
50;Afghanistan;Totaal mannen en vrouwen;Alle leeftijden;2009;1400;1280;120
51;Afghanistan;Totaal mannen en vrouwen;Alle leeftijden;2010;1590;1370;220
52;Afghanistan;Totaal mannen en vrouwen;Jonger dan 15 jaar;2007;110;60;60
53;Afghanistan;Totaal mannen en vrouwen;Jonger dan 15 jaar;2008;150;80;70
54;Afghanistan;Totaal mannen en vrouwen;Jonger dan 15 jaar;2009;330;310;10
55;Afghanistan;Totaal mannen en vrouwen;Jonger dan 15 jaar;2010;390;360;40
56;Afghanistan;Totaal mannen en vrouwen;15 tot 18 jaar;2007;50;30;20
57;Afghanistan;Totaal mannen en vrouwen;15 tot 18 jaar;2008;130;110;20
58;Afghanistan;Totaal mannen en vrouwen;15 tot 18 jaar;2009;370;360;10
59;Afghanistan;Totaal mannen en vrouwen;15 tot 18 jaar;2010;310;290;20
60;Afghanistan;Totaal mannen en vrouwen;18 jaar of ouder;2007;360;100;260
61;Afghanistan;Totaal mannen en vrouwen;18 jaar of ouder;2008;420;210;220
62;Afghanistan;Totaal mannen en vrouwen;18 jaar of ouder;2009;710;610;90
63;Afghanistan;Totaal mannen en vrouwen;18 jaar of ouder;2010;880;720;170
64;Afghanistan;Mannen;Alle leeftijden;2007;340;110;220
65;Afghanistan;Mannen;Alle leeftijden;2008;480;280;200
66;Afghanistan;Mannen;Alle leeftijden;2009;1010;920;90
67;Afghanistan;Mannen;Alle leeftijden;2010;1060;910;160
68;Afghanistan;Mannen;Jonger dan 15 jaar;2007;60;30;30
69;Afghanistan;Mannen;Jonger dan 15 jaar;2008;90;50;40
70;Afghanistan;Mannen;Jonger dan 15 jaar;2009;190;180;10
71;Afghanistan;Mannen;Jonger dan 15 jaar;2010;210;200;20
72;Afghanistan;Mannen;15 tot 18 jaar;2007;30;20;10
73;Afghanistan;Mannen;15 tot 18 jaar;2008;110;110;10
74;Afghanistan;Mannen;15 tot 18 jaar;2009;340;340;10
75;Afghanistan;Mannen;15 tot 18 jaar;2010;270;250;20
76;Afghanistan;Mannen;18 jaar of ouder;2007;250;60;190
77;Afghanistan;Mannen;18 jaar of ouder;2008;270;120;150
78;Afghanistan;Mannen;18 jaar of ouder;2009;480;400;80
79;Afghanistan;Mannen;18 jaar of ouder;2010;580;460;120
80;Afghanistan;Vrouwen;Alle leeftijden;2007;180;80;110
81;Afghanistan;Vrouwen;Alle leeftijden;2008;230;120;110
82;Afghanistan;Vrouwen;Alle leeftijden;2009;390;360;30
83;Afghanistan;Vrouwen;Alle leeftijden;2010;520;460;60
84;Afghanistan;Vrouwen;Jonger dan 15 jaar;2007;60;30;30
85;Afghanistan;Vrouwen;Jonger dan 15 jaar;2008;60;30;30
86;Afghanistan;Vrouwen;Jonger dan 15 jaar;2009;140;130;10
87;Afghanistan;Vrouwen;Jonger dan 15 jaar;2010;180;160;20
88;Afghanistan;Vrouwen;15 tot 18 jaar;2007;10;10;10
89;Afghanistan;Vrouwen;15 tot 18 jaar;2008;20;10;10
90;Afghanistan;Vrouwen;15 tot 18 jaar;2009;30;20;0
91;Afghanistan;Vrouwen;15 tot 18 jaar;2010;40;40;0
92;Afghanistan;Vrouwen;18 jaar of ouder;2007;110;40;70
93;Afghanistan;Vrouwen;18 jaar of ouder;2008;150;90;70
94;Afghanistan;Vrouwen;18 jaar of ouder;2009;230;210;20
95;Afghanistan;Vrouwen;18 jaar of ouder;2010;300;260;40
96;Angola;Totaal mannen en vrouwen;Alle leeftijden;2007;80;30;50
97;Angola;Totaal mannen en vrouwen;Alle leeftijden;2008;70;30;40
98;Angola;Totaal mannen en vrouwen;Alle leeftijden;2009;60;40;20
99;Angola;Totaal mannen en vrouwen;Alle leeftijden;2010;50;30;20
100;Angola;Totaal mannen en vrouwen;Jonger dan 15 jaar;2007;20;10;10
101;Angola;Totaal mannen en vrouwen;Jonger dan 15 jaar;2008;20;10;10
102;Angola;Totaal mannen en vrouwen;Jonger dan 15 jaar;2009;20;10;10
103;Angola;Totaal mannen en vrouwen;Jonger dan 15 jaar;2010;10;10;0
104;Angola;Totaal mannen en vrouwen;15 tot 18 jaar;2007;10;10;0
105;Angola;Totaal mannen en vrouwen;15 tot 18 jaar;2008;10;10;10
106;Angola;Totaal mannen en vrouwen;15 tot 18 jaar;2009;10;10;0
107;Angola;Totaal mannen en vrouwen;15 tot 18 jaar;2010;0;0;0
108;Angola;Totaal mannen en vrouwen;18 jaar of ouder;2007;50;20;40
109;Angola;Totaal mannen en vrouwen;18 jaar of ouder;2008;50;20;30
110;Angola;Totaal mannen en vrouwen;18 jaar of ouder;2009;40;20;20
111;Angola;Totaal mannen en vrouwen;18 jaar of ouder;2010;40;20;20
112;Angola;Mannen;Alle leeftijden;2007;40;10;30
113;Angola;Mannen;Alle leeftijden;2008;40;20;20
114;Angola;Mannen;Alle leeftijden;2009;30;20;20
115;Angola;Mannen;Alle leeftijden;2010;30;20;10
116;Angola;Mannen;Jonger dan 15 jaar;2007;10;0;0
117;Angola;Mannen;Jonger dan 15 jaar;2008;10;0;0
118;Angola;Mannen;Jonger dan 15 jaar;2009;10;10;0
119;Angola;Mannen;Jonger dan 15 jaar;2010;10;0;0
120;Angola;Mannen;15 tot 18 jaar;2007;0;0;0
121;Angola;Mannen;15 tot 18 jaar;2008;10;0;0
122;Angola;Mannen;15 tot 18 jaar;2009;0;0;0
123;Angola;Mannen;15 tot 18 jaar;2010;0;0;0
124;Angola;Mannen;18 jaar of ouder;2007;30;10;30
125;Angola;Mannen;18 jaar of ouder;2008;20;10;20
126;Angola;Mannen;18 jaar of ouder;2009;20;10;10
127;Angola;Mannen;18 jaar of ouder;2010;20;10;10
128;Angola;Vrouwen;Alle leeftijden;2007;40;20;20
129;Angola;Vrouwen;Alle leeftijden;2008;40;20;20
130;Angola;Vrouwen;Alle leeftijden;2009;30;20;10
131;Angola;Vrouwen;Alle leeftijden;2010;20;20;10
132;Angola;Vrouwen;Jonger dan 15 jaar;2007;10;10;10
133;Angola;Vrouwen;Jonger dan 15 jaar;2008;10;10;0
134;Angola;Vrouwen;Jonger dan 15 jaar;2009;10;10;0
135;Angola;Vrouwen;Jonger dan 15 jaar;2010;0;0;0
136;Angola;Vrouwen;15 tot 18 jaar;2007;10;0;0
137;Angola;Vrouwen;15 tot 18 jaar;2008;0;0;0
138;Angola;Vrouwen;15 tot 18 jaar;2009;0;0;0
139;Angola;Vrouwen;15 tot 18 jaar;2010;0;0;0
140;Angola;Vrouwen;18 jaar of ouder;2007;20;10;10
141;Angola;Vrouwen;18 jaar of ouder;2008;20;10;20
142;Angola;Vrouwen;18 jaar of ouder;2009;10;10;0
143;Angola;Vrouwen;18 jaar of ouder;2010;20;10;10
144;21;Totaal mannen en vrouwen;Alle leeftijden;2007;150;120;40
145;21;Totaal mannen en vrouwen;Alle leeftijden;2008;240;210;30
146;21;Totaal mannen en vrouwen;Alle leeftijden;2009;370;350;20
147;21;Totaal mannen en vrouwen;Alle leeftijden;2010;650;610;40
148;21;Totaal mannen en vrouwen;Jonger dan 15 jaar;2007;30;20;10
149;21;Totaal mannen en vrouwen;Jonger dan 15 jaar;2008;60;50;10
150;21;Totaal mannen en vrouwen;Jonger dan 15 jaar;2009;80;80;0
151;21;Totaal mannen en vrouwen;Jonger dan 15 jaar;2010;160;150;10
152;21;Totaal mannen en vrouwen;15 tot 18 jaar;2007;10;10;0
153;21;Totaal mannen en vrouwen;15 tot 18 jaar;2008;20;10;0
154;21;Totaal mannen en vrouwen;15 tot 18 jaar;2009;20;10;0
155;21;Totaal mannen en vrouwen;15 tot 18 jaar;2010;30;30;0
156;21;Totaal mannen en vrouwen;18 jaar of ouder;2007;110;90;30
157;21;Totaal mannen en vrouwen;18 jaar of ouder;2008;170;150;30
158;21;Totaal mannen en vrouwen;18 jaar of ouder;2009;270;250;20
159;21;Totaal mannen en vrouwen;18 jaar of ouder;2010;460;430;30
160;21;Mannen;Alle leeftijden;2007;90;70;20
161;21;Mannen;Alle leeftijden;2008;130;110;20
162;21;Mannen;Alle leeftijden;2009;190;180;20
163;21;Mannen;Alle leeftijden;2010;330;310;20
164;21;Mannen;Jonger dan 15 jaar;2007;20;10;10
165;21;Mannen;Jonger dan 15 jaar;2008;40;30;0
166;21;Mannen;Jonger dan 15 jaar;2009;50;50;0
167;21;Mannen;Jonger dan 15 jaar;2010;100;90;10
168;21;Mannen;15 tot 18 jaar;2007;0;0;0
169;21;Mannen;15 tot 18 jaar;2008;10;10;0
170;21;Mannen;15 tot 18 jaar;2009;10;10;0
171;21;Mannen;15 tot 18 jaar;2010;10;10;0
172;21;Mannen;18 jaar of ouder;2007;70;50;20
173;21;Mannen;18 jaar of ouder;2008;80;70;10
174;21;Mannen;18 jaar of ouder;2009;130;120;20
175;21;Mannen;18 jaar of ouder;2010;220;210;20
176;21;Vrouwen;Alle leeftijden;2007;60;50;10
177;21;Vrouwen;Alle leeftijden;2008;110;100;20
178;21;Vrouwen;Alle leeftijden;2009;180;170;10
179;21;Vrouwen;Alle leeftijden;2010;320;300;20
180;21;Vrouwen;Jonger dan 15 jaar;2007;10;10;0
181;21;Vrouwen;Jonger dan 15 jaar;2008;20;20;0
182;21;Vrouwen;Jonger dan 15 jaar;2009;30;30;0
183;21;Vrouwen;Jonger dan 15 jaar;2010;60;60;10
184;21;Vrouwen;15 tot 18 jaar;2007;10;0;0
185;21;Vrouwen;15 tot 18 jaar;2008;0;0;0
186;21;Vrouwen;15 tot 18 jaar;2009;10;0;0
187;21;Vrouwen;15 tot 18 jaar;2010;20;20;0
188;21;Vrouwen;18 jaar of ouder;2007;40;40;10
189;21;Vrouwen;18 jaar of ouder;2008;90;80;10
190;21;Vrouwen;18 jaar of ouder;2009;140;130;10
191;21;Vrouwen;18 jaar of ouder;2010;240;230;10
