ID;GoederenVanWoninginboedels;Perioden;Wegingscoefficienten_1;Prijsindexcijfers_2
0;0;Januari   1991;100000;98.6
1;0;Februari  1991;100000;99.2
2;0;Maart     1991;100000;100.4
3;0;April     1991;100000;100.7
4;0;Mei       1991;100000;100.8
5;0;Juni      1991;100000;100.5
6;0;Juli      1991;100000;98.7
7;0;Augustus  1991;100000;99.2
8;0;September 1991;100000;101.0
9;0;Oktober   1991;100000;101.3
10;0;November  1991;100000;101.4
11;0;December  1991;100000;100.9
12;0;Jaar  1991;0;100.2
13;0;Januari   1992;100000;99.1
14;0;Februari  1992;100000;100.3
15;0;Maart     1992;100000;101.2
16;0;April     1992;100000;102.4
17;0;Mei       1992;100000;102.4
18;0;Juni      1992;100000;101.5
19;0;Juli      1992;100000;99.7
20;0;Augustus  1992;100000;100.4
21;0;September 1992;100000;102.3
22;0;Oktober   1992;100000;102.5
23;0;November  1992;100000;102.4
24;0;December  1992;100000;101.5
25;0;Jaar  1992;0;101.4
26;0;Januari   1993;100000;99.9
27;0;Februari  1993;100000;101.2
28;0;Maart     1993;100000;102.6
29;0;April     1993;100000;103.0
30;0;Mei       1993;100000;102.8
31;0;Juni      1993;100000;102.0
32;0;Juli      1993;100000;100.2
33;0;Augustus  1993;100000;101.6
34;0;September 1993;100000;103.5
35;0;Oktober   1993;100000;103.7
36;0;November  1993;100000;103.4
37;0;December  1993;100000;102.4
38;0;Jaar  1993;0;102.2
39;0;Januari   1994;100000;100.8
40;0;Februari  1994;100000;101.8
41;0;Maart     1994;100000;103.1
42;0;April     1994;100000;103.0
43;0;Mei       1994;100000;102.8
44;0;Juni      1994;100000;101.8
45;0;Juli      1994;100000;99.9
46;0;Augustus  1994;100000;100.7
47;0;September 1994;100000;102.8
48;0;Oktober   1994;100000;102.9
49;0;November  1994;100000;102.5
50;0;December  1994;100000;101.2
51;0;Jaar  1994;0;101.9
52;0;Januari   1995;100000;99.4
53;0;Februari  1995;100000;100.3
54;0;Maart     1995;100000;101.9
55;0;April     1995;100000;102.0
56;0;Mei       1995;100000;101.5
